Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,238500,238500,238500,238765,238500
2,238800,238768,238768,239010,238742
3,239020,239037,239037,239254,238985
4,239320,239305,239305,239498,239227
5,239590,239573,239573,239743,239469
6,239880,239841,239841,239987,239711
7,240200,240110,240110,240232,239954
8,240490,240378,240378,240476,240196
9,240710,240646,240646,240720,240438
10,240960,240914,240914,240965,240680
11,241110,241183,241183,241209,240923
12,241720,241451,241451,241454,241165
1,241870,241719,241719,241698,241407
2,241940,241987,241987,241942,241649
3,242210,242256,242256,242187,241892
4,242480,242524,242524,242431,242134
5,242740,242792,242792,242676,242376
6,242970,243060,243060,242920,242618
7,243260,243329,243329,243164,242861
8,243540,243597,243597,243409,243103
9,243730,243865,243865,243653,243345
10,243950,244133,244133,243898,243587
11,244160,244402,244402,244142,243830
12,244670,244670,244670,244386,244072
1,245080,245057,245107,244984,244556
2,245270,245296,245343,245229,244799
3,245480,245535,245579,245473,245041
4,245750,245774,245815,245718,245283
5,245930,246013,246050,245962,245526
6,246200,246252,246286,246206,245768
7,246460,246491,246522,246451,246010
8,246750,246730,246758,246695,246252
9,246970,246969,246993,246940,246495
10,247160,247208,247229,247184,246737
11,247390,247447,247465,247428,246979
12,247680,247686,247701,247673,247221
1,247970,247925,247937,247917,247464
2,248200,248164,248172,248162,247706
3,248420,248403,248408,248406,247948
4,248600,248642,248644,248650,248190
5,248860,248881,248880,248895,248433
6,249120,249120,249115,249139,248675
7,249350,249359,249351,249384,248917
8,249520,249598,249587,249628,249159
9,249830,249837,249823,249872,249402
10,250090,250076,250059,250117,249644
11,250360,250315,250294,250361,249886
12,250640,250554,250530,250606,250128
1,251070,251015,251015,251055,250613
2,251280,251258,251259,251295,250855
3,251520,251502,251502,251535,251097
4,251760,251745,251745,251775,251340
5,251950,251988,251989,252016,251582
6,252210,252232,252232,252256,251824
7,252500,252475,252475,252496,252067
8,252720,252719,252719,252736,252309
9,252970,252962,252962,252976,252551
10,253150,253205,253205,253217,252793
11,253430,253449,253449,253457,253036
12,253680,253692,253692,253697,253278
1,254040,253935,253936,253937,253520
2,254240,254179,254179,254177,253762
3,254430,254422,254422,254418,254005
4,254660,254666,254666,254658,254247
5,254880,254909,254909,254898,254489
6,255110,255152,255152,255138,254731
7,255350,255396,255396,255378,254974
8,255680,255639,255639,255619,255216
9,255870,255882,255882,255859,255458
10,256090,256126,256126,256099,255700
11,256330,256369,256369,256339,255943
12,256690,256613,256612,256579,256185
1,257060,257041,257065,257064,256669
2,257330,257283,257306,257304,256912
3,257520,257526,257547,257544,257154
4,257730,257768,257787,257784,257396
5,257950,258010,258028,258025,257639
6,258190,258252,258269,258265,257881
7,258490,258495,258510,258505,258123
8,258770,258737,258750,258745,258365
9,259010,258979,258991,258985,258608
10,259180,259221,259232,259225,258850
11,259440,259464,259472,259465,259092
12,259700,259706,259713,259705,259334
1,259980,259948,259954,259945,259577
2,260240,260190,260195,260186,259819
3,260450,260433,260435,260426,260061
4,260690,260675,260676,260666,260303
5,260920,260917,260917,260906,260546
6,261140,261159,261157,261146,260788
7,261410,261402,261398,261386,261030
8,261630,261644,261639,261626,261272
9,261860,261886,261880,261866,261515
10,262080,262128,262120,262107,261757
11,262360,262371,262361,262347,261999
12,262680,262613,262602,262587,262241
1,263150,263054,263080,263081,262726
2,263330,263297,263320,263321,262968
3,263540,263539,263561,263562,263210
4,263760,263781,263802,263802,263453
5,263980,264024,264042,264042,263695
6,264230,264266,264283,264282,263937
7,264490,264508,264523,264522,264180
8,264790,264751,264764,264763,264422
9,264970,264993,265005,265003,264664
10,265190,265235,265245,265243,264906
11,265510,265478,265486,265483,265149
12,265720,265720,265727,265724,265391
1,266010,265962,265967,265964,265633
2,266240,266205,266208,266204,265875
3,266450,266447,266449,266444,266118
4,266670,266689,266689,266685,266360
5,266930,266932,266930,266925,266602
6,267170,267174,267171,267165,266844
7,267450,267416,267411,267405,267087
8,267660,267659,267652,267645,267329
9,267870,267901,267892,267886,267571
10,268090,268143,268133,268126,267813
11,268370,268386,268374,268366,268056
12,268680,268628,268614,268606,268298
1,269150,269066,269094,269097,268782
2,269340,269309,269334,269337,269025
3,269560,269552,269575,269577,269267
4,269780,269794,269815,269817,269509
5,269980,270037,270056,270057,269751
6,270260,270280,270297,270297,269994
7,270510,270522,270537,270538,270236
8,270740,270765,270778,270778,270478
9,271000,271008,271019,271018,270721
10,271230,271250,271259,271258,270963
11,271480,271493,271500,271498,271205
12,271730,271736,271741,271738,271447
1,272030,271978,271981,271978,271690
2,272270,272221,272222,272218,271932
3,272460,272464,272463,272458,272174
4,272700,272706,272703,272698,272416
5,272930,272949,272944,272938,272659
6,273170,273192,273185,273178,272901
7,273440,273435,273425,273418,273143
8,273650,273677,273666,273658,273385
9,273910,273920,273906,273898,273628
10,274160,274163,274147,274139,273870
11,274400,274405,274388,274379,274112
12,274710,274648,274628,274619,274354
1,275140,275079,275106,275114,274839
2,275340,275322,275346,275353,275081
3,275540,275564,275587,275593,275323
4,275810,275807,275827,275832,275566
5,276020,276050,276068,276072,275808
6,276280,276292,276309,276311,276050
7,276540,276535,276549,276551,276292
8,276770,276777,276790,276790,276535
9,277000,277020,277031,277030,276777
10,277200,277263,277271,277269,277019
11,277480,277505,277512,277509,277262
12,277730,277748,277752,277748,277504
1,278050,277990,277993,277988,277746
2,278240,278233,278234,278227,277988
3,278470,278476,278474,278467,278231
4,278710,278718,278715,278706,278473
5,278960,278961,278955,278946,278715
6,279170,279204,279196,279185,278957
7,279430,279446,279437,279425,279200
8,279740,279689,279677,279664,279442
9,279940,279931,279918,279903,279684
10,280120,280174,280158,280143,279926
11,280440,280417,280399,280382,280169
12,280710,280659,280640,280622,280411
1,281150,281092,281103,281103,280895
2,281400,281332,281343,281342,281138
3,281600,281572,281583,281581,281380
4,281830,281812,281823,281820,281622
5,282040,282052,282064,282059,281864
6,282300,282292,282304,282298,282107
8,282550,282532,282544,282537,282349
7,282570,282772,282784,282777,282591
9,283000,283012,283024,283016,282834
10,283210,283252,283264,283255,283076
11,283500,283492,283504,283494,283318
12,283710,283732,283744,283733,283560
1,284020,283972,283984,283972,283803
2,284270,284212,284224,284211,284045
3,284490,284452,284464,284450,284287
4,284730,284692,284704,284689,284529
5,284970,284932,284944,284928,284772
6,285190,285172,285185,285168,285014
7,285420,285412,285425,285407,285256
8,285430,285651,285665,285646,285498
9,285870,285891,285905,285885,285741
10,286150,286131,286145,286124,285983
11,286390,286371,286385,286363,286225
12,286670,286611,286625,286602,286467
1,287150,287068,287094,287099,286952
2,287360,287309,287334,287337,287194
3,287580,287550,287574,287576,287436
4,287820,287791,287813,287815,287679
5,288000,288031,288053,288053,287921
6,288270,288272,288293,288292,288163
7,288520,288513,288533,288531,288405
8,288740,288754,288772,288770,288648
9,288970,288995,289012,289008,288890
10,289190,289236,289252,289247,289132
11,289470,289476,289492,289486,289375
12,289700,289717,289731,289724,289617
1,290010,289958,289971,289963,289859
2,290260,290199,290211,290202,290101
3,290460,290440,290451,290441,290344
4,290680,290681,290690,290679,290586
5,290910,290921,290930,290918,290828
6,291160,291162,291170,291157,291070
7,291400,291403,291410,291395,291313
8,291660,291644,291649,291634,291555
9,291840,291885,291889,291873,291797
10,292100,292126,292129,292112,292039
11,292350,292366,292369,292350,292282
12,292650,292607,292608,292589,292524
1,293080,293046,293070,293070,293008
2,293310,293286,293309,293308,293251
3,293540,293527,293549,293546,293493
4,293760,293767,293788,293784,293735
5,293970,294007,294027,294022,293977
6,294250,294247,294267,294261,294220
7,294540,294488,294506,294499,294462
8,294740,294728,294745,294737,294704
9,294920,294968,294984,294975,294946
10,295160,295208,295224,295213,295189
11,295440,295449,295463,295451,295431
12,295640,295689,295702,295690,295673
1,295970,295929,295941,295928,295916
2,296160,296169,296181,296166,296158
3,296400,296410,296420,296404,296400
4,296640,296650,296659,296642,296642
5,296880,296890,296899,296881,296885
6,297120,297130,297138,297119,297127
7,297380,297371,297377,297357,297369
8,297670,297611,297616,297595,297611
9,297840,297851,297856,297833,297854
10,298060,298091,298095,298071,298096
11,298340,298332,298334,298310,298338
12,298600,298572,298574,298548,298580
1,299100,299016,299037,299022,299065
2,299230,299255,299276,299261,299307
3,299490,299495,299515,299501,299549
4,299740,299735,299753,299740,299792
5,299960,299974,299992,299979,300034
6,300210,300214,300231,300218,300276
7,300460,300454,300470,300457,300518
8,300710,300693,300709,300697,300761
9,300930,300933,300948,300936,301003
10,301100,301172,301187,301175,301245
11,301430,301412,301425,301414,301487
12,301610,301652,301664,301653,301730
1,301890,301891,301903,301893,301972
2,302190,302131,302142,302132,302214
3,302410,302371,302381,302371,302457
4,302630,302610,302620,302610,302699
5,302850,302850,302859,302849,302941
6,303090,303090,303097,303088,303183
7,303350,303329,303336,303328,303426
8,303550,303569,303575,303567,303668
9,303760,303808,303814,303806,303910
10,304000,304048,304053,304045,304152
11,304280,304288,304292,304284,304395
12,304580,304527,304531,304524,304637
1,305110,305005,305025,305036,305121
2,305330,305247,305264,305276,305364
3,305540,305488,305504,305515,305606
4,305760,305729,305743,305754,305848
5,305950,305970,305982,305994,306090
6,306210,306211,306222,306233,306333
7,306470,306452,306461,306473,306575
8,306710,306693,306700,306712,306817
9,306910,306935,306940,306951,307059
10,307090,307176,307179,307191,307302
11,307400,307417,307418,307430,307544
12,307590,307658,307657,307669,307786
1,307990,307899,307897,307909,308029
2,308190,308140,308136,308148,308271
3,308410,308382,308375,308388,308513
4,308650,308623,308615,308627,308755
5,308910,308864,308854,308866,308998
6,309130,309105,309093,309106,309240
7,309340,309346,309333,309345,309482
8,309600,309587,309572,309584,309724
9,309790,309829,309811,309824,309967
10,309990,310070,310051,310063,310209
11,310310,310311,310290,310303,310451
12,310560,310552,310529,310542,310693
1,311040,310997,311009,311014,311178
2,311250,311237,311249,311253,311420
3,311470,311478,311488,311492,311662
4,311710,311718,311728,311731,311905
5,311930,311959,311967,311970,312147
6,312170,312200,312206,312209,312389
7,312450,312440,312446,312448,312631
8,312700,312681,312685,312687,312874
9,312930,312922,312925,312926,313116
10,313150,313162,313164,313165,313358
11,313400,313403,313403,313404,313600
12,313610,313643,313643,313643,313843
1,313910,313884,313882,313882,314085
2,314130,314125,314122,314121,314327
3,314360,314365,314361,314360,314570
4,314570,314606,314600,314599,314812
5,314810,314847,314840,314838,315054
6,315050,315087,315079,315077,315296
7,315290,315328,315319,315316,315539
8,315640,315568,315558,315555,315781
9,315790,315809,315797,315794,316023
10,316050,316050,316037,316033,316265
11,316290,316290,316276,316272,316508
12,316600,316531,316516,316511,316750
1,317040,316984,317002,316993,317234
2,317220,317226,317241,317234,317477
3,317480,317467,317481,317475,317719
4,317710,317708,317721,317715,317961
5,317930,317950,317960,317956,318203
6,318170,318191,318200,318197,318446
7,318410,318433,318440,318438,318688
8,318710,318674,318679,318678,318930
9,318880,318916,318919,318919,319172
10,319130,319157,319159,319160,319415
11,319390,319398,319398,319401,319657
12,319620,319640,319638,319641,319899
1,319950,319881,319878,319882,320141
2,320150,320123,320117,320123,320384
3,320380,320364,320357,320364,320626
4,320600,320606,320597,320604,320868
5,320850,320847,320836,320845,321111
6,321080,321088,321076,321086,321353
7,321320,321330,321316,321327,321595
8,321540,321571,321555,321567,321837
9,321770,321813,321795,321808,322080
10,322040,322054,322035,322049,322322
11,322320,322296,322274,322290,322564
12,322590,322537,322514,322530,322806
2,323050,323019,323029,323045,323291
1,323280,323262,323269,323286,323533
3,323550,323505,323510,323528,323775
5,323800,323747,323751,323769,324018
4,324050,323990,323991,324010,324260
7,324220,324233,324232,324252,324502
6,324490,324476,324473,324493,324744
9,324750,324719,324713,324735,324987
8,324990,324962,324954,324976,325229
11,325190,325204,325195,325217,325471
10,325380,325447,325435,325459,325713
12,325640,325690,325676,325700,325956
2,325980,325933,325917,325942,326198
3,326220,326176,326157,326183,326440
1,326500,326418,326398,326424,326682
4,326690,326661,326639,326666,326925
5,326910,326904,326879,326907,327167
6,327150,327147,327120,327148,327409
7,327360,327390,327361,327390,327652
8,327610,327633,327601,327631,327894
9,327850,327875,327842,327873,328136
10,328100,328118,328083,328114,328378
11,328340,328361,328323,328355,328621
12,328600,328604,328564,328597,328863
3,329120,329066,329064,329086,329347
2,329340,329308,329306,329327,329590
