Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,57380,57380,57380,57537,57380
2,57650,57637,57637,57779,57616.9
3,57910,57893.9,57893.9,58021.1,57853.7
4,58130,58150.9,58150.9,58263.2,58090.6
5,58390,58407.8,58407.8,58505.3,58327.4
6,58590,58664.8,58664.8,58747.3,58564.3
7,58910,58921.7,58921.7,58989.4,58801.1
8,59180,59178.7,59178.7,59231.5,59038
9,59410,59435.7,59435.7,59473.6,59274.9
10,59650,59692.6,59692.6,59715.6,59511.7
11,59820,59949.6,59949.6,59957.7,59748.6
12,60330,60206.5,60206.5,60199.8,59985.4
1,60680,60463.5,60463.5,60441.9,60222.3
2,60820,60720.4,60720.4,60683.9,60459.2
3,60950,60977.4,60977.4,60926,60696
4,61200,61234.3,61234.3,61168.1,60932.9
5,61450,61491.3,61491.3,61410.2,61169.7
6,61710,61748.3,61748.3,61652.3,61406.6
7,62030,62005.2,62005.2,61894.3,61643.4
8,62140,62262.2,62262.2,62136.4,61880.3
9,62440,62519.1,62519.1,62378.5,62117.2
10,62710,62776.1,62776.1,62620.6,62354
11,62930,63033,63033,62862.6,62590.9
12,63290,63290,63290,63104.7,62827.7
1,63780,63711,63742.3,63649,63301.4
2,63950,63948.3,63977.5,63891.1,63538.3
3,64180,64185.5,64212.8,64133.2,63775.2
4,64400,64422.8,64448,64375.3,64012
5,64570,64660,64683.3,64617.3,64248.9
6,64830,64897.2,64918.5,64859.4,64485.7
7,65110,65134.5,65153.8,65101.5,64722.6
8,65350,65371.7,65389,65343.6,64959.4
9,65560,65609,65624.2,65585.6,65196.3
10,65770,65846.2,65859.5,65827.7,65433.2
11,65970,66083.4,66094.7,66069.8,65670
12,66380,66320.7,66330,66311.9,65906.9
1,66650,66557.9,66565.2,66554,66143.7
2,66890,66795.2,66800.5,66796,66380.6
3,67070,67032.4,67035.7,67038.1,66617.5
4,67260,67269.7,67271,67280.2,66854.3
5,67500,67506.9,67506.2,67522.3,67091.2
6,67740,67744.1,67741.5,67764.3,67328
7,67960,67981.4,67976.7,68006.4,67564.9
8,68170,68218.6,68212,68248.5,67801.7
9,68440,68455.9,68447.2,68490.6,68038.6
10,68680,68693.1,68682.5,68732.6,68275.5
11,68880,68930.4,68917.7,68974.7,68512.3
12,69300,69167.6,69153,69216.8,68749.2
1,69780,69658.2,69649.1,69664.2,69222.9
2,69950,69896.6,69888,69902.3,69459.7
3,70200,70134.9,70126.9,70140.5,69696.6
4,70410,70373.3,70365.9,70378.6,69933.5
5,70580,70611.6,70604.8,70616.8,70170.3
6,70800,70850,70843.7,70854.9,70407.2
7,71080,71088.3,71082.6,71093.1,70644
8,71260,71326.6,71321.6,71331.2,70880.9
9,71540,71565,71560.5,71569.4,71117.8
10,71750,71803.3,71799.4,71807.5,71354.6
11,71970,72041.7,72038.4,72045.7,71591.5
12,72280,72280,72277.3,72283.8,71828.3
1,72600,72518.4,72516.2,72522,72065.2
2,72790,72756.7,72755.2,72760.1,72302
3,73000,72995.1,72994.1,72998.3,72538.9
4,73210,73233.4,73233,73236.5,72775.8
5,73440,73471.8,73472,73474.6,73012.6
6,73710,73710.1,73710.9,73712.8,73249.5
7,73930,73948.5,73949.8,73950.9,73486.3
8,74170,74186.8,74188.8,74189.1,73723.2
9,74410,74425.2,74427.7,74427.2,73960
10,74680,74663.5,74666.6,74665.4,74196.9
11,74930,74901.9,74905.6,74903.5,74433.8
12,75200,75140.2,75144.5,75141.7,74670.6
1,75630,75594.8,75604.2,75592.8,75144.3
2,75820,75831.9,75840.7,75829.9,75381.2
3,76090,76069,76077.1,76066.9,75618
4,76310,76306,76313.6,76304,75854.9
5,76510,76543.1,76550.1,76541.1,76091.8
6,76780,76780.1,76786.5,76778.2,76328.6
7,76980,77017.2,77023,77015.3,76565.5
8,77230,77254.3,77259.4,77252.3,76802.3
9,77490,77491.3,77495.9,77489.4,77039.2
10,77690,77728.4,77732.4,77726.5,77276.1
11,77990,77965.4,77968.8,77963.6,77512.9
12,78210,78202.5,78205.3,78200.6,77749.8
1,78480,78439.6,78441.8,78437.7,77986.6
2,78680,78676.6,78678.2,78674.8,78223.5
3,78910,78913.7,78914.7,78911.9,78460.3
4,79130,79150.7,79151.1,79148.9,78697.2
5,79340,79387.8,79387.6,79386,78934.1
6,79610,79624.9,79624.1,79623.1,79170.9
7,79850,79861.9,79860.5,79860.2,79407.8
8,80050,80099,80097,80097.2,79644.6
9,80330,80336,80333.5,80334.3,79881.5
10,80640,80573.1,80569.9,80571.4,80118.3
11,80800,80810.2,80806.4,80808.5,80355.2
12,81110,81047.2,81042.8,81045.5,80592.1
1,81580,81512.2,81515.8,81512.5,81065.8
2,81780,81748.8,81752.3,81749.3,81302.6
3,82030,81985.4,81988.7,81986.1,81539.5
4,82220,82222.1,82225.2,82222.8,81776.4
