Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,94280,94280,94280,94546.9,94280
2,94570,94547.4,94547.4,94793.9,94523.9
3,94770,94814.8,94814.8,95040.8,94767.8
4,95110,95082.2,95082.2,95287.8,95011.8
5,95460,95349.6,95349.6,95534.8,95255.7
6,95710,95617,95617,95781.8,95499.6
7,95990,95884.3,95884.3,96028.7,95743.5
8,96310,96151.7,96151.7,96275.7,95987.4
9,96560,96419.1,96419.1,96522.7,96231.3
10,96730,96686.5,96686.5,96769.7,96475.3
11,96940,96953.9,96953.9,97016.6,96719.2
12,97470,97221.3,97221.3,97263.6,96963.1
1,97580,97488.7,97488.7,97510.6,97207
2,97870,97756.1,97756.1,97757.5,97450.9
3,98100,98023.5,98023.5,98004.5,97694.8
4,98340,98290.9,98290.9,98251.5,97938.8
5,98650,98558.3,98558.3,98498.5,98182.7
7,98880,98825.7,98825.7,98745.4,98426.6
6,98950,99093,99093,98992.4,98670.5
8,99290,99360.4,99360.4,99239.4,98914.4
9,99440,99627.8,99627.8,99486.4,99158.3
10,99800,99895.2,99895.2,99733.3,99402.3
11,100060,100163,100163,99980.3,99646.2
12,100430,100430,100430,100227,99890.1
1,100820,100844,100885,100775,100378
2,101130,101086,101124,101022,100622
3,101310,101328,101363,101269,100866
4,101540,101569,101602,101516,101110
5,101740,101811,101841,101763,101354
6,102080,102053,102080,102010,101598
7,102390,102294,102319,102257,101841
8,102410,102536,102559,102504,102085
9,102640,102778,102798,102751,102329
10,102900,103019,103037,102998,102573
11,103280,103261,103276,103245,102817
12,103530,103503,103515,103492,103061
1,103810,103745,103754,103739,103305
2,104030,103986,103993,103986,103549
3,104250,104228,104232,104233,103793
4,104410,104470,104471,104480,104037
5,104660,104711,104711,104727,104281
6,105000,104953,104950,104974,104525
7,105170,105195,105189,105221,104768
8,105410,105436,105428,105468,105012
9,105660,105678,105667,105715,105256
10,105860,105920,105906,105962,105500
11,106210,106162,106145,106209,105744
12,106530,106403,106384,106456,105988
1,106950,106872,106872,106897,106476
2,107140,107117,107117,107140,106720
3,107330,107362,107362,107383,106964
4,107600,107607,107607,107627,107208
5,107830,107852,107853,107870,107452
6,108090,108098,108098,108113,107695
7,108370,108343,108343,108356,107939
8,108580,108588,108588,108599,108183
9,108810,108833,108833,108842,108427
10,109030,109078,109078,109085,108671
11,109330,109323,109323,109329,108915
12,109550,109568,109569,109572,109159
1,109870,109814,109814,109815,109403
2,110080,110059,110059,110058,109647
3,110320,110304,110304,110301,109891
4,110520,110549,110549,110544,110135
5,110810,110794,110794,110788,110379
6,111070,111039,111039,111031,110622
7,111350,111285,111284,111274,110866
8,111540,111530,111530,111517,111110
9,111720,111775,111775,111760,111354
10,111990,112020,112020,112003,111598
11,112230,112265,112265,112246,111842
12,112530,112510,112510,112490,112086
1,113000,112940,112964,112957,112574
2,113180,113183,113205,113198,112818
3,113380,113426,113447,113439,113062
4,113650,113669,113688,113681,113306
5,113880,113912,113930,113922,113549
6,114150,114154,114171,114163,113793
7,114410,114397,114412,114404,114037
8,114650,114640,114654,114646,114281
9,114880,114883,114895,114887,114525
10,115060,115126,115137,115128,114769
11,115430,115369,115378,115369,115013
12,115590,115612,115619,115611,115257
1,115830,115855,115861,115852,115501
2,116120,116098,116102,116093,115745
3,116340,116341,116343,116334,115989
4,116580,116584,116585,116576,116233
5,116840,116827,116826,116817,116476
6,117050,117070,117068,117058,116720
7,117280,117313,117309,117299,116964
8,117560,117556,117550,117541,117208
9,117750,117798,117792,117782,117452
10,117990,118041,118033,118023,117696
11,118310,118284,118275,118264,117940
12,118640,118527,118516,118506,118184
1,118950,118935,118970,118937,118672
2,119160,119177,119210,119179,118916
3,119400,119420,119451,119420,119160
4,119590,119662,119692,119662,119403
5,119850,119904,119932,119903,119647
6,120070,120147,120173,120144,119891
7,120350,120389,120414,120386,120135
8,120600,120632,120654,120627,120379
9,120890,120874,120895,120869,120623
10,121040,121116,121136,121110,120867
11,121430,121359,121376,121352,121111
12,121640,121601,121617,121593,121355
1,121870,121843,121858,121835,121599
2,122120,122086,122099,122076,121843
3,122350,122328,122339,122318,122087
4,122570,122571,122580,122559,122330
5,122850,122813,122821,122801,122574
6,123060,123055,123061,123042,122818
7,123300,123298,123302,123284,123062
8,123400,123540,123543,123525,123306
9,123720,123783,123783,123767,123550
10,123980,124025,124024,124008,123794
11,124300,124267,124265,124250,124038
12,124650,124510,124505,124491,124282
1,125060,124960,124992,124976,124770
2,125250,125204,125233,125219,125014
3,125500,125447,125473,125461,125257
4,125720,125690,125714,125704,125501
5,125940,125933,125955,125946,125745
6,126120,126177,126196,126188,125989
7,126410,126420,126437,126431,126233
8,126630,126663,126678,126673,126477
9,126880,126906,126919,126916,126721
10,127030,127150,127159,127158,126965
11,127450,127393,127400,127401,127209
12,127600,127636,127641,127643,127453
1,127970,127879,127882,127885,127697
2,128160,128123,128123,128128,127941
3,128430,128366,128364,128370,128184
4,128620,128609,128605,128613,128428
5,128860,128853,128845,128855,128672
6,129090,129096,129086,129097,128916
7,129330,129339,129327,129340,129160
8,129560,129582,129568,129582,129404
9,129800,129826,129809,129825,129648
10,130060,130069,130050,130067,129892
11,130290,130312,130291,130310,130136
12,130580,130555,130531,130552,130380
1,131080,130998,131018,131004,130868
2,131260,131241,131259,131246,131111
3,131510,131483,131501,131489,131355
4,131740,131726,131742,131731,131599
5,131980,131969,131983,131974,131843
6,132170,132212,132224,132217,132087
7,132420,132455,132465,132459,132331
8,132750,132698,132706,132702,132575
9,132910,132941,132947,132944,132819
10,133130,133183,133188,133187,133063
11,133400,133426,133429,133429,133307
12,133620,133669,133670,133672,133551
1,133980,133912,133911,133915,133795
2,134160,134155,134152,134157,134038
3,134440,134398,134393,134400,134282
4,134630,134640,134634,134642,134526
5,134890,134883,134875,134885,134770
6,135130,135126,135116,135127,135014
7,135370,135369,135357,135370,135258
8,135630,135612,135598,135613,135502
9,135830,135855,135839,135855,135746
10,136040,136098,136080,136098,135990
11,136340,136340,136321,136340,136234
12,136630,136583,136562,136583,136478
1,137090,137033,137062,137058,136965
2,137260,137278,137304,137301,137209
3,137520,137523,137546,137544,137453
4,137800,137767,137787,137786,137697
5,138030,138012,138029,138029,137941
6,138270,138257,138270,138272,138185
