Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,28470,28470,28470,28716.1,28470
2,28780,28707.4,28707.4,28937.7,28682.2
3,29010,28944.8,28944.8,29159.3,28894.3
4,29230,29182.2,29182.2,29380.8,29106.5
5,29540,29419.6,29419.6,29602.4,29318.6
6,29760,29657,29657,29824,29530.8
7,30030,29894.3,29894.3,30045.5,29743
8,30200,30131.7,30131.7,30267.1,29955.1
9,30490,30369.1,30369.1,30488.7,30167.3
10,30740,30606.5,30606.5,30710.2,30379.4
11,31030,30843.9,30843.9,30931.8,30591.6
12,31260,31081.3,31081.3,31153.4,30803.7
1,31460,31318.7,31318.7,31375,31015.9
2,31610,31556.1,31556.1,31596.5,31228.1
3,31810,31793.5,31793.5,31818.1,31440.2
4,32080,32030.9,32030.9,32039.7,31652.4
5,32310,32268.3,32268.3,32261.2,31864.5
6,32510,32505.7,32505.7,32482.8,32076.7
7,32790,32743,32743,32704.4,32288.9
8,33050,32980.4,32980.4,32925.9,32501
9,33180,33217.8,33217.8,33147.5,32713.2
10,33420,33455.2,33455.2,33369.1,32925.3
11,33650,33692.6,33692.6,33590.6,33137.5
12,33930,33930,33930,33812.2,33349.6
1,34320,34335.7,34358.9,34268.6,33774
2,34530,34551.9,34573.5,34490.2,33986.1
3,34760,34768,34788.2,34711.8,34198.3
4,34950,34984.2,35002.9,34933.3,34410.4
5,35190,35200.3,35217.5,35154.9,34622.6
6,35400,35416.4,35432.2,35376.5,34834.8
7,35640,35632.6,35646.9,35598,35046.9
8,35840,35848.7,35861.6,35819.6,35259.1
9,36050,36064.9,36076.2,36041.2,35471.2
10,36260,36281,36290.9,36262.7,35683.4
11,36500,36497.2,36505.6,36484.3,35895.5
12,36720,36713.3,36720.2,36705.9,36107.7
1,36940,36929.5,36934.9,36927.5,36319.9
2,37140,37145.6,37149.6,37149,36532
3,37340,37361.8,37364.2,37370.6,36744.2
4,37570,37577.9,37578.9,37592.2,36956.3
5,37820,37794.1,37793.6,37813.7,37168.5
6,38010,38010.2,38008.3,38035.3,37380.7
7,38240,38226.4,38222.9,38256.9,37592.8
8,38440,38442.5,38437.6,38478.4,37805
9,38660,38658.7,38652.3,38700,38017.1
10,38880,38874.8,38866.9,38921.6,38229.3
11,39080,39091,39081.6,39143.1,38441.4
12,39320,39307.1,39296.3,39364.7,38653.6
1,39750,39739.1,39734.7,39717.4,39077.9
2,39970,39955.2,39951,39935.4,39290.1
3,40180,40171.3,40167.4,40153.5,39502.2
4,40370,40387.3,40383.8,40371.5,39714.4
5,40620,40603.4,40600.1,40589.6,39926.6
6,40820,40819.5,40816.5,40807.6,40138.7
7,41040,41035.6,41032.8,41025.7,40350.9
8,41220,41251.7,41249.2,41243.7,40563
9,41480,41467.7,41465.6,41461.8,40775.2
10,41690,41683.8,41681.9,41679.9,40987.3
11,41890,41899.9,41898.3,41897.9,41199.5
12,42120,42116,42114.7,42116,41411.7
1,42360,42332.1,42331,42334,41623.8
2,42560,42548.1,42547.4,42552.1,41836
3,42730,42764.2,42763.7,42770.1,42048.1
4,42970,42980.3,42980.1,42988.2,42260.3
5,43200,43196.4,43196.5,43206.3,42472.5
6,43410,43412.5,43412.8,43424.3,42684.6
7,43650,43628.5,43629.2,43642.4,42896.8
8,43850,43844.6,43845.5,43860.4,43108.9
9,44030,44060.7,44061.9,44078.5,43321.1
10,44260,44276.8,44278.3,44296.5,43533.2
11,44490,44492.8,44494.6,44514.6,43745.4
12,44740,44708.9,44711,44732.6,43957.6
1,45170,45145.4,45145.5,45112.6,44381.9
2,45390,45359.2,45359.2,45329.2,44594
3,45600,45572.9,45573,45545.8,44806.2
4,45760,45786.6,45786.7,45762.4,45018.4
5,46010,46000.3,46000.4,45979.1,45230.5
6,46220,46214.1,46214.1,46195.7,45442.7
7,46420,46427.8,46427.8,46412.3,45654.8
