Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,410,410,410,564.239,410
2,640,648.696,648.696,789.921,632.897
3,920,887.391,887.391,1015.6,855.793
4,1130,1126.09,1126.09,1241.29,1078.69
5,1380,1364.78,1364.78,1466.97,1301.59
6,1610,1603.48,1603.48,1692.65,1524.48
7,1840,1842.17,1842.17,1918.33,1747.38
8,2090,2080.87,2080.87,2144.01,1970.28
9,2320,2319.57,2319.57,2369.7,2193.17
10,2560,2558.26,2558.26,2595.38,2416.07
11,2800,2796.96,2796.96,2821.06,2638.97
12,3080,3035.65,3035.65,3046.74,2861.86
1,3330,3274.35,3274.35,3272.42,3084.76
2,3600,3513.04,3513.04,3498.11,3307.66
3,3820,3751.74,3751.74,3723.79,3530.55
4,4020,3990.43,3990.43,3949.47,3753.45
5,4210,4229.13,4229.13,4175.15,3976.35
6,4460,4467.83,4467.83,4400.84,4199.24
7,4700,4706.52,4706.52,4626.52,4422.14
8,4930,4945.22,4945.22,4852.2,4645.04
9,5120,5183.91,5183.91,5077.88,4867.93
10,5340,5422.61,5422.61,5303.56,5090.83
11,5620,5661.3,5661.3,5529.25,5313.73
12,5900,5900,5900,5754.93,5536.62
1,6280,6318.49,6338.27,6289.66,5982.42
2,6540,6542.02,6560.54,6515.34,6205.31
3,6760,6765.55,6782.8,6741.02,6428.21
4,6930,6989.07,7005.06,6966.7,6651.11
5,7150,7212.6,7227.33,7192.38,6874
6,7440,7436.13,7449.59,7418.07,7096.9
7,7660,7659.65,7671.86,7643.75,7319.8
8,7880,7883.18,7894.12,7869.43,7542.69
9,8110,8106.71,8116.39,8095.11,7765.59
10,8320,8330.23,8338.65,8320.79,7988.49
11,8530,8553.76,8560.91,8546.48,8211.38
12,8820,8777.29,8783.18,8772.16,8434.28
1,9040,9000.82,9005.44,8997.84,8657.18
2,9290,9224.34,9227.71,9223.52,8880.07
3,9510,9447.87,9449.97,9449.21,9102.97
4,9710,9671.4,9672.23,9674.89,9325.87
5,9850,9894.92,9894.5,9900.57,9548.76
6,10090,10118.5,10116.8,10126.3,9771.66
7,10310,10342,10339,10351.9,9994.56
8,10540,10565.5,10561.3,10577.6,10217.5
9,10770,10789,10783.6,10803.3,10440.3
10,10990,11012.6,11005.8,11029,10663.2
11,11220,11236.1,11228.1,11254.7,10886.1
12,11500,11459.6,11450.3,11480.3,11109
1,11920,11889.3,11892.1,11886.8,11554.8
2,12150,12108.8,12111.4,12106.5,11777.7
3,12350,12328.3,12330.7,12326.2,12000.6
4,12530,12547.8,12550,12545.9,12223.5
5,12770,12767.2,12769.3,12765.6,12446.4
6,12970,12986.7,12988.6,12985.3,12669.3
7,13200,13206.2,13207.9,13205,12892.2
8,13370,13425.6,13427.2,13424.7,13115.1
9,13580,13645.1,13646.5,13644.4,13338
10,13840,13864.6,13865.7,13864.1,13560.9
11,14050,14084.1,14085,14083.8,13783.8
12,14290,14303.5,14304.3,14303.5,14006.7
1,14580,14523,14523.6,14523.2,14229.6
2,14780,14742.5,14742.9,14742.9,14452.5
3,15010,14961.9,14962.2,14962.6,14675.4
4,15200,15181.4,15181.5,15182.3,14898.3
5,15400,15400.9,15400.8,15402,15121.2
6,15600,15620.4,15620.1,15621.7,15344.1
7,15840,15839.8,15839.4,15841.4,15567
8,16080,16059.3,16058.7,16061.1,15789.9
9,16290,16278.8,16278,16280.8,16012.8
10,16470,16498.2,16497.3,16500.5,16235.7
11,16710,16717.7,16716.6,16720.2,16458.6
12,16940,16937.2,16935.9,16939.9,16681.5
1,17340,17335.3,17349.6,17341.8,17127.2
2,17560,17553.3,17566.7,17559.1,17350.1
3,17760,17771.4,17783.8,17776.4,17573
4,17940,17989.4,18000.9,17993.6,17795.9
5,18210,18207.4,18218,18210.9,18018.8
6,18410,18425.4,18435.2,18428.2,18241.7
7,18630,18643.5,18652.3,18645.4,18464.6
8,18860,18861.5,18869.4,18862.7,18687.5
9,19070,19079.5,19086.5,19080,18910.4
10,19290,19297.5,19303.6,19297.2,19133.3
11,19520,19515.6,19520.7,19514.5,19356.2
12,19750,19733.6,19737.8,19731.8,19579.1
