Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,-27.2727,-27.2727,-27.2727,176.739,-27.2727
2,220,220,220,406.199,192.468
3,500,467.273,467.273,635.659,412.208
4,760,714.545,714.545,865.119,631.949
5,1000,961.818,961.818,1094.58,851.69
6,1280,1209.09,1209.09,1324.04,1071.43
7,1550,1456.36,1456.36,1553.5,1291.17
8,1740,1703.64,1703.64,1782.96,1510.91
9,2030,1950.91,1950.91,2012.42,1730.65
10,2250,2198.18,2198.18,2241.88,1950.39
11,2480,2445.45,2445.45,2471.34,2170.13
12,2660,2692.73,2692.73,2700.8,2389.87
1,2980,2940,2940,2930.26,2609.61
2,3200,3187.27,3187.27,3159.72,2829.35
3,3410,3434.55,3434.55,3389.18,3049.1
4,3700,3681.82,3681.82,3618.64,3268.84
5,3940,3929.09,3929.09,3848.1,3488.58
6,4180,4176.36,4176.36,4077.56,3708.32
7,4430,4423.64,4423.64,4307.02,3928.06
8,4680,4670.91,4670.91,4536.48,4147.8
9,4730,4918.18,4918.18,4765.94,4367.54
10,4940,5165.45,5165.45,4995.4,4587.28
11,5280,5412.73,5412.73,5224.86,4807.02
12,5660,5660,5660,5454.32,5026.76
1,6110,6051.19,6085.96,5993.71,5466.24
2,6290,6276.27,6308.82,6223.17,5685.98
3,6470,6501.35,6531.68,6452.63,5905.72
4,6690,6726.43,6754.54,6682.09,6125.46
5,6910,6951.51,6977.4,6911.55,6345.2
6,7140,7176.59,7200.26,7141.01,6564.94
7,7380,7401.67,7423.12,7370.47,6784.69
8,7550,7626.75,7645.98,7599.93,7004.43
9,7820,7851.83,7868.84,7829.39,7224.17
10,8030,8076.91,8091.7,8058.85,7443.91
11,8290,8301.99,8314.56,8288.31,7663.65
12,8630,8527.07,8537.42,8517.77,7883.39
1,8780,8752.15,8760.28,8747.23,8103.13
2,8970,8977.23,8983.14,8976.69,8322.87
3,9110,9202.31,9206,9206.15,8542.61
4,9370,9427.39,9428.86,9435.61,8762.35
5,9620,9652.47,9651.72,9665.07,8982.09
6,9880,9877.55,9874.58,9894.53,9201.83
7,10140,10102.6,10097.4,10124,9421.57
8,10370,10327.7,10320.3,10353.5,9641.31
9,10510,10552.8,10543.2,10582.9,9861.05
10,10750,10777.9,10766,10812.4,10080.8
11,11070,11003,10988.9,11041.8,10300.5
12,11300,11228,11211.7,11271.3,10520.3
1,11700,11657.4,11660.3,11686.9,10959.8
2,11920,11885.2,11888,11912.3,11179.5
3,12080,12113.1,12115.7,12137.8,11399.2
4,12340,12341,12343.4,12363.3,11619
5,12560,12568.9,12571.1,12588.7,11838.7
6,12810,12796.8,12798.8,12814.2,12058.5
7,13050,13024.7,13026.5,13039.6,12278.2
8,13270,13252.6,13254.2,13265.1,12497.9
9,13490,13480.5,13482,13490.5,12717.7
10,13730,13708.4,13709.7,13716,12937.4
11,14000,13936.3,13937.4,13941.4,13157.2
12,14180,14164.2,14165.1,14166.9,13376.9
1,14400,14392.1,14392.8,14392.3,13596.6
2,14480,14620,14620.5,14617.8,13816.4
3,14750,14847.9,14848.2,14843.2,14036.1
4,15020,15075.8,15075.9,15068.7,14255.9
5,15280,15303.7,15303.6,15294.1,14475.6
6,15530,15531.6,15531.4,15519.6,14695.3
7,15780,15759.5,15759.1,15745,14915.1
8,16000,15987.4,15986.8,15970.5,15134.8
9,16210,16215.3,16214.5,16195.9,15354.6
10,16520,16443.2,16442.2,16421.4,15574.3
11,16700,16671.1,16669.9,16646.8,15794
12,16910,16899,16897.6,16872.3,16013.8
1,17260,17274.4,17304.9,17298.3,16453.3
2,17500,17502.7,17531.2,17524.2,16673
3,17670,17731,17757.6,17750.1,16892.8
4,17920,17959.3,17983.9,17976,17112.5
5,18150,18187.6,18210.3,18201.9,17332.2
6,18400,18415.8,18436.6,18427.8,17552
7,18650,18644.1,18662.9,18653.7,17771.7
8,18870,18872.4,18889.3,18879.7,17991.5
9,19140,19100.7,19115.6,19105.6,18211.2
10,19400,19329,19342,19331.5,18430.9
11,19610,19557.3,19568.3,19557.4,18650.7
12,19810,19785.6,19794.7,19783.3,18870.4
1,20030,20013.9,20021,20009.2,19090.2
2,20210,20242.2,20247.3,20235.1,19309.9
3,20420,20470.5,20473.7,20461,19529.6
4,20630,20698.7,20700,20686.9,19749.4
5,20940,20927,20926.4,20912.8,19969.1
6,21150,21155.3,21152.7,21138.8,20188.9
7,21410,21383.6,21379.1,21364.7,20408.6
8,21600,21611.9,21605.4,21590.6,20628.3
9,21800,21840.2,21831.8,21816.5,20848.1
10,22070,22068.5,22058.1,22042.4,21067.8
11,22330,22296.8,22284.4,22268.3,21287.6
12,22540,22525.1,22510.8,22494.2,21507.3
1,22950,22923.1,22963.9,22961.2,21946.8
2,23150,23152.6,23190.3,23187.7,22166.5
3,23360,23382.1,23416.7,23414.2,22386.3
4,23590,23611.6,23643.2,23640.8,22606
5,23830,23841.1,23869.6,23867.3,22825.7
6,24080,24070.6,24096,24093.8,23045.5
7,24320,24300.2,24322.5,24320.4,23265.2
8,24590,24529.7,24548.9,24546.9,23485
9,24770,24759.2,24775.3,24773.4,23704.7
10,25000,24988.7,25001.8,24999.9,23924.5
11,25270,25218.2,25228.2,25226.5,24144.2
12,25440,25447.7,25454.6,25453,24363.9
1,25660,25677.2,25681.1,25679.5,24583.7
2,25920,25906.7,25907.5,25906,24803.4
3,26130,26136.2,26133.9,26132.6,25023.2
4,26380,26365.7,26360.4,26359.1,25242.9
5,26620,26595.2,26586.8,26585.6,25462.6
6,26820,26824.7,26813.3,26812.1,25682.4
7,27080,27054.2,27039.7,27038.7,25902.1
8,27260,27283.7,27266.1,27265.2,26121.9
9,27470,27513.2,27492.6,27491.7,26341.6
10,27770,27742.7,27719,27718.3,26561.3
11,27960,27972.2,27945.4,27944.8,26781.1
12,28170,28201.7,28171.9,28171.3,27000.8
1,28570,28583.4,28617.9,28613,27440.3
2,28820,28812.2,28844.2,28839.2,27660
3,29000,29041.1,29070.5,29065.3,27879.8
4,29290,29269.9,29296.9,29291.5,28099.5
5,29500,29498.7,29523.2,29517.6,28319.3
6,29730,29727.5,29749.5,29743.8,28539
7,29980,29956.4,29975.9,29969.9,28758.7
8,30180,30185.2,30202.2,30196.1,28978.5
9,30440,30414,30428.5,30422.2,29198.2
10,30690,30642.8,30654.8,30648.4,29418
11,30880,30871.7,30881.2,30874.5,29637.7
12,31120,31100.5,31107.5,31100.7,29857.4
1,31270,31329.3,31333.8,31326.8,30077.2
2,31530,31558.1,31560.2,31553,30296.9
3,31730,31787,31786.5,31779.1,30516.7
4,31990,32015.8,32012.8,32005.3,30736.4
5,32230,32244.6,32239.2,32231.4,30956.1
6,32450,32473.4,32465.5,32457.6,31175.9
7,32740,32702.3,32691.8,32683.7,31395.6
8,32950,32931.1,32918.2,32909.9,31615.4
9,33140,33159.9,33144.5,33136,31835.1
10,33370,33388.7,33370.8,33362.2,32054.9
11,33670,33617.6,33597.2,33588.3,32274.6
12,33860,33846.4,33823.5,33814.5,32494.3
1,34310,34233.3,34269.8,34262.3,32933.8
2,34460,34462.1,34496,34488.7,33153.6
3,34650,34690.9,34722.2,34715,33373.3
4,34860,34919.7,34948.5,34941.3,33593
5,35110,35148.5,35174.7,35167.6,33812.8
6,35320,35377.3,35400.9,35393.9,34032.5
7,35620,35606.2,35627.2,35620.2,34252.3
8,35840,35835,35853.4,35846.6,34472
9,36110,36063.8,36079.6,36072.9,34691.7
10,36340,36292.6,36305.9,36299.2,34911.5
11,36570,36521.4,36532.1,36525.5,35131.2
12,36770,36750.2,36758.4,36751.8,35351
1,37050,36979.1,36984.6,36978.2,35570.7
2,37220,37207.9,37210.8,37204.5,35790.4
3,37390,37436.7,37437.1,37430.8,36010.2
4,37630,37665.5,37663.3,37657.1,36229.9
5,37870,37894.3,37889.5,37883.4,36449.7
6,38090,38123.1,38115.8,38109.8,36669.4
7,38350,38352,38342,38336.1,36889.1
8,38570,38580.8,38568.3,38562.4,37108.9
9,38790,38809.6,38794.5,38788.7,37328.6
10,39040,39038.4,39020.7,39015,37548.4
11,39310,39267.2,39247,39241.3,37768.1
12,39490,39496,39473.2,39467.7,37987.8
1,39960,39893.2,39922.6,39915.9,38427.3
2,40160,40121.4,40148.8,40142.4,38647.1
3,40340,40349.6,40375,40368.9,38866.8
4,40570,40577.7,40601.1,40595.4,39086.6
