Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,121800,121800,121800,121940,121800
2,122020,122047,122047,122170,122021
3,122170,122293,122293,122400,122241
4,122460,122540,122540,122630,122462
5,122660,122786,122786,122860,122683
6,122960,123033,123033,123090,122904
7,123300,123279,123279,123320,123124
8,123530,123526,123526,123550,123345
9,123780,123772,123772,123780,123566
10,124040,124019,124019,124010,123787
11,124270,124265,124265,124240,124007
12,124720,124512,124512,124470,124228
1,124740,124758,124758,124700,124449
2,124940,125005,125005,124930,124670
3,125210,125251,125251,125160,124890
4,125430,125498,125498,125390,125111
5,125640,125744,125744,125620,125332
6,125820,125991,125991,125849,125552
7,126100,126237,126237,126079,125773
8,126390,126484,126484,126309,125994
9,126670,126730,126730,126539,126215
10,126820,126977,126977,126769,126435
11,127090,127223,127223,126999,126656
12,127470,127470,127470,127229,126877
1,127870,127836,127879,127752,127318
2,128070,128059,128099,127982,127539
3,128250,128283,128320,128212,127760
4,128470,128506,128541,128442,127981
5,128670,128730,128762,128672,128201
6,128870,128953,128982,128902,128422
7,129130,129177,129203,129132,128643
8,129400,129400,129424,129362,128864
9,129560,129624,129645,129592,129084
10,129720,129847,129865,129822,129305
11,130070,130071,130086,130052,129526
12,130370,130294,130307,130282,129746
1,130580,130518,130528,130512,129967
2,130790,130741,130748,130742,130188
3,130990,130965,130969,130972,130409
4,131220,131188,131190,131202,130629
5,131390,131412,131411,131432,130850
6,131580,131635,131631,131662,131071
7,131840,131859,131852,131892,131292
8,132060,132082,132073,132122,131512
9,132300,132306,132294,132352,131733
10,132470,132529,132514,132582,131954
11,132750,132753,132735,132812,132175
12,133110,132976,132956,133042,132395
1,133530,133451,133437,133435,132837
2,133720,133675,133662,133661,133057
3,133950,133899,133887,133887,133278
4,134120,134123,134112,134113,133499
5,134310,134347,134337,134339,133720
6,134550,134571,134562,134565,133940
7,134820,134795,134787,134791,134161
8,135040,135019,135012,135017,134382
9,135210,135243,135237,135243,134603
10,135380,135467,135462,135468,134823
11,135680,135691,135686,135694,135044
12,135930,135915,135911,135920,135265
1,136190,136139,136136,136146,135486
2,136420,136363,136361,136372,135706
3,136610,136587,136586,136598,135927
4,136860,136811,136811,136824,136148
5,137010,137035,137036,137050,136368
6,137250,137260,137261,137276,136589
7,137490,137484,137486,137502,136810
8,137750,137708,137710,137728,137031
9,137960,137932,137935,137954,137251
10,138060,138156,138160,138180,137472
11,138320,138380,138385,138406,137693
12,138640,138604,138610,138632,137914
1,139170,139086,139077,139061,138355
2,139360,139309,139300,139285,138576
3,139550,139531,139523,139510,138797
4,139770,139753,139746,139735,139017
5,139960,139976,139969,139959,139238
6,140200,140198,140192,140184,139459
7,140390,140420,140415,140409,139680
8,140620,140643,140638,140634,139900
9,140810,140865,140860,140858,140121
10,141010,141088,141083,141083,140342
11,141290,141310,141306,141308,140562
12,141500,141532,141529,141533,140783
1,141800,141755,141752,141757,141004
2,142000,141977,141975,141982,141225
3,142170,142199,142198,142207,141445
4,142410,142422,142421,142432,141666
5,142640,142644,142644,142656,141887
6,142900,142866,142867,142881,142108
7,143120,143089,143090,143106,142328
8,143340,143311,143313,143331,142549
9,143520,143534,143536,143555,142770
10,143750,143756,143759,143780,142991
11,143990,143978,143982,144005,143211
12,144210,144201,144205,144229,143432
1,144700,144670,144654,144641,143873
2,144890,144892,144877,144866,144094
3,145140,145114,145100,145090,144315
4,145330,145336,145323,145314,144536
5,145520,145558,145546,145539,144756
6,145800,145780,145769,145763,144977
7,145970,146002,145992,145987,145198
8,146210,146224,146215,146212,145419
9,146390,146446,146438,146436,145639
10,146570,146668,146661,146660,145860
11,146910,146891,146884,146884,146081
12,147100,147113,147107,147109,146302
1,147360,147335,147330,147333,146522
2,147580,147557,147553,147557,146743
3,147780,147779,147776,147782,146964
4,147990,148001,147999,148006,147184
5,148210,148223,148222,148230,147405
6,148460,148445,148446,148454,147626
7,148700,148667,148669,148679,147847
8,148920,148889,148892,148903,148067
9,149090,149112,149115,149127,148288
10,149300,149334,149338,149352,148509
11,149530,149556,149561,149576,148730
12,149850,149778,149784,149800,148950
1,150230,150248,150238,150236,149392
2,150430,150471,150461,150460,149613
3,150720,150694,150684,150683,149833
4,150890,150917,150908,150907,150054
5,151130,151140,151131,151131,150275
6,151390,151363,151354,151355,150495
7,151590,151586,151577,151579,150716
8,151830,151809,151801,151803,150937
9,152010,152032,152024,152027,151158
10,152190,152255,152247,152251,151378
11,152460,152478,152471,152475,151599
12,152680,152701,152694,152698,151820
1,152960,152924,152917,152922,152041
2,153150,153147,153140,153146,152261
3,153390,153370,153364,153370,152482
4,153580,153594,153587,153594,152703
5,153800,153817,153810,153818,152924
6,154050,154040,154034,154042,153144
7,154280,154263,154257,154266,153365
8,154520,154486,154480,154490,153586
9,154720,154709,154703,154713,153807
10,154930,154932,154927,154937,154027
11,155130,155155,155150,155161,154248
12,155390,155378,155373,155385,154469
1,155850,155827,155809,155794,154910
2,156040,156048,156032,156018,155131
3,156290,156270,156255,156242,155352
4,156460,156491,156478,156465,155572
5,156670,156712,156701,156689,155793
6,156920,156934,156924,156913,156014
7,157110,157155,157147,157136,156235
8,157350,157377,157370,157360,156455
9,157540,157598,157593,157583,156676
10,157760,157820,157816,157807,156897
11,158050,158041,158039,158031,157118
12,158250,158263,158262,158254,157338
1,158490,158484,158485,158478,157559
2,158700,158706,158708,158702,157780
3,158930,158927,158931,158925,158000
4,159170,159149,159154,159149,158221
5,159340,159370,159377,159373,158442
6,159590,159591,159600,159596,158663
7,159810,159813,159823,159820,158883
8,160060,160034,160046,160044,159104
9,160240,160256,160269,160267,159325
10,160490,160477,160492,160491,159546
11,160710,160699,160715,160715,159766
12,160970,160920,160938,160938,159987
1,161440,161386,161382,161371,160429
2,161620,161608,161605,161595,160649
3,161840,161831,161828,161819,160870
4,162040,162053,162051,162042,161091
5,162270,162276,162274,162266,161311
6,162510,162499,162496,162490,161532
7,162680,162721,162719,162713,161753
8,162920,162944,162942,162937,161974
9,163080,163166,163165,163161,162194
10,163300,163389,163388,163385,162415
11,163610,163612,163611,163608,162636
12,163850,163834,163834,163832,162857
1,164090,164057,164057,164056,163077
2,164300,164279,164280,164279,163298
3,164520,164502,164503,164503,163519
4,164720,164724,164726,164727,163740
5,164950,164947,164949,164950,163960
6,165170,165170,165172,165174,164181
7,165400,165392,165395,165398,164402
8,165610,165615,165618,165621,164623
9,165810,165837,165841,165845,164843
10,166040,166060,166064,166069,165064
11,166310,166283,166286,166292,165285
12,166570,166505,166509,166516,165505
1,166990,166953,166947,166924,165947
2,167170,167175,167170,167148,166168
3,167430,167397,167392,167372,166388
4,167580,167619,167615,167596,166609
5,167810,167842,167838,167821,166830
6,168030,168064,168060,168045,167051
7,168240,168286,168283,168269,167271
8,168470,168508,168506,168493,167492
9,168690,168730,168729,168717,167713
10,168880,168952,168951,168941,167934
11,169140,169174,169174,169165,168154
12,169410,169396,169397,169390,168375
1,169640,169619,169620,169614,168596
2,169850,169841,169842,169838,168816
3,170060,170063,170065,170062,169037
4,170290,170285,170288,170286,169258
5,170530,170507,170510,170510,169479
6,170720,170729,170733,170734,169699
7,170950,170951,170956,170959,169920
8,171200,171173,171179,171183,170141
9,171420,171395,171401,171407,170362
10,171610,171618,171624,171631,170582
11,171830,171840,171847,171855,170803
12,172100,172062,172070,172079,171024
1,172600,172534,172528,172517,171465
2,172760,172757,172751,172742,171686
3,173030,172981,172974,172967,171907
4,173200,173204,173197,173192,172127
5,173430,173427,173420,173416,172348
6,173680,173650,173643,173641,172569
7,173870,173873,173866,173866,172790
8,174110,174096,174089,174091,173010
9,174290,174319,174312,174315,173231
10,174490,174542,174535,174540,173452
11,174740,174765,174758,174765,173673
12,174960,174988,174981,174990,173893
1,175200,175211,175204,175214,174114
2,175390,175434,175428,175439,174335
3,175650,175657,175651,175664,174556
4,175890,175880,175874,175889,174776
5,176070,176103,176097,176113,174997
6,176350,176327,176320,176338,175218
7,176570,176550,176543,176563,175439
8,176820,176773,176766,176788,175659
9,176980,176996,176989,177012,175880
10,177260,177219,177212,177237,176101
11,177440,177442,177435,177462,176321
12,177670,177665,177658,177687,176542
1,178180,178128,178114,178111,176984
2,178360,178351,178338,178335,177204
3,178610,178574,178561,178560,177425
4,178800,178797,178784,178784,177646
5,179000,179019,179008,179008,177867
6,179250,179242,179231,179232,178087
7,179450,179465,179454,179457,178308
8,179670,179688,179678,179681,178529
9,179830,179911,179901,179905,178750
10,180060,180133,180124,180129,178970
11,180330,180356,180348,180354,179191
12,180590,180579,180571,180578,179412
1,180850,180802,180794,180802,179632
2,181040,181025,181018,181026,179853
3,181250,181247,181241,181251,180074
4,181480,181470,181464,181475,180295
5,181710,181693,181688,181699,180515
6,181930,181916,181911,181923,180736
7,182160,182138,182134,182148,180957
8,182360,182361,182358,182372,181178
9,182530,182584,182581,182596,181398
10,182780,182807,182804,182820,181619
11,183020,183030,183028,183045,181840
12,183320,183252,183251,183269,182061
1,183740,183708,183698,183687,182502
2,183900,183931,183921,183911,182723
3,184150,184154,184144,184136,182943
4,184340,184376,184368,184360,183164
5,184590,184599,184591,184584,183385
6,184840,184821,184814,184808,183606
7,185040,185044,185038,185033,183826
8,185250,185267,185261,185257,184047
9,185460,185489,185484,185481,184268
10,185680,185712,185708,185705,184489
11,185890,185934,185931,185929,184709
12,186150,186157,186154,186154,184930
1,186440,186380,186377,186378,185151
2,186600,186602,186601,186602,185372
3,186840,186825,186824,186826,185592
4,187050,187048,187047,187051,185813
5,187300,187270,187271,187275,186034
6,187500,187493,187494,187499,186255
7,187720,187715,187717,187723,186475
8,187950,187938,187941,187948,186696
9,188160,188161,188164,188172,186917
10,188350,188383,188387,188396,187137
11,188580,188606,188611,188620,187358
12,188860,188828,188834,188845,187579
1,189350,189293,189282,189271,188020
2,189510,189515,189506,189495,188241
3,189770,189738,189729,189720,188462
4,189960,189960,189952,189944,188683
5,190210,190183,190176,190169,188903
6,190430,190405,190399,190393,189124
7,190610,190628,190622,190618,189345
8,190830,190851,190846,190842,189566
9,191060,191073,191069,191067,189786
10,191230,191296,191292,191291,190007
11,191480,191518,191516,191516,190228
12,191700,191741,191739,191740,190448
1,191960,191963,191962,191965,190669
2,192170,192186,192186,192189,190890
3,192420,192408,192409,192414,191111
4,192650,192631,192632,192638,191331
5,192880,192853,192856,192863,191552
6,193080,193076,193079,193087,191773
7,193300,193299,193302,193312,191994
8,193520,193521,193526,193536,192214
9,193720,193744,193749,193761,192435
10,193960,193966,193972,193985,192656
11,194210,194189,194196,194210,192877
12,194450,194411,194419,194434,193097
1,194890,194869,194869,194858,193539
2,195090,195093,195093,195082,193759
3,195300,195317,195316,195307,193980
4,195510,195540,195540,195531,194201
5,195760,195764,195763,195756,194422
6,196010,195988,195987,195981,194642
7,196200,196212,196210,196205,194863
8,196420,196436,196434,196430,195084
9,196620,196660,196657,196655,195305
10,196850,196883,196881,196879,195525
11,197080,197107,197104,197104,195746
12,197320,197331,197328,197329,195967
1,197620,197555,197551,197553,196188
2,197830,197779,197775,197778,196408
3,197970,198003,197998,198002,196629
4,198200,198227,198222,198227,196850
5,198430,198450,198445,198452,197070
6,198670,198674,198669,198676,197291
7,198910,198898,198892,198901,197512
8,199110,199122,199115,199126,197733
9,199330,199346,199339,199350,197953
10,199580,199570,199562,199575,198174
11,199820,199793,199786,199799,198395
12,200060,200017,200009,200024,198616
1,200540,200470,200461,200457,199057
2,200700,200693,200684,200682,199278
3,200910,200916,200908,200906,199499
4,201150,201140,201131,201130,199719
5,201350,201363,201355,201354,199940
6,201580,201586,201579,201578,200161
7,201760,201809,201802,201802,200382
8,202000,202033,202026,202026,200602
9,202210,202256,202250,202251,200823
10,202440,202479,202473,202475,201044
11,202680,202702,202697,202699,201264
12,202890,202926,202920,202923,201485
1,203190,203149,203144,203147,201706
2,203400,203372,203368,203371,201927
3,203570,203596,203591,203595,202147
4,203830,203819,203815,203819,202368
5,204030,204042,204038,204044,202589
6,204270,204265,204262,204268,202810
7,204480,204489,204486,204492,203030
8,204740,204712,204709,204716,203251
9,204920,204935,204933,204940,203472
10,205160,205159,205156,205164,203693
11,205400,205382,205380,205388,203913
12,205640,205605,205604,205613,204134
1,206100,206051,206039,206036,204575
2,206270,206273,206262,206258,204796
3,206490,206495,206486,206481,205017
4,206710,206716,206709,206704,205238
5,206920,206938,206932,206927,205458
6,207180,207160,207155,207150,205679
7,207320,207382,207379,207373,205900
8,207570,207604,207602,207596,206121
9,207790,207826,207825,207819,206341
10,208030,208048,208048,208042,206562
11,208280,208269,208272,208264,206783
12,208490,208491,208495,208487,207004
1,208720,208713,208718,208710,207224
2,208920,208935,208941,208933,207445
3,209150,209157,209165,209156,207666
4,209390,209379,209388,209379,207886
5,209610,209601,209611,209602,208107
6,209810,209823,209834,209825,208328
7,210020,210044,210058,210048,208549
8,210250,210266,210281,210270,208769
9,210460,210488,210504,210493,208990
10,210700,210710,210727,210716,209211
11,210980,210932,210951,210939,209432
12,211210,211154,211174,211162,209652
1,211640,211589,211592,211574,210094
2,211830,211811,211815,211797,210315
3,212030,212032,212037,212019,210535
4,212260,212254,212260,212241,210756
5,212470,212475,212482,212463,210977
6,212650,212697,212704,212686,211198
7,212840,212918,212927,212908,211418
8,213060,213140,213149,213130,211639
9,213280,213361,213372,213352,211860
10,213520,213583,213594,213575,212080
11,213850,213804,213817,213797,212301
12,214070,214026,214039,214019,212522
1,214260,214248,214262,214242,212743
2,214450,214469,214484,214464,212963
3,214650,214691,214707,214686,213184
4,214900,214912,214929,214908,213405
5,215130,215134,215152,215131,213626
6,215320,215355,215374,215353,213846
7,215570,215577,215597,215575,214067
8,215820,215798,215819,215797,214288
9,215990,216020,216042,216020,214509
10,216240,216241,216264,216242,214729
11,216520,216463,216487,216464,214950
12,216780,216684,216709,216687,215171
1,217170,217123,217130,217106,215612
2,217340,217344,217352,217328,215833
3,217580,217565,217574,217551,216054
4,217750,217787,217795,217773,216274
5,217990,218008,218017,217996,216495
6,218210,218229,218239,218218,216716
7,218400,218451,218461,218441,216937
8,218610,218672,218683,218663,217157
9,218850,218893,218905,218885,217378
10,219040,219114,219126,219108,217599
11,219310,219336,219348,219330,217820
12,219590,219557,219570,219553,218040
1,219840,219778,219792,219775,218261
2,220040,220000,220014,219997,218482
3,220210,220221,220235,220220,218702
4,220450,220442,220457,220442,218923
5,220680,220664,220679,220665,219144
6,220890,220885,220901,220887,219365
7,221140,221106,221123,221109,219585
8,221340,221328,221345,221332,219806
9,221510,221549,221566,221554,220027
10,221770,221770,221788,221777,220248
11,221980,221992,222010,221999,220468
12,222240,222213,222232,222221,220689
1,222770,222662,222663,222654,221131
2,222950,222883,222885,222876,221351
3,223150,223104,223106,223097,221572
4,223350,223325,223328,223319,221793
5,223540,223545,223549,223540,222014
6,223740,223766,223771,223762,222234
7,223900,223987,223992,223983,222455
8,224130,224208,224213,224205,222676
9,224330,224429,224435,224427,222896
10,224550,224650,224656,224648,223117
11,224860,224871,224878,224870,223338
12,225070,225091,225099,225091,223559
1,225360,225312,225321,225313,223779
2,225560,225533,225542,225534,224000
3,225780,225754,225764,225756,224221
4,225990,225975,225985,225978,224442
5,226240,226196,226206,226199,224662
6,226400,226417,226428,226421,224883
7,226640,226637,226649,226642,225104
8,226870,226858,226871,226864,225325
9,227060,227079,227092,227085,225545
10,227310,227300,227314,227307,225766
11,227530,227521,227535,227529,225987
12,227770,227742,227757,227750,226207
1,228180,228172,228174,228151,226649
2,228400,228391,228394,228372,226870
3,228650,228611,228615,228593,227090
4,228820,228831,228836,228814,227311
5,229030,229051,229057,229035,227532
6,229250,229271,229277,229257,227753
7,229400,229490,229498,229478,227973
8,229650,229710,229719,229699,228194
9,229900,229930,229939,229920,228415
10,230090,230150,230160,230141,228636
11,230370,230369,230381,230362,228856
12,230590,230589,230602,230583,229077
1,230840,230809,230822,230804,229298
2,231060,231029,231043,231025,229518
3,231240,231249,231264,231247,229739
4,231470,231468,231484,231468,229960
5,231700,231688,231705,231689,230181
6,231910,231908,231926,231910,230401
7,232140,232128,232147,232131,230622
8,232340,232347,232367,232352,230843
9,232580,232567,232588,232573,231064
10,232770,232787,232809,232794,231284
11,232990,233007,233030,233015,231505
12,233280,233227,233250,233237,231726
1,233710,233670,233682,233658,232167
2,233910,233891,233902,233880,232388
3,234130,234112,234123,234102,232609
4,234320,234333,234343,234323,232830
5,234540,234553,234563,234545,233050
6,234740,234774,234784,234767,233271
7,234960,234995,235004,234989,233492
8,235180,235216,235225,235211,233712
9,235410,235437,235445,235433,233933
10,235620,235658,235666,235655,234154
11,235910,235879,235886,235876,234375
12,236090,236100,236107,236098,234595
1,236350,236321,236327,236320,234816
2,236550,236542,236548,236542,235037
3,236750,236762,236768,236764,235258
4,236970,236983,236989,236986,235478
5,237240,237204,237209,237208,235699
6,237420,237425,237430,237429,235920
7,237640,237646,237650,237651,236141
8,237860,237867,237871,237873,236361
9,238070,238088,238091,238095,236582
10,238310,238309,238312,238317,236803
11,238540,238530,238532,238539,237023
12,238800,238751,238752,238761,237244
1,239260,239190,239198,239180,237686
2,239410,239412,239419,239403,237906
3,239670,239634,239640,239625,238127
4,239860,239855,239860,239847,238348
5,240100,240077,240081,240070,238569
6,240260,240299,240302,240292,238789
7,240450,240520,240522,240515,239010
8,240690,240742,240743,240737,239231
9,240930,240964,240964,240959,239452
10,241120,241185,241184,241182,239672
11,241360,241407,241405,241404,239893
