Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,50990,50990,50990,51110.6,50990
2,51230,51232.6,51232.6,51341,51213
3,51430,51475.2,51475.2,51571.3,51435.9
4,51730,51717.8,51717.8,51801.7,51658.9
5,51950,51960.4,51960.4,52032,51881.9
6,52230,52203,52203,52262.4,52104.8
7,52450,52445.7,52445.7,52492.7,52327.8
8,52640,52688.3,52688.3,52723,52550.8
9,52870,52930.9,52930.9,52953.4,52773.8
10,53160,53173.5,53173.5,53183.7,52996.7
11,53400,53416.1,53416.1,53414.1,53219.7
12,53670,53658.7,53658.7,53644.4,53442.7
1,53930,53901.3,53901.3,53874.8,53665.6
2,54140,54143.9,54143.9,54105.1,53888.6
3,54380,54386.5,54386.5,54335.4,54111.6
4,54630,54629.1,54629.1,54565.8,54334.5
5,54880,54871.7,54871.7,54796.1,54557.5
6,55100,55114.3,55114.3,55026.5,54780.5
7,55370,55357,55357,55256.8,55003.4
8,55550,55599.6,55599.6,55487.2,55226.4
9,55750,55842.2,55842.2,55717.5,55449.4
10,55990,56084.8,56084.8,55947.8,55672.3
11,56190,56327.4,56327.4,56178.2,55895.3
12,56570,56570,56570,56408.5,56118.3
1,56920,56951.7,56986.6,56904.4,56564.2
2,57120,57178.5,57211.2,57134.7,56787.2
3,57400,57405.4,57435.8,57365.1,57010.2
4,57630,57632.2,57660.4,57595.4,57233.1
5,57880,57859.1,57885.1,57825.8,57456.1
6,58050,58085.9,58109.7,58056.1,57679.1
7,58300,58312.8,58334.3,58286.4,57902
8,58520,58539.6,58558.9,58516.8,58125
9,58720,58766.5,58783.6,58747.1,58348
10,58920,58993.3,59008.2,58977.5,58570.9
11,59200,59220.2,59232.8,59207.8,58793.9
12,59470,59447,59457.4,59438.2,59016.9
1,59700,59673.9,59682,59668.5,59239.8
2,59910,59900.7,59906.7,59898.8,59462.8
3,60150,60127.6,60131.3,60129.2,59685.8
4,60370,60354.4,60355.9,60359.5,59908.8
5,60590,60581.3,60580.5,60589.9,60131.7
6,60810,60808.1,60805.2,60820.2,60354.7
7,61030,61035,61029.8,61050.6,60577.7
8,61290,61261.8,61254.4,61280.9,60800.6
9,61460,61488.7,61479,61511.2,61023.6
10,61710,61715.5,61703.7,61741.6,61246.6
11,61950,61942.4,61928.3,61971.9,61469.5
12,62180,62169.2,62152.9,62202.3,61692.5
1,62690,62624.7,62621.6,62614.3,62138.4
2,62910,62850.1,62847.2,62840.9,62361.4
3,63150,63075.4,63072.8,63067.6,62584.4
4,63330,63300.8,63298.4,63294.2,62807.3
5,63520,63526.2,63523.9,63520.8,63030.3
6,63720,63751.6,63749.5,63747.4,63253.3
7,63950,63977,63975.1,63974,63476.2
8,64190,64202.3,64200.7,64200.6,63699.2
9,64380,64427.7,64426.2,64427.3,63922.2
10,64600,64653.1,64651.8,64653.9,64145.2
11,64840,64878.5,64877.4,64880.5,64368.1
12,65050,65103.9,65102.9,65107.1,64591.1
1,65330,65329.2,65328.5,65333.7,64814.1
2,65580,65554.6,65554.1,65560.3,65037
3,65830,65780,65779.7,65787,65260
4,66060,66005.4,66005.2,66013.6,65483
5,66230,66230.8,66230.8,66240.2,65705.9
6,66440,66456.1,66456.4,66466.8,65928.9
7,66680,66681.5,66682,66693.4,66151.9
8,66920,66906.9,66907.5,66920,66374.8
