Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,39400,39400,39400,39543.6,39400
2,39630,39645.7,39645.7,39778.5,39628
3,39850,39891.3,39891.3,40013.4,39856.1
4,40100,40137,40137,40248.3,40084.1
5,40400,40382.6,40382.6,40483.2,40312.2
6,40680,40628.3,40628.3,40718.1,40540.2
7,40920,40873.9,40873.9,40953,40768.3
8,41100,41119.6,41119.6,41187.9,40996.3
9,41380,41365.2,41365.2,41422.8,41224.4
10,41640,41610.9,41610.9,41657.7,41452.4
11,41880,41856.5,41856.5,41892.6,41680.5
12,42180,42102.2,42102.2,42127.5,41908.5
1,42440,42347.8,42347.8,42362.5,42136.6
2,42650,42593.5,42593.5,42597.4,42364.6
3,42890,42839.1,42839.1,42832.3,42592.7
4,43120,43084.8,43084.8,43067.2,42820.7
5,43360,43330.4,43330.4,43302.1,43048.8
6,43610,43576.1,43576.1,43537,43276.8
7,43850,43821.7,43821.7,43771.9,43504.9
8,44050,44067.4,44067.4,44006.8,43732.9
9,44320,44313,44313,44241.7,43961
10,44560,44558.7,44558.7,44476.6,44189
11,44820,44804.3,44804.3,44711.5,44417.1
12,45050,45050,45050,44946.4,44645.1
1,45460,45492.9,45509.2,45463.6,45101.2
2,45680,45725.6,45740.8,45698.5,45329.3
3,45990,45958.2,45972.4,45933.4,45557.3
4,46170,46190.9,46204,46168.3,45785.4
5,46430,46423.5,46435.6,46403.2,46013.4
6,46650,46656.1,46667.2,46638.1,46241.5
7,46880,46888.8,46898.8,46873,46469.5
8,47120,47121.4,47130.4,47107.9,46697.6
9,47340,47354.1,47362,47342.8,46925.6
10,47540,47586.7,47593.6,47577.7,47153.7
11,47870,47819.4,47825.2,47812.6,47381.7
12,48080,48052,48056.8,48047.5,47609.8
1,48290,48284.6,48288.4,48282.5,47837.8
2,48530,48517.3,48520.1,48517.4,48065.9
3,48760,48749.9,48751.7,48752.3,48293.9
4,48940,48982.6,48983.3,48987.2,48522
5,49210,49215.2,49214.9,49222.1,48750
6,49430,49447.9,49446.5,49457,48978.1
7,49690,49680.5,49678.1,49691.9,49206.1
8,49920,49913.2,49909.7,49926.8,49434.2
9,50100,50145.8,50141.3,50161.7,49662.2
10,50370,50378.4,50372.9,50396.6,49890.3
11,50640,50611.1,50604.5,50631.5,50118.3
12,50870,50843.7,50836.1,50866.4,50346.4
1,51310,51298.8,51299.6,51289.3,50802.5
2,51510,51530.4,51531.1,51521.7,51030.5
3,51780,51762,51762.6,51754.1,51258.6
4,52010,51993.5,51994.1,51986.5,51486.6
5,52240,52225.1,52225.7,52219,51714.7
6,52450,52456.6,52457.2,52451.4,51942.7
7,52680,52688.2,52688.7,52683.8,52170.8
8,52890,52919.8,52920.2,52916.2,52398.8
9,53120,53151.3,53151.7,53148.6,52626.9
10,53310,53382.9,53383.2,53381,52854.9
11,53600,53614.5,53614.7,53613.5,53083
12,53840,53846,53846.3,53845.9,53311
1,54130,54077.6,54077.8,54078.3,53539.1
2,54370,54309.2,54309.3,54310.7,53767.1
3,54570,54540.7,54540.8,54543.1,53995.2
4,54810,54772.3,54772.3,54775.5,54223.2
5,55030,55003.9,55003.8,55008,54451.3
6,55270,55235.4,55235.4,55240.4,54679.3
7,55500,55467,55466.9,55472.8,54907.4
8,55640,55698.6,55698.4,55705.2,55135.4
9,55890,55930.1,55929.9,55937.6,55363.5
10,56110,56161.7,56161.4,56170,55591.5
11,56380,56393.3,56392.9,56402.5,55819.6
12,56650,56624.8,56624.4,56634.9,56047.6
1,57090,57082.6,57085.3,57089.4,56503.7
2,57300,57315.2,57317.8,57321.4,56731.8
3,57590,57547.8,57550.2,57553.5,56959.8
4,57770,57780.4,57782.7,57785.5,57187.9
5,58020,58013,58015.1,58017.6,57415.9
6,58260,58245.7,58247.6,58249.6,57644
7,58490,58478.3,58480,58481.7,57872
8,58700,58710.9,58712.4,58713.7,58100.1
9,58920,58943.5,58944.9,58945.7,58328.1
10,59140,59176.1,59177.3,59177.8,58556.2
11,59420,59408.8,59409.8,59409.8,58784.2
