Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2470,2470,2470,2609.54,2470
2,2730,2711.74,2711.74,2838.42,2685.39
3,2920,2953.48,2953.48,3067.3,2900.78
4,3190,3195.22,3195.22,3296.18,3116.18
5,3490,3436.96,3436.96,3525.06,3331.57
6,3760,3678.7,3678.7,3753.94,3546.96
7,3970,3920.43,3920.43,3982.83,3762.35
8,4200,4162.17,4162.17,4211.71,3977.74
9,4470,4403.91,4403.91,4440.59,4193.14
10,4610,4645.65,4645.65,4669.47,4408.53
11,4940,4887.39,4887.39,4898.35,4623.92
12,5270,5129.13,5129.13,5127.23,4839.31
1,5440,5370.87,5370.87,5356.11,5054.7
2,5720,5612.61,5612.61,5584.99,5270.09
5,5920,5854.35,5854.35,5813.87,5485.49
3,5950,6096.09,6096.09,6042.75,5700.88
4,6220,6337.83,6337.83,6271.63,5916.27
6,6490,6579.57,6579.57,6500.51,6131.66
7,6690,6821.3,6821.3,6729.39,6347.05
8,6890,7063.04,7063.04,6958.27,6562.45
9,7280,7304.78,7304.78,7187.15,6777.84
10,7460,7546.52,7546.52,7416.03,6993.23
11,7690,7788.26,7788.26,7644.91,7208.62
12,8030,8030,8030,7873.79,7424.01
1,8410,8479.27,8490.67,8432.46,7854.8
2,8730,8704.29,8714.95,8661.34,8070.19
3,8930,8929.3,8939.24,8890.22,8285.58
4,9190,9154.31,9163.53,9119.1,8500.97
5,9380,9379.33,9387.81,9347.98,8716.36
6,9620,9604.34,9612.1,9576.86,8931.76
7,9770,9829.36,9836.39,9805.74,9147.15
8,10040,10054.4,10060.7,10034.6,9362.54
9,10340,10279.4,10285,10263.5,9577.93
10,10500,10504.4,10509.2,10492.4,9793.32
11,10690,10729.4,10733.5,10721.3,10008.7
12,10960,10954.4,10957.8,10950.1,10224.1
1,11200,11179.4,11182.1,11179,10439.5
2,11370,11404.5,11406.4,11407.9,10654.9
3,11580,11629.5,11630.7,11636.8,10870.3
4,11860,11854.5,11855,11865.7,11085.7
5,12090,12079.5,12079.3,12094.5,11301.1
6,12290,12304.5,12303.5,12323.4,11516.5
7,12510,12529.5,12527.8,12552.3,11731.9
8,12790,12754.5,12752.1,12781.2,11947.2
9,13000,12979.6,12976.4,13010.1,12162.6
10,13200,13204.6,13200.7,13238.9,12378
11,13460,13429.6,13425,13467.8,12593.4
12,13640,13654.6,13649.3,13696.7,12808.8
1,14180,14126.6,14115.2,14100.9,13239.6
2,14380,14347.3,14336.6,14323.9,13455
3,14550,14567.9,14557.9,14546.9,13670.4
4,14800,14788.5,14779.3,14769.8,13885.8
5,15020,15009.2,15000.6,14992.8,14101.2
6,15260,15229.8,15222,15215.8,14316.6
7,15410,15450.4,15443.3,15438.7,14531.9
8,15610,15671,15664.7,15661.7,14747.3
9,15850,15891.7,15886.1,15884.6,14962.7
10,16150,16112.3,16107.4,16107.6,15178.1
11,16310,16332.9,16328.8,16330.6,15393.5
12,16510,16553.5,16550.1,16553.5,15608.9
1,16820,16774.2,16771.5,16776.5,15824.3
2,16980,16994.8,16992.8,16999.4,16039.7
3,17220,17215.4,17214.2,17222.4,16255.1
4,17450,17436,17435.5,17445.4,16470.5
5,17650,17656.7,17656.9,17668.3,16685.9
6,17890,17877.3,17878.3,17891.3,16901.3
7,18080,18097.9,18099.6,18114.2,17116.6
8,18380,18318.6,18321,18337.2,17332
9,18520,18539.2,18542.3,18560.2,17547.4
10,18780,18759.8,18763.7,18783.1,17762.8
11,18980,18980.4,18985,19006.1,17978.2
12,19180,19201.1,19206.4,19229.1,18193.6
1,19680,19671.5,19661,19643,18624.4
2,19920,19890.7,19880.9,19864.7,18839.8
3,20090,20109.9,20100.7,20086.4,19055.2
4,20350,20329.1,20320.6,20308.1,19270.6
5,20570,20548.3,20540.5,20529.8,19486
6,20780,20767.5,20760.4,20751.5,19701.4
7,20960,20986.8,20980.3,20973.2,19916.7
8,21180,21206,21200.2,21194.9,20132.1
9,21400,21425.2,21420,21416.6,20347.5
10,21640,21644.4,21639.9,21638.3,20562.9
11,21830,21863.6,21859.8,21860,20778.3
12,22070,22082.8,22079.7,22081.7,20993.7
1,22330,22302,22299.6,22303.3,21209.1
2,22530,22521.2,22519.5,22525,21424.5
3,22730,22740.5,22739.3,22746.7,21639.9
4,22960,22959.7,22959.2,22968.4,21855.3
5,23170,23178.9,23179.1,23190.1,22070.7
6,23390,23398.1,23399,23411.8,22286.1
7,23650,23617.3,23618.9,23633.5,22501.4
8,23850,23836.5,23838.8,23855.2,22716.8
9,24050,24055.7,24058.6,24076.9,22932.2
10,24310,24274.9,24278.5,24298.6,23147.6
11,24500,24494.2,24498.4,24520.3,23363
12,24680,24713.4,24718.3,24742,23578.4
1,25210,25191.7,25179.2,25184.1,24009.2
2,25440,25412.2,25399.7,25405.4,24224.6
3,25620,25632.8,25620.2,25626.8,24440
4,25860,25853.3,25840.7,25848.1,24655.4
5,26090,26073.8,26061.1,26069.5,24870.8
6,26330,26294.3,26281.6,26290.8,25086.1
7,26530,26514.8,26502.1,26512.2,25301.5
8,26730,26735.3,26722.6,26733.5,25516.9
9,26900,26955.9,26943,26954.9,25732.3
10,27150,27176.4,27163.5,27176.2,25947.7
11,27350,27396.9,27384,27397.6,26163.1
12,27570,27617.4,27604.5,27618.9,26378.5
1,27880,27837.9,27825,27840.3,26593.9
2,28050,28058.5,28045.4,28061.6,26809.3
3,28270,28279,28265.9,28283,27024.7
4,28510,28499.5,28486.4,28504.3,27240.1
5,28770,28720,28706.9,28725.7,27455.5
6,28950,28940.5,28927.3,28947,27670.9
7,29210,29161,29147.8,29168.4,27886.2
8,29420,29381.6,29368.3,29389.7,28101.6
9,29590,29602.1,29588.8,29611.1,28317
10,29820,29822.6,29809.2,29832.4,28532.4
11,30030,30043.1,30029.7,30053.8,28747.8
12,30230,30263.6,30250.2,30275.1,28963.2
1,30690,30716.5,30697.9,30701.2,29394
2,30910,30936.4,30918.6,30922,29609.4
3,31130,31156.3,31139.2,31142.7,29824.8
4,31380,31376.2,31359.9,31363.5,30040.2
5,31570,31596.1,31580.6,31584.3,30255.6
6,31820,31816,31801.3,31805,30470.9
7,32040,32035.9,32022,32025.8,30686.3
8,32240,32255.8,32242.7,32246.6,30901.7
9,32480,32475.7,32463.3,32467.3,31117.1
10,32700,32695.6,32684,32688.1,31332.5
11,32860,32915.5,32904.7,32908.9,31547.9
12,33110,33135.4,33125.4,33129.6,31763.3
1,33360,33355.3,33346.1,33350.4,31978.7
2,33550,33575.2,33566.8,33571.1,32194.1
3,33810,33795.1,33787.4,33791.9,32409.5
4,34020,34015,34008.1,34012.7,32624.9
