Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,28610,28610,28610,28772.8,28610
2,28870,28849.6,28849.6,28999.9,28828.9
3,29070,29089.1,29089.1,29226.9,29047.7
4,29360,29328.7,29328.7,29453.9,29266.6
5,29590,29568.3,29568.3,29681,29485.5
6,29900,29807.8,29807.8,29908,29704.3
7,30140,30047.4,30047.4,30135.1,29923.2
8,30350,30287,30287,30362.1,30142
9,30660,30526.5,30526.5,30589.1,30360.9
10,30850,30766.1,30766.1,30816.2,30579.8
11,31120,31005.7,31005.7,31043.2,30798.6
12,31290,31245.2,31245.2,31270.2,31017.5
1,31400,31484.8,31484.8,31497.3,31236.4
2,31690,31724.3,31724.3,31724.3,31455.2
3,31950,31963.9,31963.9,31951.3,31674.1
4,32200,32203.5,32203.5,32178.4,31892.9
5,32480,32443,32443,32405.4,32111.8
6,32690,32682.6,32682.6,32632.4,32330.7
7,32960,32922.2,32922.2,32859.5,32549.5
8,33150,33161.7,33161.7,33086.5,32768.4
9,33430,33401.3,33401.3,33313.6,32987.3
10,33530,33640.9,33640.9,33540.6,33206.1
11,33800,33880.4,33880.4,33767.6,33425
12,34120,34120,34120,33994.7,33643.9
1,34490,34547.8,34565,34494.5,34081.6
2,34800,34770.5,34786.6,34721.5,34300.4
3,34970,34993.2,35008.2,34948.6,34519.3
4,35240,35215.9,35229.8,35175.6,34738.2
5,35450,35438.7,35451.5,35402.7,34957
6,35660,35661.4,35673.1,35629.7,35175.9
7,35840,35884.1,35894.7,35856.7,35394.8
8,36060,36106.8,36116.3,36083.8,35613.6
9,36330,36329.5,36337.9,36310.8,35832.5
10,36490,36552.2,36559.5,36537.8,36051.4
11,36690,36774.9,36781.1,36764.9,36270.2
12,37050,36997.6,37002.7,36991.9,36489.1
1,37260,37220.3,37224.3,37218.9,36707.9
2,37480,37443,37445.9,37446,36926.8
3,37670,37665.7,37667.5,37673,37145.7
4,37930,37888.4,37889.1,37900,37364.5
5,38140,38111.1,38110.7,38127.1,37583.4
6,38360,38333.8,38332.4,38354.1,37802.3
7,38590,38556.5,38554,38581.1,38021.1
8,38740,38779.2,38775.6,38808.2,38240
9,38970,39001.9,38997.2,39035.2,38458.8
10,39230,39224.6,39218.8,39262.3,38677.7
11,39420,39447.4,39440.4,39489.3,38896.6
12,39670,39670.1,39662,39716.3,39115.4
1,40190,40146,40132,40141.3,39553.2
2,40450,40369.1,40356,40365.1,39772
3,40600,40592.2,40580,40588.8,39990.9
4,40860,40815.4,40804,40812.6,40209.8
5,41040,41038.5,41028.1,41036.4,40428.6
6,41260,41261.6,41252.1,41260.1,40647.5
7,41460,41484.7,41476.1,41483.9,40866.3
8,41680,41707.8,41700.1,41707.7,41085.2
9,41920,41931,41924.1,41931.4,41304.1
10,42110,42154.1,42148.1,42155.2,41522.9
