Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,33920,33920,33920,34169.5,33920
2,34250,34163,34163,34396,34139.4
3,34450,34406.1,34406.1,34622.5,34358.9
4,34690,34649.1,34649.1,34849.1,34578.3
5,34940,34892.2,34892.2,35075.6,34797.7
6,35180,35135.2,35135.2,35302.1,35017.2
7,35470,35378.3,35378.3,35528.7,35236.6
8,35640,35621.3,35621.3,35755.2,35456
9,35900,35864.3,35864.3,35981.7,35675.5
10,36140,36107.4,36107.4,36208.3,35894.9
11,36530,36350.4,36350.4,36434.8,36114.3
12,36740,36593.5,36593.5,36661.3,36333.8
1,37040,36836.5,36836.5,36887.8,36553.2
2,37200,37079.6,37079.6,37114.4,36772.6
3,37390,37322.6,37322.6,37340.9,36992.1
4,37650,37565.7,37565.7,37567.4,37211.5
5,37880,37808.7,37808.7,37794,37430.9
6,38120,38051.7,38051.7,38020.5,37650.4
7,38410,38294.8,38294.8,38247,37869.8
8,38550,38537.8,38537.8,38473.6,38089.2
9,38750,38780.9,38780.9,38700.1,38308.7
10,38950,39023.9,39023.9,38926.6,38528.1
11,39290,39267,39267,39153.2,38747.5
12,39510,39510,39510,39379.7,38967
1,40030,39988.4,39990.8,39955.3,39405.8
2,40270,40212.1,40214.3,40181.8,39625.3
3,40460,40435.8,40437.9,40408.4,39844.7
4,40660,40659.5,40661.4,40634.9,40064.1
5,40880,40883.2,40885,40861.4,40283.6
6,41120,41106.9,41108.5,41088,40503
7,41300,41330.6,41332.1,41314.5,40722.4
8,41520,41554.3,41555.6,41541,40941.9
9,41670,41778,41779.2,41767.6,41161.3
10,41920,42001.7,42002.7,41994.1,41380.7
11,42230,42225.4,42226.3,42220.6,41600.2
12,42410,42449.1,42449.8,42447.2,41819.6
1,42690,42672.8,42673.4,42673.7,42039
2,42920,42896.5,42896.9,42900.2,42258.5
3,43120,43120.2,43120.5,43126.7,42477.9
4,43340,43343.9,43344,43353.3,42697.3
5,43600,43567.6,43567.6,43579.8,42916.8
6,43830,43791.3,43791.1,43806.3,43136.2
7,44030,44015,44014.7,44032.9,43355.6
8,44280,44238.7,44238.2,44259.4,43575.1
9,44460,44462.4,44461.8,44485.9,43794.5
10,44680,44686.1,44685.3,44712.5,44013.9
11,44920,44909.8,44908.9,44939,44233.4
12,45110,45133.5,45132.4,45165.5,44452.8
1,45550,45570.4,45568.8,45539.3,44891.7
2,45840,45789.4,45787.9,45760.7,45111.1
3,46040,46008.4,46007,45982.1,45330.5
4,46190,46227.4,46226.1,46203.6,45549.9
5,46430,46446.4,46445.2,46425,45769.4
6,46640,46665.4,46664.3,46646.5,45988.8
7,46840,46884.4,46883.4,46867.9,46208.2
8,47080,47103.3,47102.5,47089.4,46427.7
9,47310,47322.3,47321.6,47310.8,46647.1
10,47520,47541.3,47540.6,47532.2,46866.5
11,47830,47760.3,47759.7,47753.7,47086
12,48000,47979.3,47978.8,47975.1,47305.4
1,48240,48198.3,48197.9,48196.6,47524.8
2,48390,48417.3,48417,48418,47744.3
3,48580,48636.3,48636.1,48639.4,47963.7
4,48800,48855.3,48855.2,48860.9,48183.1
5,49050,49074.3,49074.3,49082.3,48402.6
6,49310,49293.3,49293.4,49303.8,48622
7,49480,49512.3,49512.5,49525.2,48841.4
8,49730,49731.3,49731.6,49746.6,49060.9
9,49940,49950.2,49950.7,49968.1,49280.3
10,50180,50169.2,50169.8,50189.5,49499.7
11,50430,50388.2,50388.9,50411,49719.2
12,50660,50607.2,50608,50632.4,49938.6
1,51140,51079.8,51067.7,51076.7,50377.5
