Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,59910,59910,59910,60144.1,59910
2,60190,60150.4,60150.4,60370.5,60127.2
3,60400,60390.9,60390.9,60597,60344.3
4,60700,60631.3,60631.3,60823.5,60561.5
5,61000,60871.7,60871.7,61049.9,60778.6
6,61220,61112.2,61112.2,61276.4,60995.8
7,61500,61352.6,61352.6,61502.8,61212.9
8,61770,61593,61593,61729.3,61430.1
9,61840,61833.5,61833.5,61955.7,61647.2
10,62090,62073.9,62073.9,62182.2,61864.4
11,62380,62314.3,62314.3,62408.6,62081.5
12,62570,62554.8,62554.8,62635.1,62298.7
1,63070,62795.2,62795.2,62861.6,62515.8
2,63080,63035.7,63035.7,63088,62733
3,63370,63276.1,63276.1,63314.5,62950.1
4,63710,63516.5,63516.5,63540.9,63167.3
5,63920,63757,63757,63767.4,63384.4
6,64110,63997.4,63997.4,63993.8,63601.6
7,64360,64237.8,64237.8,64220.3,63818.8
8,64440,64478.3,64478.3,64446.8,64035.9
9,64730,64718.7,64718.7,64673.2,64253.1
10,64950,64959.1,64959.1,64899.7,64470.2
11,65210,65199.6,65199.6,65126.1,64687.4
12,65440,65440,65440,65352.6,64904.5
1,65950,65901.2,65907.7,65872.4,65338.8
2,66120,66125.3,66131.4,66098.9,65556
3,66290,66349.4,66355,66325.3,65773.1
4,66540,66573.4,66578.7,66551.8,65990.3
5,66770,66797.5,66802.3,66778.2,66207.4
6,67000,67021.6,67026,67004.7,66424.6
7,67260,67245.6,67249.6,67231.2,66641.7
8,67430,67469.7,67473.3,67457.6,66858.9
9,67640,67693.8,67696.9,67684.1,67076
10,67830,67917.8,67920.6,67910.5,67293.2
11,68160,68141.9,68144.2,68137,67510.3
12,68330,68366,68367.9,68363.4,67727.5
1,68700,68590,68591.6,68589.9,67944.7
2,68890,68814.1,68815.2,68816.4,68161.8
3,69140,69038.2,69038.9,69042.8,68379
4,69320,69262.2,69262.5,69269.3,68596.1
5,69580,69486.3,69486.2,69495.7,68813.3
6,69720,69710.4,69709.8,69722.2,69030.4
7,69970,69934.4,69933.5,69948.6,69247.6
8,70180,70158.5,70157.1,70175.1,69464.7
9,70290,70382.6,70380.8,70401.5,69681.9
10,70490,70606.7,70604.5,70628,69899
11,70770,70830.7,70828.1,70854.5,70116.2
12,71070,71054.8,71051.8,71080.9,70333.3
1,71600,71524.5,71513,71496,70767.6
2,71770,71743.8,71733,71717.8,70984.8
3,71980,71963.1,71953.1,71939.6,71201.9
4,72190,72182.4,72173.1,72161.4,71419.1
5,72430,72401.6,72393.1,72383.2,71636.3
6,72580,72620.9,72613.1,72605,71853.4
7,72830,72840.2,72833.2,72826.8,72070.6
8,73040,73059.5,73053.2,73048.6,72287.7
9,73260,73278.8,73273.2,73270.4,72504.9
10,73420,73498.1,73493.2,73492.2,72722
11,73730,73717.4,73713.3,73714,72939.2
12,73870,73936.7,73933.3,73935.8,73156.3
1,74130,74156,74153.3,74157.6,73373.5
2,74360,74375.3,74373.3,74379.4,73590.6
3,74580,74594.6,74593.3,74601.2,73807.8
4,74840,74813.9,74813.4,74823,74024.9
5,75040,75033.1,75033.4,75044.8,74242.1
6,75250,75252.4,75253.4,75266.5,74459.2
7,75490,75471.7,75473.4,75488.3,74676.4
8,75780,75691,75693.5,75710.1,74893.5
9,75890,75910.3,75913.5,75931.9,75110.7
10,76120,76129.6,76133.5,76153.7,75327.9
11,76380,76348.9,76353.5,76375.5,75545
12,76560,76568.2,76573.5,76597.3,75762.2
1,77050,77014.4,77010.9,77006.2,76196.5
2,77240,77234.4,77231.1,77226.7,76413.6
3,77440,77454.4,77451.3,77447.3,76630.8
4,77640,77674.3,77671.5,77667.8,76847.9
5,77870,77894.3,77891.7,77888.4,77065.1
6,78060,78114.3,78111.9,78108.9,77282.2
7,78320,78334.2,78332.1,78329.5,77499.4
8,78550,78554.2,78552.3,78550,77716.5
9,78770,78774.2,78772.5,78770.6,77933.7
10,78980,78994.1,78992.7,78991.1,78150.8
11,79240,79214.1,79212.9,79211.7,78368
12,79440,79434.1,79433,79432.2,78585.1
1,79710,79654.1,79653.2,79652.8,78802.3
2,79860,79874,79873.4,79873.3,79019.4
3,80120,80094,80093.6,80093.9,79236.6
4,80320,80314,80313.8,80314.4,79453.8
5,80570,80533.9,80534,80535,79670.9
6,80740,80753.9,80754.2,80755.5,79888.1
7,80990,80973.9,80974.4,80976.1,80105.2
8,81160,81193.8,81194.6,81196.6,80322.4
9,81380,81413.8,81414.8,81417.2,80539.5
10,81650,81633.8,81635,81637.7,80756.7
11,81830,81853.7,81855.2,81858.3,80973.8
12,82090,82073.7,82075.4,82078.8,81191
1,82600,82532.1,82516.4,82513.5,81625.3
2,82820,82750.8,82736.6,82734.1,81842.4
3,83020,82969.5,82956.7,82954.7,82059.6
4,83210,83188.2,83176.8,83175.3,82276.7
5,83420,83407,83396.9,83395.9,82493.9
6,83610,83625.7,83617.1,83616.5,82711
7,83830,83844.4,83837.2,83837.1,82928.2
8,84000,84063.1,84057.3,84057.7,83145.4
9,84240,84281.8,84277.5,84278.3,83362.5
10,84440,84500.6,84497.6,84498.9,83579.7
11,84730,84719.3,84717.7,84719.5,83796.8
12,84920,84938,84937.8,84940.1,84014
1,85160,85156.7,85158,85160.7,84231.1
2,85360,85375.5,85378.1,85381.3,84448.3
3,85620,85594.2,85598.2,85601.9,84665.4
4,85830,85812.9,85818.3,85822.5,84882.6
5,86090,86031.6,86038.5,86043.1,85099.7
6,86240,86250.4,86258.6,86263.7,85316.9
7,86450,86469.1,86478.7,86484.3,85534
8,86670,86687.8,86698.8,86704.9,85751.2
9,86890,86906.5,86919,86925.5,85968.3
10,87120,87125.3,87139.1,87146.1,86185.5
11,87340,87344,87359.2,87366.7,86402.6
12,87600,87562.7,87579.3,87587.3,86619.8
1,88070,88023.6,88018.2,88014.6,87054.1
2,88280,88243,88238.3,88235,87271.3
3,88470,88462.4,88458.3,88455.3,87488.4
4,88700,88681.8,88678.4,88675.7,87705.6
5,88890,88901.2,88898.4,88896.1,87922.7
6,89090,89120.5,89118.5,89116.4,88139.9
7,89340,89339.9,89338.5,89336.8,88357
8,89530,89559.3,89558.6,89557.1,88574.2
9,89780,89778.7,89778.6,89777.5,88791.3
10,90000,89998.1,89998.7,89997.9,89008.5
11,90200,90217.5,90218.7,90218.2,89225.6
12,90420,90436.9,90438.8,90438.6,89442.8
1,90670,90656.3,90658.8,90658.9,89659.9
2,90880,90875.6,90878.9,90879.3,89877.1
3,91100,91095,91098.9,91099.6,90094.2
4,91350,91314.4,91319,91320,90311.4
5,91570,91533.8,91539,91540.4,90528.5
6,91690,91753.2,91759.1,91760.7,90745.7
7,91960,91972.6,91979.1,91981.1,90962.9
8,92180,92192,92199.2,92201.4,91180
9,92400,92411.3,92419.2,92421.8,91397.2
10,92660,92630.7,92639.3,92642.2,91614.3
11,92850,92850.1,92859.3,92862.5,91831.5
12,93090,93069.5,93079.4,93082.9,92048.6
1,93550,93524.6,93516.6,93512.8,92482.9
2,93760,93743.7,93736.5,93733,92700.1
3,93960,93962.8,93956.4,93953.1,92917.2
4,94170,94181.9,94176.4,94173.3,93134.4
5,94400,94401,94396.3,94393.4,93351.5
6,94580,94620.1,94616.2,94613.6,93568.7
7,94870,94839.2,94836.2,94833.8,93785.8
8,95050,95058.3,95056.1,95053.9,94003
9,95270,95277.4,95276,95274.1,94220.1
10,95470,95496.5,95496,95494.2,94437.3
11,95740,95715.6,95715.9,95714.4,94654.5
12,95950,95934.7,95935.8,95934.5,94871.6
1,96200,96153.8,96155.8,96154.7,95088.8
2,96390,96372.9,96375.7,96374.8,95305.9
3,96590,96592,96595.6,96595,95523.1
4,96830,96811.1,96815.6,96815.1,95740.2
5,97010,97030.2,97035.5,97035.3,95957.4
6,97180,97249.3,97255.4,97255.4,96174.5
7,97430,97468.4,97475.4,97475.6,96391.7
8,97680,97687.5,97695.3,97695.7,96608.8
9,97890,97906.6,97915.2,97915.9,96826
10,98110,98125.7,98135.2,98136,97043.1
11,98360,98344.8,98355.1,98356.2,97260.3
12,98630,98563.8,98575,98576.3,97477.4
1,99050,99007.3,99009.4,98998.2,97911.7
2,99240,99227.2,99229.2,99218.5,98128.9
3,99420,99447.1,99449,99438.9,98346.1
4,99650,99667,99668.9,99659.3,98563.2
5,99850,99886.9,99888.7,99879.7,98780.4
6,100070,100107,100109,100100,98997.5
7,100290,100327,100328,100320,99214.7
8,100480,100547,100548,100541,99431.8
9,100740,100767,100768,100761,99649
10,100970,100986,100988,100982,99866.1
11,101230,101206,101208,101202,100083
