Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,90950,90950,90950,91281.5,90950
2,91250,91193.5,91193.5,91504.1,91164.6
3,91490,91437,91437,91726.6,91379.3
4,91810,91680.4,91680.4,91949.2,91593.9
5,92050,91923.9,91923.9,92171.7,91808.5
6,92280,92167.4,92167.4,92394.3,92023.1
7,92560,92410.9,92410.9,92616.8,92237.8
8,92910,92654.3,92654.3,92839.4,92452.4
9,93190,92897.8,92897.8,93061.9,92667
10,93430,93141.3,93141.3,93284.5,92881.7
11,93490,93384.8,93384.8,93507,93096.3
12,93740,93628.3,93628.3,93729.6,93310.9
1,94060,93871.7,93871.7,93952.1,93525.5
2,94230,94115.2,94115.2,94174.7,93740.2
3,94460,94358.7,94358.7,94397.2,93954.8
4,94750,94602.2,94602.2,94619.8,94169.4
5,94920,94845.7,94845.7,94842.3,94384
6,95130,95089.1,95089.1,95064.9,94598.7
7,95360,95332.6,95332.6,95287.4,94813.3
8,95510,95576.1,95576.1,95509.9,95027.9
9,95810,95819.6,95819.6,95732.5,95242.6
10,95940,96063,96063,95955,95457.2
11,96310,96306.5,96306.5,96177.6,95671.8
12,96550,96550,96550,96400.1,95886.4
1,96990,96979,96998.3,96919,96315.7
2,97160,97196.6,97214.8,97141.6,96530.3
3,97380,97414.3,97431.2,97364.1,96745
4,97570,97632,97647.7,97586.7,96959.6
5,97840,97849.7,97864.1,97809.2,97174.2
6,98030,98067.4,98080.5,98031.8,97388.8
7,98290,98285.1,98297,98254.3,97603.5
8,98490,98502.7,98513.4,98476.9,97818.1
9,98760,98720.4,98729.9,98699.4,98032.7
10,98900,98938.1,98946.3,98922,98247.4
11,99160,99155.8,99162.8,99144.5,98462
12,99420,99373.5,99379.2,99367.1,98676.6
1,99610,99591.2,99595.7,99589.6,98891.2
2,99850,99808.8,99812.1,99812.2,99105.9
3,100030,100027,100029,100035,99320.5
4,100320,100244,100245,100257,99535.1
5,100430,100462,100461,100480,99749.7
6,100690,100680,100678,100702,99964.4
7,100880,100897,100894,100925,100179
8,101090,101115,101111,101147,100394
9,101310,101333,101327,101370,100608
10,101480,101550,101544,101593,100823
11,101760,101768,101760,101815,101038
12,102040,101986,101977,102038,101252
1,102490,102435,102424,102404,101681
2,102710,102649,102639,102622,101896
3,102870,102864,102855,102839,102111
4,103040,103079,103070,103056,102325
5,103260,103293,103286,103274,102540
6,103490,103508,103501,103491,102755
7,103720,103723,103716,103709,102969
8,103910,103937,103932,103926,103184
9,104160,104152,104147,104143,103398
10,104330,104367,104362,104361,103613
11,104620,104581,104578,104578,103828
12,104790,104796,104793,104795,104042
1,105060,105011,105008,105013,104257
2,105190,105225,105224,105230,104472
3,105430,105440,105439,105448,104686
4,105640,105655,105654,105665,104901
5,105840,105869,105870,105882,105115
6,106090,106084,106085,106100,105330
7,106290,106299,106300,106317,105545
8,106560,106513,106516,106534,105759
9,106700,106728,106731,106752,105974
10,106940,106943,106946,106969,106189
11,107160,107157,107162,107187,106403
12,107410,107372,107377,107404,106618
1,107840,107823,107816,107794,107047
2,108080,108037,108031,108011,107262
3,108270,108251,108245,108227,107476
4,108430,108465,108460,108444,107691
5,108670,108679,108674,108660,107906
6,108880,108893,108889,108877,108120
7,109090,109107,109103,109093,108335
8,109300,109321,109318,109310,108549
9,109550,109535,109532,109527,108764
10,109730,109749,109746,109743,108979
11,109990,109963,109961,109960,109193
12,110190,110177,110175,110176,109408
1,110400,110391,110390,110393,109623
2,110580,110605,110604,110609,109837
3,110820,110819,110819,110826,110052
4,111010,111033,111033,111043,110267
5,111250,111247,111248,111259,110481
6,111440,111461,111462,111476,110696
7,111670,111675,111676,111692,110910
8,111940,111889,111891,111909,111125
9,112120,112103,112105,112125,111340
10,112300,112317,112320,112342,111554
11,112510,112531,112534,112559,111769
12,112770,112745,112749,112775,111984
1,113250,113201,113191,113178,112413
2,113400,113415,113406,113394,112627
3,113640,113630,113620,113611,112842
4,113820,113845,113835,113828,113057
5,114060,114059,114050,114045,113271
6,114250,114274,114265,114261,113486
7,114490,114489,114480,114478,113701
8,114720,114703,114694,114695,113915
9,114950,114918,114909,114912,114130
10,115110,115133,115124,115128,114344
11,115350,115347,115339,115345,114559
12,115570,115562,115554,115562,114774
1,115790,115777,115768,115779,114988
2,116010,115991,115983,115996,115203
3,116180,116206,116198,116212,115418
4,116410,116420,116413,116429,115632
5,116630,116635,116628,116646,115847
6,116850,116850,116842,116863,116061
7,117030,117064,117057,117079,116276
8,117320,117279,117272,117296,116491
9,117470,117494,117487,117513,116705
10,117680,117708,117702,117730,116920
11,117930,117923,117917,117947,117135
12,118180,118138,118131,118163,117349
1,118650,118592,118575,118567,117778
2,118850,118807,118791,118784,117993
3,119040,119021,119006,119001,118208
4,119210,119236,119221,119218,118422
5,119410,119450,119436,119435,118637
6,119640,119665,119651,119651,118852
7,119890,119880,119867,119868,119066
8,120100,120094,120082,120085,119281
9,120280,120309,120297,120302,119496
10,120470,120523,120512,120519,119710
11,120770,120738,120727,120736,119925
12,120960,120953,120942,120952,120139
1,121180,121167,121158,121169,120354
2,121400,121382,121373,121386,120569
3,121610,121596,121588,121603,120783
4,121810,121811,121803,121820,120998
5,121990,122025,122018,122037,121213
6,122210,122240,122234,122253,121427
7,122430,122455,122449,122470,121642
8,122710,122669,122664,122687,121856
9,122890,122884,122879,122904,122071
10,123110,123098,123094,123121,122286
11,123280,123313,123310,123338,122500
12,123570,123528,123525,123555,122715
1,124040,123981,123965,123951,123144
2,124240,124195,124180,124169,123359
3,124430,124410,124396,124386,123573
4,124580,124625,124611,124603,123788
5,124790,124840,124827,124820,124003
6,125020,125054,125042,125038,124217
7,125260,125269,125258,125255,124432
8,125480,125484,125473,125472,124647
9,125710,125698,125688,125690,124861
10,125880,125913,125904,125907,125076
11,126150,126128,126119,126124,125290
12,126350,126342,126335,126341,125505
1,126630,126557,126550,126559,125720
2,126770,126772,126766,126776,125934
3,126970,126986,126981,126993,126149
4,127180,127201,127197,127210,126364
5,127380,127416,127412,127428,126578
6,127600,127630,127627,127645,126793
7,127820,127845,127843,127862,127008
8,128080,128060,128058,128080,127222
9,128280,128275,128274,128297,127437
10,128460,128489,128489,128514,127651
11,128720,128704,128705,128731,127866
12,128980,128919,128920,128949,128081
1,129440,129380,129368,129365,128510
2,129630,129596,129584,129582,128725
3,129840,129811,129799,129799,128939
4,129990,130027,130015,130017,129154
5,130220,130243,130231,130234,129368
6,130450,130458,130447,130451,129583
7,130680,130674,130663,130668,129798
8,130900,130890,130879,130885,130012
9,131110,131105,131095,131102,130227
10,131290,131321,131311,131320,130442
11,131530,131537,131527,131537,130656
12,131760,131752,131742,131754,130871
1,131930,131968,131958,131971,131085
2,132200,132184,132174,132188,131300
3,132410,132399,132390,132405,131515
