Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,48690,48690,48690,49036,48690
2,48970,48937.4,48937.4,49262.1,48907.3
3,49240,49184.8,49184.8,49488.3,49124.7
4,49510,49432.2,49432.2,49714.5,49342
5,49850,49679.6,49679.6,49940.7,49559.4
6,50080,49927,49927,50166.9,49776.7
7,50380,50174.3,50174.3,50393.1,49994.1
8,50650,50421.7,50421.7,50619.2,50211.4
9,50880,50669.1,50669.1,50845.4,50428.8
10,51090,50916.5,50916.5,51071.6,50646.1
11,51260,51163.9,51163.9,51297.8,50863.5
12,51560,51411.3,51411.3,51524,51080.8
1,51890,51658.7,51658.7,51750.2,51298.2
2,52190,51906.1,51906.1,51976.4,51515.5
3,52330,52153.5,52153.5,52202.5,51732.9
4,52510,52400.9,52400.9,52428.7,51950.2
5,52770,52648.3,52648.3,52654.9,52167.6
6,52970,52895.7,52895.7,52881.1,52384.9
7,53180,53143,53143,53107.3,52602.3
8,53410,53390.4,53390.4,53333.5,52819.6
9,53620,53637.8,53637.8,53559.7,53037
10,53760,53885.2,53885.2,53785.8,53254.3
11,54120,54132.6,54132.6,54012,53471.7
12,54380,54380,54380,54238.2,53689
1,54810,54810.3,54831.8,54750.5,54123.7
2,55030,55031.6,55051.8,54976.7,54341.1
3,55230,55253,55271.8,55202.9,54558.4
4,55430,55474.4,55491.8,55429.1,54775.8
5,55670,55695.8,55711.8,55655.3,54993.1
6,55890,55917.2,55931.8,55881.5,55210.5
7,56160,56138.5,56151.8,56107.6,55427.8
8,56380,56359.9,56371.8,56333.8,55645.2
9,56570,56581.3,56591.8,56560,55862.5
10,56770,56802.7,56811.8,56786.2,56079.9
11,56980,57024,57031.8,57012.4,56297.2
12,57270,57245.4,57251.8,57238.6,56514.5
1,57470,57466.8,57471.8,57464.8,56731.9
2,57700,57688.2,57691.8,57690.9,56949.2
3,57880,57909.5,57911.8,57917.1,57166.6
4,58150,58130.9,58131.8,58143.3,57383.9
5,58350,58352.3,58351.8,58369.5,57601.3
6,58560,58573.7,58571.8,58595.7,57818.6
7,58800,58795,58791.8,58821.9,58036
8,59090,59016.4,59011.8,59048.1,58253.3
9,59240,59237.8,59231.8,59274.2,58470.7
10,59460,59459.2,59451.8,59500.4,58688
11,59650,59680.6,59671.8,59726.6,58905.4
12,59900,59901.9,59891.8,59952.8,59122.7
1,60390,60353.3,60344.5,60327.1,59557.4
2,60630,60572.6,60564.3,60548.7,59774.8
3,60850,60791.9,60784.2,60770.3,59992.1
4,61010,61011.2,61004,60992,60209.5
5,61220,61230.5,61223.9,61213.6,60426.8
6,61410,61449.8,61443.7,61435.2,60644.2
7,61630,61669.1,61663.6,61656.9,60861.5
8,61850,61888.4,61883.4,61878.5,61078.9
9,62100,62107.7,62103.3,62100.1,61296.2
10,62300,62326.9,62323.2,62321.8,61513.6
11,62480,62546.2,62543,62543.4,61730.9
12,62780,62765.5,62762.9,62765,61948.3
1,62960,62984.8,62982.7,62986.6,62165.6
2,63250,63204.1,63202.6,63208.3,62383
3,63450,63423.4,63422.4,63429.9,62600.3
4,63650,63642.7,63642.3,63651.5,62817.7
5,63850,63862,63862.1,63873.2,63035
6,64070,64081.2,64082,64094.8,63252.4
7,64300,64300.5,64301.8,64316.4,63469.7
8,64540,64519.8,64521.7,64538.1,63687.1
9,64750,64739.1,64741.5,64759.7,63904.4
10,64960,64958.4,64961.4,64981.3,64121.8
11,65180,65177.7,65181.3,65203,64339.1
12,65410,65397,65401.1,65424.6,64556.4
1,65890,65838.3,65838.3,65822.6,64991.1
2,66140,66058,66058,66043.6,65208.5
3,66300,66277.7,66277.7,66264.6,65425.8
4,66460,66497.4,66497.4,66485.6,65643.2
5,66660,66717.1,66717.1,66706.6,65860.5
6,66880,66936.8,66936.8,66927.6,66077.9
7,67120,67156.4,67156.5,67148.7,66295.2
8,67330,67376.1,67376.2,67369.7,66512.6
9,67610,67595.8,67595.8,67590.7,66729.9
10,67810,67815.5,67815.5,67811.7,66947.3
11,68060,68035.2,68035.2,68032.7,67164.6
12,68230,68254.9,68254.9,68253.7,67382
1,68490,68474.6,68474.6,68474.7,67599.3
2,68740,68694.3,68694.3,68695.7,67816.7
3,68920,68914,68914,68916.7,68034
4,69120,69133.7,69133.7,69137.7,68251.4
5,69340,69353.4,69353.4,69358.7,68468.7
6,69540,69573.1,69573.1,69579.7,68686.1
7,69800,69792.8,69792.8,69800.7,68903.4
8,70010,70012.4,70012.4,70021.7,69120.8
9,70210,70232.1,70232.1,70242.7,69338.1
10,70440,70451.8,70451.8,70463.7,69555.5
11,70720,70671.5,70671.5,70684.7,69772.8
12,70920,70891.2,70891.2,70905.7,69990.2
1,71380,71335.4,71330.5,71319.1,70424.9
2,71580,71554.6,71550.1,71539.8,70642.2
3,71800,71773.8,71769.8,71760.5,70859.6
4,71980,71993,71989.5,71981.2,71076.9
5,72190,72212.3,72209.1,72201.9,71294.3
6,72410,72431.5,72428.8,72422.6,71511.6
7,72630,72650.7,72648.4,72643.3,71729
8,72840,72869.9,72868.1,72864,71946.3
9,73140,73089.2,73087.8,73084.7,72163.6
10,73320,73308.4,73307.4,73305.4,72381
11,73520,73527.6,73527.1,73526,72598.3
12,73770,73746.8,73746.8,73746.7,72815.7
1,73950,73966.1,73966.4,73967.4,73033
2,74150,74185.3,74186.1,74188.1,73250.4
3,74360,74404.5,74405.7,74408.8,73467.7
4,74640,74623.8,74625.4,74629.5,73685.1
5,74860,74843,74845.1,74850.2,73902.4
6,75040,75062.2,75064.7,75070.9,74119.8
7,75270,75281.4,75284.4,75291.6,74337.1
8,75490,75500.7,75504.1,75512.3,74554.5
9,75740,75719.9,75723.7,75733,74771.8
10,75940,75939.1,75943.4,75953.7,74989.2
11,76160,76158.3,76163.1,76174.4,75206.5
12,76410,76377.6,76382.7,76395,75423.9
1,76880,76811.7,76813.2,76796.6,75858.6
2,77000,77031,77032.6,77016.9,76075.9
3,77270,77250.2,77252,77237.2,76293.3
4,77450,77469.4,77471.5,77457.5,76510.6
5,77650,77688.6,77690.9,77677.8,76728
6,77860,77907.8,77910.3,77898.1,76945.3
7,78100,78127.1,78129.7,78118.4,77162.7
8,78310,78346.3,78349.2,78338.7,77380
9,78550,78565.5,78568.6,78559,77597.4
10,78770,78784.7,78788,78779.3,77814.7
11,78940,79003.9,79007.5,78999.6,78032.1
