Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,81060,81060,81060,81346.2,81060
2,81340,81302.6,81302.6,81572.2,81280.8
3,81570,81545.2,81545.2,81798.2,81501.6
4,81820,81787.8,81787.8,82024.2,81722.4
5,82140,82030.4,82030.4,82250.1,81943.2
6,82340,82273,82273,82476.1,82164
7,82630,82515.7,82515.7,82702.1,82384.8
8,82890,82758.3,82758.3,82928.1,82605.6
9,83200,83000.9,83000.9,83154.1,82826.4
10,83420,83243.5,83243.5,83380,83047.2
11,83580,83486.1,83486.1,83606,83268
12,83830,83728.7,83728.7,83832,83488.8
1,84180,83971.3,83971.3,84058,83709.6
2,84420,84213.9,84213.9,84284,83930.4
3,84640,84456.5,84456.5,84510,84151.2
4,84870,84699.1,84699.1,84735.9,84372
5,85120,84941.7,84941.7,84961.9,84592.8
6,85320,85184.3,85184.3,85187.9,84813.6
7,85500,85427,85427,85413.9,85034.4
8,85730,85669.6,85669.6,85639.9,85255.2
9,85930,85912.2,85912.2,85865.8,85476
10,86170,86154.8,86154.8,86091.8,85696.8
11,86340,86397.4,86397.4,86317.8,85917.6
12,86640,86640,86640,86543.8,86138.4
1,87110,87115.6,87118.7,87081.6,86580
2,87350,87338.7,87341.5,87307.6,86800.8
3,87570,87561.8,87564.4,87533.6,87021.6
4,87760,87784.9,87787.3,87759.6,87242.4
5,87990,88008,88010.2,87985.6,87463.2
6,88240,88231,88233.1,88211.5,87684
7,88480,88454.1,88456,88437.5,87904.8
8,88690,88677.2,88678.9,88663.5,88125.6
9,88940,88900.3,88901.8,88889.5,88346.4
10,89110,89123.4,89124.6,89115.5,88567.2
11,89270,89346.4,89347.5,89341.4,88788
12,89520,89569.5,89570.4,89567.4,89008.8
1,89750,89792.6,89793.3,89793.4,89229.6
2,90080,90015.7,90016.2,90019.4,89450.4
3,90260,90238.8,90239.1,90245.4,89671.2
4,90460,90461.9,90462,90471.3,89892
5,90710,90684.9,90684.9,90697.3,90112.8
6,90900,90908,90907.8,90923.3,90333.6
7,91140,91131.1,91130.6,91149.3,90554.4
8,91370,91354.2,91353.5,91375.3,90775.2
9,91600,91577.3,91576.4,91601.2,90996
10,91780,91800.3,91799.3,91827.2,91216.8
11,92030,92023.4,92022.2,92053.2,91437.6
12,92220,92246.5,92245.1,92279.2,91658.4
1,92680,92674.3,92675.4,92663.1,92100
2,92910,92896,92897,92885.5,92320.8
3,93130,93117.7,93118.6,93107.9,92541.6
4,93280,93339.4,93340.3,93330.3,92762.4
5,93520,93561.1,93561.9,93552.6,92983.2
6,93740,93782.8,93783.5,93775,93204
7,93990,94004.5,94005.2,93997.4,93424.8
8,94230,94226.2,94226.8,94219.7,93645.6
9,94460,94447.9,94448.4,94442.1,93866.4
10,94680,94669.6,94670.1,94664.5,94087.2
11,94870,94891.3,94891.7,94886.9,94308
12,95100,95113,95113.3,95109.2,94528.8
1,95370,95334.7,95335,95331.6,94749.6
2,95600,95556.4,95556.6,95554,94970.4
3,95790,95778.1,95778.2,95776.3,95191.2
4,96010,95999.8,95999.9,95998.7,95412
5,96190,96221.5,96221.5,96221.1,95632.8
6,96400,96443.2,96443.1,96443.5,95853.6
7,96650,96664.9,96664.8,96665.8,96074.4
8,96870,96886.6,96886.4,96888.2,96295.2
9,97110,97108.3,97108,97110.6,96516
10,97340,97330,97329.7,97333,96736.8
11,97570,97551.7,97551.3,97555.3,96957.6
12,97800,97773.4,97772.9,97777.7,97178.4
1,98300,98237.8,98231.4,98226.2,97620
2,98510,98458.3,98452.3,98447.9,97840.8
3,98680,98678.8,98673.2,98669.6,98061.6
4,98870,98899.4,98894.2,98891.3,98282.4
5,99100,99119.9,99115.1,99113,98503.2
6,99290,99340.4,99336.1,99334.8,98724
7,99540,99561,99557,99556.5,98944.8
8,99770,99781.5,99777.9,99778.2,99165.6
9,100010,100002,99998.9,99999.9,99386.4
10,100230,100223,100220,100222,99607.2
11,100460,100443,100441,100443,99828
