Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,74530,74530,74530,74787.6,74530
2,74830,74777,74777,75017.3,74751.1
3,75060,75023.9,75023.9,75246.9,74972.3
4,75320,75270.9,75270.9,75476.5,75193.4
5,75590,75517.8,75517.8,75706.1,75414.5
6,75810,75764.8,75764.8,75935.8,75635.7
7,76090,76011.7,76011.7,76165.4,75856.8
8,76370,76258.7,76258.7,76395,76077.9
9,76640,76505.7,76505.7,76624.6,76299.1
10,76860,76752.6,76752.6,76854.3,76520.2
11,77100,76999.6,76999.6,77083.9,76741.3
12,77380,77246.5,77246.5,77313.5,76962.5
1,77670,77493.5,77493.5,77543.1,77183.6
2,77920,77740.4,77740.4,77772.8,77404.7
3,78110,77987.4,77987.4,78002.4,77625.9
4,78380,78234.3,78234.3,78232,77847
5,78530,78481.3,78481.3,78461.6,78068.2
6,78750,78728.3,78728.3,78691.3,78289.3
7,79000,78975.2,78975.2,78920.9,78510.4
8,79190,79222.2,79222.2,79150.5,78731.6
9,79400,79469.1,79469.1,79380.2,78952.7
10,79650,79716.1,79716.1,79609.8,79173.8
11,79890,79963,79963,79839.4,79395
12,80210,80210,80210,80069,79616.1
1,80690,80654.4,80670.9,80599.7,80058.4
2,80910,80879.6,80895,80829.3,80279.5
3,81120,81104.7,81119.2,81059,80500.6
4,81280,81329.9,81343.3,81288.6,80721.8
5,81530,81555.1,81567.4,81518.2,80942.9
6,81740,81780.2,81791.5,81747.9,81164
7,81980,82005.4,82015.6,81977.5,81385.2
8,82210,82230.6,82239.7,82207.1,81606.3
9,82490,82455.7,82463.8,82436.7,81827.4
10,82670,82680.9,82687.9,82666.4,82048.6
11,82870,82906.1,82912,82896,82269.7
12,83110,83131.2,83136.2,83125.6,82490.8
1,83340,83356.4,83360.3,83355.2,82712
2,83580,83581.6,83584.4,83584.9,82933.1
3,83780,83806.7,83808.5,83814.5,83154.2
4,84040,84031.9,84032.6,84044.1,83375.4
5,84280,84257.1,84256.7,84273.7,83596.5
6,84440,84482.2,84480.8,84503.4,83817.6
7,84700,84707.4,84704.9,84733,84038.8
8,84940,84932.6,84929,84962.6,84259.9
9,85200,85157.7,85153.2,85192.2,84481
10,85390,85382.9,85377.3,85421.9,84702.2
11,85640,85608.1,85601.4,85651.5,84923.3
12,85840,85833.2,85825.5,85881.1,85144.5
1,86380,86318.2,86301.4,86290.1,85586.7
2,86580,86541,86525.2,86515.4,85807.9
3,86800,86763.7,86749,86740.8,86029
4,86960,86986.4,86972.8,86966.1,86250.1
5,87200,87209.1,87196.6,87191.5,86471.3
6,87430,87431.8,87420.4,87416.8,86692.4
7,87640,87654.5,87644.2,87642.2,86913.5
8,87830,87877.3,87867.9,87867.6,87134.7
9,88130,88100,88091.7,88092.9,87355.8
10,88350,88322.7,88315.5,88318.3,87576.9
11,88510,88545.4,88539.3,88543.6,87798.1
12,88770,88768.1,88763.1,88769,88019.2
1,88990,88990.8,88986.9,88994.3,88240.3
2,89230,89213.5,89210.7,89219.7,88461.5
3,89430,89436.3,89434.5,89445.1,88682.6
4,89660,89659,89658.3,89670.4,88903.7
5,89860,89881.7,89882,89895.8,89124.9
6,90050,90104.4,90105.8,90121.1,89346
7,90300,90327.1,90329.6,90346.5,89567.1
8,90530,90549.8,90553.4,90571.8,89788.3
9,90800,90772.6,90777.2,90797.2,90009.4
10,90990,90995.3,91001,91022.6,90230.5
11,91250,91218,91224.8,91247.9,90451.7
12,91490,91440.7,91448.6,91473.3,90672.8
1,91990,91925.5,91912.2,91903.5,91115.1
2,92190,92147.7,92135.2,92127.7,91336.2
3,92410,92369.9,92358.3,92351.8,91557.3
4,92570,92592,92581.3,92575.9,91778.5
5,92790,92814.2,92804.3,92800,91999.6
6,93000,93036.4,93027.3,93024.1,92220.8
7,93240,93258.5,93250.3,93248.2,92441.9
8,93410,93480.7,93473.4,93472.3,92663
9,93690,93702.9,93696.4,93696.4,92884.2
10,93910,93925.1,93919.4,93920.6,93105.3
11,94090,94147.2,94142.4,94144.7,93326.4
12,94380,94369.4,94365.4,94368.8,93547.6
1,94640,94591.6,94588.5,94592.9,93768.7
2,94820,94813.7,94811.5,94817,93989.8
3,95070,95035.9,95034.5,95041.1,94211
4,95280,95258.1,95257.5,95265.2,94432.1
5,95470,95480.3,95480.6,95489.3,94653.2
6,95690,95702.4,95703.6,95713.5,94874.4
7,95900,95924.6,95926.6,95937.6,95095.5
8,96170,96146.8,96149.6,96161.7,95316.6
9,96390,96368.9,96372.6,96385.8,95537.8
10,96580,96591.1,96595.7,96609.9,95758.9
11,96830,96813.3,96818.7,96834,95980
12,97030,97035.5,97041.7,97058.1,96201.2
1,97570,97510.1,97491.4,97490.8,96643.4
2,97740,97732.1,97714.5,97714.2,96864.6
3,97970,97954,97937.6,97937.6,97085.7
4,98160,98176,98160.7,98161,97306.8
5,98380,98398,98383.8,98384.4,97528
6,98600,98619.9,98606.9,98607.8,97749.1
7,98790,98841.9,98830,98831.2,97970.2
8,99030,99063.9,99053.1,99054.7,98191.4
9,99290,99285.9,99276.2,99278.1,98412.5
10,99500,99507.8,99499.3,99501.5,98633.6
11,99710,99729.8,99722.5,99724.9,98854.8
12,99920,99951.8,99945.6,99948.3,99075.9
1,100180,100174,100169,100172,99297.1
2,100400,100396,100392,100395,99518.2
3,100610,100618,100615,100619,99739.3
4,100830,100840,100838,100842,99960.5
5,101030,101062,101061,101065,100182
6,101260,101284,101284,101289,100403
7,101490,101506,101507,101512,100624
8,101730,101728,101730,101736,100845
9,101950,101949,101954,101959,101066
10,102220,102171,102177,102182,101287
11,102450,102393,102400,102406,101508
12,102630,102615,102623,102629,101730
1,103120,103077,103064,103051,102172
2,103270,103299,103287,103275,102393
3,103480,103521,103510,103499,102614
4,103700,103743,103733,103723,102835
5,103940,103965,103956,103946,103056
6,104160,104187,104179,104170,103277
7,104400,104409,104402,104394,103499
8,104620,104631,104625,104617,103720
9,104860,104853,104848,104841,103941
10,105050,105075,105071,105065,104162
11,105280,105297,105294,105289,104383
12,105490,105519,105517,105512,104604
1,105720,105741,105740,105736,104825
2,105970,105963,105963,105960,105047
3,106170,106185,106186,106183,105268
4,106390,106407,106409,106407,105489
5,106650,106629,106632,106631,105710
6,106860,106851,106855,106855,105931
7,107080,107073,107078,107078,106152
8,107300,107295,107301,107302,106373
9,107540,107517,107524,107526,106594
10,107780,107739,107747,107750,106816
11,107990,107961,107970,107973,107037
12,108160,108183,108193,108197,107258
1,108740,108662,108646,108646,107700
2,108940,108884,108869,108869,107921
3,109110,109107,109093,109093,108142
4,109300,109329,109316,109317,108364
5,109530,109551,109539,109541,108585
6,109740,109773,109762,109764,108806
7,109980,109996,109985,109988,109027
8,110180,110218,110208,110212,109248
9,110440,110440,110432,110436,109469
10,110680,110663,110655,110659,109690
