Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,29570,29570,29570,29865.8,29570
2,29880,29816.5,29816.5,30092.7,29791.9
3,30110,30063,30063,30319.5,30013.7
4,30340,30309.6,30309.6,30546.4,30235.6
5,30600,30556.1,30556.1,30773.2,30457.5
6,30850,30802.6,30802.6,31000.1,30679.3
7,31140,31049.1,31049.1,31226.9,30901.2
8,31480,31295.7,31295.7,31453.8,31123.1
9,31830,31542.2,31542.2,31680.6,31344.9
10,32040,31788.7,31788.7,31907.5,31566.8
11,32230,32035.2,32035.2,32134.3,31788.6
12,32380,32281.7,32281.7,32361.2,32010.5
1,32610,32528.3,32528.3,32588,32232.4
2,32870,32774.8,32774.8,32814.9,32454.2
3,33080,33021.3,33021.3,33041.7,32676.1
4,33310,33267.8,33267.8,33268.6,32898
5,33550,33514.3,33514.3,33495.4,33119.8
6,33770,33760.9,33760.9,33722.2,33341.7
7,34010,34007.4,34007.4,33949.1,33563.6
8,34280,34253.9,34253.9,34175.9,33785.4
9,34510,34500.4,34500.4,34402.8,34007.3
10,34700,34747,34747,34629.6,34229.2
11,35010,34993.5,34993.5,34856.5,34451
12,35240,35240,35240,35083.3,34672.9
1,35680,35680.1,35697.8,35639.6,35116.6
2,35930,35903.8,35920.3,35866.4,35338.5
3,36140,36127.4,36142.8,36093.3,35560.4
4,36330,36351,36365.3,36320.1,35782.2
5,36560,36574.7,36587.8,36547,36004.1
6,36790,36798.3,36810.3,36773.8,36225.9
7,37010,37022,37032.9,37000.7,36447.8
8,37190,37245.6,37255.4,37227.5,36669.7
9,37430,37469.2,37477.9,37454.4,36891.5
10,37610,37692.9,37700.4,37681.2,37113.4
11,37850,37916.5,37922.9,37908.1,37335.3
12,38100,38140.2,38145.4,38134.9,37557.1
1,38380,38363.8,38367.9,38361.8,37779
2,38670,38587.4,38590.4,38588.6,38000.9
3,38840,38811.1,38812.9,38815.5,38222.7
4,39070,39034.7,39035.5,39042.3,38444.6
5,39310,39258.3,39258,39269.1,38666.5
6,39530,39482,39480.5,39496,38888.3
7,39710,39705.6,39703,39722.8,39110.2
8,39950,39929.3,39925.5,39949.7,39332.1
9,40160,40152.9,40148,40176.5,39553.9
10,40360,40376.5,40370.5,40403.4,39775.8
11,40570,40600.2,40593,40630.2,39997.7
12,40790,40823.8,40815.5,40857.1,40219.5
1,41210,41247.8,41250.4,41253.5,40663.2
2,41460,41470.5,41473,41475.6,40885.1
3,41680,41693.3,41695.6,41697.7,41107
4,41890,41916.1,41918.2,41919.8,41328.8
5,42140,42138.9,42140.8,42142,41550.7
6,42370,42361.6,42363.4,42364.1,41772.6
7,42600,42584.4,42586,42586.2,41994.4
8,42830,42807.2,42808.6,42808.3,42216.3
9,43070,43030,43031.2,43030.5,42438.2
10,43290,43252.7,43253.8,43252.6,42660
11,43490,43475.5,43476.5,43474.7,42881.9
12,43680,43698.3,43699.1,43696.9,43103.8
1,43890,43921.1,43921.7,43919,43325.6
2,44130,44143.8,44144.3,44141.1,43547.5
3,44340,44366.6,44366.9,44363.2,43769.4
4,44600,44589.4,44589.5,44585.4,43991.2
5,44790,44812.2,44812.1,44807.5,44213.1
6,45000,45034.9,45034.7,45029.6,44435
7,45230,45257.7,45257.3,45251.7,44656.8
8,45510,45480.5,45479.9,45473.9,44878.7
9,45720,45703.3,45702.5,45696,45100.5
10,45920,45926,45925.1,45918.1,45322.4
11,46170,46148.8,46147.7,46140.3,45544.3
12,46380,46371.6,46370.3,46362.4,45766.1
1,46810,46791.3,46801.7,46801,46209.9
2,47010,47013.5,47023.2,47022.3,46431.7
3,47220,47235.7,47244.7,47243.5,46653.6
4,47450,47457.9,47466.2,47464.8,46875.5
5,47690,47680.1,47687.8,47686.1,47097.3
6,47890,47902.2,47909.3,47907.4,47319.2
7,48130,48124.4,48130.8,48128.7,47541.1
8,48330,48346.6,48352.3,48350,47762.9
9,48560,48568.8,48573.8,48571.3,47984.8
10,48780,48791,48795.4,48792.6,48206.7
11,49040,49013.1,49016.9,49013.9,48428.5
12,49260,49235.3,49238.4,49235.2,48650.4
1,49490,49457.5,49459.9,49456.5,48872.3
2,49680,49679.7,49681.5,49677.8,49094.1
3,49890,49901.9,49903,49899.1,49316
4,50130,50124.1,50124.5,50120.4,49537.8
5,50320,50346.2,50346,50341.7,49759.7
6,50510,50568.4,50567.5,50562.9,49981.6
7,50760,50790.6,50789.1,50784.2,50203.4
8,51010,51012.8,51010.6,51005.5,50425.3
9,51240,51235,51232.1,51226.8,50647.2
10,51480,51457.2,51453.6,51448.1,50869
11,51670,51679.3,51675.2,51669.4,51090.9
12,51950,51901.5,51896.7,51890.7,51312.8
1,52290,52313.3,52328.4,52324.3,51756.5
2,52540,52535.3,52549.7,52545.2,51978.4
3,52740,52757.3,52770.9,52766,52200.2
4,52960,52979.3,52992.2,52986.8,52422.1
5,53200,53201.4,53213.4,53207.6,52644
6,53420,53423.4,53434.7,53428.4,52865.8
7,53640,53645.4,53655.9,53649.3,53087.7
8,53850,53867.4,53877.2,53870.1,53309.6
9,54090,54089.5,54098.4,54090.9,53531.4
10,54300,54311.5,54319.7,54311.7,53753.3
11,54530,54533.5,54540.9,54532.5,53975.1
12,54750,54755.5,54762.2,54753.3,54197
1,54940,54977.6,54983.5,54974.2,54418.9
2,55200,55199.6,55204.7,55195,54640.7
3,55420,55421.6,55426,55415.8,54862.6
4,55700,55643.6,55647.2,55636.6,55084.5
5,55880,55865.6,55868.5,55857.4,55306.3
6,56120,56087.7,56089.7,56078.2,55528.2
7,56300,56309.7,56311,56299.1,55750.1
8,56540,56531.7,56532.2,56519.9,55971.9
9,56750,56753.7,56753.5,56740.7,56193.8
10,56990,56975.8,56974.7,56961.5,56415.7
11,57190,57197.8,57196,57182.3,56637.5
12,57390,57419.8,57417.2,57403.2,56859.4
1,57840,57829.4,57847.1,57835.9,57303.1
2,58060,58051.3,58068,58057,57525
3,58250,58273.1,58289,58278,57746.9
4,58460,58495,58509.9,58499,57968.7
5,58690,58716.8,58730.9,58720.1,58190.6
6,58920,58938.7,58951.8,58941.1,58412.4
7,59130,59160.5,59172.8,59162.2,58634.3
8,59380,59382.4,59393.7,59383.2,58856.2
9,59620,59604.2,59614.7,59604.3,59078
10,59850,59826.1,59835.7,59825.3,59299.9
11,60060,60047.9,60056.6,60046.4,59521.8
12,60270,60269.8,60277.6,60267.4,59743.6
1,60540,60491.6,60498.5,60488.4,59965.5
2,60650,60713.5,60719.5,60709.5,60187.4
3,60900,60935.3,60940.4,60930.5,60409.2
4,61180,61157.2,61161.4,61151.6,60631.1
5,61410,61379,61382.3,61372.6,60853
6,61600,61600.9,61603.3,61593.7,61074.8
7,61800,61822.7,61824.2,61814.7,61296.7
8,62020,62044.6,62045.2,62035.7,61518.6
9,62280,62266.4,62266.1,62256.8,61740.4
10,62510,62488.3,62487.1,62477.8,61962.3
11,62710,62710.1,62708,62698.9,62184.2
12,62940,62931.9,62929,62919.9,62406
1,63340,63348,63368.9,63361,62849.7
2,63610,63570.6,63589.9,63582.4,63071.6
3,63800,63793.1,63810.9,63803.8,63293.5
4,64010,64015.7,64031.8,64025.2,63515.3
5,64210,64238.3,64252.8,64246.6,63737.2
6,64430,64460.9,64473.7,64468,63959.1
7,64640,64683.5,64694.7,64689.4,64180.9
8,64890,64906,64915.7,64910.8,64402.8
9,65130,65128.6,65136.6,65132.2,64624.7
10,65370,65351.2,65357.6,65353.6,64846.5
11,65570,65573.8,65578.6,65575,65068.4
12,65810,65796.4,65799.5,65796.4,65290.3
1,66040,66018.9,66020.5,66017.8,65512.1
2,66250,66241.5,66241.5,66239.2,65734
3,66470,66464.1,66462.4,66460.6,65955.9
4,66730,66686.7,66683.4,66682,66177.7
5,66910,66909.3,66904.3,66903.4,66399.6
6,67120,67131.8,67125.3,67124.8,66621.5
7,67310,67354.4,67346.3,67346.2,66843.3
8,67570,67577,67567.2,67567.6,67065.2
9,67780,67799.6,67788.2,67789,67287
10,68070,68022.2,68009.2,68010.4,67508.9
11,68260,68244.7,68230.1,68231.8,67730.8
12,68450,68467.3,68451.1,68453.2,67952.6
1,68930,68881.9,68895.8,68890.8,68396.4
2,69140,69104.3,69116.9,69112.4,68618.2
3,69330,69326.7,69338,69334,68840.1
4,69540,69549.1,69559.1,69555.6,69062
5,69750,69771.5,69780.2,69777.2,69283.8
6,69950,69993.9,70001.3,69998.8,69505.7
7,70180,70216.4,70222.4,70220.4,69727.6
8,70360,70438.8,70443.4,70442,69949.4
9,70700,70661.2,70664.5,70663.6,70171.3
10,70890,70883.6,70885.6,70885.2,70393.2
11,71130,71106,71106.7,71106.8,70615
12,71330,71328.4,71327.8,71328.4,70836.9
1,71550,71550.8,71548.9,71550,71058.8
2,71770,71773.2,71770,71771.6,71280.6
3,72020,71995.6,71991.1,71993.2,71502.5
4,72250,72218,72212.2,72214.7,71724.3
5,72430,72440.4,72433.3,72436.3,71946.2
6,72640,72662.8,72654.3,72657.9,72168.1
7,72840,72885.2,72875.4,72879.5,72389.9
