Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,83980,83980,83980,84246,83980
2,84290,84230,84230,84476.9,84199.9
3,84490,84480,84480,84707.7,84419.8
4,84790,84730,84730,84938.6,84639.7
5,85070,84980,84980,85169.4,84859.6
6,85310,85230,85230,85400.3,85079.5
7,85620,85480,85480,85631.1,85299.4
8,85890,85730,85730,85862,85519.3
9,86150,85980,85980,86092.8,85739.2
10,86330,86230,86230,86323.7,85959.1
11,86620,86480,86480,86554.6,86179
12,86850,86730,86730,86785.4,86398.9
1,87130,86980,86980,87016.3,86618.8
2,87280,87230,87230,87247.1,86838.7
3,87510,87480,87480,87478,87058.6
4,87820,87730,87730,87708.8,87278.4
5,88020,87980,87980,87939.7,87498.3
6,88240,88230,88230,88170.5,87718.2
7,88470,88480,88480,88401.4,87938.1
8,88700,88730,88730,88632.2,88158
9,88940,88980,88980,88863.1,88377.9
10,89100,89230,89230,89094,88597.8
11,89290,89480,89480,89324.8,88817.7
12,89730,89730,89730,89555.7,89037.6
1,90080,90121.7,90158.1,90066.4,89477.4
2,90310,90348.4,90382.5,90297.3,89697.3
3,90530,90575.1,90606.9,90528.1,89917.2
4,90730,90801.8,90831.3,90759,90137.1
5,90990,91028.5,91055.6,90989.8,90357
6,91250,91255.2,91280,91220.7,90576.9
7,91510,91481.9,91504.4,91451.5,90796.8
8,91740,91708.6,91728.7,91682.4,91016.7
9,91940,91935.3,91953.1,91913.3,91236.6
10,92120,92162,92177.5,92144.1,91456.5
11,92340,92388.7,92401.8,92375,91676.4
12,92620,92615.4,92626.2,92605.8,91896.3
1,92860,92842,92850.6,92836.7,92116.2
2,93090,93068.7,93074.9,93067.5,92336.1
3,93300,93295.4,93299.3,93298.4,92556
4,93620,93522.1,93523.7,93529.2,92775.9
5,93720,93748.8,93748,93760.1,92995.8
6,94000,93975.5,93972.4,93991,93215.7
7,94160,94202.2,94196.8,94221.8,93435.6
8,94500,94428.9,94421.1,94452.7,93655.5
9,94670,94655.6,94645.5,94683.5,93875.3
10,94810,94882.3,94869.9,94914.4,94095.2
11,95040,95109,95094.2,95145.2,94315.1
12,95380,95335.7,95318.6,95376.1,94535
1,95850,95779.7,95778.4,95764.4,94974.8
2,96030,96004.5,96003.4,95990.8,95194.7
3,96230,96229.4,96228.3,96217.2,95414.6
4,96410,96454.3,96453.3,96443.6,95634.5
5,96650,96679.1,96678.2,96670,95854.4
6,96910,96904,96903.1,96896.4,96074.3
7,97130,97128.9,97128.1,97122.8,96294.2
8,97360,97353.7,97353,97349.2,96514.1
9,97570,97578.6,97578,97575.5,96734
10,97760,97803.4,97802.9,97801.9,96953.9
11,97980,98028.3,98027.8,98028.3,97173.8
12,98270,98253.2,98252.8,98254.7,97393.7
1,98560,98478,98477.7,98481.1,97613.6
2,98710,98702.9,98702.7,98707.5,97833.5
3,98960,98927.8,98927.6,98933.9,98053.4
4,99210,99152.6,99152.5,99160.3,98273.3
5,99380,99377.5,99377.5,99386.7,98493.2
6,99630,99602.3,99602.4,99613.1,98713.1
7,99800,99827.2,99827.4,99839.5,98933
8,100040,100052,100052,100066,99152.9
9,100240,100277,100277,100292,99372.8
10,100450,100502,100502,100519,99592.7
11,100690,100727,100727,100745,99812.6
12,101010,100952,100952,100971,100032
1,101430,101390,101396,101380,100472
2,101660,101614,101620,101605,100692
3,101820,101838,101843,101829,100912
4,102020,102062,102067,102054,101132
5,102260,102286,102291,102279,101352
6,102500,102510,102514,102504,101572
7,102730,102734,102738,102729,101792
8,102960,102959,102962,102954,102012
9,103160,103183,103185,103179,102231
10,103350,103407,103409,103404,102451
11,103630,103631,103633,103629,102671
12,103900,103855,103856,103854,102891
1,104100,104079,104080,104079,103111
2,104310,104303,104304,104304,103331
3,104550,104527,104527,104529,103551
4,104790,104751,104751,104754,103771
5,104990,104975,104975,104979,103991
6,105200,105199,105198,105204,104210
7,105400,105423,105422,105429,104430
8,105670,105647,105646,105654,104650
