Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,49800,49800,49800,49979.8,49800
2,50000,50047,50047,50211.4,50020.9
3,50230,50293.9,50293.9,50442.9,50241.8
4,50490,50540.9,50540.9,50674.4,50462.8
5,50820,50787.8,50787.8,50906,50683.7
6,51040,51034.8,51034.8,51137.5,50904.6
7,51360,51281.7,51281.7,51369.1,51125.5
8,51630,51528.7,51528.7,51600.6,51346.5
9,51890,51775.7,51775.7,51832.1,51567.4
10,52140,52022.6,52022.6,52063.7,51788.3
11,52310,52269.6,52269.6,52295.2,52009.2
12,52610,52516.5,52516.5,52526.7,52230.2
1,52790,52763.5,52763.5,52758.3,52451.1
2,53020,53010.4,53010.4,52989.8,52672
3,53260,53257.4,53257.4,53221.3,52892.9
4,53520,53504.3,53504.3,53452.9,53113.9
5,53770,53751.3,53751.3,53684.4,53334.8
6,53980,53998.3,53998.3,53915.9,53555.7
7,54220,54245.2,54245.2,54147.5,53776.6
8,54450,54492.2,54492.2,54379,53997.6
9,54690,54739.1,54739.1,54610.6,54218.5
10,54860,54986.1,54986.1,54842.1,54439.4
11,55060,55233,55233,55073.6,54660.3
12,55480,55480,55480,55305.2,54881.3
1,55870,55883.8,55914.1,55823.2,55323.1
2,56120,56110.6,56139,56054.7,55544
3,56310,56337.4,56363.9,56286.2,55765
4,56530,56564.2,56588.7,56517.8,55985.9
5,56760,56791,56813.6,56749.3,56206.8
6,56990,57017.8,57038.5,56980.9,56427.7
7,57210,57244.6,57263.3,57212.4,56648.7
8,57450,57471.4,57488.2,57443.9,56869.6
9,57660,57698.2,57713.1,57675.5,57090.5
10,57880,57925,57937.9,57907,57311.4
11,58120,58151.8,58162.8,58138.5,57532.4
12,58390,58378.6,58387.6,58370.1,57753.3
1,58650,58605.4,58612.5,58601.6,57974.2
2,58840,58832.2,58837.4,58833.1,58195.1
3,59070,59059,59062.2,59064.7,58416.1
4,59340,59285.8,59287.1,59296.2,58637
5,59560,59512.6,59512,59527.7,58857.9
6,59760,59739.4,59736.8,59759.3,59078.8
7,59970,59966.2,59961.7,59990.8,59299.8
8,60200,60193,60186.6,60222.4,59520.7
9,60430,60419.8,60411.4,60453.9,59741.6
10,60620,60646.6,60636.3,60685.4,59962.5
11,60810,60873.4,60861.2,60917,60183.5
12,61120,61100.2,61086,61148.5,60404.4
1,61600,61560.5,61554.3,61537.8,60846.2
2,61840,61785,61779.2,61764.5,61067.2
3,62030,62009.5,62004.1,61991.2,61288.1
4,62210,62234,62229,62217.9,61509
5,62450,62458.5,62453.9,62444.7,61729.9
6,62680,62683,62678.8,62671.4,61950.9
7,62900,62907.5,62903.7,62898.1,62171.8
8,63130,63132,63128.5,63124.8,62392.7
9,63330,63356.5,63353.4,63351.5,62613.6
10,63570,63580.9,63578.3,63578.2,62834.6
11,63770,63805.4,63803.2,63804.9,63055.5
12,64030,64029.9,64028.1,64031.6,63276.4
1,64280,64254.4,64253,64258.4,63497.3
2,64510,64478.9,64477.9,64485.1,63718.3
3,64720,64703.4,64702.7,64711.8,63939.2
4,64960,64927.9,64927.6,64938.5,64160.1
5,65160,65152.4,65152.5,65165.2,64381
6,65360,65376.9,65377.4,65391.9,64602
7,65600,65601.4,65602.3,65618.6,64822.9
8,65820,65825.9,65827.2,65845.3,65043.8
9,66060,66050.4,66052,66072.1,65264.7
10,66260,66274.9,66276.9,66298.8,65485.7
11,66460,66499.3,66501.8,66525.5,65706.6
12,66750,66723.8,66726.7,66752.2,65927.5
1,67220,67180.9,67179.2,67162.1,66369.4
2,67450,67404.1,67402.6,67387,66590.3
3,67650,67627.4,67626,67611.9,66811.2
4,67850,67850.7,67849.4,67836.9,67032.1
5,68040,68074,68072.7,68061.8,67253.1
6,68280,68297.2,68296.1,68286.7,67474
7,68510,68520.5,68519.5,68511.7,67694.9
8,68720,68743.8,68742.9,68736.6,67915.8
9,68940,68967.1,68966.3,68961.5,68136.8
10,69160,69190.3,69189.6,69186.4,68357.7
11,69390,69413.6,69413,69411.4,68578.6
12,69630,69636.9,69636.4,69636.3,68799.5
1,69890,69860.1,69859.8,69861.2,69020.5
