Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,63130,63130,63130,63338.7,63130
2,63420,63374.8,63374.8,63569.2,63350.1
3,63630,63619.6,63619.6,63799.7,63570.1
4,63920,63864.3,63864.3,64030.1,63790.2
5,64160,64109.1,64109.1,64260.6,64010.3
6,64440,64353.9,64353.9,64491.1,64230.4
7,64700,64598.7,64598.7,64721.6,64450.4
8,64990,64843.5,64843.5,64952,64670.5
9,65240,65088.3,65088.3,65182.5,64890.6
10,65390,65333,65333,65413,65110.7
11,65600,65577.8,65577.8,65643.5,65330.7
12,65870,65822.6,65822.6,65873.9,65550.8
1,66170,66067.4,66067.4,66104.4,65770.9
2,66420,66312.2,66312.2,66334.9,65991
3,66630,66557,66557,66565.4,66211
4,66910,66801.7,66801.7,66795.8,66431.1
5,67140,67046.5,67046.5,67026.3,66651.2
6,67350,67291.3,67291.3,67256.8,66871.3
7,67560,67536.1,67536.1,67487.3,67091.3
8,67750,67780.9,67780.9,67717.7,67311.4
9,67970,68025.7,68025.7,67948.2,67531.5
10,68180,68270.4,68270.4,68178.7,67751.6
11,68410,68515.2,68515.2,68409.2,67971.6
12,68760,68760,68760,68639.6,68191.7
1,69220,69196.3,69214.1,69143.3,68631.9
2,69460,69422.5,69439.2,69373.8,68851.9
3,69640,69648.7,69664.2,69604.2,69072
4,69850,69874.9,69889.3,69834.7,69292.1
5,70080,70101,70114.3,70065.2,69512.2
6,70330,70327.2,70339.4,70295.7,69732.2
7,70510,70553.4,70564.4,70526.1,69952.3
8,70740,70779.6,70789.5,70756.6,70172.4
9,70960,71005.8,71014.5,70987.1,70392.4
10,71210,71232,71239.5,71217.6,70612.5
11,71410,71458.1,71464.6,71448,70832.6
12,71680,71684.3,71689.6,71678.5,71052.7
1,71970,71910.5,71914.7,71909,71272.7
2,72120,72136.7,72139.7,72139.5,71492.8
3,72360,72362.9,72364.8,72369.9,71712.9
4,72620,72589,72589.8,72600.4,71933
5,72820,72815.2,72814.8,72830.9,72153
6,73040,73041.4,73039.9,73061.4,72373.1
7,73280,73267.6,73264.9,73291.8,72593.2
8,73530,73493.8,73490,73522.3,72813.3
9,73680,73720,73715,73752.8,73033.3
10,73900,73946.1,73940.1,73983.3,73253.4
11,74180,74172.3,74165.1,74213.7,73473.5
12,74460,74398.5,74390.2,74444.2,73693.6
1,74850,74840.6,74839.9,74822.1,74133.7
2,75060,75065.4,75064.8,75048.5,74353.8
3,75290,75290.1,75289.6,75274.8,74573.9
4,75480,75514.9,75514.4,75501.2,74793.9
5,75710,75739.7,75739.3,75727.6,75014
6,75960,75964.5,75964.1,75954,75234.1
7,76230,76189.3,76188.9,76180.3,75454.2
8,76430,76414.1,76413.8,76406.7,75674.2
9,76660,76638.9,76638.6,76633.1,75894.3
10,76900,76863.7,76863.4,76859.5,76114.4
11,77080,77088.5,77088.2,77085.9,76334.5
12,77360,77313.3,77313.1,77312.2,76554.5
1,77500,77538.1,77537.9,77538.6,76774.6
2,77730,77762.9,77762.7,77765,76994.7
3,77960,77987.6,77987.6,77991.4,77214.7
4,78220,78212.4,78212.4,78217.7,77434.8
5,78450,78437.2,78437.2,78444.1,77654.9
6,78640,78662,78662.1,78670.5,77875
7,78860,78886.8,78886.9,78896.9,78095
8,79140,79111.6,79111.7,79123.2,78315.1
