Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,95330,95330,95330,95516.9,95330
2,95600,95573.9,95573.9,95745.1,95551.8
3,95820,95817.8,95817.8,95973.2,95773.5
4,96050,96061.7,96061.7,96201.4,95995.3
5,96350,96305.7,96305.7,96429.6,96217
6,96530,96549.6,96549.6,96657.7,96438.8
7,96830,96793.5,96793.5,96885.9,96660.5
8,97060,97037.4,97037.4,97114.1,96882.3
9,97370,97281.3,97281.3,97342.2,97104
10,97570,97525.2,97525.2,97570.4,97325.8
11,97800,97769.1,97769.1,97798.6,97547.5
12,98130,98013,98013,98026.7,97769.3
1,98290,98257,98257,98254.9,97991
2,98510,98500.9,98500.9,98483.1,98212.8
3,98810,98744.8,98744.8,98711.3,98434.5
4,99030,98988.7,98988.7,98939.4,98656.3
5,99290,99232.6,99232.6,99167.6,98878
6,99470,99476.5,99476.5,99395.8,99099.8
7,99730,99720.4,99720.4,99623.9,99321.6
8,99900,99964.3,99964.3,99852.1,99543.3
9,100090,100208,100208,100080,99765.1
10,100330,100452,100452,100308,99986.8
11,100550,100696,100696,100537,100209
12,100940,100940,100940,100765,100430
1,101340,101316,101354,101250,100874
2,101520,101539,101575,101478,101096
3,101720,101763,101795,101706,101317
4,101930,101986,102016,101934,101539
5,102180,102209,102237,102162,101761
6,102410,102432,102457,102391,101983
7,102640,102655,102678,102619,102204
8,102890,102878,102898,102847,102426
9,103060,103101,103119,103075,102648
10,103240,103324,103340,103303,102870
11,103460,103547,103560,103531,103091
12,103860,103770,103781,103760,103313
1,104040,103993,104002,103988,103535
2,104210,104216,104222,104216,103757
3,104480,104439,104443,104444,103978
4,104640,104662,104664,104672,104200
5,104860,104885,104884,104901,104422
6,105130,105108,105105,105129,104644
7,105340,105331,105326,105357,104865
8,105550,105554,105546,105585,105087
9,105770,105777,105767,105813,105309
10,105970,106000,105988,106041,105531
11,106210,106223,106208,106270,105752
12,106520,106446,106429,106498,105974
1,107000,106913,106902,106906,106418
2,107180,107136,107126,107130,106639
3,107380,107359,107350,107354,106861
4,107570,107582,107574,107579,107083
5,107810,107805,107797,107803,107305
6,108020,108028,108021,108027,107526
7,108230,108251,108245,108251,107748
8,108490,108475,108469,108475,107970
9,108670,108698,108692,108699,108192
10,108880,108921,108916,108923,108413
11,109130,109144,109140,109147,108635
12,109400,109367,109364,109371,108857
1,109640,109590,109587,109595,109079
2,109800,109813,109811,109819,109300
3,110070,110036,110035,110044,109522
4,110290,110259,110259,110268,109744
5,110460,110482,110483,110492,109966
6,110680,110705,110706,110716,110187
7,110910,110929,110930,110940,110409
8,111150,111152,111154,111164,110631
9,111380,111375,111378,111388,110853
10,111560,111598,111601,111612,111074
11,111800,111821,111825,111836,111296
12,112100,112044,112049,112060,111518
1,112530,112481,112486,112446,111961
2,112700,112702,112706,112669,112183
3,112910,112922,112926,112892,112405
4,113120,113142,113146,113116,112627
5,113350,113363,113366,113339,112848
6,113550,113583,113586,113562,113070
7,113800,113803,113806,113786,113292
8,114030,114024,114026,114009,113514
9,114240,114244,114246,114232,113735
10,114460,114464,114466,114455,113957
11,114690,114684,114686,114679,114179
12,114970,114905,114906,114902,114401
1,115160,115125,115126,115125,114623
2,115330,115345,115346,115349,114844
3,115580,115566,115566,115572,115066
4,115740,115786,115786,115795,115288
5,115950,116006,116006,116019,115510
6,116180,116227,116226,116242,115731
7,116410,116447,116446,116465,115953
8,116680,116667,116666,116689,116175
9,116820,116887,116886,116912,116397
10,117120,117108,117106,117135,116618
11,117350,117328,117326,117359,116840
12,117660,117548,117546,117582,117062
1,118130,118013,118020,118010,117505
2,118290,118236,118241,118234,117727
3,118510,118459,118462,118458,117949
4,118670,118682,118683,118681,118171
5,118890,118905,118904,118905,118392
6,119100,119128,119125,119129,118614
7,119330,119352,119346,119353,118836
8,119520,119575,119567,119577,119058
9,119750,119798,119788,119801,119279
10,119970,120021,120009,120025,119501
11,120250,120244,120230,120249,119723
12,120450,120467,120451,120473,119945
1,120770,120690,120672,120697,120166
2,120920,120913,120893,120920,120388
3,121190,121136,121114,121144,120610
4,121370,121359,121335,121368,120832
5,121610,121582,121556,121592,121053
6,121830,121805,121777,121816,121275
7,122040,122028,121998,122040,121497
8,122250,122251,122219,122264,121719
9,122480,122474,122440,122488,121940
10,122660,122697,122661,122712,122162
11,122870,122920,122882,122936,122384
12,123180,123144,123103,123159,122606
1,123610,123583,123574,123580,123049
2,123830,123806,123796,123803,123271
3,124020,124029,124018,124026,123493
4,124230,124252,124239,124249,123714
5,124480,124474,124461,124472,123936
6,124680,124697,124683,124695,124158
7,124910,124920,124905,124918,124380
8,125130,125143,125127,125141,124601
9,125350,125366,125349,125364,124823
10,125620,125589,125571,125587,125045
11,125790,125811,125792,125810,125267
12,126040,126034,126014,126033,125488
1,126210,126257,126236,126256,125710
2,126440,126480,126458,126479,125932
3,126710,126703,126680,126702,126154
4,126930,126925,126902,126924,126375
5,127170,127148,127124,127147,126597
6,127370,127371,127345,127370,126819
7,127590,127594,127567,127593,127041
8,127810,127817,127789,127816,127262
9,128040,128040,128011,128039,127484
10,128250,128262,128233,128262,127706
11,128500,128485,128455,128485,127928
12,128750,128708,128677,128708,128149
1,129140,129129,129118,129107,128593
2,129360,129351,129340,129330,128815
3,129540,129572,129562,129552,129036
4,129760,129793,129784,129775,129258
5,129980,130014,130006,129998,129480
6,130210,130236,130228,130220,129702
7,130450,130457,130449,130443,129923
8,130680,130678,130671,130666,130145
9,130860,130899,130893,130888,130367
10,131100,131120,131115,131111,130589
11,131330,131342,131337,131334,130810
12,131560,131563,131558,131556,131032
1,131830,131784,131780,131779,131254
2,131990,132005,132002,132001,131476
3,132240,132227,132224,132224,131697
4,132440,132448,132446,132447,131919
5,132650,132669,132668,132669,132141
6,132860,132890,132889,132892,132363
7,133090,133112,133111,133115,132584
8,133320,133333,133333,133337,132806
9,133570,133554,133555,133560,133028
10,133800,133775,133777,133783,133250
11,133980,133997,133999,134005,133472
12,134280,134218,134220,134228,133693
1,134670,134651,134663,134646,134137
2,134870,134874,134885,134870,134359
3,135070,135097,135107,135093,134580
4,135310,135320,135329,135316,134802
5,135540,135543,135551,135539,135024
6,135730,135766,135773,135762,135246
7,135960,135989,135994,135985,135467
8,136210,136212,136216,136208,135689
9,136390,136435,136438,136432,135911
10,136640,136658,136660,136655,136133
11,136880,136881,136882,136878,136354
12,137100,137104,137104,137101,136576
1,137380,137327,137326,137324,136798
2,137530,137550,137548,137547,137020
3,137790,137773,137770,137770,137241
4,138020,137995,137991,137993,137463
5,138200,138218,138213,138217,137685
6,138450,138441,138435,138440,137907
7,138660,138664,138657,138663,138128
8,138900,138887,138879,138886,138350
9,139110,139110,139101,139109,138572
10,139290,139333,139323,139332,138794
11,139560,139556,139545,139555,139015
12,139840,139779,139766,139779,139237
1,140260,140208,140209,140190,139681
2,140420,140430,140431,140414,139902
3,140640,140652,140653,140637,140124
4,140850,140874,140875,140861,140346
5,141070,141096,141097,141084,140568
6,141290,141318,141319,141308,140789
7,141530,141540,141541,141531,141011
8,141760,141763,141763,141754,141233
9,141970,141985,141984,141978,141455
10,142190,142207,142206,142201,141676
11,142430,142429,142428,142425,141898
12,142680,142651,142650,142648,142120
1,142930,142873,142872,142872,142342
2,143080,143095,143094,143095,142563
3,143320,143317,143316,143319,142785
4,143540,143540,143538,143542,143007
5,143730,143762,143759,143766,143229
6,143950,143984,143981,143989,143450
7,144190,144206,144203,144212,143672
8,144450,144428,144425,144436,143894
9,144640,144650,144647,144659,144116
10,144870,144872,144869,144883,144337
11,145090,145094,145091,145106,144559
12,145360,145317,145313,145330,144781
1,145780,145748,145763,145745,145224
2,145990,145972,145985,145969,145446
3,146190,146196,146208,146193,145668
4,146390,146420,146430,146417,145890
5,146620,146643,146652,146641,146111
6,146830,146867,146874,146865,146333
7,147060,147091,147096,147089,146555
8,147330,147315,147318,147313,146777
9,147490,147539,147541,147537,146998
10,147730,147763,147763,147761,147220
11,147990,147987,147985,147985,147442
12,148200,148211,148207,148209,147664
1,148480,148435,148429,148433,147885
2,148660,148659,148651,148657,148107
3,148870,148883,148874,148881,148329
4,149110,149106,149096,149105,148551
5,149320,149330,149318,149329,148772
6,149570,149554,149540,149553,148994
7,149800,149778,149762,149777,149216
8,150070,150002,149984,150000,149438
9,150190,150226,150207,150224,149659
10,150430,150450,150429,150448,149881
11,150640,150674,150651,150672,150103
12,150960,150898,150873,150896,150325
1,151370,151327,151328,151321,150768
2,151570,151551,151550,151545,150990
3,151770,151774,151773,151769,151212
4,151990,151997,151995,151992,151433
5,152220,152220,152218,152216,151655
6,152430,152443,152440,152440,151877
7,152660,152666,152663,152663,152099
8,152880,152889,152885,152887,152321
9,153050,153113,153108,153110,152542
10,153280,153336,153330,153334,152764
11,153610,153559,153553,153558,152986
12,153800,153782,153775,153781,153208
1,154040,154005,153998,154005,153429
2,154200,154228,154220,154228,153651
3,154450,154452,154443,154452,153873
4,154680,154675,154665,154676,154095
5,154890,154898,154887,154899,154316
6,155120,155121,155110,155123,154538
7,155320,155344,155332,155346,154760
8,155550,155567,155555,155570,154982
9,155820,155790,155777,155794,155203
10,156010,156014,156000,156017,155425
11,156200,156237,156222,156241,155647
12,156520,156460,156445,156464,155869
1,156890,156881,156884,156872,156312
2,157130,157104,157106,157095,156534
3,157320,157326,157329,157318,156756
4,157550,157549,157551,157541,156977
5,157750,157771,157773,157764,157199
6,157960,157994,157996,157987,157421
7,158190,158216,158218,158210,157643
8,158420,158438,158440,158433,157864
9,158630,158661,158663,158656,158086
10,158870,158883,158885,158879,158308
11,159090,159106,159107,159102,158530
12,159370,159328,159330,159325,158751
1,159580,159551,159552,159548,158973
2,159760,159773,159774,159771,159195
3,159990,159995,159997,159994,159417
4,160220,160218,160219,160217,159638
5,160430,160440,160441,160439,159860
6,160640,160663,160664,160662,160082
7,160870,160885,160886,160885,160304
8,161110,161108,161108,161108,160525
9,161300,161330,161331,161331,160747
10,161560,161552,161553,161554,160969
11,161770,161775,161776,161777,161191
12,162070,161997,161998,162000,161412
1,162460,162417,162431,162411,161856
2,162670,162640,162653,162634,162078
3,162860,162863,162875,162857,162299
4,163060,163086,163097,163080,162521
5,163280,163308,163319,163303,162743
6,163480,163531,163541,163526,162965
7,163710,163754,163763,163749,163186
8,163950,163976,163985,163972,163408
9,164170,164199,164208,164195,163630
10,164440,164422,164430,164418,163852
11,164670,164645,164652,164641,164073
12,164880,164867,164874,164864,164295
1,165100,165090,165096,165087,164517
2,165290,165313,165318,165310,164739
3,165510,165535,165540,165533,164960
4,165750,165758,165762,165756,165182
5,165970,165981,165984,165979,165404
6,166190,166204,166206,166202,165626
7,166400,166426,166428,166425,165847
8,166630,166649,166650,166648,166069
9,166880,166872,166872,166871,166291
10,167110,167094,167094,167094,166513
11,167320,167317,167317,167317,166734
12,167630,167540,167539,167540,166956
1,167990,167962,167975,167947,167400
2,168200,168184,168197,168171,167621
3,168410,168407,168419,168394,167843
4,168610,168630,168641,168618,168065
5,168830,168852,168863,168842,168287
6,169050,169075,169084,169066,168508
7,169280,169298,169306,169290,168730
8,169510,169520,169528,169513,168952
9,169720,169743,169750,169737,169174
10,169970,169966,169972,169961,169395
11,170180,170188,170194,170185,169617
12,170460,170411,170416,170409,169839
1,170650,170634,170638,170632,170061
2,170830,170856,170860,170856,170282
3,171080,171079,171082,171080,170504
4,171270,171302,171303,171304,170726
5,171510,171524,171525,171527,170948
6,171720,171747,171747,171751,171170
7,171970,171970,171969,171975,171391
8,172190,172192,172191,172199,171613
9,172410,172415,172413,172423,171835
10,172650,172638,172635,172646,172057
11,172840,172860,172857,172870,172278
12,173160,173083,173079,173094,172500
2,173570,173526,173535,173531,172944
1,173800,173750,173758,173754,173165
3,174010,173973,173980,173978,173387
5,174180,174197,174202,174201,173609
4,174410,174420,174424,174424,173831
