Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,61150,61150,61150,61303.8,61150
2,61400,61392.2,61392.2,61535.9,61377.2
3,61620,61634.3,61634.3,61767.9,61604.3
4,61920,61876.5,61876.5,62000,61831.5
5,62190,62118.7,62118.7,62232.1,62058.6
6,62440,62360.9,62360.9,62464.1,62285.8
7,62720,62603,62603,62696.2,62513
8,62940,62845.2,62845.2,62928.2,62740.1
9,63150,63087.4,63087.4,63160.3,62967.3
10,63370,63329.6,63329.6,63392.4,63194.4
11,63610,63571.7,63571.7,63624.4,63421.6
12,63870,63813.9,63813.9,63856.5,63648.7
1,64100,64056.1,64056.1,64088.5,63875.9
2,64310,64298.3,64298.3,64320.6,64103.1
3,64570,64540.4,64540.4,64552.6,64330.2
4,64800,64782.6,64782.6,64784.7,64557.4
5,65090,65024.8,65024.8,65016.8,64784.5
6,65320,65267,65267,65248.8,65011.7
7,65580,65509.1,65509.1,65480.9,65238.9
8,65810,65751.3,65751.3,65712.9,65466
9,66040,65993.5,65993.5,65945,65693.2
10,66210,66235.7,66235.7,66177.1,65920.3
11,66410,66477.8,66477.8,66409.1,66147.5
12,66720,66720,66720,66641.2,66374.6
1,67240,67197.5,67199.6,67149.2,66829
2,67430,67425.4,67427.4,67381.3,67056.1
3,67670,67653.3,67655.2,67613.4,67283.3
4,67870,67881.2,67882.9,67845.4,67510.4
5,68110,68109.1,68110.7,68077.5,67737.6
6,68340,68337,68338.5,68309.5,67964.8
7,68590,68564.9,68566.2,68541.6,68191.9
8,68780,68792.8,68794,68773.7,68419.1
9,68990,69020.7,69021.8,69005.7,68646.2
10,69230,69248.6,69249.5,69237.8,68873.4
11,69430,69476.5,69477.3,69469.8,69100.5
12,69710,69704.4,69705.1,69701.9,69327.7
1,69940,69932.3,69932.8,69933.9,69554.9
2,70120,70160.2,70160.6,70166,69782
3,70380,70388.1,70388.4,70398.1,70009.2
4,70610,70616,70616.1,70630.1,70236.3
5,70840,70843.9,70843.9,70862.2,70463.5
6,71060,71071.9,71071.7,71094.2,70690.7
7,71300,71299.8,71299.4,71326.3,70917.8
8,71540,71527.7,71527.2,71558.4,71145
9,71770,71755.6,71755,71790.4,71372.1
10,71980,71983.5,71982.7,72022.5,71599.3
11,72210,72211.4,72210.5,72254.5,71826.4
12,72490,72439.3,72438.3,72486.6,72053.6
1,72970,72910.5,72901.5,72884.5,72507.9
2,73150,73136.3,73127.9,73112.6,72735.1
3,73390,73362.2,73354.4,73340.7,72962.2
4,73570,73588.1,73580.8,73568.8,73189.4
5,73760,73814,73807.3,73796.9,73416.6
6,73990,74039.8,74033.7,74024.9,73643.7
7,74250,74265.7,74260.2,74253,73870.9
8,74480,74491.6,74486.6,74481.1,74098
9,74710,74717.5,74713.1,74709.2,74325.2
10,74940,74943.3,74939.5,74937.3,74552.4
11,75150,75169.2,75166,75165.4,74779.5
12,75370,75395.1,75392.4,75393.5,75006.7
1,75650,75621,75618.9,75621.5,75233.8
2,75860,75846.9,75845.3,75849.6,75461
3,76110,76072.7,76071.8,76077.7,75688.1
4,76320,76298.6,76298.2,76305.8,75915.3
5,76540,76524.5,76524.7,76533.9,76142.5
6,76740,76750.4,76751.1,76762,76369.6
7,76950,76976.2,76977.6,76990.1,76596.8
8,77210,77202.1,77204,77218.1,76823.9
9,77440,77428,77430.5,77446.2,77051.1
10,77650,77653.9,77656.9,77674.3,77278.3
11,77850,77879.7,77883.4,77902.4,77505.4
12,78130,78105.6,78109.8,78130.5,77732.6
1,78610,78555.2,78555.7,78540.8,78186.9
2,78800,78781.5,78781.9,78768.2,78414
3,79020,79007.7,79008.1,78995.5,78641.2
4,79220,79233.9,79234.3,79222.9,78868.4
5,79430,79460.2,79460.5,79450.2,79095.5
6,79660,79686.4,79686.7,79677.6,79322.7
7,79920,79912.7,79912.9,79905,79549.8
8,80140,80138.9,80139.2,80132.3,79777
9,80310,80365.2,80365.4,80359.7,80004.2
10,80560,80591.4,80591.6,80587,80231.3
11,80810,80817.6,80817.8,80814.4,80458.5
12,81020,81043.9,81044,81041.7,80685.6
1,81300,81270.1,81270.2,81269.1,80912.8
2,81470,81496.4,81496.4,81496.5,81139.9
3,81750,81722.6,81722.6,81723.8,81367.1
4,81930,81948.8,81948.9,81951.2,81594.3
5,82160,82175.1,82175.1,82178.5,81821.4
6,82390,82401.3,82401.3,82405.9,82048.6
7,82620,82627.6,82627.5,82633.2,82275.7
8,82860,82853.8,82853.7,82860.6,82502.9
9,83080,83080,83079.9,83087.9,82730.1
10,83330,83306.3,83306.1,83315.3,82957.2
11,83550,83532.5,83532.4,83542.7,83184.4
12,83790,83758.8,83758.6,83770,83411.5
1,84230,84208.4,84209.2,84198.9,83865.8
2,84440,84434.6,84435.4,84425.8,84093
3,84670,84660.8,84661.6,84652.8,84320.2
4,84870,84887,84887.8,84879.7,84547.3
5,85090,85113.3,85113.9,85106.7,84774.5
