Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,139140,139140,139140,139256,139140
2,139410,139378,139378,139486,139367
3,139610,139617,139617,139715,139594
4,139870,139855,139855,139945,139821
5,140090,140093,140093,140175,140048
6,140330,140331,140331,140404,140275
7,140600,140570,140570,140634,140502
8,140860,140808,140808,140864,140729
9,141060,141046,141046,141093,140956
10,141240,141284,141284,141323,141183
11,141540,141523,141523,141553,141410
12,141840,141761,141761,141782,141637
1,142060,141999,141999,142012,141864
2,142270,142237,142237,142242,142091
3,142520,142476,142476,142471,142317
4,142720,142714,142714,142701,142544
5,142940,142952,142952,142931,142771
6,143200,143190,143190,143160,142998
7,143460,143429,143429,143390,143225
8,143730,143667,143667,143620,143452
9,143920,143905,143905,143849,143679
10,144130,144143,144143,144079,143906
11,144370,144382,144382,144309,144133
12,144620,144620,144620,144538,144360
1,145100,145051,145066,145025,144814
2,145290,145279,145293,145254,145041
3,145520,145506,145520,145484,145268
4,145680,145734,145746,145714,145495
5,145940,145962,145973,145943,145722
6,146160,146189,146200,146173,145949
7,146400,146417,146426,146403,146176
8,146630,146645,146653,146632,146403
9,146830,146872,146880,146862,146630
10,147070,147100,147106,147092,146857
11,147330,147327,147333,147321,147084
12,147590,147555,147560,147551,147311
1,147810,147783,147786,147781,147538
2,148000,148010,148013,148010,147765
3,148220,148238,148240,148240,147992
4,148470,148466,148466,148470,148219
5,148680,148693,148693,148699,148446
6,148900,148921,148920,148929,148672
7,149130,149149,149146,149159,148899
8,149380,149376,149373,149388,149126
9,149600,149604,149600,149618,149353
10,149840,149832,149826,149848,149580
11,150070,150059,150053,150077,149807
12,150340,150287,150280,150307,150034
1,150760,150714,150722,150707,150488
2,150930,150940,150947,150933,150715
3,151160,151166,151172,151160,150942
4,151380,151392,151398,151386,151169
5,151600,151617,151623,151612,151396
6,151820,151843,151848,151839,151623
7,152090,152069,152074,152065,151850
8,152310,152295,152299,152291,152077
9,152480,152521,152524,152518,152304
10,152750,152746,152749,152744,152531
11,152960,152972,152975,152970,152758
12,153220,153198,153200,153197,152985
1,153450,153424,153425,153423,153212
2,153630,153649,153651,153650,153439
3,153880,153875,153876,153876,153666
4,154080,154101,154101,154102,153893
5,154320,154327,154327,154329,154120
6,154520,154553,154552,154555,154347
7,154780,154778,154777,154781,154574
8,155020,155004,155003,155008,154800
9,155210,155230,155228,155234,155027
10,155420,155456,155453,155460,155254
11,155710,155681,155679,155687,155481
12,155960,155907,155904,155913,155708
1,156370,156328,156339,156322,156162
2,156550,156553,156563,156548,156389
3,156780,156778,156788,156773,156616
4,157010,157003,157012,156999,156843
5,157210,157228,157236,157224,157070
6,157440,157453,157461,157449,157297
7,157680,157678,157685,157675,157524
8,157930,157903,157909,157900,157751
9,158070,158128,158133,158126,157978
10,158350,158353,158358,158351,158205
11,158570,158578,158582,158576,158432
12,158800,158803,158806,158802,158659
1,159050,159028,159030,159027,158886
2,159240,159253,159255,159253,159113
3,159480,159478,159479,159478,159340
4,159690,159703,159703,159704,159567
5,159880,159928,159927,159929,159794
6,160150,160153,160152,160154,160021
7,160380,160378,160376,160380,160248
8,160620,160603,160600,160605,160475
9,160810,160828,160824,160831,160702
10,161040,161053,161049,161056,160929
11,161270,161278,161273,161281,161155
12,161580,161503,161497,161507,161382
1,162000,161925,161939,161923,161836
2,162170,162150,162164,162148,162063
3,162400,162375,162388,162373,162290
4,162570,162600,162612,162598,162517
5,162800,162825,162836,162823,162744
6,163000,163050,163060,163048,162971
7,163280,163274,163284,163273,163198
8,163460,163499,163508,163499,163425
9,163680,163724,163732,163724,163652
10,163960,163949,163956,163949,163879
11,164150,164174,164181,164174,164106
12,164410,164399,164405,164399,164333
1,164670,164624,164629,164624,164560
2,164830,164849,164853,164849,164787
3,165090,165074,165077,165074,165014
4,165290,165299,165301,165300,165241
5,165550,165524,165525,165525,165468
6,165750,165749,165749,165750,165695
7,165990,165974,165973,165975,165922
8,166210,166198,166198,166200,166149
9,166380,166423,166422,166425,166376
10,166640,166648,166646,166650,166603
11,166880,166873,166870,166875,166830
12,167120,167098,167094,167101,167057
1,167530,167518,167534,167516,167510
2,167750,167743,167757,167741,167737
3,167990,167968,167981,167965,167964
4,168200,168192,168205,168190,168191
5,168400,168417,168429,168415,168418
6,168640,168642,168653,168640,168645
7,168900,168866,168877,168865,168872
8,169100,169091,169101,169090,169099
9,169270,169316,169325,169315,169326
10,169540,169540,169549,169539,169553
11,169770,169765,169773,169764,169780
12,170010,169990,169996,169989,170007
1,170200,170214,170220,170214,170234
2,170410,170439,170444,170439,170461
3,170650,170664,170668,170664,170688
4,170850,170888,170892,170889,170915
5,171080,171113,171116,171114,171142
6,171300,171338,171340,171338,171369
7,171550,171563,171564,171563,171596
8,171820,171787,171788,171788,171823
9,172030,172012,172011,172013,172050
10,172230,172237,172235,172238,172277
11,172480,172461,172459,172463,172504
12,172740,172686,172683,172688,172731
1,173120,173101,173122,173096,173185
2,173310,173326,173345,173322,173412
3,173540,173551,173569,173547,173638
4,173780,173776,173793,173772,173865
5,173970,174001,174016,173997,174092
6,174200,174226,174240,174222,174319
7,174450,174451,174464,174448,174546
8,174680,174676,174688,174673,174773
9,174880,174901,174911,174898,175000
10,175150,175126,175135,175123,175227
11,175330,175351,175359,175348,175454
12,175590,175576,175582,175574,175681
1,175820,175801,175806,175799,175908
2,176040,176026,176030,176024,176135
3,176280,176251,176253,176249,176362
4,176460,176476,176477,176474,176589
5,176660,176701,176701,176700,176816
6,176910,176925,176925,176925,177043
7,177110,177150,177148,177150,177270
8,177370,177375,177372,177375,177497
9,177580,177600,177596,177601,177724
10,177860,177825,177819,177826,177951
11,178080,178050,178043,178051,178178
12,178300,178275,178267,178276,178405
1,178750,178702,178717,178699,178859
2,178960,178927,178941,178925,179086
3,179160,179152,179165,179150,179313
4,179390,179378,179389,179376,179540
5,179580,179603,179613,179601,179767
6,179820,179828,179836,179827,179993
7,180080,180053,180060,180052,180220
8,180290,180278,180284,180278,180447
9,180450,180503,180508,180504,180674
10,180700,180728,180732,180729,180901
11,180930,180953,180956,180955,181128
12,181160,181178,181179,181180,181355
1,181440,181403,181403,181406,181582
2,181630,181628,181627,181631,181809
3,181880,181854,181851,181857,182036
4,182100,182079,182075,182082,182263
5,182290,182304,182298,182308,182490
6,182510,182529,182522,182533,182717
7,182730,182754,182746,182759,182944
8,183000,182979,182970,182984,183171
9,183220,183204,183194,183210,183398
10,183410,183429,183418,183436,183625
11,183640,183654,183641,183661,183852
12,183910,183879,183865,183887,184079
1,184360,184303,184317,184298,184533
2,184540,184529,184541,184523,184760
3,184780,184754,184765,184749,184987
4,184980,184979,184989,184975,185214
5,185180,185204,185213,185201,185441
6,185400,185430,185437,185427,185668
7,185650,185655,185661,185652,185895
8,185860,185880,185884,185878,186121
9,186060,186105,186108,186104,186348
10,186330,186330,186332,186330,186575
11,186540,186556,186556,186555,186802
12,186770,186781,186780,186781,187029
1,187030,187006,187004,187007,187256
2,187210,187231,187228,187233,187483
3,187470,187457,187452,187459,187710
4,187720,187682,187676,187684,187937
5,187930,187907,187900,187910,188164
6,188150,188132,188124,188136,188391
7,188360,188358,188348,188362,188618
8,188570,188583,188572,188588,188845
9,188800,188808,188796,188813,189072
10,189020,189033,189020,189039,189299
11,189240,189258,189244,189265,189526
12,189510,189484,189468,189491,189753
1,189960,189913,189927,189915,190207
2,190180,190139,190151,190141,190434
3,190390,190365,190376,190367,190661
4,190620,190591,190600,190593,190888
5,190790,190817,190824,190819,191115
6,191020,191043,191049,191045,191342
7,191270,191269,191273,191271,191569
8,191500,191495,191497,191497,191796
9,191690,191721,191722,191722,192023
10,191960,191947,191946,191948,192250
11,192130,192173,192170,192174,192476
12,192390,192399,192395,192400,192703
1,192580,192625,192619,192626,192930
2,192810,192851,192843,192852,193157
3,193090,193077,193068,193078,193384
4,193310,193303,193292,193304,193611
5,193520,193529,193516,193530,193838
6,193770,193755,193741,193756,194065
7,194000,193981,193965,193982,194292
8,194200,194207,194189,194208,194519
9,194450,194433,194414,194434,194746
10,194660,194659,194638,194660,194973
11,194870,194885,194862,194886,195200
12,195160,195111,195086,195112,195427
1,195560,195529,195539,195528,195881
2,195760,195755,195764,195753,196108
3,195980,195980,195988,195979,196335
4,196210,196206,196213,196205,196562
5,196400,196432,196437,196430,196789
6,196640,196657,196662,196656,197016
7,196880,196883,196886,196881,197243
8,197130,197108,197111,197107,197470
9,197300,197334,197335,197333,197697
10,197570,197560,197560,197558,197924
11,197770,197785,197784,197784,198151
12,198000,198011,198009,198010,198378
1,198240,198237,198233,198235,198604
2,198440,198462,198458,198461,198831
3,198700,198688,198682,198687,199058
4,198920,198914,198907,198912,199285
5,199090,199139,199131,199138,199512
6,199360,199365,199356,199364,199739
7,199600,199590,199580,199589,199966
8,199840,199816,199805,199815,200193
9,200050,200042,200029,200040,200420
10,200260,200267,200253,200266,200647
11,200480,200493,200478,200492,200874
12,200760,200719,200702,200717,201101
1,201170,201132,201148,201124,201555
2,201360,201358,201373,201351,201782
3,201570,201584,201597,201577,202009
4,201810,201810,201822,201803,202236
5,202000,202036,202046,202029,202463
6,202240,202261,202271,202256,202690
7,202450,202487,202495,202482,202917
8,202670,202713,202720,202708,203144
9,202890,202939,202944,202934,203371
10,203140,203164,203169,203161,203598
11,203390,203390,203393,203387,203825
12,203610,203616,203618,203613,204052
