Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,104190,104190,104190,104347,104190
2,104460,104432,104432,104578,104416
3,104670,104674,104674,104810,104643
4,104910,104917,104917,105041,104869
5,105180,105159,105159,105273,105095
6,105390,105401,105401,105505,105321
7,105730,105643,105643,105736,105548
8,105980,105885,105885,105968,105774
9,106230,106127,106127,106199,106000
10,106410,106370,106370,106431,106226
11,106700,106612,106612,106663,106453
12,106990,106854,106854,106894,106679
1,107190,107096,107096,107126,106905
2,107420,107338,107338,107357,107131
3,107660,107580,107580,107589,107358
4,107830,107823,107823,107821,107584
5,108080,108065,108065,108052,107810
6,108320,108307,108307,108284,108036
7,108580,108549,108549,108515,108263
8,108810,108791,108791,108747,108489
9,109020,109033,109033,108979,108715
10,109210,109276,109276,109210,108942
11,109520,109518,109518,109442,109168
12,109760,109760,109760,109673,109394
1,110310,110243,110243,110188,109847
2,110510,110470,110470,110420,110073
3,110680,110697,110697,110651,110299
4,110890,110924,110924,110883,110525
5,111110,111150,111151,111115,110752
6,111350,111377,111377,111346,110978
7,111580,111604,111604,111578,111204
8,111830,111831,111831,111809,111430
9,112000,112058,112058,112041,111657
10,112240,112285,112285,112273,111883
11,112470,112511,112512,112504,112109
12,112720,112738,112738,112736,112335
1,113060,112965,112965,112967,112562
2,113250,113192,113192,113199,112788
3,113460,113419,113419,113431,113014
4,113680,113646,113646,113662,113241
5,113900,113873,113873,113894,113467
6,114140,114099,114099,114125,113693
7,114330,114326,114326,114357,113919
8,114550,114553,114553,114589,114146
9,114750,114780,114780,114820,114372
10,114990,115007,115007,115052,114598
11,115190,115234,115233,115284,114824
12,115450,115460,115460,115515,115051
1,115990,115925,115917,115911,115503
2,116190,116152,116144,116139,115729
3,116400,116378,116371,116366,115956
4,116590,116605,116598,116594,116182
5,116800,116831,116825,116822,116408
6,117040,117058,117052,117049,116634
7,117250,117284,117280,117277,116861
8,117500,117511,117507,117505,117087
9,117690,117738,117734,117732,117313
10,117940,117964,117961,117960,117540
11,118150,118191,118188,118188,117766
12,118430,118417,118415,118415,117992
1,118650,118644,118642,118643,118218
2,118830,118870,118869,118871,118445
3,119070,119097,119096,119098,118671
4,119310,119323,119323,119326,118897
5,119600,119550,119550,119554,119123
6,119790,119777,119777,119781,119350
7,120000,120003,120004,120009,119576
8,120230,120230,120231,120237,119802
9,120490,120456,120458,120464,120028
10,120710,120683,120686,120692,120255
11,120890,120909,120913,120920,120481
12,121160,121136,121140,121147,120707
1,121620,121579,121583,121563,121160
2,121810,121805,121808,121790,121386
