Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,102480,102480,102480,102610,102480
2,102740,102720,102720,102840,102704
3,102920,102960,102960,103069,102928
4,103170,103200,103200,103298,103152
5,103390,103440,103440,103527,103376
6,103670,103680,103680,103756,103600
7,103940,103920,103920,103985,103824
8,104170,104160,104160,104215,104048
9,104470,104400,104400,104444,104272
10,104710,104640,104640,104673,104496
11,104980,104880,104880,104902,104720
12,105240,105120,105120,105131,104944
1,105410,105360,105360,105360,105169
2,105610,105600,105600,105590,105393
3,105830,105840,105840,105819,105617
4,106040,106080,106080,106048,105841
5,106330,106320,106320,106277,106065
6,106550,106560,106560,106506,106289
7,106770,106800,106800,106735,106513
8,107010,107040,107040,106965,106737
9,107270,107280,107280,107194,106961
10,107490,107520,107520,107423,107185
11,107710,107760,107760,107652,107409
12,108000,108000,108000,107881,107633
1,108490,108450,108460,108394,108081
2,108720,108674,108684,108623,108305
3,108890,108899,108908,108853,108529
4,109130,109123,109132,109082,108753
5,109320,109348,109355,109311,108977
6,109530,109572,109579,109540,109201
7,109790,109797,109803,109769,109425
8,110010,110021,110027,109998,109649
9,110200,110246,110251,110228,109873
10,110450,110470,110475,110457,110098
11,110660,110695,110699,110686,110322
12,110870,110919,110922,110915,110546
1,111190,111144,111146,111144,110770
2,111340,111368,111370,111373,110994
3,111630,111593,111594,111602,111218
4,111860,111817,111818,111832,111442
5,112030,112042,112042,112061,111666
6,112240,112266,112266,112290,111890
7,112500,112491,112489,112519,112114
8,112690,112715,112713,112748,112338
9,112930,112940,112937,112977,112562
10,113180,113164,113161,113207,112786
11,113440,113389,113385,113436,113010
12,113620,113613,113609,113665,113234
1,114120,114067,114061,114051,113682
2,114300,114291,114286,114277,113906
3,114510,114516,114511,114503,114130
4,114770,114740,114736,114729,114354
5,114960,114965,114961,114955,114578
6,115170,115190,115186,115181,114802
7,115410,115414,115411,115407,115027
8,115610,115639,115636,115633,115251
9,115820,115864,115861,115859,115475
10,116040,116088,116086,116085,115699
11,116300,116313,116311,116311,115923
12,116590,116537,116536,116537,116147
1,116780,116762,116761,116763,116371
2,116990,116987,116986,116989,116595
3,117210,117211,117211,117215,116819
4,117440,117436,117436,117441,117043
5,117620,117661,117661,117667,117267
6,117890,117885,117886,117893,117491
7,118110,118110,118111,118119,117715
8,118300,118334,118335,118345,117939
9,118550,118559,118560,118571,118163
10,118800,118784,118785,118797,118387
11,119020,119008,119010,119023,118611
12,119280,119233,119235,119249,118835
1,119750,119697,119693,119681,119283
2,119940,119921,119917,119906,119507
3,120160,120145,120142,120132,119731
4,120360,120369,120366,120358,119956
5,120560,120594,120591,120583,120180
6,120800,120818,120815,120809,120404
7,121030,121042,121039,121035,120628
8,121250,121266,121264,121260,120852
9,121450,121490,121488,121486,121076
10,121680,121715,121713,121712,121300
11,121920,121939,121937,121937,121524
12,122180,122163,122162,122163,121748
1,122420,122387,122386,122389,121972
2,122670,122611,122611,122614,122196
3,122890,122836,122835,122840,122420
4,123090,123060,123060,123066,122644
5,123270,123284,123284,123291,122868
6,123490,123508,123509,123517,123092
7,123690,123732,123733,123743,123316
8,123930,123957,123957,123968,123540
9,124180,124181,124182,124194,123764
10,124430,124405,124406,124420,123988
11,124620,124629,124631,124645,124212
12,124860,124853,124855,124871,124436
1,125330,125315,125301,125296,124885
2,125580,125538,125525,125521,125109
3,125770,125761,125749,125745,125333
4,125980,125984,125974,125970,125557
5,126180,126207,126198,126194,125781
6,126430,126430,126422,126419,126005
7,126660,126653,126647,126644,126229
8,126870,126876,126871,126868,126453
9,127100,127099,127095,127093,126677
10,127350,127321,127319,127318,126901
11,127550,127544,127544,127542,127125
12,127740,127767,127768,127767,127349
1,128000,127990,127992,127991,127573
2,128220,128213,128217,128216,127797
3,128450,128436,128441,128441,128021
4,128650,128659,128665,128665,128245
5,128820,128882,128890,128890,128469
6,129090,129105,129114,129115,128693
7,129310,129328,129338,129339,128917
8,129480,129551,129562,129564,129141
9,129800,129774,129787,129789,129365
10,130040,129996,130011,130013,129589
11,130240,130219,130235,130238,129814
12,130460,130442,130460,130462,130038
1,130920,130892,130892,130868,130486
2,131130,131115,131116,131093,130710
3,131320,131338,131339,131318,130934
4,131540,131561,131563,131543,131158
5,131730,131785,131787,131768,131382
6,131960,132008,132011,131992,131606
7,132200,132231,132235,132217,131830
8,132400,132454,132459,132442,132054
9,132690,132677,132683,132667,132278
10,132910,132900,132906,132892,132502
11,133140,133124,133130,133117,132726
12,133370,133347,133354,133342,132950
1,133620,133570,133578,133567,133174
2,133770,133793,133802,133791,133398
3,133990,134016,134026,134016,133622
4,134250,134239,134249,134241,133846
5,134430,134462,134473,134466,134070
6,134680,134686,134697,134691,134294
7,134880,134909,134921,134916,134518
8,135130,135132,135145,135141,134743
9,135380,135355,135369,135366,134967
10,135590,135578,135593,135590,135191
11,135810,135801,135816,135815,135415
12,136060,136024,136040,136040,135639
1,136550,136489,136492,136475,136087
2,136730,136714,136716,136701,136311
3,136920,136938,136940,136926,136535
4,137160,137162,137164,137152,136759
5,137360,137386,137388,137378,136983
6,137610,137611,137611,137603,137207
7,137840,137835,137835,137829,137431
8,138060,138059,138059,138054,137655
9,138240,138284,138283,138280,137879
10,138480,138508,138507,138506,138103
11,138720,138732,138731,138731,138327
12,138990,138956,138955,138957,138551
1,139200,139181,139179,139182,138775
2,139430,139405,139403,139408,138999
3,139630,139629,139627,139634,139223
4,139870,139853,139851,139859,139447
5,140050,140078,140075,140085,139672
6,140320,140302,140299,140310,139896
7,140480,140526,140523,140536,140120
8,140750,140750,140747,140762,140344
9,140940,140975,140971,140987,140568
10,141210,141199,141195,141213,140792
11,141490,141423,141419,141438,141016
12,141640,141647,141643,141664,141240
1,142150,142109,142098,142094,141688
2,142350,142332,142322,142319,141912
3,142530,142556,142546,142544,142136
4,142770,142780,142770,142769,142360
5,142970,143003,142994,142994,142584
6,143250,143227,143218,143218,142808
7,143470,143450,143443,143443,143032
8,143670,143674,143667,143668,143256
9,143880,143898,143891,143893,143480
10,144090,144121,144115,144118,143704
11,144320,144345,144339,144343,143928
12,144550,144568,144563,144568,144152
1,144850,144792,144787,144793,144376
2,145050,145016,145011,145018,144601
3,145250,145239,145236,145243,144825
4,145510,145463,145460,145468,145049
5,145670,145686,145684,145693,145273
6,145890,145910,145908,145918,145497
7,146120,146134,146132,146143,145721
8,146330,146357,146356,146368,145945
9,146610,146581,146580,146593,146169
10,146820,146804,146804,146818,146393
11,147000,147028,147029,147043,146617
12,147240,147252,147253,147268,146841
1,147740,147701,147694,147685,147289
2,147920,147925,147918,147910,147513
3,148120,148148,148142,148134,147737
4,148370,148371,148366,148358,147961
5,148590,148594,148590,148583,148185
6,148800,148817,148814,148807,148409
7,149020,149041,149038,149031,148633
8,149220,149264,149262,149256,148857
9,149500,149487,149486,149480,149081
10,149730,149710,149710,149704,149305
11,149930,149933,149934,149929,149530
12,150120,150157,150158,150153,149754
1,150380,150380,150382,150377,149978
2,150590,150603,150606,150601,150202
3,150820,150826,150830,150826,150426
4,151070,151049,151053,151050,150650
5,151240,151273,151277,151274,150874
6,151470,151496,151501,151499,151098
7,151690,151719,151725,151723,151322
8,151910,151942,151949,151947,151546
9,152190,152165,152173,152172,151770
10,152420,152389,152397,152396,151994
11,152670,152612,152621,152620,152218
12,152850,152835,152845,152845,152442
1,153340,153284,153281,153264,152890
2,153520,153507,153504,153488,153114
3,153720,153730,153728,153712,153338
4,153940,153953,153951,153937,153562
5,154140,154175,154175,154161,153786
6,154370,154398,154398,154385,154010
7,154580,154621,154622,154610,154234
8,154800,154844,154846,154834,154459
9,155060,155066,155069,155058,154683
10,155280,155289,155293,155283,154907
11,155510,155512,155516,155507,155131
12,155770,155735,155740,155731,155355
1,156000,155957,155964,155955,155579
2,156190,156180,156187,156180,155803
3,156390,156403,156411,156404,156027
4,156630,156626,156634,156628,156251
5,156810,156848,156858,156853,156475
6,157040,157071,157081,157077,156699
7,157270,157294,157305,157301,156923
8,157490,157517,157529,157526,157147
9,157740,157739,157752,157750,157371
10,157990,157962,157976,157974,157595
11,158190,158185,158199,158199,157819
12,158470,158408,158423,158423,158043
1,158880,158864,158863,158846,158491
2,159100,159087,159087,159070,158715
3,159280,159310,159310,159295,158939
4,159530,159533,159533,159519,159163
5,159760,159756,159757,159744,159388
6,159970,159979,159980,159968,159612
7,160190,160202,160203,160193,159836
8,160410,160425,160427,160417,160060
9,160630,160647,160650,160642,160284
10,160870,160870,160874,160866,160508
11,161080,161093,161097,161091,160732
12,161330,161316,161320,161315,160956
1,161590,161539,161544,161540,161180
2,161770,161762,161767,161764,161404
3,162000,161985,161990,161989,161628
4,162250,162208,162214,162213,161852
5,162440,162431,162437,162438,162076
6,162650,162653,162661,162662,162300
7,162820,162876,162884,162887,162524
8,163070,163099,163107,163111,162748
9,163310,163322,163331,163336,162972
10,163560,163545,163554,163560,163196
11,163780,163768,163777,163785,163420
12,163990,163991,164001,164009,163644
1,164500,164447,164447,164426,164092
2,164650,164670,164670,164651,164317
3,164860,164893,164894,164876,164541
4,165140,165117,165117,165101,164765
5,165300,165340,165340,165326,164989
6,165570,165564,165564,165551,165213
7,165770,165787,165787,165777,165437
8,165980,166010,166010,166002,165661
9,166220,166234,166234,166227,165885
10,166440,166457,166457,166452,166109
11,166680,166680,166681,166677,166333
12,166900,166904,166904,166902,166557
1,167210,167127,167127,167128,166781
2,167390,167350,167351,167353,167005
3,167580,167574,167574,167578,167229
4,167840,167797,167797,167803,167453
5,167980,168021,168021,168028,167677
6,168230,168244,168244,168253,167901
7,168430,168467,168467,168479,168125
8,168660,168691,168691,168704,168349
9,168910,168914,168914,168929,168573
10,169120,169137,169138,169154,168797
11,169390,169361,169361,169379,169021
12,169610,169584,169584,169604,169246
2,170080,170050,170047,170045,169694
1,170290,170274,170271,170270,169918
3,170490,170499,170495,170495,170142
5,170740,170723,170718,170720,170366
4,170960,170947,170942,170945,170590
7,171160,171172,171166,171170,170814
6,171380,171396,171390,171395,171038
9,171610,171620,171614,171620,171262
8,171830,171844,171838,171845,171486
11,172050,172069,172061,172070,171710
10,172310,172293,172285,172295,171934
12,172490,172517,172509,172520,172158
2,172790,172742,172733,172745,172382
3,173020,172966,172957,172970,172606
1,173200,173190,173180,173195,172830
4,173440,173414,173404,173420,173054
5,173640,173639,173628,173644,173278
6,173860,173863,173852,173869,173502
7,174060,174087,174076,174094,173726
8,174300,174312,174300,174319,173950
9,174520,174536,174523,174544,174175
10,174750,174760,174747,174769,174399
11,174990,174984,174971,174994,174623
12,175210,175209,175195,175219,174847
3,175610,175648,175640,175633,175295
2,175880,175871,175863,175858,175519
4,176100,176094,176087,176082,175743
1,176310,176318,176311,176306,175967
6,176520,176541,176535,176530,176191
5,176720,176764,176758,176754,176415
8,176980,176988,176982,176978,176639
7,177180,177211,177206,177202,176863
9,177400,177434,177430,177426,177087
11,177660,177657,177654,177650,177311
10,177890,177881,177877,177874,177535
12,178090,178104,178101,178098,177759
2,178300,178327,178325,178322,177983
3,178530,178551,178549,178547,178207
4,178810,178774,178772,178771,178431
6,179020,178997,178996,178995,178655
1,179270,179220,179220,179219,178879
8,179440,179444,179444,179443,179104
5,179680,179667,179667,179667,179328
9,179880,179890,179891,179891,179552
7,180100,180114,180115,180115,179776
10,180300,180337,180339,180339,180000
11,180580,180560,180562,180563,180224
12,180800,180783,180786,180787,180448
2,181200,181222,181222,181206,180896
4,181460,181445,181445,181430,181120
3,181660,181668,181669,181654,181344
1,181930,181892,181892,181878,181568
6,182070,182115,182116,182102,181792
5,182310,182338,182339,182326,182016
8,182520,182561,182563,182550,182240
7,182730,182784,182786,182774,182464
9,182960,183007,183010,182998,182688
11,183240,183230,183233,183223,182912
10,183430,183453,183457,183447,183136
12,183670,183676,183680,183671,183360
4,183970,183899,183903,183895,183584
2,184140,184122,184127,184119,183808
3,184360,184345,184350,184343,184033
6,184560,184568,184574,184567,184257
1,184800,184791,184797,184791,184481
8,184980,185014,185021,185016,184705
5,185230,185237,185244,185240,184929
9,185450,185460,185468,185464,185153
7,185670,185683,185691,185688,185377
10,185920,185906,185915,185912,185601
11,186180,186129,186138,186136,185825
12,186350,186352,186361,186360,186049
4,186820,186798,186801,186778,186497
3,187010,187021,187024,187003,186721
2,187240,187244,187248,187228,186945
1,187470,187467,187471,187453,187169
6,187670,187691,187694,187677,187393
5,187900,187914,187917,187902,187617
