Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,119920,119920,119920,120096,119920
2,120210,120160,120160,120326,120145
3,120420,120401,120401,120556,120370
4,120670,120641,120641,120786,120595
5,120900,120882,120882,121016,120820
6,121130,121122,121122,121246,121045
7,121400,121363,121363,121476,121270
8,121670,121603,121603,121706,121495
9,121940,121843,121843,121936,121720
10,122200,122084,122084,122166,121944
11,122340,122324,122324,122396,122169
12,122670,122565,122565,122626,122394
1,122920,122805,122805,122856,122619
2,123130,123046,123046,123086,122844
3,123370,123286,123286,123316,123069
4,123640,123527,123527,123546,123294
5,123850,123767,123767,123776,123519
6,124100,124007,124007,124006,123744
7,124330,124248,124248,124236,123969
8,124560,124488,124488,124466,124194
9,124790,124729,124729,124696,124419
10,125020,124969,124969,124926,124644
11,125150,125210,125210,125155,124869
12,125450,125450,125450,125385,125094
1,125950,125930,125930,125901,125544
2,126200,126157,126158,126131,125768
3,126390,126385,126385,126361,125993
4,126600,126612,126612,126591,126218
5,126790,126840,126840,126821,126443
6,127070,127067,127067,127051,126668
7,127320,127295,127295,127281,126893
8,127480,127522,127522,127511,127118
9,127700,127749,127750,127741,127343
10,127950,127977,127977,127970,127568
11,128180,128204,128204,128200,127793
12,128410,128432,128432,128430,128018
1,128720,128659,128659,128660,128243
2,128940,128887,128887,128890,128468
3,129150,129114,129114,129120,128693
4,129350,129341,129341,129350,128918
5,129570,129569,129569,129580,129143
6,129800,129796,129796,129810,129368
7,130020,130024,130024,130040,129592
8,130250,130251,130251,130270,129817
9,130480,130479,130479,130500,130042
10,130700,130706,130706,130730,130267
11,130920,130934,130933,130960,130492
12,131150,131161,131161,131190,130717
1,131640,131616,131612,131598,131167
2,131840,131841,131838,131825,131392
3,132040,132066,132063,132051,131617
4,132290,132291,132288,132277,131842
5,132520,132516,132513,132504,132067
6,132740,132741,132739,132730,132292
7,132960,132966,132964,132957,132517
8,133160,133191,133189,133183,132742
9,133390,133416,133414,133410,132967
10,133630,133641,133640,133636,133192
11,133850,133866,133865,133862,133416
12,134070,134091,134090,134089,133641
1,134330,134316,134316,134315,133866
2,134550,134541,134541,134542,134091
3,134770,134766,134766,134768,134316
4,135020,134991,134991,134995,134541
5,135230,135216,135217,135221,134766
6,135450,135442,135442,135447,134991
7,135670,135667,135667,135674,135216
8,135900,135892,135892,135900,135441
9,136100,136117,136118,136127,135666
10,136360,136342,136343,136353,135891
11,136530,136567,136568,136580,136116
12,136810,136792,136793,136806,136341
1,137240,137238,137239,137234,136791
2,137470,137464,137464,137459,137016
3,137680,137689,137690,137685,137240
4,137900,137914,137915,137911,137465
5,138120,138140,138141,138137,137690
6,138350,138365,138366,138363,137915
7,138590,138591,138591,138588,138140
8,138810,138816,138817,138814,138365
9,139000,139042,139042,139040,138590
