Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,49390,49390,49390,49607.1,49390
2,49690,49635.7,49635.7,49838,49612.1
3,49890,49881.3,49881.3,50068.9,49834.3
4,50130,50127,50127,50299.8,50056.4
5,50430,50372.6,50372.6,50530.7,50278.6
6,50690,50618.3,50618.3,50761.6,50500.7
7,50940,50863.9,50863.9,50992.5,50722.9
8,51220,51109.6,51109.6,51223.4,50945
9,51520,51355.2,51355.2,51454.3,51167.2
10,51730,51600.9,51600.9,51685.2,51389.3
11,51950,51846.5,51846.5,51916.1,51611.5
12,52190,52092.2,52092.2,52147,51833.6
1,52360,52337.8,52337.8,52378,52055.8
2,52610,52583.5,52583.5,52608.9,52277.9
3,52860,52829.1,52829.1,52839.8,52500.1
4,53120,53074.8,53074.8,53070.7,52722.2
5,53360,53320.4,53320.4,53301.6,52944.4
6,53620,53566.1,53566.1,53532.5,53166.5
7,53830,53811.7,53811.7,53763.4,53388.7
8,54080,54057.4,54057.4,53994.3,53610.8
9,54350,54303,54303,54225.2,53833
10,54570,54548.7,54548.7,54456.1,54055.1
11,54730,54794.3,54794.3,54687,54277.3
12,55040,55040,55040,54917.9,54499.4
1,55500,55468.7,55489.7,55440.5,54943.7
2,55710,55697.5,55717.2,55671.4,55165.8
3,55920,55926.4,55944.7,55902.3,55388
4,56120,56155.2,56172.2,56133.2,55610.1
5,56300,56384,56399.6,56364.1,55832.3
6,56570,56612.8,56627.1,56595,56054.4
7,56820,56841.6,56854.6,56825.9,56276.6
8,57040,57070.5,57082.1,57056.8,56498.7
9,57270,57299.3,57309.6,57287.7,56720.9
10,57510,57528.1,57537,57518.6,56943
11,57700,57756.9,57764.5,57749.5,57165.2
12,57960,57985.7,57992,57980.4,57387.3
1,58250,58214.5,58219.5,58211.3,57609.5
2,58470,58443.4,58446.9,58442.2,57831.6
3,58730,58672.2,58674.4,58673.1,58053.8
4,59000,58901,58901.9,58904,58275.9
5,59190,59129.8,59129.4,59134.9,58498.1
