Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,135310,135310,135310,135496,135310
2,135550,135558,135558,135727,135523
3,135790,135806,135806,135958,135737
4,136030,136053,136053,136188,135950
5,136320,136301,136301,136419,136163
6,136570,136549,136549,136649,136377
7,136840,136797,136797,136880,136590
8,137110,137045,137045,137111,136803
9,137400,137293,137293,137341,137017
10,137600,137540,137540,137572,137230
11,137850,137788,137788,137802,137443
12,138180,138036,138036,138033,137657
1,138260,138284,138284,138264,137870
2,138430,138532,138532,138494,138083
3,138730,138780,138780,138725,138297
4,138960,139027,139027,138955,138510
5,139230,139275,139275,139186,138723
6,139430,139523,139523,139417,138937
7,139660,139771,139771,139647,139150
8,139940,140019,140019,139878,139363
9,140260,140267,140267,140108,139577
10,140440,140514,140514,140339,139790
11,140660,140762,140762,140570,140003
12,141010,141010,141010,140800,140217
1,141360,141414,141445,141355,140643
2,141680,141640,141669,141586,140857
3,141860,141866,141893,141816,141070
4,142050,142092,142117,142047,141284
5,142290,142318,142341,142278,141497
6,142500,142544,142565,142508,141710
7,142760,142770,142789,142739,141924
8,142970,142996,143013,142969,142137
9,143210,143222,143237,143200,142350
10,143460,143448,143461,143431,142564
11,143640,143674,143685,143661,142777
12,143890,143900,143910,143892,142990
1,144160,144126,144134,144122,143204
2,144350,144352,144358,144353,143417
3,144590,144578,144582,144584,143630
4,144820,144804,144806,144814,143844
5,145030,145030,145030,145045,144057
6,145230,145256,145254,145275,144270
7,145440,145482,145478,145506,144484
8,145740,145708,145702,145737,144697
9,145950,145934,145926,145967,144910
10,146210,146160,146150,146198,145124
11,146390,146386,146374,146428,145337
12,146590,146612,146598,146659,145550
1,147070,147057,147055,147038,145977
2,147330,147280,147278,147262,146190
3,147510,147502,147501,147487,146404
4,147720,147725,147724,147711,146617
5,147940,147948,147947,147936,146830
6,148170,148171,148170,148161,147044
7,148390,148393,148392,148385,147257
8,148650,148616,148615,148610,147470
9,148870,148839,148838,148834,147684
10,149090,149062,149061,149059,147897
11,149260,149285,149284,149284,148110
12,149460,149507,149507,149508,148324
1,149740,149730,149730,149733,148537
2,149890,149953,149953,149957,148750
3,150140,150176,150175,150182,148964
4,150400,150398,150398,150406,149177
5,150610,150621,150621,150631,149390
6,150820,150844,150844,150856,149604
7,151040,151067,151067,151080,149817
8,151320,151290,151290,151305,150030
9,151560,151512,151513,151529,150244
10,151790,151735,151736,151754,150457
11,151950,151958,151959,151979,150670
12,152170,152181,152181,152203,150884
1,152660,152652,152644,152620,151310
2,152940,152871,152864,152842,151524
3,153140,153091,153084,153065,151737
4,153320,153310,153304,153287,151951
5,153540,153530,153525,153510,152164
6,153750,153750,153745,153733,152377
7,153950,153969,153965,153955,152591
8,154160,154189,154185,154178,152804
9,154370,154409,154405,154400,153017
10,154620,154628,154625,154623,153231
11,154870,154848,154845,154846,153444
12,155050,155068,155065,155068,153657
1,155270,155287,155286,155291,153871
2,155500,155507,155506,155513,154084
3,155740,155727,155726,155736,154297
4,155920,155946,155946,155959,154511
5,156160,156166,156166,156181,154724
6,156370,156386,156386,156404,154937
7,156560,156605,156606,156627,155151
8,156840,156825,156826,156849,155364
9,157080,157044,157047,157072,155577
10,157270,157264,157267,157294,155791
11,157480,157484,157487,157517,156004
12,157750,157703,157707,157740,156217
1,158190,158172,158155,158149,156644
2,158470,158392,158375,158370,156857
3,158620,158611,158595,158592,157071
4,158790,158830,158816,158813,157284
5,159020,159049,159036,159034,157497
6,159250,159269,159256,159256,157711
7,159480,159488,159477,159477,157924
8,159720,159707,159697,159698,158137
9,159920,159926,159917,159920,158351
10,160140,160145,160137,160141,158564
11,160380,160365,160358,160363,158777
12,160590,160584,160578,160584,158991
1,160780,160803,160798,160805,159204
2,161020,161022,161019,161027,159417
3,161250,161242,161239,161248,159631
4,161490,161461,161459,161469,159844
5,161680,161680,161679,161691,160057
6,161890,161899,161900,161912,160271
7,162100,162118,162120,162133,160484
8,162340,162338,162340,162355,160697
9,162570,162557,162561,162576,160911
10,162810,162776,162781,162797,161124
11,162950,162995,163001,163019,161337
12,163220,163214,163221,163240,161551
1,163690,163687,163659,163661,161977
2,163950,163904,163880,163881,162191
3,164130,164122,164100,164101,162404
4,164380,164340,164320,164321,162617
5,164580,164557,164540,164541,162831
6,164780,164775,164760,164761,163044
7,165000,164992,164980,164981,163258
8,165210,165210,165200,165201,163471
9,165400,165428,165420,165421,163684
10,165640,165645,165640,165642,163898
11,165870,165863,165860,165862,164111
12,166040,166081,166081,166082,164324
1,166300,166298,166301,166302,164538
