Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,165020,165020,165020,165162,165020
2,165280,165267,165267,165393,165241
3,165510,165513,165513,165624,165462
4,165710,165760,165760,165855,165684
5,165990,166006,166006,166086,165905
6,166270,166253,166253,166316,166126
7,166510,166499,166499,166547,166347
8,166820,166746,166746,166778,166569
9,167050,166992,166992,167009,166790
10,167210,167239,167239,167240,167011
11,167520,167485,167485,167471,167232
12,167810,167732,167732,167702,167453
1,167810,167978,167978,167933,167675
2,168210,168225,168225,168163,167896
3,168470,168471,168471,168394,168117
4,168640,168718,168718,168625,168338
5,168890,168964,168964,168856,168560
6,169090,169211,169211,169087,168781
7,169350,169457,169457,169318,169002
8,169620,169704,169704,169549,169223
9,169800,169950,169950,169779,169444
10,170050,170197,170197,170010,169666
11,170290,170443,170443,170241,169887
12,170690,170690,170690,170472,170108
1,170940,170996,171059,170946,170551
2,171190,171224,171283,171177,170772
3,171410,171452,171507,171408,170993
4,171630,171679,171730,171639,171214
5,171810,171907,171954,171870,171435
6,172090,172135,172177,172101,171657
7,172290,172362,172401,172331,171878
8,172570,172590,172625,172562,172099
9,172780,172817,172848,172793,172320
10,173040,173045,173072,173024,172542
11,173230,173273,173295,173255,172763
12,173580,173500,173519,173486,172984
1,173740,173728,173743,173717,173205
2,174010,173956,173966,173948,173426
3,174260,174183,174190,174178,173648
4,174430,174411,174413,174409,173869
5,174640,174638,174637,174640,174090
6,174880,174866,174861,174871,174311
7,175090,175094,175084,175102,174533
8,175290,175321,175308,175333,174754
9,175490,175549,175531,175564,174975
10,175770,175776,175755,175794,175196
11,176010,176004,175979,176025,175417
12,176260,176232,176202,176256,175639
1,176740,176695,176690,176686,176081
2,176990,176921,176916,176913,176302
3,177190,177146,177142,177140,176524
4,177370,177372,177368,177367,176745
5,177570,177598,177594,177595,176966
6,177870,177823,177820,177822,177187
7,178080,178049,178046,178049,177408
8,178280,178275,178272,178276,177630
9,178510,178500,178498,178503,177851
10,178710,178726,178724,178731,178072
11,178940,178952,178950,178958,178293
12,179160,179177,179176,179185,178515
1,179410,179403,179402,179412,178736
2,179680,179629,179628,179640,178957
3,179930,179854,179854,179867,179178
4,180090,180080,180080,180094,179399
5,180330,180306,180306,180321,179621
6,180460,180531,180532,180548,179842
7,180690,180757,180758,180776,180063
8,181020,180983,180984,181003,180284
9,181160,181208,181210,181230,180506
10,181460,181434,181436,181457,180727
11,181670,181660,181661,181685,180948
12,181860,181885,181887,181912,181169
1,182370,182335,182338,182313,181612
2,182630,182558,182561,182538,181833
3,182790,182781,182784,182763,182054
4,182990,183005,183007,182989,182275
5,183190,183228,183230,183214,182497
6,183420,183451,183453,183439,182718
7,183640,183674,183676,183664,182939
8,183880,183897,183899,183889,183160
9,184080,184120,184122,184114,183381
10,184300,184343,184345,184339,183603
11,184620,184566,184568,184564,183824
12,184780,184790,184790,184789,184045
1,185060,185013,185013,185014,184266
2,185270,185236,185236,185239,184488
3,185500,185459,185459,185464,184709
4,185690,185682,185682,185689,184930
5,185900,185905,185905,185915,185151
6,186090,186128,186128,186140,185372
7,186300,186351,186351,186365,185594
8,186570,186575,186574,186590,185815
9,186790,186798,186797,186815,186036
10,187060,187021,187020,187040,186257
11,187220,187244,187243,187265,186479
12,187500,187467,187466,187490,186700
1,187980,187931,187920,187917,187142
2,188250,188153,188143,188141,187363
3,188450,188376,188366,188365,187585
4,188590,188598,188589,188589,187806
5,188820,188820,188812,188813,188027
6,189030,189043,189035,189037,188248
7,189230,189265,189258,189261,188470
8,189480,189487,189481,189485,188691
9,189620,189709,189704,189709,188912
10,189930,189932,189927,189933,189133
11,190150,190154,190150,190157,189354
12,190360,190376,190373,190381,189576
1,190650,190599,190597,190604,189797
2,190870,190821,190820,190828,190018
3,191100,191043,191043,191052,190239
4,191270,191266,191266,191276,190461
5,191470,191488,191489,191500,190682
6,191680,191710,191712,191724,190903
7,191890,191932,191935,191948,191124
8,192160,192155,192158,192172,191345
9,192340,192377,192381,192396,191567
10,192620,192599,192604,192620,191788
11,192830,192822,192827,192844,192009
12,193050,193044,193050,193068,192230
1,193520,193494,193485,193467,192673
2,193770,193715,193708,193691,192894
3,193950,193937,193931,193915,193115
4,194140,194158,194153,194138,193336
5,194370,194380,194376,194362,193558
6,194580,194601,194599,194586,193779
7,194820,194822,194821,194809,194000
8,195010,195044,195044,195033,194221
9,195230,195265,195267,195257,194443
10,195460,195487,195490,195480,194664
11,195720,195708,195712,195704,194885
12,195950,195929,195935,195928,195106
1,196170,196151,196158,196151,195327
2,196380,196372,196380,196375,195549
3,196630,196594,196603,196599,195770
4,196800,196815,196826,196822,195991
5,197010,197036,197049,197046,196212
6,197230,197258,197271,197270,196434
7,197440,197479,197494,197494,196655
8,197690,197701,197717,197717,196876
9,197900,197922,197939,197941,197097
10,198150,198143,198162,198165,197318
11,198390,198365,198385,198388,197540
12,198640,198586,198608,198612,197761
1,199110,199057,199054,199042,198203
2,199340,199279,199277,199266,198425
3,199540,199502,199499,199490,198646
4,199730,199724,199722,199714,198867
5,199950,199946,199945,199938,199088
6,200150,200168,200167,200162,199310
7,200390,200390,200390,200385,199531
8,200610,200612,200613,200609,199752
9,200800,200834,200836,200833,199973
10,201060,201056,201058,201057,200194
11,201230,201279,201281,201281,200416
12,201510,201501,201504,201505,200637
1,201770,201723,201726,201729,200858
2,201960,201945,201949,201953,201079
3,202210,202167,202172,202177,201301
4,202370,202389,202394,202401,201522
5,202630,202611,202617,202625,201743
6,202810,202833,202840,202849,201964
7,203030,203056,203062,203073,202185
8,203260,203278,203285,203297,202407
9,203480,203500,203508,203520,202628
10,203750,203722,203730,203744,202849
11,203950,203944,203953,203968,203070
12,204170,204166,204176,204192,203292
1,204640,204626,204618,204605,203734
2,204900,204848,204841,204829,203955
3,205120,205069,205063,205052,204176
4,205300,205291,205286,205276,204398
5,205490,205513,205508,205500,204619
6,205710,205734,205731,205723,204840
7,205950,205956,205953,205947,205061
8,206120,206178,206176,206170,205283
9,206360,206399,206398,206394,205504
10,206590,206621,206621,206617,205725
11,206880,206843,206843,206841,205946
12,207050,207064,207066,207064,206167
1,207340,207286,207289,207288,206389
2,207520,207508,207511,207512,206610
3,207780,207729,207734,207735,206831
4,207930,207951,207956,207959,207052
5,208170,208173,208179,208182,207274
6,208380,208394,208401,208406,207495
7,208570,208616,208624,208629,207716
8,208850,208837,208846,208853,207937
9,209020,209059,209069,209077,208158
10,209310,209281,209291,209300,208380
11,209530,209502,209514,209524,208601
12,209720,209724,209737,209747,208822
1,210200,210191,210178,210168,209265
2,210490,210412,210401,210391,209486
3,210690,210633,210623,210614,209707
4,210880,210854,210846,210838,209928
5,211080,211075,211068,211061,210149
6,211290,211296,211290,211284,210371
7,211490,211517,211513,211507,210592
8,211730,211738,211735,211731,210813
9,211910,211959,211957,211954,211034
10,212140,212180,212180,212177,211256
11,212380,212401,212402,212401,211477
12,212590,212622,212625,212624,211698
1,212890,212843,212847,212847,211919
2,213100,213064,213069,213070,212140
3,213360,213285,213292,213294,212362
4,213470,213506,213514,213517,212583
5,213700,213727,213736,213740,212804
6,213930,213948,213959,213963,213025
7,214130,214169,214181,214187,213247
8,214410,214390,214404,214410,213468
9,214590,214611,214626,214633,213689
10,214860,214832,214848,214856,213910
11,215050,215053,215071,215080,214131
12,215290,215274,215293,215303,214353
1,215770,215735,215730,215713,214795
2,216050,215957,215952,215937,215016
3,216250,216178,216174,216160,215238
4,216390,216399,216396,216383,215459
5,216590,216620,216618,216606,215680
6,216790,216841,216841,216829,215901
7,217000,217063,217063,217052,216122
8,217230,217284,217285,217275,216344
9,217440,217505,217507,217499,216565
10,217710,217726,217729,217722,216786
11,217870,217947,217951,217945,217007
12,218180,218169,218173,218168,217229
1,218470,218390,218395,218391,217450
2,218630,218611,218617,218614,217671
3,218870,218832,218840,218837,217892
4,219060,219054,219062,219061,218113
5,219290,219275,219284,219284,218335
6,219500,219496,219506,219507,218556
7,219700,219717,219728,219730,218777
8,219950,219938,219950,219953,218998
9,220100,220160,220172,220176,219220
10,220400,220381,220394,220399,219441
11,220620,220602,220617,220623,219662
12,220850,220823,220839,220846,219883
1,221330,221288,221281,221267,220326
2,221570,221509,221503,221490,220547
3,221760,221730,221725,221713,220768
4,221930,221951,221947,221936,220989
5,222140,222173,222169,222159,221211
6,222370,222394,222391,222382,221432
7,222590,222615,222613,222606,221653
8,222830,222836,222835,222829,221874
9,223030,223057,223057,223052,222095
10,223200,223279,223279,223275,222317
11,223490,223500,223501,223498,222538
12,223740,223721,223723,223721,222759
