Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,89330,89330,89330,89521.3,89330
2,89600,89575.2,89575.2,89752.9,89550.5
3,89820,89820.4,89820.4,89984.5,89771.1
4,90090,90065.7,90065.7,90216.2,89991.6
5,90360,90310.9,90310.9,90447.8,90212.1
6,90570,90556.1,90556.1,90679.4,90432.6
7,90850,90801.3,90801.3,90911.1,90653.2
8,91090,91046.5,91046.5,91142.7,90873.7
9,91390,91291.7,91291.7,91374.3,91094.2
10,91560,91537,91537,91605.9,91314.8
11,91820,91782.2,91782.2,91837.6,91535.3
12,92090,92027.4,92027.4,92069.2,91755.8
1,92380,92272.6,92272.6,92300.8,91976.3
2,92620,92517.8,92517.8,92532.4,92196.9
3,92840,92763,92763,92764.1,92417.4
4,93070,93008.3,93008.3,92995.7,92637.9
5,93340,93253.5,93253.5,93227.3,92858.4
6,93570,93498.7,93498.7,93458.9,93079
7,93790,93743.9,93743.9,93690.6,93299.5
8,94000,93989.1,93989.1,93922.2,93520
9,94180,94234.3,94234.3,94153.8,93740.6
10,94430,94479.6,94479.6,94385.5,93961.1
11,94680,94724.8,94724.8,94617.1,94181.6
12,94970,94970,94970,94848.7,94402.1
1,95410,95408.4,95425.8,95355.9,94843.2
2,95670,95635.7,95652.1,95587.5,95063.7
3,95870,95863.1,95878.3,95819.1,95284.3
4,96050,96090.5,96104.6,96050.8,95504.8
5,96280,96317.9,96330.8,96282.4,95725.3
6,96530,96545.2,96557.1,96514,95945.8
7,96770,96772.6,96783.4,96745.6,96166.4
8,96960,97000,97009.6,96977.3,96386.9
9,97220,97227.4,97235.9,97208.9,96607.4
10,97450,97454.7,97462.1,97440.5,96828
11,97690,97682.1,97688.4,97672.1,97048.5
12,97930,97909.5,97914.7,97903.8,97269
1,98120,98136.9,98140.9,98135.4,97489.5
2,98360,98364.2,98367.2,98367,97710.1
3,98600,98591.6,98593.4,98598.7,97930.6
4,98770,98819,98819.7,98830.3,98151.1
5,99030,99046.3,99046,99061.9,98371.7
6,99270,99273.7,99272.2,99293.5,98592.2
7,99530,99501.1,99498.5,99525.2,98812.7
8,99730,99728.5,99724.8,99756.8,99033.2
9,99930,99955.8,99951,99988.4,99253.8
10,100200,100183,100177,100220,99474.3
11,100440,100411,100404,100452,99694.8
12,100660,100638,100630,100683,99915.3
1,101090,101093,101089,101069,100356
2,101370,101319,101315,101297,100577
3,101550,101545,101541,101525,100797
4,101760,101771,101768,101753,101018
5,102000,101997,101994,101982,101239
6,102230,102223,102220,102210,101459
7,102420,102449,102446,102438,101680
8,102640,102675,102673,102666,101900
9,102860,102901,102899,102894,102121
10,103140,103127,103125,103122,102341
11,103360,103353,103351,103350,102562
12,103570,103579,103577,103578,102782
1,103850,103805,103804,103806,103003
2,104040,104030,104030,104034,103223
3,104290,104256,104256,104262,103444
4,104480,104482,104482,104490,103664
5,104720,104708,104708,104718,103885
6,104940,104934,104935,104946,104105
7,105130,105160,105161,105175,104326
8,105380,105386,105387,105403,104546
9,105540,105612,105613,105631,104767
10,105850,105838,105839,105859,104987
11,106100,106064,106066,106087,105208
12,106300,106290,106292,106315,105429
1,106790,106761,106755,106744,105870
2,107040,106986,106981,106971,106090
3,107220,107211,107206,107197,106311
4,107440,107436,107432,107424,106531
5,107660,107661,107657,107650,106752
6,107890,107886,107882,107877,106972
7,108110,108111,108108,108104,107193
8,108310,108336,108333,108330,107413
9,108500,108561,108558,108557,107634
10,108750,108786,108784,108783,107854
11,109010,109011,109009,109010,108075
12,109220,109236,109235,109237,108295
1,109470,109461,109460,109463,108516
2,109710,109686,109685,109690,108736
3,109970,109911,109911,109917,108957
4,110140,110136,110136,110143,109178
5,110370,110361,110362,110370,109398
6,110580,110586,110587,110596,109619
7,110790,110811,110812,110823,109839
8,111020,111037,111038,111050,110060
9,111190,111262,111263,111276,110280
10,111500,111487,111488,111503,110501
11,111730,111712,111714,111729,110721
12,111990,111937,111939,111956,110942
1,112390,112387,112374,112348,111383
2,112630,112610,112599,112574,111603
3,112830,112833,112824,112800,111824
4,113040,113056,113049,113027,112044
5,113240,113280,113273,113253,112265
6,113480,113503,113498,113479,112485
7,113670,113726,113723,113705,112706
8,113910,113950,113948,113932,112927
9,114150,114173,114173,114158,113147
10,114380,114396,114398,114384,113368
11,114670,114619,114623,114610,113588
12,114910,114843,114848,114836,113809
1,115110,115066,115073,115063,114029
2,115300,115289,115298,115289,114250
3,115540,115513,115523,115515,114470
4,115700,115736,115747,115741,114691
5,115910,115959,115972,115968,114911
6,116110,116182,116197,116194,115132
7,116350,116406,116422,116420,115352
8,116620,116629,116647,116646,115573
9,116790,116852,116872,116873,115793
10,117120,117076,117097,117099,116014
11,117330,117299,117322,117325,116234
12,117610,117522,117547,117551,116455
1,118060,118001,117999,117982,116896
2,118290,118226,118224,118209,117117
3,118500,118450,118449,118436,117337
4,118680,118675,118674,118662,117558
5,118870,118900,118899,118889,117778
6,119070,119125,119124,119116,117999
7,119310,119349,119349,119342,118219
8,119510,119574,119574,119569,118440
9,119770,119799,119799,119796,118660
10,119980,120024,120024,120022,118881
11,120220,120248,120249,120249,119101
12,120470,120473,120474,120476,119322
1,120790,120698,120699,120703,119542
2,121000,120923,120924,120929,119763
3,121220,121147,121149,121156,119983
4,121400,121372,121374,121383,120204
5,121610,121597,121599,121609,120424
6,121820,121822,121824,121836,120645
7,122040,122047,122049,122063,120866
8,122250,122271,122274,122289,121086
9,122450,122496,122499,122516,121307
10,122720,122721,122724,122743,121527
11,122950,122946,122949,122969,121748
12,123160,123170,123173,123196,121968
1,123670,123635,123624,123611,122409
2,123900,123859,123849,123837,122630
3,124080,124083,124073,124063,122850
4,124280,124307,124298,124289,123071
5,124500,124531,124523,124515,123291
6,124730,124755,124748,124742,123512
7,124990,124979,124973,124968,123732
8,125210,125203,125198,125194,123953
9,125380,125428,125423,125420,124173
10,125640,125652,125648,125646,124394
11,125890,125876,125873,125872,124614
12,126080,126100,126098,126098,124835
1,126360,126324,126323,126324,125056
2,126540,126548,126548,126550,125276
3,126790,126772,126773,126777,125497
4,126990,126996,126998,127003,125717
5,127230,127220,127223,127229,125938
6,127450,127444,127448,127455,126158
7,127660,127668,127672,127681,126379
8,127930,127892,127897,127907,126599
9,128030,128116,128122,128133,126820
10,128380,128340,128347,128359,127040
11,128560,128565,128572,128585,127261
12,128800,128789,128797,128811,127481
1,129310,129247,129241,129227,127922
2,129510,129471,129466,129452,128143
3,129700,129695,129691,129678,128363
4,129910,129919,129915,129904,128584
5,130090,130143,130140,130129,128805
6,130320,130367,130365,130355,129025
7,130560,130592,130590,130581,129246
8,130760,130816,130814,130806,129466
9,130970,131040,131039,131032,129687
10,131250,131264,131264,131258,129907
11,131510,131488,131489,131483,130128
12,131740,131712,131714,131709,130348
1,132020,131937,131938,131934,130569
2,132180,132161,132163,132160,130789
3,132410,132385,132388,132386,131010
4,132590,132609,132613,132611,131230
5,132790,132833,132837,132837,131451
6,132990,133057,133062,133063,131671
7,133220,133282,133287,133288,131892
8,133460,133506,133512,133514,132112
9,133680,133730,133737,133740,132333
10,133970,133954,133961,133965,132554
11,134300,134178,134186,134191,132774
12,134480,134402,134411,134417,132995
1,134930,134856,134848,134827,133436
2,135090,135079,135073,135052,133656
3,135280,135302,135297,135278,133877
4,135510,135526,135522,135503,134097
5,135720,135749,135746,135729,134318
6,135920,135973,135971,135955,134538
7,136130,136196,136195,136180,134759
8,136380,136419,136419,136406,134979
9,136610,136643,136644,136632,135200
10,136860,136866,136868,136857,135420
11,137030,137089,137093,137083,135641
12,137360,137313,137317,137308,135861
1,137610,137536,137542,137534,136082
2,137800,137760,137766,137760,136302
3,138040,137983,137990,137985,136523
4,138200,138206,138215,138211,136744
5,138420,138430,138439,138437,136964
6,138630,138653,138664,138662,137185
