Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,54890,54890,54890,55036.7,54890
2,55170,55132.2,55132.2,55265.2,55112.7
3,55350,55374.3,55374.3,55493.7,55335.3
4,55600,55616.5,55616.5,55722.2,55558
5,55860,55858.7,55858.7,55950.7,55780.7
6,56070,56100.9,56100.9,56179.3,56003.3
7,56340,56343,56343,56407.8,56226
8,56600,56585.2,56585.2,56636.3,56448.7
9,56940,56827.4,56827.4,56864.8,56671.4
10,57130,57069.6,57069.6,57093.3,56894
11,57370,57311.7,57311.7,57321.8,57116.7
12,57600,57553.9,57553.9,57550.3,57339.4
1,57810,57796.1,57796.1,57778.8,57562
2,57970,58038.3,58038.3,58007.4,57784.7
3,58240,58280.4,58280.4,58235.9,58007.4
4,58450,58522.6,58522.6,58464.4,58230
5,58720,58764.8,58764.8,58692.9,58452.7
6,58920,59007,59007,58921.4,58675.4
7,59180,59249.1,59249.1,59149.9,58898.1
8,59500,59491.3,59491.3,59378.4,59120.7
9,59700,59733.5,59733.5,59606.9,59343.4
10,59930,59975.7,59975.7,59835.5,59566.1
11,60150,60217.8,60217.8,60064,59788.7
12,60460,60460,60460,60292.5,60011.4
1,60850,60853.6,60884.1,60807.5,60456.7
2,61100,61078.6,61107.2,61036,60679.4
3,61300,61303.7,61330.3,61264.5,60902.1
4,61490,61528.7,61553.4,61493.1,61124.8
5,61690,61753.8,61776.5,61721.6,61347.4
6,61960,61978.8,61999.6,61950.1,61570.1
7,62190,62203.9,62222.7,62178.6,61792.8
8,62410,62428.9,62445.8,62407.1,62015.4
9,62650,62654,62668.9,62635.6,62238.1
10,62880,62879,62892,62864.1,62460.8
11,63100,63104.1,63115.1,63092.6,62683.4
12,63400,63329.1,63338.2,63321.2,62906.1
1,63530,63554.2,63561.3,63549.7,63128.8
2,63730,63779.2,63784.4,63778.2,63351.5
3,63990,64004.3,64007.5,64006.7,63574.1
4,64210,64229.3,64230.6,64235.2,63796.8
5,64410,64454.4,64453.7,64463.7,64019.5
6,64640,64679.5,64676.8,64692.2,64242.1
7,64890,64904.5,64899.9,64920.7,64464.8
8,65110,65129.6,65123,65149.3,64687.5
9,65360,65354.6,65346.1,65377.8,64910.1
10,65630,65579.7,65569.2,65606.3,65132.8
11,65830,65804.7,65792.4,65834.8,65355.5
12,66100,66029.8,66015.5,66063.3,65578.2
1,66490,66475.6,66474,66467.4,66023.5
2,66740,66699.6,66698.1,66692.4,66246.2
3,66950,66923.6,66922.2,66917.3,66468.8
4,67150,67147.6,67146.3,67142.2,66691.5
5,67360,67371.6,67370.4,67367.2,66914.2
6,67590,67595.6,67594.5,67592.1,67136.8
7,67800,67819.6,67818.6,67817,67359.5
8,68050,68043.6,68042.7,68042,67582.2
9,68270,68267.6,68266.8,68266.9,67804.9
10,68480,68491.6,68490.9,68491.8,68027.5
11,68690,68715.6,68715,68716.8,68250.2
12,68950,68939.6,68939.1,68941.7,68472.9
1,69170,69163.6,69163.2,69166.6,68695.5
2,69410,69387.6,69387.4,69391.6,68918.2
3,69670,69611.6,69611.5,69616.5,69140.9
4,69830,69835.6,69835.6,69841.4,69363.5
5,70070,70059.6,70059.7,70066.4,69586.2
6,70280,70283.6,70283.8,70291.3,69808.9
7,70470,70507.6,70507.9,70516.2,70031.6
8,70690,70731.6,70732,70741.2,70254.2
9,70940,70955.7,70956.1,70966.1,70476.9
10,71200,71179.7,71180.2,71191,70699.6
11,71410,71403.7,71404.3,71416,70922.2
12,71640,71627.7,71628.4,71640.9,71144.9
1,72100,72084.1,72082.8,72069.6,71590.2
2,72370,72306.8,72305.6,72293.7,71812.9
3,72580,72529.6,72528.4,72517.8,72035.6
4,72750,72752.3,72751.2,72741.9,72258.3
5,72950,72975,72974,72966,72480.9
6,73190,73197.8,73196.9,73190.1,72703.6
7,73390,73420.5,73419.7,73414.2,72926.3
8,73600,73643.2,73642.5,73638.3,73148.9
9,73860,73866,73865.3,73862.4,73371.6
10,74030,74088.7,74088.1,74086.4,73594.3
11,74310,74311.4,74310.9,74310.5,73816.9
12,74520,74534.1,74533.8,74534.6,74039.6
1,74810,74756.9,74756.6,74758.7,74262.3
2,74980,74979.6,74979.4,74982.8,74485
3,75220,75202.3,75202.2,75206.9,74707.6
4,75430,75425.1,75425,75431,74930.3
5,75660,75647.8,75647.8,75655.1,75153
6,75860,75870.5,75870.7,75879.2,75375.6
7,76090,76093.3,76093.5,76103.3,75598.3
8,76310,76316,76316.3,76327.3,75821
9,76550,76538.7,76539.1,76551.4,76043.6
10,76760,76761.5,76761.9,76775.5,76266.3
11,76980,76984.2,76984.7,76999.6,76489
12,77220,77206.9,77207.6,77223.7,76711.7
1,77690,77662.6,77656.9,77650.5,77157
2,77920,77885.2,77879.8,77874.2,77379.7
3,78110,78107.9,78102.7,78098,77602.3
4,78330,78330.5,78325.6,78321.7,77825
5,78530,78553.1,78548.5,78545.4,78047.7
6,78780,78775.7,78771.4,78769.1,78270.3
7,79010,78998.3,78994.4,78992.9,78493
8,79210,79220.9,79217.3,79216.6,78715.7
9,79450,79443.5,79440.2,79440.3,78938.4
10,79680,79666.1,79663.1,79664,79161
