Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,94000,94000,94000,94193.6,94000
2,94270,94253,94253,94425.2,94224.5
3,94500,94506.1,94506.1,94656.8,94449
4,94730,94759.1,94759.1,94888.4,94673.4
5,95020,95012.2,95012.2,95120,94897.9
6,95250,95265.2,95265.2,95351.6,95122.4
7,95510,95518.3,95518.3,95583.2,95346.9
8,95820,95771.3,95771.3,95814.8,95571.4
9,96020,96024.3,96024.3,96046.5,95795.9
10,96270,96277.4,96277.4,96278.1,96020.3
11,96520,96530.4,96530.4,96509.7,96244.8
12,96980,96783.5,96783.5,96741.3,96469.3
1,97040,97036.5,97036.5,96972.9,96693.8
2,97270,97289.6,97289.6,97204.5,96918.3
3,97480,97542.6,97542.6,97436.1,97142.8
4,97670,97795.7,97795.7,97667.7,97367.2
5,97930,98048.7,98048.7,97899.3,97591.7
6,98240,98301.7,98301.7,98130.9,97816.2
7,98420,98554.8,98554.8,98362.5,98040.7
8,98610,98807.8,98807.8,98594.1,98265.2
9,98840,99060.9,99060.9,98825.8,98489.7
10,99140,99313.9,99313.9,99057.4,98714.1
11,99220,99567,99567,99289,98938.6
12,99820,99820,99820,99520.6,99163.1
1,100060,100087,100167,100007,99612.1
2,100270,100313,100388,100239,99836.6
3,100470,100539,100609,100471,100061
4,100690,100765,100830,100702,100286
5,100930,100991,101051,100934,100510
6,101190,101217,101272,101165,100734
7,101400,101444,101493,101397,100959
8,101630,101670,101714,101629,101183
9,101840,101896,101935,101860,101408
10,102090,102122,102156,102092,101632
11,102300,102348,102377,102323,101857
12,102710,102574,102598,102555,102081
1,102820,102800,102819,102787,102306
2,102970,103027,103040,103018,102530
3,103210,103253,103261,103250,102755
4,103420,103479,103482,103481,102979
5,103680,103705,103703,103713,103204
6,103970,103931,103924,103945,103428
7,104190,104157,104145,104176,103653
8,104380,104383,104366,104408,103877
9,104540,104610,104587,104640,104102
10,104820,104836,104808,104871,104326
11,105090,105062,105029,105103,104551
12,105430,105288,105250,105334,104775
1,105810,105726,105728,105745,105224
