Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,139270,139270,139270,139433,139270
2,139540,139519,139519,139669,139496
3,139790,139768,139768,139904,139723
4,140020,140017,140017,140140,139949
5,140290,140267,140267,140375,140176
6,140510,140516,140516,140611,140402
7,140800,140765,140765,140846,140629
8,141030,141014,141014,141082,140855
9,141310,141263,141263,141318,141081
10,141500,141512,141512,141553,141308
11,141740,141761,141761,141789,141534
12,142020,142010,142010,142024,141761
1,142350,142260,142260,142260,141987
2,142570,142509,142509,142495,142214
3,142790,142758,142758,142731,142440
4,142970,143007,143007,142967,142666
5,143280,143256,143256,143202,142893
6,143530,143505,143505,143438,143119
7,143760,143754,143754,143673,143346
8,144000,144003,144003,143909,143572
9,144190,144253,144253,144144,143799
10,144440,144502,144502,144380,144025
11,144710,144751,144751,144616,144252
12,145000,145000,145000,144851,144478
1,145390,145407,145438,145363,144931
2,145620,145639,145668,145599,145157
3,145840,145872,145898,145835,145384
4,146080,146104,146129,146070,145610
5,146320,146336,146359,146306,145837
6,146600,146569,146590,146541,146063
7,146790,146801,146820,146777,146289
8,147000,147033,147050,147012,146516
9,147220,147266,147281,147248,146742
10,147480,147498,147511,147484,146969
11,147710,147730,147741,147719,147195
12,147910,147963,147972,147955,147422
1,148230,148195,148202,148190,147648
2,148460,148427,148433,148426,147874
3,148680,148660,148663,148661,148101
4,148850,148892,148893,148897,148327
5,149150,149124,149124,149133,148554
6,149360,149357,149354,149368,148780
7,149620,149589,149584,149604,149007
8,149830,149821,149815,149839,149233
9,150020,150054,150045,150075,149459
10,150280,150286,150276,150310,149686
11,150500,150518,150506,150546,149912
12,150800,150751,150736,150782,150139
1,151210,151183,151191,151179,150592
2,151440,151414,151421,151410,150818
3,151670,151645,151652,151642,151044
4,151890,151876,151882,151873,151271
5,152110,152107,152113,152105,151497
6,152350,152338,152343,152336,151724
7,152540,152569,152574,152567,151950
8,152750,152800,152804,152799,152177
9,153010,153031,153035,153030,152403
10,153270,153262,153265,153262,152630
11,153430,153493,153496,153493,152856
12,153730,153724,153726,153724,153082
1,153950,153955,153957,153956,153309
2,154220,154186,154187,154187,153535
3,154440,154417,154418,154418,153762
4,154600,154648,154648,154650,153988
5,154890,154879,154879,154881,154215
6,155110,155110,155109,155113,154441
7,155360,155341,155340,155344,154667
8,155600,155572,155570,155575,154894
9,155770,155803,155800,155807,155120
10,156030,156034,156031,156038,155347
11,156290,156265,156261,156270,155573
12,156500,156496,156492,156501,155800
1,156960,156931,156942,156912,156252
2,157170,157160,157170,157143,156479
