Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,104290,104290,104290,104523,104290
2,104560,104542,104542,104758,104516
3,104810,104794,104794,104992,104741
4,105100,105047,105047,105227,104967
5,105380,105299,105299,105462,105193
6,105620,105551,105551,105697,105419
7,105860,105803,105803,105931,105644
8,106170,106055,106055,106166,105870
9,106470,106307,106307,106401,106096
10,106670,106560,106560,106636,106322
11,106940,106812,106812,106870,106547
12,107220,107064,107064,107105,106773
1,107340,107316,107316,107340,106999
2,107570,107568,107568,107575,107225
3,107820,107820,107820,107809,107450
4,108070,108073,108073,108044,107676
5,108320,108325,108325,108279,107902
6,108550,108577,108577,108514,108128
7,108790,108829,108829,108748,108353
8,109070,109081,109081,108983,108579
9,109270,109333,109333,109218,108805
10,109550,109586,109586,109453,109031
11,109810,109838,109838,109687,109256
12,110090,110090,110090,109922,109482
1,110480,110485,110522,110441,109934
2,110720,110717,110751,110676,110159
3,110930,110948,110980,110911,110385
4,111150,111180,111210,111145,110611
5,111390,111412,111439,111380,110837
6,111620,111643,111668,111615,111062
7,111840,111875,111897,111850,111288
8,112040,112106,112127,112084,111514
9,112320,112338,112356,112319,111740
10,112570,112569,112585,112554,111965
11,112740,112801,112814,112789,112191
12,112980,113033,113043,113023,112417
1,113330,113264,113273,113258,112643
2,113530,113496,113502,113493,112868
3,113740,113727,113731,113728,113094
4,113960,113959,113960,113962,113320
5,114180,114190,114190,114197,113546
6,114440,114422,114419,114432,113771
7,114670,114654,114648,114667,113997
8,114860,114885,114877,114901,114223
9,115080,115117,115107,115136,114449
10,115340,115348,115336,115371,114674
11,115610,115580,115565,115606,114900
12,115860,115811,115794,115840,115126
1,116290,116256,116259,116247,115577
2,116520,116486,116488,116478,115803
3,116730,116716,116718,116709,116029
4,116960,116945,116948,116940,116255
5,117170,117175,117177,117170,116480
6,117420,117405,117407,117401,116706
7,117620,117635,117636,117632,116932
8,117850,117865,117866,117863,117158
9,118070,118094,118096,118093,117383
10,118340,118324,118325,118324,117609
11,118520,118554,118555,118555,117835
12,118850,118784,118785,118785,118061
1,119050,119014,119014,119016,118286
2,119250,119243,119244,119247,118512
3,119470,119473,119474,119478,118738
4,119640,119703,119703,119708,118964
5,119880,119933,119933,119939,119189
6,120140,120163,120162,120170,119415
7,120380,120392,120392,120401,119641
8,120570,120622,120622,120631,119867
9,120820,120852,120851,120862,120092
10,121090,121082,121081,121093,120318
11,121380,121312,121311,121323,120544
12,121610,121541,121540,121554,120769
1,122040,121996,122000,121983,121221
2,122250,122224,122227,122212,121447
3,122470,122452,122455,122441,121672
4,122680,122680,122683,122671,121898
5,122900,122908,122911,122900,122124
6,123140,123136,123139,123129,122350
