Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,43170,43170,43170,43415.5,43170
2,43470,43420,43420,43648.8,43395.7
3,43660,43670,43670,43882,43621.5
4,44000,43920,43920,44115.2,43847.2
5,44240,44170,44170,44348.4,44072.9
6,44490,44420,44420,44581.6,44298.6
7,44760,44670,44670,44814.8,44524.4
8,45020,44920,44920,45048,44750.1
9,45320,45170,45170,45281.3,44975.8
10,45550,45420,45420,45514.5,45201.6
11,45730,45670,45670,45747.7,45427.3
12,46110,45920,45920,45980.9,45653
1,46290,46170,46170,46214.1,45878.8
2,46540,46420,46420,46447.3,46104.5
3,46720,46670,46670,46680.5,46330.2
4,46930,46920,46920,46913.7,46555.9
5,47190,47170,47170,47147,46781.7
6,47420,47420,47420,47380.2,47007.4
7,47680,47670,47670,47613.4,47233.1
8,47920,47920,47920,47846.6,47458.9
9,48140,48170,48170,48079.8,47684.6
10,48420,48420,48420,48313,47910.3
11,48650,48670,48670,48546.2,48136.1
12,48920,48920,48920,48779.5,48361.8
1,49380,49359.7,49379.9,49298,48813.2
2,49560,49587.9,49606.8,49531.3,49039
3,49770,49816.2,49833.7,49764.5,49264.7
4,50040,50044.4,50060.7,49997.7,49490.4
5,50250,50272.6,50287.6,50230.9,49716.2
6,50500,50500.8,50514.5,50464.1,49941.9
7,50710,50729,50741.4,50697.3,50167.6
8,50930,50957.2,50968.4,50930.5,50393.4
9,51190,51185.4,51195.3,51163.8,50619.1
10,51460,51413.6,51422.2,51397,50844.8
11,51630,51641.8,51649.1,51630.2,51070.5
12,51850,51870,51876,51863.4,51296.3
1,52140,52098.2,52103,52096.6,51522
2,52330,52326.5,52329.9,52329.8,51747.7
3,52540,52554.7,52556.8,52563,51973.5
4,52750,52782.9,52783.7,52796.2,52199.2
5,53000,53011.1,53010.7,53029.5,52424.9
6,53220,53239.3,53237.6,53262.7,52650.7
7,53480,53467.5,53464.5,53495.9,52876.4
8,53670,53695.7,53691.4,53729.1,53102.1
9,53900,53923.9,53918.3,53962.3,53327.8
10,54170,54152.1,54145.3,54195.5,53553.6
11,54410,54380.3,54372.2,54428.7,53779.3
12,54640,54608.6,54599.1,54662,54005
1,55080,55057.8,55055.4,55050.3,54456.5
2,55300,55286.2,55283.9,55279.4,54682.2
3,55520,55514.5,55512.4,55508.4,54908
4,55750,55742.9,55741,55737.4,55133.7
5,55960,55971.3,55969.5,55966.5,55359.4
6,56200,56199.7,56198.1,56195.5,55585.1
7,56450,56428.1,56426.6,56424.5,55810.9
8,56620,56656.5,56655.2,56653.5,56036.6
9,56860,56884.9,56883.7,56882.6,56262.3
10,57080,57113.3,57112.2,57111.6,56488.1
11,57310,57341.7,57340.8,57340.6,56713.8
12,57550,57570,57569.3,57569.7,56939.5
1,57820,57798.4,57797.9,57798.7,57165.3
2,58050,58026.8,58026.4,58027.7,57391
3,58270,58255.2,58255,58256.7,57616.7
4,58490,58483.6,58483.5,58485.8,57842.4
5,58720,58712,58712,58714.8,58068.2
6,58960,58940.4,58940.6,58943.8,58293.9
7,59190,59168.8,59169.1,59172.9,58519.6
8,59380,59397.2,59397.7,59401.9,58745.4
9,59580,59625.6,59626.2,59630.9,58971.1
10,59890,59853.9,59854.7,59859.9,59196.8
11,60080,60082.3,60083.3,60089,59422.6
12,60310,60310.7,60311.8,60318,59648.3
1,60770,60751.6,60758.7,60735.3,60099.7
