Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,43880,43880,43880,44005.2,43880
2,44160,44140.4,44140.4,44250.5,44118.9
3,44410,44400.9,44400.9,44495.8,44357.8
4,44670,44661.3,44661.3,44741.1,44596.7
5,44920,44921.7,44921.7,44986.4,44835.6
6,45160,45182.2,45182.2,45231.7,45074.5
7,45410,45442.6,45442.6,45477,45313.4
8,45710,45703,45703,45722.3,45552.3
9,45950,45963.5,45963.5,45967.7,45791.2
10,46150,46223.9,46223.9,46213,46030.1
11,46450,46484.3,46484.3,46458.3,46269
12,46830,46744.8,46744.8,46703.6,46507.9
1,47080,47005.2,47005.2,46948.9,46746.7
2,47270,47265.7,47265.7,47194.2,46985.6
4,47400,47526.1,47526.1,47439.5,47224.5
3,47550,47786.5,47786.5,47684.8,47463.4
5,47920,48047,48047,47930.2,47702.3
6,48220,48307.4,48307.4,48175.5,47941.2
7,48440,48567.8,48567.8,48420.8,48180.1
8,48700,48828.3,48828.3,48666.1,48419
9,48980,49088.7,49088.7,48911.4,48657.9
10,49280,49349.1,49349.1,49156.7,48896.8
11,49420,49609.6,49609.6,49402,49135.7
12,49870,49870,49870,49647.3,49374.6
1,50250,50226.2,50281.8,50156.4,49852.4
2,50490,50466.5,50518.5,50401.7,50091.3
3,50700,50706.7,50755.1,50647,50330.2
4,50830,50946.9,50991.8,50892.3,50569.1
5,51110,51187.1,51228.5,51137.7,50808
6,51410,51427.4,51465.2,51383,51046.9
7,51610,51667.6,51701.9,51628.3,51285.8
8,51830,51907.8,51938.5,51873.6,51524.7
9,52120,52148,52175.2,52118.9,51763.6
10,52390,52388.3,52411.9,52364.2,52002.5
11,52640,52628.5,52648.6,52609.5,52241.4
12,52950,52868.7,52885.3,52854.8,52480.2
1,53120,53109,53121.9,53100.2,52719.1
2,53300,53349.2,53358.6,53345.5,52958
3,53570,53589.4,53595.3,53590.8,53196.9
4,53760,53829.6,53832,53836.1,53435.8
5,54040,54069.9,54068.7,54081.4,53674.7
6,54280,54310.1,54305.3,54326.7,53913.6
7,54490,54550.3,54542,54572,54152.5
8,54780,54790.5,54778.7,54817.3,54391.4
9,55090,55030.8,55015.4,55062.7,54630.3
10,55350,55271,55252.1,55308,54869.2
11,55500,55511.2,55488.7,55553.3,55108.1
12,55850,55751.4,55725.4,55798.6,55347
1,56340,56246.6,56239.1,56236.7,55824.8
2,56540,56487.1,56480.1,56478.8,56063.7
3,56790,56727.7,56721.1,56720.8,56302.6
4,56950,56968.2,56962.1,56962.9,56541.5
5,57180,57208.7,57203.1,57205,56780.4
6,57440,57449.3,57444.1,57447,57019.3
7,57650,57689.8,57685.2,57689.1,57258.2
8,57890,57930.4,57926.2,57931.1,57497.1
9,58210,58170.9,58167.2,58173.2,57736
10,58470,58411.4,58408.2,58415.3,57974.9
11,58660,58652,58649.2,58657.3,58213.7
12,58880,58892.5,58890.2,58899.4,58452.6
1,59230,59133,59131.3,59141.4,58691.5
2,59400,59373.6,59372.3,59383.5,58930.4
3,59640,59614.1,59613.3,59625.6,59169.3
4,59840,59854.6,59854.3,59867.6,59408.2
5,60060,60095.2,60095.3,60109.7,59647.1
6,60310,60335.7,60336.3,60351.8,59886
7,60530,60576.3,60577.3,60593.8,60124.9
8,60790,60816.8,60818.4,60835.9,60363.8
9,61040,61057.3,61059.4,61077.9,60602.7
10,61280,61297.9,61300.4,61320,60841.6
11,61560,61538.4,61541.4,61562.1,61080.5
12,61810,61778.9,61782.4,61804.1,61319.4
1,62350,62266,62266.7,62242.6,61797.2
2,62550,62504.6,62505.2,62483.2,62036.1
3,62770,62743.1,62743.7,62723.9,62275
4,62960,62981.7,62982.2,62964.5,62513.9
5,63170,63220.2,63220.7,63205.2,62752.8
6,63430,63458.7,63459.2,63445.8,62991.7
7,63650,63697.3,63697.7,63686.5,63230.6
8,63910,63935.8,63936.2,63927.1,63469.5
9,64190,64174.4,64174.7,64167.7,63708.4
10,64400,64412.9,64413.2,64408.4,63947.2
11,64680,64651.5,64651.7,64649,64186.1
12,64850,64890,64890.2,64889.7,64425
