Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,34610,34610,34610,34834,34610
2,34890,34870.4,34870.4,35076.7,34845.4
3,35160,35130.9,35130.9,35319.4,35080.7
4,35430,35391.3,35391.3,35562.1,35316.1
5,35710,35651.7,35651.7,35804.8,35551.4
6,35950,35912.2,35912.2,36047.5,35786.8
7,36250,36172.6,36172.6,36290.2,36022.2
8,36530,36433,36433,36532.9,36257.5
9,36770,36693.5,36693.5,36775.6,36492.9
10,37030,36953.9,36953.9,37018.3,36728.2
11,37210,37214.3,37214.3,37261,36963.6
12,37640,37474.8,37474.8,37503.7,37198.9
1,37840,37735.2,37735.2,37746.3,37434.3
2,38020,37995.7,37995.7,37989,37669.7
3,38230,38256.1,38256.1,38231.7,37905
4,38550,38516.5,38516.5,38474.4,38140.4
5,38770,38777,38777,38717.1,38375.7
6,39030,39037.4,39037.4,38959.8,38611.1
7,39250,39297.8,39297.8,39202.5,38846.5
8,39520,39558.3,39558.3,39445.2,39081.8
9,39770,39818.7,39818.7,39687.9,39317.2
10,40020,40079.1,40079.1,39930.6,39552.5
11,40220,40339.6,40339.6,40173.3,39787.9
12,40600,40600,40600,40416,40023.3
1,41010,41006.9,41045.2,40947.3,40494
2,41190,41245.1,41281,41190,40729.3
3,41420,41483.3,41516.7,41432.7,40964.7
4,41700,41721.5,41752.5,41675.4,41200.1
5,41920,41959.7,41988.2,41918.1,41435.4
6,42190,42197.9,42224,42160.8,41670.8
7,42460,42436.1,42459.7,42403.5,41906.1
8,42700,42674.3,42695.5,42646.2,42141.5
9,42900,42912.5,42931.2,42888.9,42376.8
10,43100,43150.7,43167,43131.6,42612.2
11,43360,43388.9,43402.8,43374.3,42847.6
12,43590,43627.1,43638.5,43617,43082.9
1,43900,43865.3,43874.3,43859.7,43318.3
2,44110,44103.5,44110,44102.4,43553.6
3,44350,44341.7,44345.8,44345.1,43789
4,44590,44579.9,44581.5,44587.8,44024.4
5,44780,44818.1,44817.3,44830.5,44259.7
6,45050,45056.3,45053,45073.2,44495.1
7,45300,45294.5,45288.8,45315.9,44730.4
8,45550,45532.7,45524.5,45558.6,44965.8
9,45780,45770.9,45760.3,45801.2,45201.2
10,46030,46009.1,45996,46043.9,45436.5
11,46210,46247.3,46231.8,46286.6,45671.9
12,46530,46485.5,46467.5,46529.3,45907.2
1,47000,46961.2,46957.4,46947.2,46378
2,47210,47197.1,47193.5,47184.5,46613.3
3,47440,47432.9,47429.6,47421.9,46848.7
4,47700,47668.8,47665.7,47659.3,47084
5,47900,47904.7,47901.8,47896.7,47319.4
6,48170,48140.5,48137.9,48134.1,47554.7
7,48410,48376.4,48374.1,48371.5,47790.1
8,48630,48612.3,48610.2,48608.9,48025.5
9,48830,48848.1,48846.3,48846.2,48260.8
10,49050,49084,49082.4,49083.6,48496.2
11,49210,49319.9,49318.5,49321,48731.5
12,49560,49555.8,49554.6,49558.4,48966.9
1,49830,49791.6,49790.7,49795.8,49202.3
2,50040,50027.5,50026.8,50033.2,49437.6
3,50260,50263.4,50262.9,50270.5,49673
4,50500,50499.2,50499,50507.9,49908.3
5,50750,50735.1,50735.2,50745.3,50143.7
6,50980,50971,50971.3,50982.7,50379.1
7,51220,51206.8,51207.4,51220.1,50614.4
8,51460,51442.7,51443.5,51457.5,50849.8
9,51690,51678.6,51679.6,51694.9,51085.1
10,51890,51914.4,51915.7,51932.2,51320.5
11,52110,52150.3,52151.8,52169.6,51555.9
12,52410,52386.2,52387.9,52407,51791.2
1,52880,52838.2,52846.5,52813.1,52261.9
2,53070,53072.1,53079.8,53049.1,52497.3
3,53300,53306,53313.2,53285.1,52732.6
4,53540,53539.8,53546.5,53521,52968
5,53750,53773.7,53779.9,53757,53203.4
6,53990,54007.6,54013.2,53992.9,53438.7
7,54220,54241.4,54246.6,54228.9,53674.1
8,54460,54475.3,54479.9,54464.9,53909.4
9,54710,54709.2,54713.2,54700.8,54144.8
10,54890,54943.1,54946.6,54936.8,54380.2
11,55130,55176.9,55179.9,55172.7,54615.5
12,55420,55410.8,55413.3,55408.7,54850.9
1,55670,55644.7,55646.6,55644.6,55086.2
2,55920,55878.5,55879.9,55880.6,55321.6
3,56140,56112.4,56113.3,56116.6,55557
4,56390,56346.3,56346.6,56352.5,55792.3
5,56600,56580.2,56580,56588.5,56027.7
6,56810,56814,56813.3,56824.4,56263
7,57030,57047.9,57046.7,57060.4,56498.4
8,57290,57281.8,57280,57296.4,56733.7
9,57500,57515.6,57513.3,57532.3,56969.1
10,57720,57749.5,57746.7,57768.3,57204.5
11,57970,57983.4,57980,58004.2,57439.8
12,58240,58217.2,58213.4,58240.2,57675.2
1,58740,58690.9,58695.4,58685,58145.9
2,58950,58925.5,58929.1,58920.6,58381.3
3,59180,59160.2,59162.9,59156.2,58616.6
4,59410,59394.8,59396.6,59391.9,58852
5,59620,59629.4,59630.4,59627.5,59087.3
6,59880,59864.1,59864.2,59863.1,59322.7
7,60100,60098.7,60097.9,60098.7,59558.1
8,60360,60333.3,60331.7,60334.3,59793.4
9,60550,60567.9,60565.4,60569.9,60028.8
10,60750,60802.6,60799.2,60805.5,60264.1
11,61030,61037.2,61033,61041.2,60499.5
12,61250,61271.8,61266.7,61276.8,60734.9
1,61550,61506.5,61500.5,61512.4,60970.2
2,61800,61741.1,61734.2,61748,61205.6
3,61980,61975.7,61968,61983.6,61440.9
4,62230,62210.3,62201.8,62219.2,61676.3
5,62480,62445,62435.5,62454.8,61911.6
6,62710,62679.6,62669.3,62690.5,62147
7,62910,62914.2,62903,62926.1,62382.4
8,63140,63148.9,63136.8,63161.7,62617.7
9,63350,63383.5,63370.6,63397.3,62853.1
10,63570,63618.1,63604.3,63632.9,63088.4
11,63810,63852.7,63838.1,63868.5,63323.8
12,64120,64087.4,64071.8,64104.1,63559.2
1,64590,64545.4,64538.9,64530.9,64029.9
2,64790,64778.6,64772.6,64765.4,64265.2
3,65010,65011.7,65006.3,64999.8,64500.6
4,65260,65244.9,65240,65234.3,64736
5,65470,65478,65473.7,65468.7,64971.3
6,65720,65711.2,65707.5,65703.2,65206.7
7,65960,65944.3,65941.2,65937.6,65442
8,66160,66177.5,66174.9,66172.1,65677.4
9,66400,66410.6,66408.6,66406.5,65912.8
10,66620,66643.8,66642.3,66641,66148.1
11,66860,66877,66876,66875.4,66383.5
12,67060,67110.1,67109.7,67109.9,66618.8
1,67380,67343.3,67343.4,67344.3,66854.2
2,67590,67576.4,67577.2,67578.8,67089.5
3,67800,67809.6,67810.9,67813.2,67324.9
4,68050,68042.7,68044.6,68047.7,67560.3
5,68280,68275.9,68278.3,68282.1,67795.6
6,68500,68509,68512,68516.5,68031
7,68720,68742.2,68745.7,68751,68266.3
8,68990,68975.4,68979.4,68985.4,68501.7
9,69190,69208.5,69213.1,69219.9,68737.1
10,69450,69441.7,69446.9,69454.3,68972.4
11,69680,69674.8,69680.6,69688.8,69207.8
12,69920,69908,69914.3,69923.2,69443.1
1,70400,70359.8,70365.8,70348.3,69913.9
2,70580,70592.8,70599,70582.1,70149.2
3,70790,70825.8,70832.3,70815.9,70384.6
4,71070,71058.8,71065.6,71049.7,70619.9
5,71270,71291.8,71298.9,71283.5,70855.3
6,71500,71524.8,71532.1,71517.3,71090.7
7,71730,71757.8,71765.4,71751.1,71326
8,71980,71990.8,71998.7,71984.9,71561.4
9,72230,72223.8,72232,72218.7,71796.7
10,72440,72456.8,72465.2,72452.6,72032.1
11,72710,72689.8,72698.5,72686.4,72267.4
12,72920,72922.8,72931.8,72920.2,72502.8
1,73190,73155.8,73165,73154,72738.2
2,73370,73388.8,73398.3,73387.8,72973.5
3,73600,73621.8,73631.6,73621.6,73208.9
4,73870,73854.8,73864.9,73855.4,73444.2
5,74100,74087.8,74098.1,74089.2,73679.6
6,74300,74320.8,74331.4,74323,73915
7,74550,74553.8,74564.7,74556.9,74150.3
