Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,52830,52830,52830,52969.2,52830
2,53030,53068.7,53068.7,53194.4,53044.8
3,53230,53307.4,53307.4,53419.6,53259.6
4,53510,53546.1,53546.1,53644.8,53474.4
5,53780,53784.8,53784.8,53869.9,53689.2
6,54040,54023.5,54023.5,54095.1,53904
7,54300,54262.2,54262.2,54320.3,54118.8
8,54580,54500.9,54500.9,54545.5,54333.6
9,54830,54739.6,54739.6,54770.6,54548.4
10,54980,54978.3,54978.3,54995.8,54763.2
11,55140,55217,55217,55221,54978
12,55500,55455.7,55455.7,55446.2,55192.8
1,55690,55694.3,55694.3,55671.3,55407.6
2,55940,55933,55933,55896.5,55622.4
3,56180,56171.7,56171.7,56121.7,55837.2
4,56370,56410.4,56410.4,56346.9,56052
5,56610,56649.1,56649.1,56572,56266.8
6,56820,56887.8,56887.8,56797.2,56481.6
7,57050,57126.5,57126.5,57022.4,56696.4
8,57340,57365.2,57365.2,57247.6,56911.2
9,57550,57603.9,57603.9,57472.7,57126
10,57840,57842.6,57842.6,57697.9,57340.8
11,57950,58081.3,58081.3,57923.1,57555.6
12,58320,58320,58320,58148.3,57770.4
1,58720,58678,58718.2,58631.3,58200
2,58870,58899.8,58937.5,58856.5,58414.8
3,59060,59121.6,59156.8,59081.7,58629.6
4,59270,59343.5,59376,59306.8,58844.4
5,59500,59565.3,59595.3,59532,59059.2
6,59740,59787.1,59814.6,59757.2,59274
7,59960,60009,60033.8,59982.4,59488.8
8,60210,60230.8,60253.1,60207.5,59703.6
9,60460,60452.6,60472.3,60432.7,59918.4
10,60680,60674.5,60691.6,60657.9,60133.2
11,60890,60896.3,60910.9,60883.1,60348
12,61170,61118.1,61130.1,61108.2,60562.8
1,61420,61340,61349.4,61333.4,60777.6
2,61590,61561.8,61568.7,61558.6,60992.4
3,61790,61783.6,61787.9,61783.8,61207.2
4,61960,62005.5,62007.2,62008.9,61422
5,62220,62227.3,62226.4,62234.1,61636.8
6,62420,62449.1,62445.7,62459.3,61851.6
7,62660,62671,62665,62684.5,62066.4
8,62880,62892.8,62884.2,62909.7,62281.2
9,63120,63114.6,63103.5,63134.8,62496
10,63320,63336.5,63322.8,63360,62710.8
11,63540,63558.3,63542,63585.2,62925.6
12,63850,63780.1,63761.3,63810.4,63140.4
1,64290,64203.4,64207.9,64212.1,63570
2,64480,64425,64429.2,64433.2,63784.8
3,64630,64646.7,64650.6,64654.4,63999.6
4,64840,64868.3,64871.9,64875.5,64214.4
5,65030,65090,65093.3,65096.7,64429.2
6,65310,65311.6,65314.7,65317.9,64644
7,65510,65533.3,65536,65539,64858.8
8,65710,65754.9,65757.4,65760.2,65073.6
9,65960,65976.6,65978.7,65981.4,65288.4
10,66230,66198.2,66200.1,66202.5,65503.2
11,66470,66419.9,66421.5,66423.7,65718
12,66640,66641.5,66642.8,66644.8,65932.8
1,66950,66863.1,66864.2,66866,66147.6
2,67100,67084.8,67085.5,67087.2,66362.4
3,67330,67306.4,67306.9,67308.3,66577.2
4,67500,67528.1,67528.2,67529.5,66792
5,67760,67749.7,67749.6,67750.6,67006.8
6,67950,67971.4,67971,67971.8,67221.6
7,68180,68193,68192.3,68193,67436.4
8,68410,68414.7,68413.7,68414.1,67651.2
9,68590,68636.3,68635,68635.3,67866
10,68880,68857.9,68856.4,68856.5,68080.8
11,69100,69079.6,69077.7,69077.6,68295.6
12,69280,69301.2,69299.1,69298.8,68510.4
1,69690,69689.9,69710.9,69689.8,68940
2,69880,69909.9,69929.5,69909.6,69154.8
3,70100,70129.9,70148.2,70129.5,69369.6
4,70320,70349.9,70366.8,70349.3,69584.4
5,70550,70569.9,70585.5,70569.1,69799.2
6,70800,70789.9,70804.1,70789,70014
7,71020,71009.9,71022.8,71008.8,70228.8
8,71250,71229.8,71241.4,71228.6,70443.6
9,71480,71449.8,71460.1,71448.5,70658.4
10,71720,71669.8,71678.7,71668.3,70873.2
11,71930,71889.8,71897.4,71888.2,71088
12,72100,72109.8,72116,72108,71302.8
1,72350,72329.8,72334.7,72327.8,71517.6
2,72510,72549.8,72553.3,72547.7,71732.4
3,72750,72769.7,72772,72767.5,71947.2
4,72940,72989.7,72990.6,72987.3,72162
5,73180,73209.7,73209.3,73207.2,72376.8
6,73400,73429.7,73427.9,73427,72591.6
7,73650,73649.7,73646.6,73646.9,72806.4
8,73880,73869.7,73865.2,73866.7,73021.2
9,74100,74089.7,74083.9,74086.5,73236
10,74330,74309.7,74302.5,74306.4,73450.8
11,74550,74529.6,74521.2,74526.2,73665.6
12,74750,74749.6,74739.8,74746.1,73880.4
1,75180,75154,75174.8,75166,74310
2,75390,75373.9,75393.4,75385.1,74524.8
3,75600,75593.9,75612,75604.3,74739.6
4,75800,75813.8,75830.6,75823.5,74954.4
5,76020,76033.7,76049.2,76042.7,75169.2
6,76250,76253.7,76267.8,76261.9,75384
7,76490,76473.6,76486.4,76481.1,75598.8
8,76690,76693.6,76705,76700.3,75813.6
9,76950,76913.5,76923.6,76919.5,76028.4
10,77180,77133.4,77142.1,77138.7,76243.2
11,77360,77353.4,77360.7,77357.9,76458
12,77550,77573.3,77579.3,77577.1,76672.8
1,77810,77793.2,77797.9,77796.3,76887.6
2,78030,78013.2,78016.5,78015.5,77102.4
3,78260,78233.1,78235.1,78234.6,77317.2
4,78440,78453.1,78453.7,78453.8,77532
5,78650,78673,78672.3,78673,77746.8
6,78880,78892.9,78890.9,78892.2,77961.6
7,79130,79112.9,79109.5,79111.4,78176.4
8,79320,79332.8,79328.1,79330.6,78391.2
9,79550,79552.7,79546.7,79549.8,78606
10,79800,79772.7,79765.3,79769,78820.8
11,79950,79992.6,79983.9,79988.2,79035.6
12,80200,80212.6,80202.5,80207.4,79250.4
1,80630,80606.4,80621.6,80606.1,79680
2,80810,80824.7,80839.7,80824.4,79894.8
3,81010,81043,81057.8,81042.8,80109.6
4,81240,81261.3,81275.9,81261.1,80324.4
5,81470,81479.7,81493.9,81479.5,80539.2
6,81710,81698,81712,81697.8,80754
7,81940,81916.3,81930.1,81916.2,80968.8
8,82160,82134.6,82148.2,82134.5,81183.6
9,82370,82352.9,82366.3,82352.9,81398.4
10,82590,82571.3,82584.4,82571.2,81613.2
11,82740,82789.6,82802.4,82789.6,81828
12,83010,83007.9,83020.5,83007.9,82042.8
1,83280,83226.2,83238.6,83226.3,82257.6
2,83480,83444.5,83456.7,83444.6,82472.4
3,83690,83662.9,83674.8,83662.9,82687.2
4,83850,83881.2,83892.8,83881.3,82902
5,84100,84099.5,84110.9,84099.6,83116.8
6,84270,84317.8,84329,84318,83331.6
7,84510,84536.2,84547.1,84536.3,83546.4
8,84790,84754.5,84765.2,84754.7,83761.2
9,84950,84972.8,84983.3,84973,83976
10,85200,85191.1,85201.3,85191.4,84190.8
11,85390,85409.4,85419.4,85409.7,84405.6
12,85620,85627.8,85637.5,85628.1,84620.4
1,86080,86032,86054.9,86036.5,85050
2,86280,86250.2,86272.5,86254.5,85264.8
3,86440,86468.4,86490,86472.6,85479.6
4,86670,86686.6,86707.6,86690.6,85694.4
5,86880,86904.8,86925.1,86908.6,85909.2
6,87120,87123,87142.7,87126.6,86124
7,87340,87341.2,87360.2,87344.6,86338.8
8,87570,87559.4,87577.8,87562.7,86553.6
9,87780,87777.6,87795.3,87780.7,86768.4
10,87960,87995.8,88012.9,87998.7,86983.2
11,88240,88214,88230.4,88216.7,87198
12,88420,88432.2,88448,88434.7,87412.8
1,88710,88650.4,88665.6,88652.8,87627.6
2,88920,88868.7,88883.1,88870.8,87842.4
3,89140,89086.9,89100.7,89088.8,88057.2
4,89270,89305.1,89318.2,89306.8,88272
5,89510,89523.3,89535.8,89524.8,88486.8
6,89710,89741.5,89753.3,89742.9,88701.6
7,89970,89959.7,89970.9,89960.9,88916.4
8,90250,90177.9,90188.4,90178.9,89131.2
9,90360,90396.1,90406,90396.9,89346
10,90590,90614.3,90623.5,90614.9,89560.8
11,90820,90832.5,90841.1,90833,89775.6
12,91020,91050.7,91058.6,91051,89990.4
1,91470,91451.3,91475.2,91453.9,90420
2,91690,91669.2,91692.3,91671.6,90634.8
3,91870,91887.1,91909.3,91889.4,90849.6
4,92090,92105,92126.4,92107.1,91064.4
5,92310,92322.9,92343.4,92324.8,91279.2
6,92550,92540.8,92560.4,92542.6,91494
7,92740,92758.7,92777.5,92760.3,91708.8
8,92980,92976.6,92994.5,92978.1,91923.6
9,93210,93194.5,93211.6,93195.8,92138.4
10,93390,93412.4,93428.6,93413.6,92353.2
11,93630,93630.3,93645.7,93631.3,92568
12,93860,93848.2,93862.7,93849,92782.8
1,94130,94066.1,94079.8,94066.8,92997.6
2,94310,94284,94296.8,94284.5,93212.4
3,94510,94501.9,94513.9,94502.3,93427.2
4,94700,94719.8,94730.9,94720,93642
5,94940,94937.7,94948,94937.8,93856.8
6,95100,95155.6,95165,95155.5,94071.6
7,95360,95373.5,95382.1,95373.2,94286.4
8,95600,95591.4,95599.1,95591,94501.2
9,95830,95809.3,95816.2,95808.7,94716
10,96040,96027.2,96033.2,96026.5,94930.8
11,96230,96245,96250.3,96244.2,95145.6
12,96450,96462.9,96467.3,96462,95360.4
1,96860,96859.4,96888.7,96867.3,95790
2,97050,97077.9,97105.4,97085,96004.8
3,97250,97296.4,97322.2,97302.7,96219.6
4,97470,97514.8,97539,97520.4,96434.4
5,97720,97733.3,97755.7,97738.1,96649.2
6,97980,97951.8,97972.5,97955.8,96864
7,98190,98170.3,98189.2,98173.5,97078.8
8,98400,98388.7,98406,98391.2,97293.6
9,98640,98607.2,98622.8,98608.9,97508.4
10,98840,98825.7,98839.5,98826.6,97723.2
11,99060,99044.1,99056.3,99044.3,97938
12,99270,99262.6,99273,99262,98152.8
1,99550,99481.1,99489.8,99479.7,98367.6
2,99690,99699.6,99706.6,99697.4,98582.4
3,99900,99918,99923.3,99915.1,98797.2
4,100100,100137,100140,100133,99012
5,100350,100355,100357,100350,99226.8
6,100550,100573,100574,100568,99441.6
7,100790,100792,100790,100786,99656.4
8,101040,101010,101007,101004,99871.2
9,101150,101229,101224,101221,100086
10,101470,101447,101441,101439,100301
11,101680,101666,101657,101657,100516
12,101900,101884,101874,101874,100730
1,102320,102276,102299,102276,101160
2,102500,102494,102516,102494,101375
3,102680,102712,102733,102712,101590
4,102930,102930,102949,102930,101804
5,103130,103149,103166,103148,102019
6,103340,103367,103382,103366,102234
7,103540,103585,103599,103584,102449
8,103770,103803,103816,103802,102664
9,103980,104021,104032,104020,102878
10,104250,104239,104249,104238,103093
11,104460,104458,104465,104456,103308
12,104710,104676,104682,104674,103523
1,104980,104894,104899,104892,103738
2,105140,105112,105115,105110,103952
3,105330,105330,105332,105328,104167
4,105540,105548,105548,105546,104382
5,105750,105766,105765,105764,104597
6,105950,105985,105982,105982,104812
7,106160,106203,106198,106200,105026
8,106420,106421,106415,106418,105241
9,106650,106639,106631,106636,105456
10,106870,106857,106848,106854,105671
11,107090,107075,107065,107072,105886
12,107300,107294,107281,107290,106100
1,107770,107694,107717,107698,106530
2,107950,107913,107934,107916,106745
3,108090,108132,108151,108135,106960
4,108340,108350,108367,108353,107174
5,108510,108569,108584,108572,107389
6,108760,108788,108801,108790,107604
7,108980,109006,109018,109008,107819
8,109210,109225,109234,109227,108034
9,109450,109444,109451,109445,108248
10,109640,109662,109668,109664,108463
11,109900,109881,109884,109882,108678
12,110130,110100,110101,110101,108893
1,110380,110318,110318,110319,109108
2,110580,110537,110535,110538,109322
3,110770,110756,110751,110756,109537
4,110960,110974,110968,110975,109752
5,111180,111193,111185,111193,109967
6,111380,111412,111402,111412,110182
7,111620,111631,111618,111630,110396
8,111880,111849,111835,111848,110611
9,112040,112068,112052,112067,110826
10,112290,112287,112269,112285,111041
11,112510,112505,112485,112504,111256
12,112720,112724,112702,112722,111470
1,113180,113122,113145,113127,111900
2,113350,113342,113362,113346,112115
3,113520,113561,113579,113565,112330
4,113750,113780,113796,113784,112544
5,113950,114000,114013,114003,112759
6,114210,114219,114230,114222,112974
7,114430,114439,114447,114441,113189
8,114670,114658,114664,114660,113404
9,114840,114877,114881,114879,113618
10,115080,115097,115098,115098,113833
11,115330,115316,115315,115317,114048
12,115560,115536,115533,115536,114263
1,115850,115755,115750,115755,114478
2,116010,115975,115967,115974,114692
3,116200,116194,116184,116193,114907
4,116400,116413,116401,116412,115122
5,116630,116633,116618,116631,115337
6,116820,116852,116835,116850,115552
7,117060,117072,117052,117069,115766
8,117320,117291,117269,117288,115981
9,117500,117510,117486,117507,116196
10,117730,117730,117703,117726,116411
11,117960,117949,117920,117945,116626
12,118140,118169,118138,118164,116840
2,118610,118584,118587,118590,117270
1,118880,118802,118804,118808,117485
3,119010,119020,119022,119026,117700
5,119260,119238,119239,119245,117914
4,119470,119456,119456,119463,118129
7,119670,119675,119674,119681,118344
6,119920,119893,119891,119899,118559
9,120080,120111,120109,120117,118774
8,120370,120329,120326,120335,118988
11,120610,120547,120544,120553,119203
10,120800,120766,120761,120772,119418
12,121000,120984,120979,120990,119633
2,121220,121202,121196,121208,119848
3,121390,121420,121414,121426,120062
1,121630,121638,121631,121644,120277
4,121820,121856,121849,121862,120492
5,122060,122075,122066,122080,120707
