Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,63750,63750,63750,63942.1,63750
2,64040,63989.1,63989.1,64166.3,63966.7
3,64250,64228.3,64228.3,64390.5,64183.4
4,64510,64467.4,64467.4,64614.7,64400.1
5,64760,64706.5,64706.5,64838.9,64616.8
6,64980,64945.7,64945.7,65063.1,64833.5
7,65270,65184.8,65184.8,65287.3,65050.2
8,65550,65423.9,65423.9,65511.5,65266.9
9,65740,65663,65663,65735.7,65483.6
10,65970,65902.2,65902.2,65959.9,65700.3
11,66140,66141.3,66141.3,66184.1,65917.1
12,66400,66380.4,66380.4,66408.3,66133.8
1,66660,66619.6,66619.6,66632.5,66350.5
2,66950,66858.7,66858.7,66856.7,66567.2
3,67140,67097.8,67097.8,67080.9,66783.9
4,67340,67337,67337,67305.1,67000.6
5,67550,67576.1,67576.1,67529.3,67217.3
6,67810,67815.2,67815.2,67753.5,67434
7,68040,68054.3,68054.3,67977.7,67650.7
8,68280,68293.5,68293.5,68201.9,67867.4
9,68510,68532.6,68532.6,68426.1,68084.1
10,68640,68771.7,68771.7,68650.3,68300.8
11,68960,69010.9,69010.9,68874.5,68517.5
12,69250,69250,69250,69098.7,68734.2
1,69650,69632.8,69665,69589.6,69167.6
2,69860,69853.8,69883.9,69813.8,69384.3
3,70040,70074.9,70102.9,70038,69601
4,70280,70295.9,70321.8,70262.2,69817.7
5,70480,70516.9,70540.8,70486.4,70034.5
6,70720,70737.9,70759.8,70710.6,70251.2
7,70930,70958.9,70978.7,70934.8,70467.9
8,71120,71179.9,71197.7,71159,70684.6
9,71370,71400.9,71416.7,71383.2,70901.3
10,71550,71622,71635.6,71607.4,71118
11,71740,71843,71854.6,71831.6,71334.7
12,72110,72064,72073.5,72055.8,71551.4
1,72380,72285,72292.5,72280,71768.1
2,72550,72506,72511.5,72504.2,71984.8
3,72750,72727,72730.4,72728.4,72201.5
4,72940,72948,72949.4,72952.6,72418.2
5,73180,73169,73168.4,73176.8,72634.9
6,73390,73390.1,73387.3,73401,72851.6
