Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,30810,30810,30810,31029.1,30810
2,31080,31056.5,31056.5,31260.3,31034.1
3,31290,31303,31303,31491.6,31258.3
4,31570,31549.6,31549.6,31722.9,31482.4
5,31830,31796.1,31796.1,31954.2,31706.6
6,32090,32042.6,32042.6,32185.4,31930.7
7,32360,32289.1,32289.1,32416.7,32154.9
8,32750,32535.7,32535.7,32648,32379
9,32940,32782.2,32782.2,32879.3,32603.2
10,33140,33028.7,33028.7,33110.6,32827.3
11,33350,33275.2,33275.2,33341.8,33051.5
12,33640,33521.7,33521.7,33573.1,33275.6
1,33870,33768.3,33768.3,33804.4,33499.8
2,34110,34014.8,34014.8,34035.7,33723.9
3,34300,34261.3,34261.3,34266.9,33948
4,34600,34507.8,34507.8,34498.2,34172.2
5,34800,34754.3,34754.3,34729.5,34396.3
6,35010,35000.9,35000.9,34960.8,34620.5
7,35210,35247.4,35247.4,35192.1,34844.6
8,35510,35493.9,35493.9,35423.3,35068.8
9,35690,35740.4,35740.4,35654.6,35292.9
10,35920,35987,35987,35885.9,35517.1
11,36180,36233.5,36233.5,36117.2,35741.2
12,36480,36480,36480,36348.4,35965.4
1,36940,36922.3,36939.3,36887,36413.7
2,37150,37150.8,37166.7,37118.2,36637.8
3,37350,37379.3,37394.1,37349.5,36861.9
4,37620,37607.8,37621.5,37580.8,37086.1
5,37800,37836.3,37849,37812.1,37310.2
6,38070,38064.8,38076.4,38043.4,37534.4
7,38290,38293.3,38303.8,38274.6,37758.5
8,38520,38521.9,38531.3,38505.9,37982.7
9,38720,38750.4,38758.7,38737.2,38206.8
10,38910,38978.9,38986.1,38968.5,38431
11,39200,39207.4,39213.5,39199.7,38655.1
12,39460,39435.9,39441,39431,38879.3
1,39710,39664.4,39668.4,39662.3,39103.4
2,39890,39892.9,39895.8,39893.6,39327.6
3,40100,40121.4,40123.2,40124.9,39551.7
4,40340,40350,40350.7,40356.1,39775.9
5,40580,40578.5,40578.1,40587.4,40000
6,40800,40807,40805.5,40818.7,40224.1
7,41000,41035.5,41033,41050,40448.3
8,41300,41264,41260.4,41281.3,40672.4
9,41460,41492.5,41487.8,41512.5,40896.6
10,41690,41721,41715.2,41743.8,41120.7
11,41990,41949.5,41942.7,41975.1,41344.9
12,42230,42178.1,42170.1,42206.4,41569
1,42650,42629.3,42627.2,42613.7,42017.3
2,42870,42856,42854.1,42841.8,42241.5
3,43070,43082.8,43081,43069.9,42465.6
4,43280,43309.5,43307.8,43298,42689.8
5,43520,43536.2,43534.7,43526.1,42913.9
6,43790,43762.9,43761.5,43754.1,43138
7,44000,43989.7,43988.4,43982.2,43362.2
8,44220,44216.4,44215.3,44210.3,43586.3
9,44430,44443.1,44442.1,44438.4,43810.5
10,44660,44669.8,44669,44666.5,44034.6
11,44910,44896.6,44895.8,44894.5,44258.8
12,45180,45123.3,45122.7,45122.6,44482.9
1,45350,45350,45349.5,45350.7,44707.1
2,45570,45576.8,45576.4,45578.8,44931.2
3,45780,45803.5,45803.3,45806.9,45155.4
4,46040,46030.2,46030.1,46035,45379.5
5,46270,46256.9,46257,46263,45603.7
6,46400,46483.7,46483.8,46491.1,45827.8
7,46640,46710.4,46710.7,46719.2,46051.9
8,46960,46937.1,46937.5,46947.3,46276.1
9,47140,47163.8,47164.4,47175.4,46500.2
10,47410,47390.6,47391.3,47403.4,46724.4
11,47670,47617.3,47618.1,47631.5,46948.5
12,47870,47844,47845,47859.6,47172.7
1,48400,48328.9,48319.1,48323.5,47621
2,48590,48555.3,48546.1,48550.6,47845.1
3,48790,48781.7,48773.2,48777.7,48069.3
4,49020,49008.1,49000.2,49004.7,48293.4
5,49200,49234.6,49227.3,49231.8,48517.6
6,49440,49461,49454.3,49458.9,48741.7
7,49650,49687.4,49681.4,49686,48965.8
8,49870,49913.8,49908.4,49913.1,49190
9,50090,50140.2,50135.4,50140.2,49414.1
10,50330,50366.6,50362.5,50367.3,49638.3
11,50590,50593.1,50589.5,50594.4,49862.4
12,50830,50819.5,50816.6,50821.5,50086.6
1,51150,51045.9,51043.6,51048.5,50310.7
2,51340,51272.3,51270.7,51275.6,50534.9
3,51540,51498.7,51497.7,51502.7,50759
4,51750,51725.1,51724.7,51729.8,50983.2
5,51940,51951.6,51951.8,51956.9,51207.3
6,52150,52178,52178.8,52184,51431.5
7,52390,52404.4,52405.9,52411.1,51655.6
8,52650,52630.8,52632.9,52638.2,51879.7
9,52830,52857.2,52859.9,52865.3,52103.9
10,53070,53083.7,53087,53092.3,52328
11,53290,53310.1,53314,53319.4,52552.2
12,53540,53536.5,53541.1,53546.5,52776.3
1,54050,53998.2,53979.7,53977,53224.6
2,54230,54222.7,54206.2,54203,53448.8
3,54430,54447.2,54432.8,54428.9,53672.9
4,54670,54671.7,54659.4,54654.9,53897.1
5,54870,54896.2,54885.9,54880.8,54121.2
6,55080,55120.7,55112.5,55106.8,54345.4
7,55340,55345.2,55339.1,55332.7,54569.5
8,55550,55569.7,55565.6,55558.7,54793.7
9,55750,55794.2,55792.2,55784.6,55017.8
10,55980,56018.7,56018.7,56010.6,55241.9
11,56220,56243.2,56245.3,56236.5,55466.1
12,56460,56467.7,56471.9,56462.4,55690.2
1,56710,56692.2,56698.4,56688.4,55914.4
2,56940,56916.7,56925,56914.3,56138.5
3,57140,57141.2,57151.5,57140.3,56362.7
4,57370,57365.7,57378.1,57366.2,56586.8
5,57560,57590.2,57604.7,57592.2,56811
6,57790,57814.7,57831.2,57818.1,57035.1
7,58000,58039.2,58057.8,58044.1,57259.3
8,58310,58263.7,58284.3,58270,57483.4
9,58480,58488.2,58510.9,58496,57707.6
10,58750,58712.7,58737.5,58721.9,57931.7
11,58940,58937.2,58964,58947.8,58155.8
12,59190,59161.7,59190.6,59173.8,58380
1,59700,59641.4,59627.1,59626.3,58828.3
2,59910,59865.2,59853.1,59851.5,59052.4
3,60120,60089,60079.1,60076.8,59276.6
4,60310,60312.8,60305.1,60302,59500.7
5,60510,60536.7,60531.1,60527.3,59724.9
6,60750,60760.5,60757.1,60752.5,59949
7,60960,60984.3,60983.1,60977.8,60173.2
8,61200,61208.1,61209.1,61203,60397.3
9,61390,61432,61435.1,61428.3,60621.5
10,61620,61655.8,61661.1,61653.5,60845.6
11,61860,61879.6,61887.1,61878.8,61069.7
12,62100,62103.5,62113.1,62104,61293.9
1,62400,62327.3,62339.1,62329.3,61518
2,62590,62551.1,62565.1,62554.5,61742.2
3,62800,62774.9,62791.1,62779.8,61966.3
4,63000,62998.8,63017.1,63005.1,62190.5
5,63200,63222.6,63243.1,63230.3,62414.6
6,63400,63446.4,63469.1,63455.6,62638.8
7,63600,63670.2,63695.1,63680.8,62862.9
8,63930,63894.1,63921.1,63906.1,63087.1
9,64070,64117.9,64147,64131.3,63311.2
10,64350,64341.7,64373,64356.6,63535.4
11,64590,64565.5,64599,64581.8,63759.5
12,64840,64789.4,64825,64807.1,63983.6
1,65310,65255.5,65250.4,65242.4,64431.9
2,65510,65479,65475.6,65466.7,64656.1
3,65700,65702.5,65700.8,65691.1,64880.2
4,65910,65926,65926,65915.4,65104.4
5,66110,66149.5,66151.2,66139.8,65328.5
6,66340,66373,66376.4,66364.2,65552.7
7,66570,66596.5,66601.7,66588.5,65776.8
8,66800,66820,66826.9,66812.9,66001
9,66980,67043.5,67052.1,67037.2,66225.1
10,67220,67267.1,67277.3,67261.6,66449.3
11,67500,67490.6,67502.5,67486,66673.4
12,67710,67714.1,67727.7,67710.3,66897.5
1,67970,67937.6,67952.9,67934.7,67121.7
2,68160,68161.1,68178.2,68159,67345.8
3,68380,68384.6,68403.4,68383.4,67570
4,68610,68608.1,68628.6,68607.8,67794.1
5,68830,68831.6,68853.8,68832.1,68018.3
6,69040,69055.1,69079,69056.5,68242.4
7,69240,69278.6,69304.2,69280.8,68466.6
8,69560,69502.1,69529.4,69505.2,68690.7
9,69710,69725.6,69754.7,69729.6,68914.9
10,69940,69949.1,69979.9,69953.9,69139
11,70220,70172.6,70205.1,70178.3,69363.2
12,70420,70396.1,70430.3,70402.6,69587.3
1,70870,70859.1,70855.1,70845.3,70035.6
2,71070,71082,71079.5,71069.1,70259.7
3,71300,71304.9,71304,71292.9,70483.9
4,71530,71527.9,71528.5,71516.7,70708
5,71730,71750.8,71752.9,71740.5,70932.2
6,71940,71973.7,71977.4,71964.4,71156.3
7,72160,72196.6,72201.8,72188.2,71380.5
8,72430,72419.5,72426.3,72412,71604.6
9,72610,72642.4,72650.8,72635.8,71828.8
10,72820,72865.3,72875.2,72859.6,72052.9
11,73110,73088.2,73099.7,73083.4,72277.1
12,73320,73311.1,73324.2,73307.3,72501.2
1,73570,73534,73548.6,73531.1,72725.4
2,73770,73756.9,73773.1,73754.9,72949.5
3,74010,73979.8,73997.5,73978.7,73173.6
4,74210,74202.7,74222,74202.5,73397.8
5,74420,74425.6,74446.5,74426.3,73621.9
6,74610,74648.5,74670.9,74650.2,73846.1
7,74860,74871.5,74895.4,74874,74070.2
8,75090,75094.4,75119.9,75097.8,74294.4
9,75280,75317.3,75344.3,75321.6,74518.5
10,75540,75540.2,75568.8,75545.4,74742.7
11,75800,75763.1,75793.2,75769.3,74966.8
12,76010,75986,76017.7,75993.1,75191
1,76430,76435,76442.2,76424.9,75639.3
2,76640,76658.5,76666.1,76648.6,75863.4
3,76860,76882,76889.9,76872.4,76087.5
4,77070,77105.5,77113.7,77096.1,76311.7
5,77290,77329,77337.6,77319.8,76535.8
6,77530,77552.5,77561.4,77543.6,76760
7,77800,77776,77785.2,77767.3,76984.1
8,77980,77999.5,78009.1,77991.1,77208.3
9,78170,78223,78232.9,78214.8,77432.4
10,78400,78446.5,78456.8,78438.6,77656.6
11,78670,78670,78680.6,78662.3,77880.7
12,78910,78893.5,78904.4,78886,78104.9
1,79090,79117,79128.3,79109.8,78329
2,79320,79340.6,79352.1,79333.5,78553.2
3,79550,79564.1,79575.9,79557.3,78777.3
4,79790,79787.6,79799.8,79781,79001.4
5,80000,80011.1,80023.6,80004.8,79225.6
6,80220,80234.6,80247.4,80228.5,79449.7
7,80450,80458.1,80471.3,80452.2,79673.9
8,80750,80681.6,80695.1,80676,79898
9,80900,80905.1,80918.9,80899.7,80122.2
10,81160,81128.6,81142.8,81123.5,80346.3
11,81370,81352.1,81366.6,81347.2,80570.5
12,81600,81575.6,81590.4,81571,80794.6
1,82020,82025.9,82027.8,82002.4,81242.9
2,82240,82249.3,82251.4,82227.5,81467.1
3,82440,82472.8,82474.9,82452.6,81691.2
4,82680,82696.3,82698.5,82677.7,81915.3
5,82880,82919.7,82922.1,82902.7,82139.5
6,83130,83143.2,83145.7,83127.8,82363.6
7,83370,83366.7,83369.3,83352.9,82587.8
8,83580,83590.1,83592.9,83578,82811.9
9,83790,83813.6,83816.5,83803.1,83036.1
10,83990,84037.1,84040,84028.1,83260.2
11,84300,84260.5,84263.6,84253.2,83484.4
12,84470,84484,84487.2,84478.3,83708.5
1,84750,84707.5,84710.8,84703.4,83932.7
2,84940,84930.9,84934.4,84928.5,84156.8
