Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,71010,71010,71010,71128.5,71010
2,71220,71249.6,71249.6,71357.7,71232
3,71420,71489.1,71489.1,71586.9,71454
4,71690,71728.7,71728.7,71816.2,71676
5,71950,71968.3,71968.3,72045.4,71897.9
6,72210,72207.8,72207.8,72274.6,72119.9
7,72470,72447.4,72447.4,72503.8,72341.9
8,72800,72687,72687,72733.1,72563.9
9,72980,72926.5,72926.5,72962.3,72785.9
10,73180,73166.1,73166.1,73191.5,73007.9
11,73400,73405.7,73405.7,73420.7,73229.8
12,73710,73645.2,73645.2,73650,73451.8
1,73930,73884.8,73884.8,73879.2,73673.8
2,74140,74124.3,74124.3,74108.4,73895.8
3,74390,74363.9,74363.9,74337.6,74117.8
4,74610,74603.5,74603.5,74566.9,74339.8
5,74850,74843,74843,74796.1,74561.7
6,75070,75082.6,75082.6,75025.3,74783.7
7,75270,75322.2,75322.2,75254.6,75005.7
8,75560,75561.7,75561.7,75483.8,75227.7
9,75740,75801.3,75801.3,75713,75449.7
10,76030,76040.9,76040.9,75942.2,75671.7
11,76200,76280.4,76280.4,76171.5,75893.7
12,76520,76520,76520,76400.7,76115.6
1,76960,76951.6,76967.6,76909.3,76559.6
2,77180,77177.5,77192.4,77138.5,76781.6
3,77410,77403.3,77417.2,77367.8,77003.6
4,77620,77629.1,77642,77597,77225.6
5,77840,77855,77866.8,77826.2,77447.5
6,78110,78080.8,78091.6,78055.4,77669.5
7,78320,78306.6,78316.4,78284.7,77891.5
8,78480,78532.5,78541.3,78513.9,78113.5
9,78680,78758.3,78766.1,78743.1,78335.5
10,78920,78984.1,78990.9,78972.4,78557.5
11,79170,79209.9,79215.7,79201.6,78779.5
12,79400,79435.8,79440.5,79430.8,79001.4
1,79700,79661.6,79665.3,79660,79223.4
2,79920,79887.4,79890.1,79889.3,79445.4
3,80130,80113.3,80114.9,80118.5,79667.4
4,80380,80339.1,80339.8,80347.7,79889.4
5,80600,80564.9,80564.6,80576.9,80111.4
6,80780,80790.7,80789.4,80806.2,80333.3
7,81030,81016.6,81014.2,81035.4,80555.3
8,81270,81242.4,81239,81264.6,80777.3
