Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,101450,101450,101450,101604,101450
2,101710,101689,101689,101831,101671
3,101900,101928,101928,102057,101892
4,102150,102167,102167,102284,102113
5,102390,102407,102407,102510,102334
6,102650,102646,102646,102737,102555
7,102890,102885,102885,102963,102776
8,103150,103124,103124,103189,102997
9,103380,103363,103363,103416,103217
10,103570,103602,103602,103642,103438
11,103830,103841,103841,103869,103659
12,104150,104080,104080,104095,103880
1,104390,104320,104320,104322,104101
2,104620,104559,104559,104548,104322
3,104830,104798,104798,104774,104543
4,105040,105037,105037,105001,104764
5,105300,105276,105276,105227,104985
6,105510,105515,105515,105454,105206
7,105750,105754,105754,105680,105427
8,106060,105993,105993,105907,105648
9,106240,106233,106233,106133,105869
10,106420,106472,106472,106359,106090
11,106670,106711,106711,106586,106311
12,106950,106950,106950,106812,106531
1,107390,107369,107389,107341,106973
2,107610,107593,107612,107567,107194
3,107760,107818,107835,107794,107415
4,108010,108042,108058,108020,107636
5,108220,108266,108281,108246,107857
6,108490,108491,108504,108473,108078
7,108720,108715,108727,108699,108299
8,108960,108939,108950,108926,108520
9,109140,109164,109173,109152,108741
10,109340,109388,109396,109379,108962
11,109590,109612,109619,109605,109183
12,109840,109836,109842,109831,109404
1,110100,110061,110065,110058,109625
2,110320,110285,110288,110284,109845
3,110510,110509,110512,110511,110066
4,110760,110734,110735,110737,110287
5,110940,110958,110958,110963,110508
6,111140,111182,111181,111190,110729
7,111380,111407,111404,111416,110950
8,111650,111631,111627,111643,111171
9,111850,111855,111850,111869,111392
10,112080,112080,112073,112096,111613
11,112320,112304,112296,112322,111834
12,112550,112528,112519,112548,112055
1,112950,112950,112956,112957,112497
2,113200,113172,113178,113179,112718
3,113370,113395,113400,113401,112939
4,113630,113617,113622,113623,113160
5,113820,113840,113845,113845,113380
6,114080,114063,114067,114067,113601
7,114300,114285,114289,114289,113822
8,114510,114508,114511,114511,114043
9,114700,114731,114734,114733,114264
10,114910,114953,114956,114954,114485
11,115180,115176,115178,115176,114706
12,115370,115398,115400,115398,114927
1,115630,115621,115622,115620,115148
2,115860,115844,115845,115842,115369
3,116040,116066,116067,116064,115590
4,116290,116289,116289,116286,115811
5,116520,116512,116511,116508,116032
6,116760,116734,116734,116730,116253
7,116980,116957,116956,116952,116474
8,117230,117179,117178,117173,116694
9,117400,117402,117400,117395,116915
10,117580,117625,117622,117617,117136
11,117860,117847,117845,117839,117357
12,118050,118070,118067,118061,117578
1,118460,118474,118489,118482,118020
2,118710,118696,118710,118703,118241
3,118880,118917,118930,118924,118462
4,119160,119138,119151,119144,118683
5,119350,119360,119371,119365,118904
6,119570,119581,119592,119585,119125
7,119800,119803,119812,119806,119346
8,120040,120024,120033,120027,119567
9,120260,120246,120253,120247,119788
10,120440,120467,120474,120468,120008
11,120740,120689,120694,120689,120229
12,120910,120910,120915,120909,120450
1,121140,121132,121135,121130,120671
2,121340,121353,121356,121351,120892
3,121540,121575,121576,121571,121113
4,121790,121796,121797,121792,121334
5,121990,122017,122017,122012,121555
6,122220,122239,122238,122233,121776
7,122470,122460,122458,122454,121997
8,122690,122682,122679,122674,122218
9,122890,122903,122899,122895,122439
10,123120,123125,123120,123116,122660
11,123360,123346,123340,123336,122881
12,123600,123568,123561,123557,123102
1,123990,123976,123994,123983,123543
2,124200,124197,124214,124203,123764
3,124390,124418,124434,124424,123985
4,124630,124640,124654,124645,124206
5,124840,124861,124875,124865,124427
6,125100,125082,125095,125086,124648
7,125330,125303,125315,125307,124869
8,125540,125525,125536,125528,125090
9,125770,125746,125756,125748,125311
10,125940,125967,125976,125969,125532
11,126180,126189,126197,126190,125753
12,126440,126410,126417,126410,125974
1,126640,126631,126637,126631,126195
2,126840,126852,126857,126852,126416
3,127050,127074,127078,127073,126636
4,127290,127295,127298,127293,126857
5,127520,127516,127518,127514,127078
6,127730,127738,127739,127735,127299
7,127960,127959,127959,127955,127520
8,128200,128180,128179,128176,127741
9,128400,128401,128400,128397,127962
10,128620,128623,128620,128618,128183
11,128850,128844,128840,128838,128404
12,129050,129065,129060,129059,128625
1,129510,129485,129502,129496,129067
2,129760,129707,129722,129717,129288
3,129930,129928,129942,129938,129509
4,130200,130150,130162,130158,129730
5,130360,130371,130383,130379,129950
6,130580,130592,130603,130600,130171
7,130830,130814,130823,130821,130392
8,131030,131035,131044,131042,130613
9,131240,131257,131264,131263,130834
10,131450,131478,131484,131483,131055
11,131680,131700,131705,131704,131276
12,131910,131921,131925,131925,131497
1,132160,132142,132145,132146,131718
2,132370,132364,132366,132367,131939
3,132600,132585,132586,132587,132160
4,132820,132807,132806,132808,132381
5,133050,133028,133027,133029,132602
6,133270,133250,133247,133250,132823
7,133470,133471,133467,133471,133044
8,133670,133692,133688,133692,133264
9,133900,133914,133908,133912,133485
10,134120,134135,134128,134133,133706
11,134370,134357,134348,134354,133927
12,134570,134578,134569,134575,134148
1,135020,134996,135009,135004,134590
2,135260,135217,135230,135225,134811
3,135450,135439,135450,135445,135032
4,135710,135660,135670,135666,135253
5,135880,135881,135890,135887,135474
6,136130,136102,136111,136108,135695
7,136330,136323,136331,136328,135916
8,136540,136545,136551,136549,136137
9,136750,136766,136772,136770,136358
10,136930,136987,136992,136991,136579
11,137170,137208,137212,137211,136799
12,137440,137430,137433,137432,137020
1,137630,137651,137653,137653,137241
2,137850,137872,137873,137874,137462
3,138060,138093,138094,138094,137683
4,138310,138314,138314,138315,137904
5,138560,138536,138534,138536,138125
6,138770,138757,138755,138757,138346
7,138980,138978,138975,138977,138567
8,139230,139199,139195,139198,138788
9,139420,139420,139416,139419,139009
10,139630,139642,139636,139640,139230
11,139890,139863,139856,139860,139451
12,140080,140084,140076,140081,139672
1,140540,140504,140519,140512,140113
2,140760,140726,140739,140733,140334
3,140930,140947,140959,140954,140555
4,141200,141169,141180,141175,140776
5,141370,141390,141400,141396,140997
6,141620,141611,141620,141617,141218
7,141800,141833,141841,141838,141439
8,142060,142054,142061,142059,141660
9,142270,142276,142282,142280,141881
10,142470,142497,142502,142501,142102
11,142710,142719,142722,142722,142323
12,142930,142940,142943,142943,142544
1,143210,143162,143163,143164,142765
2,143390,143383,143383,143385,142986
3,143610,143605,143604,143606,143207
4,143830,143826,143824,143827,143427
5,144050,144048,144045,144048,143648
6,144290,144269,144265,144269,143869
7,144470,144491,144485,144490,144090
