Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,61310,61310,61310,61477.1,61310
2,61570,61549.1,61549.1,61701.7,61527.7
3,61750,61788.3,61788.3,61926.2,61745.4
4,62020,62027.4,62027.4,62150.7,61963.1
5,62280,62266.5,62266.5,62375.2,62180.7
6,62500,62505.7,62505.7,62599.8,62398.4
7,62720,62744.8,62744.8,62824.3,62616.1
8,63010,62983.9,62983.9,63048.8,62833.8
9,63230,63223,63223,63273.3,63051.5
10,63420,63462.2,63462.2,63497.9,63269.2
11,63580,63701.3,63701.3,63722.4,63486.8
12,63970,63940.4,63940.4,63946.9,63704.5
1,64350,64179.6,64179.6,64171.4,63922.2
2,64550,64418.7,64418.7,64396,64139.9
3,64740,64657.8,64657.8,64620.5,64357.6
4,64960,64897,64897,64845,64575.3
5,65180,65136.1,65136.1,65069.5,64793
6,65380,65375.2,65375.2,65294,65010.6
7,65580,65614.3,65614.3,65518.6,65228.3
8,65800,65853.5,65853.5,65743.1,65446
9,65990,66092.6,66092.6,65967.6,65663.7
10,66210,66331.7,66331.7,66192.1,65881.4
11,66510,66570.9,66570.9,66416.7,66099.1
12,66810,66810,66810,66641.2,66316.7
1,67180,67195.7,67226.8,67141.3,66752.1
2,67430,67416,67445.2,67365.8,66969.8
3,67620,67636.4,67663.5,67590.4,67187.5
4,67800,67856.7,67881.9,67814.9,67405.2
5,68060,68077.1,68100.3,68039.4,67622.8
6,68290,68297.4,68318.6,68263.9,67840.5
7,68520,68517.8,68537,68488.5,68058.2
8,68760,68738.1,68755.4,68713,68275.9
9,68900,68958.5,68973.7,68937.5,68493.6
10,69090,69178.8,69192.1,69162,68711.3
11,69420,69399.2,69410.4,69386.5,68929
12,69690,69619.5,69628.8,69611.1,69146.6
1,69890,69839.9,69847.2,69835.6,69364.3
2,70050,70060.2,70065.5,70060.1,69582
3,70250,70280.6,70283.9,70284.6,69799.7
4,70470,70500.9,70502.3,70509.2,70017.4
5,70700,70721.3,70720.6,70733.7,70235.1
6,70890,70941.6,70939,70958.2,70452.7
7,71100,71162,71157.4,71182.7,70670.4
8,71400,71382.4,71375.7,71407.3,70888.1
9,71540,71602.7,71594.1,71631.8,71105.8
10,71830,71823.1,71812.4,71856.3,71323.5
11,72130,72043.4,72030.8,72080.8,71541.2
12,72350,72263.8,72249.2,72305.4,71758.9
1,72770,72714.2,72707.5,72707.4,72194.2
2,72970,72934.4,72928.1,72928.5,72411.9
3,73180,73154.6,73148.7,73149.6,72629.6
4,73380,73374.8,73369.4,73370.7,72847.3
5,73610,73595.1,73590,73591.8,73065
6,73820,73815.3,73810.7,73812.9,73282.6
7,74010,74035.5,74031.3,74034,73500.3
8,74230,74255.7,74251.9,74255.1,73718
9,74470,74475.9,74472.6,74476.2,73935.7
10,74670,74696.1,74693.2,74697.3,74153.4
11,74920,74916.3,74913.9,74918.4,74371.1
12,75150,75136.5,75134.5,75139.5,74588.7
1,75420,75356.7,75355.1,75360.5,74806.4
2,75580,75576.9,75575.8,75581.6,75024.1
3,75790,75797.2,75796.4,75802.7,75241.8
4,75970,76017.4,76017.1,76023.8,75459.5
5,76220,76237.6,76237.7,76244.9,75677.2
6,76450,76457.8,76458.3,76466,75894.9
7,76650,76678,76679,76687.1,76112.5
8,76900,76898.2,76899.6,76908.2,76330.2
9,77070,77118.4,77120.3,77129.3,76547.9
10,77330,77338.6,77340.9,77350.4,76765.6
11,77620,77558.8,77561.5,77571.5,76983.3
12,77820,77779,77782.2,77792.6,77201
1,78280,78217.1,78219.5,78216.9,77636.3
2,78460,78436.8,78439.1,78436.6,77854
3,78640,78656.5,78658.6,78656.3,78071.7
4,78840,78876.2,78878.2,78875.9,78289.4
5,79090,79095.9,79097.7,79095.6,78507.1
6,79300,79315.6,79317.2,79315.3,78724.8
7,79510,79535.3,79536.8,79535,78942.4
8,79740,79755,79756.3,79754.7,79160.1
9,79940,79974.7,79975.9,79974.4,79377.8
10,80170,80194.4,80195.4,80194.1,79595.5
11,80430,80414.1,80415,80413.8,79813.2
12,80630,80633.8,80634.5,80633.5,80030.9
1,80910,80853.5,80854,80853.2,80248.5
2,81100,81073.2,81073.6,81072.9,80466.2
3,81300,81292.9,81293.1,81292.6,80683.9
4,81510,81512.6,81512.7,81512.3,80901.6
5,81760,81732.3,81732.2,81731.9,81119.3
6,81920,81952,81951.8,81951.6,81337
7,82140,82171.7,82171.3,82171.3,81554.6
8,82380,82391.3,82390.8,82391,81772.3
9,82590,82611,82610.4,82610.7,81990
10,82840,82830.7,82829.9,82830.4,82207.7
11,83080,83050.4,83049.5,83050.1,82425.4
12,83280,83270.1,83269,83269.8,82643.1
1,83690,83691.7,83691.9,83680.2,83078.4
2,83900,83910.2,83911,83899.3,83296.1
3,84120,84128.7,84130.1,84118.4,83513.8
4,84310,84347.2,84349.2,84337.5,83731.5
5,84550,84565.8,84568.3,84556.6,83949.2
6,84790,84784.3,84787.4,84775.7,84166.9
7,85010,85002.8,85006.5,84994.9,84384.5
8,85220,85221.4,85225.6,85214,84602.2
9,85410,85439.9,85444.7,85433.1,84819.9
10,85650,85658.4,85663.8,85652.2,85037.6
11,85870,85877,85882.9,85871.3,85255.3
12,86090,86095.5,86102,86090.4,85473
1,86350,86314,86321.2,86309.6,85690.7
2,86520,86532.6,86540.3,86528.7,85908.3
3,86740,86751.1,86759.4,86747.8,86126
4,86930,86969.6,86978.5,86966.9,86343.7
5,87160,87188.2,87197.6,87186,86561.4
6,87370,87406.7,87416.7,87405.1,86779.1
7,87610,87625.2,87635.8,87624.3,86996.8
8,87880,87843.7,87854.9,87843.4,87214.4
9,88050,88062.3,88074,88062.5,87432.1
10,88300,88280.8,88293.1,88281.6,87649.8
11,88530,88499.3,88512.2,88500.7,87867.5
12,88750,88717.9,88731.3,88719.8,88085.2
1,89150,89145.5,89157.6,89141.2,88520.5
2,89340,89364.8,89376.4,89360.6,88738.2
3,89540,89584.1,89595.2,89580,88955.9
4,89780,89803.3,89814,89799.5,89173.6
5,90020,90022.6,90032.8,90018.9,89391.3
6,90250,90241.9,90251.7,90238.3,89609
7,90470,90461.2,90470.5,90457.7,89826.7
8,90690,90680.5,90689.3,90677.2,90044.3
9,90880,90899.8,90908.1,90896.6,90262
10,91120,91119,91126.9,91116,90479.7
11,91300,91338.3,91345.7,91335.4,90697.4
12,91590,91557.6,91564.5,91554.9,90915.1
1,91800,91776.9,91783.4,91774.3,91132.8
2,92000,91996.2,92002.2,91993.7,91350.4
3,92220,92215.5,92221,92213.1,91568.1
4,92400,92434.7,92439.8,92432.6,91785.8
5,92670,92654,92658.6,92652,92003.5
6,92850,92873.3,92877.4,92871.4,92221.2
7,93090,93092.6,93096.2,93090.8,92438.9
8,93330,93311.9,93315,93310.3,92656.6
9,93530,93531.1,93533.9,93529.7,92874.2
10,93750,93750.4,93752.7,93749.1,93091.9
11,93960,93969.7,93971.5,93968.5,93309.6
12,94220,94189,94190.3,94188,93527.3
1,94610,94618.8,94624.3,94615,93962.7
2,94860,94837.8,94843,94834.3,94180.3
3,95060,95056.9,95061.7,95053.6,94398
4,95280,95275.9,95280.4,95272.8,94615.7
5,95490,95494.9,95499.2,95492.1,94833.4
6,95730,95713.9,95717.9,95711.4,95051.1
7,95940,95932.9,95936.6,95930.7,95268.8
8,96150,96152,96155.3,96149.9,95486.4
9,96350,96371,96374.1,96369.2,95704.1
10,96570,96590,96592.8,96588.5,95921.8
11,96780,96809,96811.5,96807.8,96139.5
12,97030,97028,97030.2,97027,96357.2
1,97270,97247,97249,97246.3,96574.9
2,97480,97466.1,97467.7,97465.6,96792.6
3,97680,97685.1,97686.4,97684.9,97010.2
4,97870,97904.1,97905.1,97904.1,97227.9
5,98090,98123.1,98123.9,98123.4,97445.6
6,98330,98342.1,98342.6,98342.7,97663.3
7,98550,98561.2,98561.3,98561.9,97881
8,98800,98780.2,98780,98781.2,98098.7
9,99000,98999.2,98998.8,99000.5,98316.3
10,99210,99218.2,99217.5,99219.8,98534
11,99450,99437.2,99436.2,99439,98751.7
12,99700,99656.2,99654.9,99658.3,98969.4
1,100090,100083,100086,100078,99404.8
2,100300,100301,100304,100297,99622.5
3,100520,100520,100523,100515,99840.1
4,100770,100738,100741,100734,100058
5,100970,100957,100960,100953,100276
6,101170,101175,101178,101172,100493
7,101350,101394,101397,101390,100711
8,101590,101612,101615,101609,100929
9,101800,101831,101834,101828,101146
10,102040,102049,102052,102047,101364
11,102280,102268,102271,102266,101582
12,102500,102486,102489,102484,101799
1,102720,102704,102708,102703,102017
2,102940,102923,102927,102922,102235
3,103140,103141,103145,103141,102452
4,103310,103360,103364,103359,102670
5,103550,103578,103582,103578,102888
6,103780,103797,103801,103797,103105
7,104010,104015,104019,104016,103323
8,104250,104234,104238,104235,103541
9,104450,104452,104456,104453,103758
10,104670,104671,104675,104672,103976
11,104930,104889,104893,104891,104194
12,105120,105108,105112,105110,104412
1,105530,105533,105539,105523,104847
2,105750,105751,105757,105742,105065
3,105970,105969,105975,105961,105282
4,106170,106187,106194,106180,105500
5,106390,106406,106412,106399,105718
6,106620,106624,106630,106618,105935
7,106860,106842,106848,106837,106153
8,107080,107061,107067,107056,106371
9,107230,107279,107285,107275,106588
10,107450,107497,107503,107494,106806
11,107730,107716,107721,107713,107024
12,108000,107934,107940,107932,107241
1,108160,108152,108158,108151,107459
2,108370,108371,108376,108370,107677
3,108580,108589,108594,108589,107894
4,108800,108807,108813,108808,108112
5,109010,109026,109031,109027,108330
6,109230,109244,109249,109245,108548
7,109440,109462,109468,109464,108765
8,109700,109680,109686,109683,108983
9,109830,109899,109904,109902,109201
10,110110,110117,110122,110121,109418
11,110370,110335,110341,110340,109636
12,110610,110554,110559,110559,109854
1,111050,110990,110996,110987,110289
2,111230,111209,111214,111206,110507
3,111390,111428,111433,111425,110724
4,111660,111646,111651,111644,110942
5,111870,111865,111869,111863,111160
6,112100,112084,112087,112082,111377
7,112310,112302,112306,112302,111595
8,112540,112521,112524,112521,111813
9,112660,112740,112742,112740,112030
10,112920,112958,112961,112959,112248
11,113160,113177,113179,113178,112466
12,113420,113396,113397,113397,112684
1,113670,113614,113615,113616,112901
2,113840,113833,113834,113835,113119
3,114050,114052,114052,114054,113337
4,114280,114270,114270,114274,113554
5,114470,114489,114489,114493,113772
6,114710,114708,114707,114712,113990
7,114930,114926,114925,114931,114207
8,115130,115145,115143,115150,114425
9,115310,115364,115362,115369,114643
10,115570,115582,115580,115588,114860
11,115840,115801,115798,115807,115078
12,116050,116020,116017,116026,115296
1,116460,116448,116453,116447,115731
2,116680,116667,116671,116665,115949
3,116850,116885,116889,116884,116166
4,117110,117104,117107,117103,116384
5,117320,117323,117326,117322,116602
6,117550,117542,117544,117540,116820
7,117750,117760,117762,117759,117037
8,118010,117979,117981,117978,117255
9,118150,118198,118199,118197,117473
10,118410,118416,118417,118415,117690
11,118640,118635,118635,118634,117908
12,118880,118854,118854,118853,118126
1,119090,119072,119072,119071,118343
2,119300,119291,119290,119290,118561
3,119490,119510,119509,119509,118779
4,119720,119728,119727,119728,118996
5,119900,119947,119945,119946,119214
6,120140,120166,120164,120165,119432
7,120370,120384,120382,120384,119649
8,120620,120603,120600,120603,119867
9,120800,120822,120818,120821,120085
10,121060,121040,121037,121040,120302
11,121300,121259,121255,121259,120520
12,121490,121478,121473,121477,120738
1,121910,121898,121904,121884,121173
2,122110,122117,122122,122103,121391
3,122300,122335,122341,122323,121609
4,122540,122554,122559,122542,121826
5,122750,122772,122777,122762,122044
6,123000,122991,122995,122981,122262
7,123210,123209,123213,123201,122479
8,123460,123428,123431,123420,122697
9,123610,123646,123650,123640,122915
10,123840,123865,123868,123859,123132
11,124060,124084,124086,124079,123350
12,124310,124302,124304,124299,123568
1,124540,124521,124522,124518,123785
2,124770,124739,124740,124738,124003
3,124960,124958,124959,124957,124221
4,125160,125176,125177,125177,124438
5,125360,125395,125395,125396,124656
6,125590,125613,125613,125616,124874
7,125820,125832,125831,125835,125092
8,126070,126050,126049,126055,125309
9,126260,126269,126268,126275,125527
10,126490,126487,126486,126494,125745
11,126730,126706,126704,126714,125962
12,126950,126924,126922,126933,126180
2,127440,127373,127377,127378,126615
1,127640,127593,127596,127598,126833
3,127820,127812,127814,127818,127051
5,128040,128032,128033,128037,127268
4,128240,128252,128252,128257,127486
7,128480,128471,128470,128477,127704
6,128730,128691,128689,128696,127921
9,128840,128911,128908,128916,128139
8,129130,129130,129126,129136,128357
11,129350,129350,129345,129356,128574
10,129600,129570,129564,129575,128792
12,129790,129789,129783,129795,129010
2,130040,130009,130001,130015,129228
3,130240,130229,130220,130235,129445
1,130460,130448,130439,130454,129663
4,130660,130668,130657,130674,129881
5,130890,130888,130876,130894,130098
6,131090,131107,131095,131114,130316
7,131330,131327,131313,131333,130534
8,131550,131547,131532,131553,130751
9,131730,131766,131751,131773,130969
10,131970,131986,131969,131992,131187
11,132240,132206,132188,132212,131404
12,132420,132425,132407,132432,131622
3,132830,132852,132845,132844,132057
2,133110,133070,133063,133063,132275
4,133280,133288,133282,133282,132493
1,133540,133506,133501,133501,132710
6,133710,133725,133719,133719,132928
5,133930,133943,133938,133938,133146
8,134130,134161,134157,134157,133364
7,134380,134380,134376,134376,133581
9,134530,134598,134594,134595,133799
11,134830,134816,134813,134813,134017
10,135060,135034,135032,135032,134234
12,135260,135253,135250,135251,134452
2,135480,135471,135469,135470,134670
3,135690,135689,135688,135689,134887
4,135890,135907,135906,135907,135105
6,136130,136126,136125,136126,135323
1,136420,136344,136344,136345,135540
8,136550,136562,136562,136564,135758
5,136770,136781,136781,136783,135976
9,136960,136999,137000,137001,136193
7,137190,137217,137219,137220,136411
10,137420,137435,137437,137439,136629
11,137660,137654,137656,137658,136846
12,137900,137872,137875,137877,137064
2,138310,138300,138304,138292,137500
4,138520,138519,138523,138511,137717
3,138750,138737,138741,138730,137935
1,138980,138956,138959,138949,138153
6,139170,139174,139178,139168,138370
5,139390,139392,139396,139387,138588
8,139600,139611,139615,139606,138806
7,139790,139829,139833,139825,139023
9,139960,140048,140052,140044,139241
11,140260,140266,140270,140263,139459
10,140470,140484,140489,140482,139676
12,140700,140703,140707,140701,139894
4,140940,140921,140926,140920,140112
2,141150,141139,141144,141139,140329
3,141370,141358,141363,141358,140547
6,141620,141576,141581,141577,140765
