Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,63070,63070,63070,63252.5,63070
2,63340,63307,63307,63475.8,63286.3
3,63540,63543.9,63543.9,63699.1,63502.6
4,63800,63780.9,63780.9,63922.4,63719
5,64060,64017.8,64017.8,64145.7,63935.3
6,64300,64254.8,64254.8,64369,64151.6
7,64540,64491.7,64491.7,64592.3,64367.9
8,64820,64728.7,64728.7,64815.6,64584.3
9,65030,64965.7,64965.7,65038.9,64800.6
10,65240,65202.6,65202.6,65262.2,65016.9
11,65430,65439.6,65439.6,65485.5,65233.2
12,65760,65676.5,65676.5,65708.8,65449.6
1,66000,65913.5,65913.5,65932.1,65665.9
2,66210,66150.4,66150.4,66155.4,65882.2
3,66420,66387.4,66387.4,66378.7,66098.5
4,66610,66624.3,66624.3,66602,66314.9
5,66860,66861.3,66861.3,66825.3,66531.2
6,67090,67098.3,67098.3,67048.5,66747.5
7,67320,67335.2,67335.2,67271.8,66963.8
8,67620,67572.2,67572.2,67495.1,67180.2
9,67760,67809.1,67809.1,67718.4,67396.5
10,68020,68046.1,68046.1,67941.7,67612.8
11,68330,68283,68283,68165,67829.1
12,68520,68520,68520,68388.3,68045.5
1,68970,68938.6,68957.2,68904.6,68478.1
2,69150,69159.3,69176.6,69127.9,68694.4
3,69350,69380,69396.1,69351.2,68910.8
4,69580,69600.6,69615.6,69574.5,69127.1
5,69830,69821.3,69835.1,69797.8,69343.4
6,70050,70042,70054.6,70021.1,69559.7
7,70250,70262.6,70274.1,70244.4,69776.1
8,70460,70483.3,70493.6,70467.7,69992.4
9,70650,70704,70713,70691,70208.7
10,70870,70924.6,70932.5,70914.3,70425
11,71130,71145.3,71152,71137.6,70641.4
12,71390,71366,71371.5,71360.9,70857.7
1,71640,71586.6,71591,71584.1,71074
2,71820,71807.3,71810.5,71807.4,71290.3
3,72020,72028,72029.9,72030.7,71506.7
4,72230,72248.6,72249.4,72254,71723
5,72440,72469.3,72468.9,72477.3,71939.3
6,72680,72690,72688.4,72700.6,72155.6
7,72920,72910.6,72907.9,72923.9,72372
8,73140,73131.3,73127.4,73147.2,72588.3
9,73320,73352,73346.8,73370.5,72804.6
10,73560,73572.7,73566.3,73593.8,73020.9
11,73840,73793.3,73785.8,73817.1,73237.3
12,74050,74014,74005.3,74040.4,73453.6
1,74440,74429.5,74434.8,74431.4,73886.2
2,74660,74649.3,74654.2,74650.9,74102.6
3,74850,74869,74873.6,74870.4,74318.9
4,75080,75088.8,75093.1,75089.9,74535.2
5,75270,75308.5,75312.5,75309.4,74751.5
6,75540,75528.3,75531.9,75529,74967.9
7,75760,75748,75751.3,75748.5,75184.2
8,75960,75967.8,75970.7,75968,75400.5
9,76170,76187.6,76190.1,76187.5,75616.8
10,76410,76407.3,76409.6,76407,75833.2
11,76650,76627.1,76629,76626.6,76049.5
12,76860,76846.8,76848.4,76846.1,76265.8
1,77120,77066.6,77067.8,77065.6,76482.1
2,77300,77286.3,77287.2,77285.1,76698.5
3,77480,77506.1,77506.7,77504.6,76914.8
4,77720,77725.9,77726.1,77724.2,77131.1
5,77900,77945.6,77945.5,77943.7,77347.4
6,78140,78165.4,78164.9,78163.2,77563.8
7,78340,78385.1,78384.3,78382.7,77780.1
8,78610,78604.9,78603.7,78602.2,77996.4
9,78830,78824.6,78823.2,78821.8,78212.7
10,79050,79044.4,79042.6,79041.3,78429.1
11,79300,79264.2,79262,79260.8,78645.4
12,79500,79483.9,79481.4,79480.3,78861.7
1,79940,79907.3,79914.2,79909.2,79294.4
2,80160,80125.7,80132.2,80127.5,79510.7
3,80330,80344.2,80350.2,80345.8,79727
4,80560,80562.6,80568.2,80564.1,79943.3
5,80780,80781,80786.2,80782.4,80159.7
6,81010,80999.4,81004.1,81000.7,80376
7,81180,81217.9,81222.1,81219,80592.3
8,81410,81436.3,81440.1,81437.3,80808.6
9,81590,81654.7,81658.1,81655.6,81024.9
10,81860,81873.1,81876.1,81873.9,81241.3
11,82090,82091.6,82094.1,82092.1,81457.6
12,82320,82310,82312,82310.4,81673.9
1,82600,82528.4,82530,82528.7,81890.2
2,82790,82746.8,82748,82747,82106.6
3,82970,82965.2,82966,82965.3,82322.9
4,83180,83183.7,83184,83183.6,82539.2
5,83410,83402.1,83401.9,83401.9,82755.5
6,83600,83620.5,83619.9,83620.2,82971.9
7,83820,83838.9,83837.9,83838.5,83188.2
8,84070,84057.4,84055.9,84056.8,83404.5
9,84250,84275.8,84273.9,84275.1,83620.8
10,84480,84494.2,84491.9,84493.4,83837.2
11,84710,84712.6,84709.8,84711.6,84053.5
12,84960,84931.1,84927.8,84929.9,84269.8
1,85350,85342.9,85349.6,85340.8,84702.5
2,85570,85560.5,85567.2,85558.3,84918.8
3,85760,85778,85784.8,85775.8,85135.1
4,85990,85995.5,86002.4,85993.2,85351.4
5,86220,86213,86220,86210.7,85567.8
6,86420,86430.6,86437.6,86428.1,85784.1
7,86620,86648.1,86655.2,86645.6,86000.4
8,86850,86865.6,86872.8,86863.1,86216.7
9,87030,87083.2,87090.4,87080.5,86433.1
10,87300,87300.7,87308,87298,86649.4
11,87500,87518.2,87525.6,87515.5,86865.7
12,87760,87735.8,87743.2,87732.9,87082
1,88000,87953.3,87960.8,87950.4,87298.4
2,88180,88170.8,88178.4,88167.9,87514.7
3,88370,88388.3,88396,88385.3,87731
4,88600,88605.9,88613.6,88602.8,87947.3
5,88820,88823.4,88831.1,88820.3,88163.7
6,89010,89040.9,89048.7,89037.7,88380
7,89250,89258.5,89266.3,89255.2,88596.3
8,89480,89476,89483.9,89472.6,88812.6
9,89710,89693.5,89701.5,89690.1,89029
10,89920,89911,89919.1,89907.6,89245.3
11,90130,90128.6,90136.7,90125,89461.6
12,90360,90346.1,90354.3,90342.5,89677.9
1,90770,90760.6,90776.1,90763.9,90110.6
2,90990,90978.5,90993.3,90981.3,90326.9
3,91170,91196.3,91210.6,91198.7,90543.2
4,91430,91414.2,91427.8,91416.1,90759.6
5,91600,91632.1,91645.1,91633.6,90975.9
6,91840,91850,91862.3,91851,91192.2
7,92040,92067.8,92079.6,92068.4,91408.5
8,92280,92285.7,92296.9,92285.8,91624.9
9,92480,92503.6,92514.1,92503.2,91841.2
10,92720,92721.4,92731.4,92720.6,92057.5
11,92940,92939.3,92948.6,92938,92273.8
12,93160,93157.2,93165.9,93155.5,92490.2
1,93440,93375.1,93383.2,93372.9,92706.5
2,93600,93592.9,93600.4,93590.3,92922.8
3,93810,93810.8,93817.7,93807.7,93139.1
4,94010,94028.7,94034.9,94025.1,93355.5
5,94220,94246.6,94252.2,94242.5,93571.8
6,94420,94464.4,94469.5,94459.9,93788.1
7,94650,94682.3,94686.7,94677.4,94004.4
8,94930,94900.2,94904,94894.8,94220.8
9,95120,95118,95121.2,95112.2,94437.1
10,95370,95335.9,95338.5,95329.6,94653.4
11,95560,95553.8,95555.8,95547,94869.7
12,95790,95771.7,95773,95764.4,95086.1
1,96190,96183,96196.8,96186,95518.7
2,96420,96400.6,96413.8,96403.2,95735
3,96600,96618.3,96630.8,96620.4,95951.4
