Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,164680,164680,164680,164837,164680
2,164920,164916,164916,165063,164895
3,165100,165152,165152,165288,165110
4,165350,165388,165388,165514,165325
5,165600,165624,165624,165739,165540
6,165840,165860,165860,165964,165755
7,166110,166097,166097,166190,165970
8,166430,166333,166333,166415,166185
9,166670,166569,166569,166640,166400
10,166860,166805,166805,166866,166615
11,167090,167041,167041,167091,166830
12,167410,167277,167277,167316,167045
1,167620,167513,167513,167542,167260
2,167830,167749,167749,167767,167475
3,168050,167985,167985,167993,167690
4,168240,168221,168221,168218,167905
5,168510,168457,168457,168443,168120
6,168700,168693,168693,168669,168335
7,168950,168930,168930,168894,168550
8,169220,169166,169166,169119,168765
9,169450,169402,169402,169345,168981
10,169660,169638,169638,169570,169196
11,169900,169874,169874,169796,169411
12,170110,170110,170110,170021,169626
1,170650,170597,170592,170567,170056
2,170880,170819,170815,170792,170271
3,171050,171042,171038,171017,170486
4,171250,171265,171261,171243,170701
5,171480,171487,171484,171468,170916
6,171710,171710,171707,171693,171131
7,171930,171933,171930,171919,171346
8,172130,172155,172153,172144,171561
9,172350,172378,172376,172370,171776
10,172550,172601,172599,172595,171991
11,172790,172823,172821,172820,172206
12,173020,173046,173044,173046,172421
1,173280,173269,173267,173271,172636
2,173530,173491,173490,173496,172851
3,173710,173714,173713,173722,173066
4,173910,173937,173936,173947,173281
5,174170,174159,174159,174173,173496
6,174380,174382,174382,174398,173711
7,174610,174605,174605,174623,173926
8,174870,174827,174828,174849,174141
9,175080,175050,175051,175074,174356
10,175270,175273,175274,175299,174571
11,175510,175495,175497,175525,174786
12,175690,175718,175720,175750,175001
1,176100,176137,176142,176138,175431
2,176350,176358,176362,176359,175646
3,176540,176579,176583,176579,175861
4,176790,176800,176804,176800,176076
5,177010,177020,177024,177020,176291
6,177230,177241,177245,177240,176506
7,177470,177462,177465,177461,176721
8,177720,177683,177686,177681,176936
9,177920,177904,177906,177901,177151
10,178120,178125,178127,178122,177366
11,178390,178346,178348,178342,177582
12,178570,178567,178568,178562,177797
1,178790,178787,178789,178783,178012
2,178990,179008,179009,179003,178227
3,179200,179229,179230,179223,178442
4,179400,179450,179450,179444,178657
5,179600,179671,179671,179664,178872
6,179840,179892,179891,179884,179087
7,180080,180113,180112,180105,179302
8,180350,180334,180333,180325,179517
9,180580,180555,180553,180545,179732
10,180790,180775,180774,180766,179947
11,181030,180996,180994,180986,180162
12,181280,181217,181215,181207,180377
1,181600,181618,181632,181625,180807
2,181840,181838,181851,181845,181022
3,182030,182059,182071,182065,181237
4,182280,182279,182291,182284,181452
5,182510,182500,182510,182504,181667
6,182690,182720,182730,182724,181882
7,182940,182941,182949,182943,182097
8,183180,183161,183169,183163,182312
9,183370,183382,183389,183382,182527
10,183610,183602,183608,183602,182742
11,183790,183823,183828,183822,182957
12,184050,184043,184047,184041,183172
1,184290,184264,184267,184261,183387
2,184510,184484,184486,184481,183602
3,184700,184704,184706,184700,183817
4,184920,184925,184926,184920,184032
5,185110,185145,185145,185140,184247
6,185340,185366,185365,185359,184462
7,185600,185586,185584,185579,184677
8,185810,185807,185804,185799,184892
9,186040,186027,186023,186018,185107
10,186300,186248,186243,186238,185322
11,186470,186468,186463,186458,185537
12,186650,186689,186682,186677,185752
1,187110,187101,187113,187115,186183
2,187340,187321,187333,187334,186398
3,187540,187541,187552,187553,186613
4,187770,187760,187771,187771,186828
5,188000,187980,187991,187990,187043
6,188240,188200,188210,188209,187258
7,188440,188420,188429,188427,187473
8,188670,188639,188649,188646,187688
9,188860,188859,188868,188865,187903
10,189070,189079,189087,189084,188118
11,189290,189298,189307,189302,188333
12,189470,189518,189526,189521,188548
1,189730,189738,189745,189740,188763
2,189970,189958,189965,189959,188978
3,190150,190177,190184,190177,189193
4,190380,190397,190403,190396,189408
5,190590,190617,190623,190615,189623
6,190840,190836,190842,190833,189838
7,191070,191056,191061,191052,190053
8,191290,191276,191281,191271,190268
9,191490,191496,191500,191490,190483
10,191750,191715,191719,191708,190698
11,191950,191935,191939,191927,190913
12,192120,192155,192158,192146,191128
1,192570,192557,192569,192562,191558
2,192770,192775,192787,192779,191773
3,192950,192993,193006,192997,191988
4,193200,193211,193224,193214,192203
5,193430,193429,193443,193432,192418
6,193670,193647,193661,193649,192633
7,193900,193865,193880,193867,192848
8,194110,194083,194098,194084,193063
9,194280,194301,194317,194302,193278
10,194500,194519,194535,194519,193493
11,194720,194737,194754,194737,193708
12,194970,194955,194973,194954,193923
1,195220,195173,195191,195172,194138
2,195390,195391,195410,195389,194353
3,195600,195609,195628,195607,194568
4,195830,195827,195847,195824,194784
5,196010,196045,196065,196042,194999
6,196240,196263,196284,196259,195214
7,196440,196481,196502,196477,195429
8,196710,196699,196721,196694,195644
9,196930,196917,196939,196912,195859
10,197150,197135,197158,197129,196074
11,197350,197353,197376,197347,196289
12,197570,197571,197595,197564,196504
1,198000,197977,198001,197981,196934
2,198200,198195,198218,198198,197149
3,198390,198412,198436,198416,197364
4,198610,198630,198654,198633,197579
5,198830,198848,198871,198851,197794
6,199070,199066,199089,199068,198009
7,199290,199284,199307,199286,198224
8,199510,199502,199524,199503,198439
9,199720,199720,199742,199721,198654
10,199940,199937,199959,199938,198869
11,200170,200155,200177,200155,199084
12,200370,200373,200395,200373,199299
1,200600,200591,200612,200590,199514
2,200820,200809,200830,200808,199729
3,201030,201027,201048,201025,199944
4,201220,201244,201265,201243,200159
5,201440,201462,201483,201460,200374
6,201670,201680,201701,201678,200589
7,201880,201898,201918,201895,200804
8,202150,202116,202136,202113,201019
9,202330,202334,202354,202330,201234
10,202560,202552,202571,202547,201449
11,202790,202769,202789,202765,201664
12,202970,202987,203007,202982,201879
1,203450,203405,203425,203407,202309
2,203670,203623,203642,203625,202524
3,203850,203840,203859,203843,202739
4,204080,204058,204077,204060,202954
5,204300,204276,204294,204278,203169
6,204510,204493,204511,204496,203385
7,204700,204711,204728,204714,203600
8,204970,204929,204945,204931,203815
9,205110,205146,205162,205149,204030
10,205340,205364,205380,205367,204245
11,205500,205581,205597,205585,204460
12,205760,205799,205814,205802,204675
1,206020,206017,206031,206020,204890
2,206260,206234,206248,206238,205105
3,206450,206452,206465,206456,205320
4,206670,206670,206683,206673,205535
5,206880,206887,206900,206891,205750
6,207110,207105,207117,207109,205965
7,207330,207323,207334,207327,206180
8,207540,207540,207551,207544,206395
9,207780,207758,207768,207762,206610
10,208010,207976,207986,207980,206825
11,208190,208193,208203,208198,207040
12,208390,208411,208420,208415,207255
1,208860,208830,208851,208839,207685
2,209070,209048,209068,209057,207900
3,209250,209267,209285,209275,208115
4,209500,209485,209502,209493,208330
5,209700,209704,209720,209711,208545
6,209940,209922,209937,209929,208760
7,210150,210141,210154,210146,208975
8,210370,210359,210371,210364,209190
9,210570,210578,210588,210582,209405
10,210770,210796,210805,210800,209620
11,211020,211015,211022,211018,209835
12,211220,211233,211239,211236,210050
1,211490,211452,211456,211454,210265
2,211670,211670,211674,211672,210480
3,211880,211889,211891,211890,210695
4,212090,212107,212108,212108,210910
5,212330,212326,212325,212326,211125
6,212520,212544,212542,212544,211340
7,212760,212763,212759,212761,211555
8,213010,212981,212976,212979,211770
9,213160,213200,213193,213197,211986
10,213400,213418,213410,213415,212201
11,213680,213637,213628,213633,212416
12,213870,213855,213845,213851,212631
1,214300,214270,214282,214281,213061
2,214510,214489,214500,214498,213276
3,214700,214707,214717,214716,213491
4,214910,214925,214934,214933,213706
5,215170,215144,215151,215151,213921
6,215390,215362,215369,215368,214136
7,215590,215580,215586,215586,214351
8,215830,215799,215803,215804,214566
9,216000,216017,216020,216021,214781
10,216210,216236,216238,216239,214996
11,216400,216454,216455,216456,215211
12,216680,216672,216672,216674,215426
1,216890,216891,216889,216891,215641
2,217090,217109,217107,217109,215856
