Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,135500,135500,135500,135714,135500
2,135820,135735,135735,135935,135714
3,136000,135970,135970,136155,135929
4,136260,136204,136204,136376,136143
5,136530,136439,136439,136597,136358
6,136760,136674,136674,136817,136572
7,137000,136909,136909,137038,136787
8,137320,137143,137143,137258,137001
9,137470,137378,137378,137479,137216
10,137650,137613,137613,137699,137430
11,137920,137848,137848,137920,137645
12,138230,138083,138083,138140,137859
1,138400,138317,138317,138361,138073
2,138630,138552,138552,138581,138288
3,138770,138787,138787,138802,138502
4,139010,139022,139022,139022,138717
5,139290,139257,139257,139243,138931
6,139480,139491,139491,139463,139146
7,139700,139726,139726,139684,139360
8,140010,139961,139961,139904,139575
9,140240,140196,140196,140125,139789
10,140430,140430,140430,140345,140004
11,140690,140665,140665,140566,140218
12,140900,140900,140900,140786,140432
1,141270,141289,141316,141270,140861
2,141520,141508,141534,141490,141076
3,141700,141728,141751,141711,141290
4,141900,141947,141969,141931,141505
5,142120,142166,142187,142152,141719
6,142340,142386,142404,142372,141934
7,142600,142605,142622,142593,142148
8,142820,142824,142839,142814,142363
9,143070,143044,143057,143034,142577
10,143270,143263,143275,143255,142792
11,143480,143482,143492,143475,143006
12,143730,143702,143710,143696,143220
1,143960,143921,143927,143916,143435
2,144150,144140,144145,144137,143649
3,144330,144360,144363,144357,143864
4,144560,144579,144580,144578,144078
5,144750,144798,144798,144798,144293
6,144990,145018,145015,145019,144507
7,145230,145237,145233,145239,144722
8,145510,145456,145451,145460,144936
9,145670,145676,145668,145680,145151
10,145890,145895,145886,145901,145365
11,146120,146114,146103,146121,145579
12,146360,146334,146321,146342,145794
1,146780,146748,146753,146759,146223
2,146980,146966,146971,146976,146437
3,147150,147184,147189,147193,146652
4,147400,147402,147407,147411,146866
5,147640,147621,147625,147628,147081
6,147820,147839,147842,147845,147295
7,148060,148057,148060,148062,147510
8,148280,148275,148278,148280,147724
9,148510,148493,148496,148497,147938
10,148720,148711,148714,148714,148153
11,148920,148929,148931,148932,148367
12,149140,149148,149149,149149,148582
1,149380,149366,149367,149366,148796
2,149610,149584,149585,149583,149011
3,149810,149802,149803,149801,149225
4,150010,150020,150020,150018,149440
5,150190,150238,150238,150235,149654
6,150420,150457,150456,150453,149869
7,150640,150675,150674,150670,150083
8,150910,150893,150892,150887,150297
9,151140,151111,151110,151104,150512
10,151310,151329,151327,151322,150726
11,151590,151547,151545,151539,150941
12,151770,151766,151763,151756,151155
1,152170,152170,152182,152168,151584
2,152380,152385,152397,152384,151799
3,152560,152601,152612,152600,152013
4,152820,152817,152827,152816,152228
5,153020,153033,153042,153032,152442
6,153240,153249,153257,153248,152656
7,153480,153465,153472,153464,152871
8,153710,153680,153687,153680,153085
9,153880,153896,153903,153895,153300
10,154120,154112,154118,154111,153514
11,154360,154328,154333,154327,153729
12,154560,154544,154548,154543,153943
1,154800,154760,154763,154759,154158
2,154990,154976,154978,154975,154372
3,155200,155191,155193,155191,154587
4,155380,155407,155408,155407,154801
5,155600,155623,155623,155623,155015
6,155810,155839,155838,155839,155230
7,156010,156055,156053,156055,155444
8,156240,156271,156268,156271,155659
9,156490,156487,156483,156487,155873
10,156710,156702,156698,156703,156088
11,156930,156918,156913,156919,156302
12,157170,157134,157128,157135,156517
1,157540,157545,157561,157552,156946
2,157790,157761,157776,157768,157160
3,158000,157978,157991,157984,157375
4,158200,158194,158206,158200,157589
5,158410,158411,158421,158416,157803
6,158620,158627,158637,158632,158018
7,158840,158844,158852,158848,158232
8,159070,159060,159067,159064,158447
9,159240,159277,159282,159280,158661
10,159490,159493,159497,159496,158876
11,159700,159710,159712,159712,159090
12,159940,159926,159927,159928,159305
1,160160,160143,160143,160144,159519
2,160380,160359,160358,160360,159734
3,160590,160576,160573,160576,159948
4,160780,160792,160788,160792,160162
5,160980,161009,161003,161008,160377
6,161200,161225,161218,161224,160591
7,161440,161442,161434,161440,160806
8,161660,161658,161649,161656,161020
9,161900,161875,161864,161872,161235
10,162090,162091,162079,162088,161449
11,162320,162307,162294,162304,161664
12,162520,162524,162509,162519,161878
1,162980,162941,162948,162949,162307
2,163180,163157,163164,163165,162521
3,163390,163373,163379,163381,162736
4,163590,163590,163594,163597,162950
5,163810,163806,163810,163812,163165
6,164050,164022,164025,164028,163379
7,164230,164238,164241,164244,163594
8,164470,164455,164456,164460,163808
9,164670,164671,164671,164676,164023
10,164860,164887,164887,164892,164237
11,165100,165104,165102,165107,164452
12,165300,165320,165318,165323,164666
1,165570,165536,165533,165539,164880
2,165770,165752,165748,165755,165095
3,165970,165969,165964,165971,165309
4,166160,166185,166179,166187,165524
5,166370,166401,166395,166403,165738
6,166620,166618,166610,166618,165953
7,166840,166834,166825,166834,166167
8,167040,167050,167041,167050,166382
9,167270,167266,167256,167266,166596
10,167480,167483,167472,167482,166811
11,167730,167699,167687,167698,167025
12,167900,167915,167902,167913,167239
1,168360,168331,168332,168335,167668
2,168570,168546,168548,168550,167883
3,168770,168762,168763,168765,168097
4,168970,168977,168978,168980,168312
5,169200,169192,169194,169196,168526
6,169440,169407,169409,169411,168741
7,169630,169623,169624,169626,168955
8,169870,169838,169840,169841,169170
9,170030,170053,170055,170056,169384
10,170260,170269,170271,170271,169599
11,170470,170484,170486,170486,169813
12,170690,170699,170701,170702,170027
1,170920,170914,170917,170917,170242
2,171140,171130,171132,171132,170456
3,171340,171345,171347,171347,170671
4,171550,171560,171563,171562,170885
5,171760,171776,171778,171777,171100
6,172000,171991,171993,171992,171314
7,172170,172206,172209,172208,171529
8,172420,172421,172424,172423,171743
9,172640,172637,172639,172638,171958
10,172860,172852,172855,172853,172172
11,173080,173067,173070,173068,172386
12,173280,173283,173285,173283,172601
1,173710,173692,173705,173691,173030
2,173910,173908,173920,173907,173244
3,174090,174123,174135,174122,173459
4,174360,174339,174350,174338,173673
5,174550,174554,174565,174554,173888
6,174790,174770,174781,174769,174102
7,174980,174986,174996,174985,174317
8,175210,175201,175211,175200,174531
9,175380,175417,175426,175416,174745
10,175610,175632,175641,175631,174960
11,175810,175848,175856,175847,175174
12,176050,176063,176071,176063,175389
1,176310,176279,176286,176278,175603
2,176500,176494,176501,176494,175818
3,176720,176710,176716,176709,176032
4,176960,176925,176931,176925,176247
5,177090,177141,177146,177141,176461
6,177360,177356,177361,177356,176676
7,177600,177572,177576,177572,176890
8,177800,177787,177791,177787,177104
9,178020,178003,178006,178003,177319
10,178210,178218,178222,178218,177533
11,178420,178434,178437,178434,177748
12,178650,178649,178652,178650,177962
1,179120,179079,179089,179087,178391
2,179320,179295,179304,179303,178606
3,179510,179511,179520,179519,178820
4,179770,179727,179735,179735,179035
5,179970,179944,179950,179951,179249
6,180190,180160,180165,180167,179463
7,180400,180376,180381,180382,179678
8,180610,180592,180596,180598,179892
9,180780,180808,180811,180814,180107
10,181020,181024,181026,181030,180321
11,181230,181240,181242,181246,180536
12,181440,181456,181457,181462,180750
1,181690,181673,181672,181678,180965
2,181920,181889,181887,181894,181179
3,182090,182105,182103,182110,181394
4,182320,182321,182318,182326,181608
5,182480,182537,182533,182542,181823
6,182730,182753,182748,182758,182037
7,182940,182969,182964,182973,182251
8,183190,183186,183179,183189,182466
9,183400,183402,183394,183405,182680
10,183630,183618,183609,183621,182895
11,183890,183834,183825,183837,183109
12,184040,184050,184040,184053,183324
1,184460,184467,184471,184469,183753
2,184700,184682,184687,184684,183967
3,184880,184898,184902,184900,184182
4,185140,185114,185117,185115,184396
5,185350,185329,185332,185331,184610
6,185590,185545,185548,185547,184825
7,185770,185761,185763,185762,185039
8,185950,185976,185978,185978,185254
9,186160,186192,186194,186193,185468
10,186380,186408,186409,186409,185683
11,186670,186623,186624,186624,185897
12,186860,186839,186839,186840,186112
1,187090,187055,187055,187055,186326
2,187260,187270,187270,187271,186541
3,187440,187486,187485,187486,186755
4,187690,187702,187700,187702,186969
5,187890,187917,187916,187917,187184
6,188090,188133,188131,188133,187398
7,188330,188349,188346,188348,187613
8,188560,188564,188562,188564,187827
9,188780,188780,188777,188780,188042
10,189000,188995,188992,188995,188256
11,189220,189211,189207,189211,188471
12,189480,189427,189423,189426,188685
1,189850,189841,189853,189853,189114
2,190060,190058,190069,190068,189328
3,190250,190274,190284,190283,189543
4,190500,190490,190499,190498,189757
5,190700,190707,190715,190714,189972
6,190900,190923,190930,190929,190186
7,191140,191139,191145,191144,190401
8,191350,191356,191360,191360,190615
9,191560,191572,191576,191575,190830
10,191770,191788,191791,191790,191044
11,192010,192004,192006,192005,191259
12,192220,192221,192222,192221,191473
1,192480,192437,192437,192436,191687
2,192670,192653,192652,192651,191902
3,192880,192870,192868,192867,192116
4,193090,193086,193083,193082,192331
5,193290,193302,193298,193297,192545
6,193490,193519,193514,193512,192760
7,193740,193735,193729,193728,192974
