Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,41120,41120,41120,41160.1,41120
2,41340,41356.1,41356.1,41385.3,41335.4
3,41520,41592.2,41592.2,41610.5,41550.8
4,41740,41828.3,41828.3,41835.8,41766.2
5,42010,42064.3,42064.3,42061,41981.6
6,42260,42300.4,42300.4,42286.2,42196.9
7,42470,42536.5,42536.5,42511.4,42412.3
8,42770,42772.6,42772.6,42736.6,42627.7
9,42990,43008.7,43008.7,42961.8,42843.1
10,43190,43244.8,43244.8,43187,43058.5
11,43380,43480.9,43480.9,43412.2,43273.9
12,43750,43717,43717,43637.4,43489.3
1,43920,43953,43953,43862.6,43704.7
2,44080,44189.1,44189.1,44087.8,43920.1
3,44310,44425.2,44425.2,44313,44135.4
4,44500,44661.3,44661.3,44538.2,44350.8
5,44770,44897.4,44897.4,44763.4,44566.2
6,44970,45133.5,45133.5,44988.6,44781.6
7,45170,45369.6,45369.6,45213.8,44997
8,45470,45605.7,45605.7,45439,45212.4
9,45670,45841.7,45841.7,45664.2,45427.8
10,45900,46077.8,46077.8,45889.5,45643.2
11,46150,46313.9,46313.9,46114.7,45858.6
12,46550,46550,46550,46339.9,46073.9
1,46900,46865.1,46918.2,46797.2,46504.7
2,47070,47085.4,47135,47022.4,46720.1
3,47240,47305.6,47351.9,47247.6,46935.5
4,47480,47525.9,47568.7,47472.8,47150.9
5,47690,47746.1,47785.6,47698,47366.3
6,47940,47966.3,48002.4,47923.2,47581.7
7,48140,48186.6,48219.3,48148.5,47797.1
8,48350,48406.8,48436.1,48373.7,48012.4
9,48610,48627.1,48653,48598.9,48227.8
10,48850,48847.3,48869.9,48824.1,48443.2
11,49010,49067.5,49086.7,49049.3,48658.6
12,49340,49287.8,49303.6,49274.5,48874
1,49500,49508,49520.4,49499.7,49089.4
2,49730,49728.3,49737.3,49724.9,49304.8
3,49930,49948.5,49954.1,49950.1,49520.2
4,50140,50168.7,50171,50175.3,49735.6
5,50360,50389,50387.8,50400.5,49950.9
6,50590,50609.2,50604.7,50625.7,50166.3
