Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,50520,50520,50520,50703.5,50520
2,50860,50756.5,50756.5,50926,50734.5
3,51040,50993,50993,51148.4,50948.9
4,51290,51229.6,51229.6,51370.9,51163.4
5,51520,51466.1,51466.1,51593.4,51377.8
6,51770,51702.6,51702.6,51815.9,51592.3
7,52090,51939.1,51939.1,52038.4,51806.8
8,52320,52175.7,52175.7,52260.9,52021.2
9,52480,52412.2,52412.2,52483.4,52235.7
10,52670,52648.7,52648.7,52705.9,52450.1
11,52860,52885.2,52885.2,52928.4,52664.6
12,53130,53121.7,53121.7,53150.8,52879.1
1,53450,53358.3,53358.3,53373.3,53093.5
2,53640,53594.8,53594.8,53595.8,53308
3,53840,53831.3,53831.3,53818.3,53522.4
4,54060,54067.8,54067.8,54040.8,53736.9
5,54330,54304.3,54304.3,54263.3,53951.3
6,54520,54540.9,54540.9,54485.8,54165.8
7,54740,54777.4,54777.4,54708.3,54380.3
8,55020,55013.9,55013.9,54930.7,54594.7
9,55220,55250.4,55250.4,55153.2,54809.2
10,55380,55487,55487,55375.7,55023.6
11,55580,55723.5,55723.5,55598.2,55238.1
12,55960,55960,55960,55820.7,55452.6
1,56380,56349.7,56377.8,56292.2,55881.5
2,56580,56567.7,56593.9,56514.7,56095.9
3,56760,56785.7,56810.1,56737.2,56310.4
4,57000,57003.7,57026.3,56959.7,56524.9
5,57160,57221.7,57242.5,57182.2,56739.3
6,57410,57439.7,57458.7,57404.7,56953.8
7,57640,57657.7,57674.9,57627.1,57168.2
8,57810,57875.6,57891.1,57849.6,57382.7
9,58070,58093.6,58107.3,58072.1,57597.2
10,58290,58311.6,58323.5,58294.6,57811.6
11,58450,58529.6,58539.7,58517.1,58026.1
12,58730,58747.6,58755.9,58739.6,58240.5
1,59030,58965.6,58972.1,58962.1,58455
2,59210,59183.5,59188.3,59184.6,58669.5
3,59410,59401.5,59404.5,59407.1,58883.9
4,59640,59619.5,59620.7,59629.5,59098.4
5,59850,59837.5,59836.9,59852,59312.8
6,60050,60055.5,60053.1,60074.5,59527.3
7,60320,60273.5,60269.3,60297,59741.7
8,60530,60491.5,60485.5,60519.5,59956.2
9,60680,60709.4,60701.7,60742,60170.7
10,60890,60927.4,60917.9,60964.5,60385.1
11,61150,61145.4,61134.1,61187,60599.6
12,61380,61363.4,61350.3,61409.4,60814
1,61850,61809.4,61802.4,61792.1,61243
2,62060,62026.6,62020.1,62011.1,61457.4
3,62240,62243.9,62237.8,62230.1,61671.9
4,62470,62461.2,62455.5,62449.1,61886.3
5,62650,62678.4,62673.3,62668.2,62100.8
6,62900,62895.7,62891,62887.2,62315.3
7,63140,63113,63108.7,63106.2,62529.7
8,63330,63330.2,63326.4,63325.2,62744.2
9,63540,63547.5,63544.1,63544.3,62958.6
10,63740,63764.8,63761.8,63763.3,63173.1
11,63970,63982,63979.5,63982.3,63387.6
12,64200,64199.3,64197.2,64201.3,63602
1,64490,64416.6,64414.9,64420.3,63816.5
2,64660,64633.9,64632.7,64639.4,64030.9
3,64870,64851.1,64850.4,64858.4,64245.4
4,65060,65068.4,65068.1,65077.4,64459.9
5,65240,65285.7,65285.8,65296.4,64674.3
6,65450,65502.9,65503.5,65515.5,64888.8
7,65700,65720.2,65721.2,65734.5,65103.2
8,65960,65937.5,65938.9,65953.5,65317.7
9,66140,66154.7,66156.6,66172.5,65532.1
10,66360,66372,66374.3,66391.5,65746.6
11,66580,66589.3,66592.1,66610.6,65961.1
12,66860,66806.5,66809.8,66829.6,66175.5
1,67290,67251.9,67249.5,67224.1,66604.4
2,67510,67467.1,67464.9,67441.8,66818.9
3,67710,67682.4,67680.3,67659.5,67033.4
4,67900,67897.6,67895.7,67877.1,67247.8
5,68090,68112.8,68111.1,68094.8,67462.3
6,68310,68328.1,68326.5,68312.5,67676.7
7,68530,68543.3,68541.8,68530.2,67891.2
8,68730,68758.5,68757.2,68747.9,68105.7
9,68940,68973.7,68972.6,68965.6,68320.1
10,69150,69189,69188,69183.3,68534.6
11,69370,69404.2,69403.4,69401,68749
12,69660,69619.4,69618.7,69618.7,68963.5
1,69870,69834.7,69834.1,69836.3,69178
2,70080,70049.9,70049.5,70054,69392.4
3,70260,70265.1,70264.9,70271.7,69606.9
4,70480,70480.4,70480.3,70489.4,69821.3
5,70690,70695.6,70695.7,70707.1,70035.8
6,70880,70910.8,70911,70924.8,70250.3
7,71100,71126.1,71126.4,71142.5,70464.7
8,71340,71341.3,71341.8,71360.2,70679.2
9,71550,71556.5,71557.2,71577.9,70893.6
10,71770,71771.8,71772.6,71795.5,71108.1
11,71980,71987,71988,72013.2,71322.5
12,72270,72202.2,72203.3,72230.9,71537
1,72660,72642.5,72639.3,72621.8,71965.9
2,72880,72858.2,72854.8,72839.1,72180.4
3,73060,73073.9,73070.4,73056.5,72394.8
4,73290,73289.5,73285.9,73273.8,72609.3
5,73490,73505.2,73501.5,73491.2,72823.8
6,73720,73720.9,73717,73708.5,73038.2
7,73920,73936.5,73932.6,73925.9,73252.7
8,74110,74152.2,74148.1,74143.2,73467.1
9,74360,74367.8,74363.7,74360.5,73681.6
10,74590,74583.5,74579.2,74577.9,73896.1
11,74800,74799.2,74794.8,74795.2,74110.5
12,75040,75014.8,75010.3,75012.6,74325
1,75250,75230.5,75225.9,75229.9,74539.4
2,75460,75446.1,75441.4,75447.3,74753.9
3,75660,75661.8,75657,75664.6,74968.4
4,75830,75877.5,75872.5,75882,75182.8
5,76050,76093.1,76088.1,76099.3,75397.3
6,76270,76308.8,76303.6,76316.6,75611.7
7,76510,76524.4,76519.2,76534,75826.2
8,76750,76740.1,76734.7,76751.3,76040.7
9,76970,76955.8,76950.3,76968.7,76255.1
10,77170,77171.4,77165.8,77186,76469.6
11,77400,77387.1,77381.4,77403.4,76684
12,77670,77602.7,77596.9,77620.7,76898.5
1,78090,78042.2,78035,78020,77327.4
2,78270,78257.8,78250.7,78237.5,77541.9
3,78470,78473.5,78466.5,78454.9,77756.3
4,78680,78689.1,78682.2,78672.4,77970.8
5,78850,78904.7,78898,78889.9,78185.2
6,79110,79120.3,79113.7,79107.3,78399.7
7,79330,79336,79329.5,79324.8,78614.2
8,79540,79551.6,79545.2,79542.3,78828.6
9,79750,79767.2,79761,79759.7,79043.1
10,79940,79982.9,79976.8,79977.2,79257.5
11,80230,80198.5,80192.5,80194.6,79472
12,80410,80414.1,80408.3,80412.1,79686.5
1,80690,80629.7,80624,80629.6,79900.9
2,80850,80845.4,80839.8,80847,80115.4
3,81050,81061,81055.5,81064.5,80329.8
4,81280,81276.6,81271.3,81282,80544.3
5,81490,81492.3,81487,81499.4,80758.8
6,81680,81707.9,81702.8,81716.9,80973.2
7,81910,81923.5,81918.5,81934.3,81187.7
8,82120,82139.1,82134.3,82151.8,81402.1
9,82350,82354.8,82350,82369.3,81616.6
10,82560,82570.4,82565.8,82586.7,81831.1
11,82780,82786,82781.5,82804.2,82045.5
12,83070,83001.6,82997.3,83021.6,82260
1,83470,83440.2,83434,83422.1,82688.9
2,83670,83656,83649.9,83639.4,82903.3
3,83840,83871.7,83865.8,83856.6,83117.8
