Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,75760,75760,75760,75913.7,75760
2,76030,75996.5,75996.5,76136.4,75973.6
3,76210,76233,76233,76359.1,76187.2
4,76450,76469.6,76469.6,76581.7,76400.8
5,76670,76706.1,76706.1,76804.4,76614.4
6,76940,76942.6,76942.6,77027.1,76828
7,77240,77179.1,77179.1,77249.8,77041.5
8,77530,77415.7,77415.7,77472.5,77255.1
9,77790,77652.2,77652.2,77695.2,77468.7
10,77930,77888.7,77888.7,77917.9,77682.3
11,78030,78125.2,78125.2,78140.6,77895.9
12,78290,78361.7,78361.7,78363.2,78109.5
1,78660,78598.3,78598.3,78585.9,78323.1
2,78860,78834.8,78834.8,78808.6,78536.7
3,79070,79071.3,79071.3,79031.3,78750.3
4,79280,79307.8,79307.8,79254,78963.9
5,79560,79544.3,79544.3,79476.7,79177.5
6,79740,79780.9,79780.9,79699.4,79391
7,80000,80017.4,80017.4,79922.1,79604.6
8,80240,80253.9,80253.9,80144.7,79818.2
9,80390,80490.4,80490.4,80367.4,80031.8
10,80650,80727,80727,80590.1,80245.4
11,80870,80963.5,80963.5,80812.8,80459
12,81200,81200,81200,81035.5,80672.6
1,81630,81582.2,81612.8,81533.7,81099.8
2,81820,81801.2,81829.9,81756.4,81313.4
3,81990,82020.2,82046.9,81979.1,81527
4,82200,82239.3,82264,82201.7,81740.5
5,82390,82458.3,82481,82424.4,81954.1
6,82630,82677.3,82698.1,82647.1,82167.7
7,82870,82896.3,82915.1,82869.8,82381.3
8,83100,83115.3,83132.2,83092.5,82594.9
9,83300,83334.3,83349.3,83315.2,82808.5
10,83540,83553.3,83566.3,83537.9,83022.1
11,83660,83772.3,83783.4,83760.6,83235.7
12,84060,83991.3,84000.4,83983.2,83449.3
1,84310,84210.3,84217.5,84205.9,83662.9
2,84420,84429.3,84434.5,84428.6,83876.4
3,84650,84648.4,84651.6,84651.3,84090
4,84830,84867.4,84868.7,84874,84303.6
5,85070,85086.4,85085.7,85096.7,84517.2
6,85300,85305.4,85302.8,85319.4,84730.8
7,85540,85524.4,85519.8,85542.1,84944.4
8,85790,85743.4,85736.9,85764.7,85158
9,85950,85962.4,85953.9,85987.4,85371.6
10,86120,86181.4,86171,86210.1,85585.2
11,86410,86400.4,86388.1,86432.8,85798.8
12,86690,86619.4,86605.1,86655.5,86012.4
1,87100,87056.1,87053.4,87057,86439.5
2,87330,87274.1,87271.6,87275.2,86653.1
3,87500,87492.2,87489.8,87493.4,86866.7
4,87710,87710.2,87708,87711.6,87080.3
5,87940,87928.3,87926.3,87929.8,87293.9
6,88140,88146.3,88144.5,88148,87507.5
7,88350,88364.3,88362.7,88366.2,87721.1
8,88550,88582.4,88580.9,88584.4,87934.7
9,88790,88800.4,88799.1,88802.6,88148.3
10,89000,89018.5,89017.3,89020.8,88361.9
11,89240,89236.5,89235.5,89239,88575.4
12,89480,89454.6,89453.7,89457.2,88789
1,89700,89672.6,89672,89675.3,89002.6
2,89900,89890.6,89890.2,89893.5,89216.2
3,90080,90108.7,90108.4,90111.7,89429.8
4,90290,90326.7,90326.6,90329.9,89643.4
5,90560,90544.8,90544.8,90548.1,89857
6,90730,90762.8,90763,90766.3,90070.6
7,90990,90980.8,90981.2,90984.5,90284.2
8,91230,91198.9,91199.4,91202.7,90497.8
9,91390,91416.9,91417.6,91420.9,90711.4
10,91610,91635,91635.9,91639.1,90924.9
11,91860,91853,91854.1,91857.3,91138.5
12,92120,92071,92072.3,92075.5,91352.1
1,92520,92498.7,92503.1,92482.4,91779.3
2,92730,92713,92717.1,92698.1,91992.9
3,92900,92927.2,92931,92913.7,92206.5
4,93130,93141.5,93145,93129.4,92420.1
5,93300,93355.8,93359,93345,92633.7
6,93600,93570,93573,93560.7,92847.3
7,93800,93784.3,93786.9,93776.4,93060.9
8,94010,93998.5,94000.9,93992,93274.4
9,94220,94212.8,94214.9,94207.7,93488
10,94430,94427,94428.9,94423.3,93701.6
11,94640,94641.3,94642.9,94639,93915.2
12,94880,94855.5,94856.8,94854.7,94128.8
1,95090,95069.8,95070.8,95070.3,94342.4
2,95290,95284.1,95284.8,95286,94556
3,95490,95498.3,95498.8,95501.7,94769.6
4,95690,95712.6,95712.8,95717.3,94983.2
5,95880,95926.8,95926.7,95933,95196.8
6,96130,96141.1,96140.7,96148.6,95410.3
7,96330,96355.3,96354.7,96364.3,95623.9
8,96590,96569.6,96568.7,96580,95837.5
9,96760,96783.8,96782.6,96795.6,96051.1
10,96970,96998.1,96996.6,97011.3,96264.7
11,97250,97212.4,97210.6,97226.9,96478.3
12,97470,97426.6,97424.6,97442.6,96691.9
1,97850,97847.4,97850,97842.9,97119.1
2,98060,98061.6,98064,98057.3,97332.7
3,98250,98275.7,98277.9,98271.6,97546.3
4,98480,98489.9,98491.8,98486,97759.8
5,98680,98704,98705.8,98700.3,97973.4
6,98920,98918.2,98919.7,98914.7,98187
7,99140,99132.3,99133.6,99129,98400.6
8,99330,99346.5,99347.6,99343.4,98614.2
9,99570,99560.6,99561.5,99557.7,98827.8
10,99790,99774.7,99775.4,99772,99041.4
11,100010,99988.9,99989.4,99986.4,99255
12,100210,100203,100203,100201,99468.6
1,100430,100417,100417,100415,99682.2
2,100610,100631,100631,100629,99895.8
3,100820,100845,100845,100844,100109
4,101040,101060,101059,101058,100323
5,101250,101274,101273,101272,100537
6,101460,101488,101487,101487,100750
7,101720,101702,101701,101701,100964
8,101940,101916,101915,101916,101177
9,102110,102130,102129,102130,101391
10,102330,102344,102343,102344,101604
11,102560,102559,102557,102559,101818
12,102830,102773,102771,102773,102032
1,103210,103190,103189,103174,102459
2,103400,103403,103402,103389,102672
3,103590,103616,103616,103603,102886
4,103840,103829,103829,103817,103100
5,104030,104043,104043,104032,103313
6,104250,104256,104257,104246,103527
