Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,78840,78840,78840,78956.9,78840
2,79090,79069.1,79069.1,79175.7,79052.7
3,79230,79298.3,79298.3,79394.5,79265.4
4,79490,79527.4,79527.4,79613.4,79478.2
5,79730,79756.5,79756.5,79832.2,79690.9
6,79970,79985.7,79985.7,80051,79903.6
7,80250,80214.8,80214.8,80269.8,80116.3
8,80440,80443.9,80443.9,80488.6,80329
9,80730,80673,80673,80707.5,80541.7
10,80940,80902.2,80902.2,80926.3,80754.5
11,81200,81131.3,81131.3,81145.1,80967.2
12,81420,81360.4,81360.4,81363.9,81179.9
1,81630,81589.6,81589.6,81582.7,81392.6
2,81840,81818.7,81818.7,81801.6,81605.3
3,82040,82047.8,82047.8,82020.4,81818
4,82240,82277,82277,82239.2,82030.8
5,82480,82506.1,82506.1,82458,82243.5
6,82700,82735.2,82735.2,82676.8,82456.2
7,82940,82964.3,82964.3,82895.7,82668.9
8,83190,83193.5,83193.5,83114.5,82881.6
9,83400,83422.6,83422.6,83333.3,83094.3
10,83610,83651.7,83651.7,83552.1,83307.1
11,83850,83880.9,83880.9,83770.9,83519.8
12,84110,84110,84110,83989.8,83732.5
1,84570,84542.2,84550.9,84511.1,84157.9
2,84790,84758.5,84766.6,84729.9,84370.6
3,84950,84974.8,84982.3,84948.7,84583.4
4,85160,85191,85198,85167.5,84796.1
5,85360,85407.3,85413.8,85386.4,85008.8
6,85610,85623.6,85629.5,85605.2,85221.5
7,85850,85839.8,85845.2,85824,85434.2
8,86050,86056.1,86060.9,86042.8,85646.9
9,86270,86272.4,86276.6,86261.6,85859.7
10,86490,86488.6,86492.3,86480.5,86072.4
11,86650,86704.9,86708,86699.3,86285.1
12,86850,86921.2,86923.7,86918.1,86497.8
1,87220,87137.4,87139.4,87136.9,86710.5
2,87380,87353.7,87355.2,87355.7,86923.2
3,87580,87570,87570.9,87574.5,87136
4,87830,87786.2,87786.6,87793.4,87348.7
5,88010,88002.5,88002.3,88012.2,87561.4
6,88200,88218.7,88218,88231,87774.1
7,88440,88435,88433.7,88449.8,87986.8
8,88670,88651.3,88649.4,88668.6,88199.5
9,88840,88867.5,88865.1,88887.5,88412.3
10,89050,89083.8,89080.9,89106.3,88625
11,89310,89300.1,89296.6,89325.1,88837.7
12,89530,89516.3,89512.3,89543.9,89050.4
1,89970,89939.3,89939.5,89925.8,89475.9
2,90160,90152.2,90152.3,90139.7,89688.6
3,90350,90365,90365.1,90353.6,89901.3
4,90540,90577.8,90577.9,90567.6,90114
5,90780,90790.6,90790.7,90781.5,90326.7
6,90990,91003.4,91003.6,90995.4,90539.4
7,91220,91216.3,91216.4,91209.3,90752.2
8,91450,91429.1,91429.2,91423.2,90964.9
9,91620,91641.9,91642,91637.1,91177.6
10,91840,91854.7,91854.8,91851,91390.3
11,92070,92067.6,92067.6,92065,91603
12,92330,92280.4,92280.4,92278.9,91815.7
1,92560,92493.2,92493.2,92492.8,92028.5
2,92700,92706,92706,92706.7,92241.2
3,92900,92918.8,92918.9,92920.6,92453.9
4,93100,93131.7,93131.7,93134.5,92666.6
5,93300,93344.5,93344.5,93348.5,92879.3
6,93510,93557.3,93557.3,93562.4,93092
7,93760,93770.1,93770.1,93776.3,93304.8
8,94010,93983,93982.9,93990.2,93517.5
9,94170,94195.8,94195.7,94204.1,93730.2
10,94400,94408.6,94408.5,94418,93942.9
11,94630,94621.4,94621.4,94631.9,94155.6
12,94900,94834.2,94834.2,94845.9,94368.3
1,95280,95246.6,95251.1,95244.9,94793.8
2,95480,95459.6,95463.8,95458,95006.5
3,95660,95672.6,95676.5,95671.1,95219.2
4,95900,95885.6,95889.3,95884.2,95431.9
5,96060,96098.7,96102,96097.3,95644.6
6,96300,96311.7,96314.7,96310.3,95857.4
7,96520,96524.7,96527.5,96523.4,96070.1
8,96730,96737.7,96740.2,96736.5,96282.8
9,96930,96950.7,96952.9,96949.6,96495.5
10,97150,97163.8,97165.7,97162.7,96708.2
11,97370,97376.8,97378.4,97375.8,96920.9
12,97580,97589.8,97591.1,97588.9,97133.7
1,97850,97802.8,97803.9,97802,97346.4
2,98010,98015.9,98016.6,98015,97559.1
3,98200,98228.9,98229.4,98228.1,97771.8
4,98440,98441.9,98442.1,98441.2,97984.5
5,98640,98654.9,98654.8,98654.3,98197.2
6,98870,98867.9,98867.6,98867.4,98410
7,99090,99081,99080.3,99080.5,98622.7
8,99310,99294,99293,99293.6,98835.4
9,99470,99507,99505.8,99506.7,99048.1
10,99710,99720,99718.5,99719.8,99260.8
11,99980,99933,99931.2,99932.8,99473.6
12,100160,100146,100144,100146,99686.3
1,100640,100562,100568,100563,100112
2,100800,100775,100780,100776,100324
3,100970,100988,100993,100989,100537
4,101180,101201,101206,101202,100750
5,101380,101414,101419,101415,100963
6,101630,101627,101631,101628,101175
7,101820,101840,101844,101841,101388
8,102020,102053,102057,102054,101601
9,102250,102266,102269,102267,101813
10,102470,102479,102482,102480,102026
11,102690,102692,102695,102693,102239
12,102890,102905,102907,102906,102452
1,103180,103118,103120,103119,102664
2,103370,103331,103333,103332,102877
3,103550,103544,103546,103545,103090
4,103750,103757,103758,103758,103302
5,103960,103970,103971,103971,103515
6,104180,104184,104184,104184,103728
7,104400,104397,104396,104397,103941
8,104620,104610,104609,104610,104153
9,104780,104823,104822,104823,104366
10,105030,105036,105034,105036,104579
11,105260,105249,105247,105249,104791
12,105480,105462,105460,105462,105004
1,105910,105872,105878,105874,105430
2,106120,106084,106090,106086,105642
3,106280,106297,106303,106299,105855
4,106510,106510,106515,106511,106068
5,106690,106722,106728,106723,106280
6,106930,106935,106940,106936,106493
7,107130,107148,107153,107148,106706
8,107350,107360,107365,107360,106919
9,107560,107573,107578,107573,107131
10,107770,107786,107790,107785,107344
11,108000,107998,108003,107997,107557
12,108220,108211,108215,108210,107770
1,108440,108423,108428,108422,107982
2,108630,108636,108640,108634,108195
3,108850,108849,108853,108847,108408
4,109030,109061,109065,109059,108620
5,109230,109274,109278,109271,108833
6,109460,109487,109490,109484,109046
7,109680,109699,109703,109696,109259
8,109950,109912,109915,109908,109471
9,110110,110125,110128,110121,109684
10,110340,110337,110340,110333,109897
11,110590,110550,110553,110545,110109
12,110800,110763,110765,110758,110322
1,111170,111161,111174,111160,110748
2,111350,111373,111386,111372,110960
3,111530,111586,111599,111585,111173
4,111780,111798,111811,111797,111386
5,111970,112011,112023,112009,111598
6,112230,112224,112235,112221,111811
7,112420,112436,112447,112434,112024
8,112620,112649,112659,112646,112237
9,112870,112862,112871,112858,112449
10,113070,113074,113083,113071,112662
11,113310,113287,113296,113283,112875
12,113500,113500,113508,113495,113087
1,113750,113712,113720,113707,113300
2,113950,113925,113932,113920,113513
3,114130,114138,114144,114132,113726
4,114320,114350,114356,114344,113938
5,114570,114563,114568,114557,114151
6,114740,114776,114780,114769,114364
7,114950,114988,114992,114981,114576
8,115220,115201,115205,115193,114789
9,115390,115414,115417,115406,115002
10,115630,115626,115629,115618,115215
11,115880,115839,115841,115830,115427
12,116080,116052,116053,116043,115640
1,116480,116461,116470,116460,116065
2,116700,116674,116682,116672,116278
3,116880,116886,116894,116885,116491
4,117140,117098,117106,117097,116704
5,117310,117310,117318,117309,116916
6,117530,117523,117530,117522,117129
7,117730,117735,117742,117734,117342
8,117880,117947,117954,117947,117554
9,118130,118160,118166,118159,117767
10,118360,118372,118378,118371,117980
11,118610,118584,118590,118584,118193
12,118800,118796,118802,118796,118405
1,119040,119009,119013,119009,118618
2,119220,119221,119225,119221,118831
3,119420,119433,119437,119434,119044
4,119630,119645,119649,119646,119256
5,119840,119858,119861,119858,119469
6,120060,120070,120073,120071,119682
7,120250,120282,120285,120283,119894
8,120480,120495,120497,120496,120107
9,120680,120707,120709,120708,120320
10,120920,120919,120921,120920,120533
11,121170,121131,121133,121133,120745
12,121400,121344,121345,121345,120958
1,121790,121749,121763,121748,121383
2,121960,121962,121975,121960,121596
3,122130,122174,122187,122173,121809
4,122400,122387,122399,122386,122022
5,122540,122600,122611,122599,122234
6,122790,122813,122823,122811,122447
7,123020,123026,123034,123024,122660
8,123270,123239,123246,123237,122872
9,123440,123451,123458,123450,123085
10,123660,123664,123670,123663,123298
11,123890,123877,123882,123875,123511
12,124140,124090,124094,124088,123723
1,124300,124303,124305,124301,123936
2,124510,124516,124517,124514,124149
3,124710,124728,124729,124727,124361
4,124910,124941,124941,124939,124574
5,125130,125154,125153,125152,124787
6,125340,125367,125365,125365,125000
7,125570,125580,125576,125578,125212
8,125830,125793,125788,125790,125425
9,125990,126005,126000,126003,125638
10,126210,126218,126212,126216,125850
11,126430,126431,126424,126429,126063
12,126710,126644,126636,126642,126276
1,127140,127065,127068,127065,126701
2,127330,127278,127281,127278,126914
3,127500,127490,127493,127491,127127
4,127720,127703,127705,127704,127339
5,127910,127916,127917,127917,127552
6,128140,128128,128129,128130,127765
7,128330,128341,128341,128343,127978
8,128520,128553,128553,128556,128190
9,128720,128766,128765,128769,128403
10,128960,128979,128977,128982,128616
11,129200,129191,129189,129195,128829
12,129390,129404,129401,129408,129041
1,129680,129617,129613,129621,129254
2,129860,129829,129825,129834,129467
3,130040,130042,130038,130047,129679
4,130230,130254,130250,130260,129892
5,130460,130467,130462,130473,130105
6,130680,130680,130674,130686,130318
7,130890,130892,130886,130898,130530
8,131070,131105,131098,131111,130743
9,131280,131318,131310,131324,130956
10,131540,131530,131522,131537,131168
11,131780,131743,131734,131750,131381
12,131970,131955,131946,131963,131594
1,132400,132367,132374,132367,132019
2,132590,132580,132586,132580,132232
3,132760,132793,132798,132793,132445
4,133000,133006,133010,133006,132657
5,133200,133219,133222,133219,132870
6,133440,133432,133435,133432,133083
7,133640,133644,133647,133644,133296
8,133850,133857,133859,133857,133508
9,134050,134070,134071,134070,133721
10,134280,134283,134283,134283,133934
11,134520,134496,134496,134496,134146
12,134730,134709,134708,134709,134359
1,134960,134922,134920,134922,134572
2,135130,135135,135132,135135,134785
3,135330,135348,135344,135348,134997
4,135570,135561,135557,135561,135210
5,135750,135774,135769,135773,135423
6,135970,135987,135981,135986,135635
7,136180,136200,136193,136199,135848
8,136400,136413,136405,136412,136061
9,136600,136626,136618,136625,136274
10,136830,136839,136830,136838,136486
11,137050,137052,137042,137051,136699
12,137340,137265,137254,137264,136912
1,137740,137680,137685,137680,137337
2,137900,137893,137897,137893,137550
3,138080,138106,138110,138106,137763
4,138330,138319,138322,138319,137975
5,138530,138532,138535,138533,138188
6,138730,138745,138747,138746,138401
7,138980,138958,138959,138959,138613
8,139140,139172,139172,139172,138826
9,139370,139385,139384,139385,139039
10,139580,139598,139597,139599,139252
