Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,23750,23750,23750,23886.8,23750
2,23950,23994.3,23994.3,24120.5,23979.5
3,24170,24238.7,24238.7,24354.3,24209
4,24450,24483,24483,24588,24438.6
5,24710,24727.4,24727.4,24821.8,24668.1
6,24930,24971.7,24971.7,25055.6,24897.6
7,25210,25216.1,25216.1,25289.3,25127.1
8,25500,25460.4,25460.4,25523.1,25356.7
9,25790,25704.8,25704.8,25756.8,25586.2
10,25970,25949.1,25949.1,25990.6,25815.7
11,26280,26193.5,26193.5,26224.4,26045.2
12,26420,26437.8,26437.8,26458.1,26274.8
1,26780,26682.2,26682.2,26691.9,26504.3
2,26980,26926.5,26926.5,26925.6,26733.8
3,27230,27170.9,27170.9,27159.4,26963.3
4,27480,27415.2,27415.2,27393.2,27192.9
5,27750,27659.6,27659.6,27626.9,27422.4
6,27960,27903.9,27903.9,27860.7,27651.9
7,28170,28148.3,28148.3,28094.4,27881.4
8,28450,28392.6,28392.6,28328.2,28111
9,28640,28637,28637,28562,28340.5
10,28790,28881.3,28881.3,28795.7,28570
11,29070,29125.7,29125.7,29029.5,28799.5
12,29370,29370,29370,29263.2,29029
1,29870,29852.4,29854.3,29779.7,29488.1
2,30080,30079.8,30081.7,30013.4,29717.6
3,30320,30307.3,30309,30247.2,29947.1
4,30580,30534.8,30536.4,30481,30176.7
5,30790,30762.3,30763.7,30714.7,30406.2
6,31040,30989.8,30991.1,30948.5,30635.7
7,31260,31217.2,31218.4,31182.2,30865.2
8,31450,31444.7,31445.8,31416,31094.8
9,31620,31672.2,31673.1,31649.8,31324.3
10,31780,31899.7,31900.5,31883.5,31553.8
11,32050,32127.1,32127.8,32117.3,31783.3
12,32360,32354.6,32355.2,32351,32012.9
1,32560,32582.1,32582.5,32584.8,32242.4
2,32800,32809.6,32809.9,32818.6,32471.9
3,33020,33037,33037.2,33052.3,32701.4
4,33270,33264.5,33264.6,33286.1,32931
5,33460,33492,33491.9,33519.8,33160.5
6,33750,33719.5,33719.3,33753.6,33390
7,33930,33946.9,33946.6,33987.3,33619.5
8,34200,34174.4,34174,34221.1,33849
9,34390,34401.9,34401.4,34454.9,34078.6
10,34600,34629.4,34628.7,34688.6,34308.1
11,34810,34856.8,34856.1,34922.4,34537.6
12,35240,35084.3,35083.4,35156.1,34767.1
1,35560,35530.3,35528.9,35527.4,35226.2
2,35780,35760.7,35759.4,35757.8,35455.7
3,35990,35991.1,35989.9,35988.2,35685.2
4,36220,36221.5,36220.3,36218.6,35914.8
5,36400,36451.9,36450.8,36449,36144.3
6,36640,36682.2,36681.3,36679.4,36373.8
7,36870,36912.6,36911.7,36909.8,36603.3
8,37110,37143,37142.2,37140.2,36832.9
9,37350,37373.4,37372.7,37370.7,37062.4
10,37550,37603.7,37603.1,37601.1,37291.9
11,37840,37834.1,37833.6,37831.5,37521.4
12,38070,38064.5,38064.1,38061.9,37751
1,38350,38294.9,38294.5,38292.3,37980.5
2,38540,38525.3,38525,38522.7,38210
3,38730,38755.6,38755.5,38753.1,38439.5
4,39070,38986,38986,38983.5,38669
5,39260,39216.4,39216.4,39213.9,38898.6
6,39460,39446.8,39446.9,39444.3,39128.1
7,39690,39677.2,39677.4,39674.7,39357.6
8,39920,39907.5,39907.8,39905.2,39587.1
9,40100,40137.9,40138.3,40135.6,39816.7
10,40320,40368.3,40368.8,40366,40046.2
11,40570,40598.7,40599.2,40596.4,40275.7
12,40860,40829,40829.7,40826.8,40505.2
1,41290,41277,41282.8,41250.2,40964.3
2,41510,41505.4,41510.9,41480.9,41193.8
3,41730,41733.8,41739,41711.7,41423.3
4,41970,41962.3,41967,41942.4,41652.9
5,42180,42190.7,42195.1,42173.2,41882.4
6,42410,42419.2,42423.2,42403.9,42111.9
7,42660,42647.6,42651.2,42634.7,42341.4
8,42890,42876.1,42879.3,42865.4,42571
9,43110,43104.5,43107.4,43096.1,42800.5
10,43270,43332.9,43335.4,43326.9,43030
11,43550,43561.4,43563.5,43557.6,43259.5
12,43800,43789.8,43791.6,43788.4,43489
1,44030,44018.3,44019.6,44019.1,43718.6
2,44270,44246.7,44247.7,44249.9,43948.1
3,44470,44475.2,44475.8,44480.6,44177.6
4,44690,44703.6,44703.8,44711.4,44407.1
5,44950,44932,44931.9,44942.1,44636.7
6,45170,45160.5,45160,45172.8,44866.2
7,45370,45388.9,45388,45403.6,45095.7
8,45650,45617.4,45616.1,45634.3,45325.2
9,45770,45845.8,45844.2,45865.1,45554.8
