Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,47390,47390,47390,47645.4,47390
2,47630,47641.3,47641.3,47880.6,47617.1
3,47840,47892.6,47892.6,48115.8,47844.2
4,48180,48143.9,48143.9,48350.9,48071.3
5,48460,48395.2,48395.2,48586.1,48298.4
6,48780,48646.5,48646.5,48821.3,48525.5
7,49010,48897.8,48897.8,49056.5,48752.6
8,49250,49149.1,49149.1,49291.7,48979.7
9,49470,49400.4,49400.4,49526.9,49206.8
10,49720,49651.7,49651.7,49762,49433.9
11,50000,49903,49903,49997.2,49661
12,50190,50154.3,50154.3,50232.4,49888.1
1,50650,50405.7,50405.7,50467.6,50115.2
2,50870,50657,50657,50702.8,50342.3
3,51060,50908.3,50908.3,50938,50569.4
4,51290,51159.6,51159.6,51173.1,50796.5
5,51570,51410.9,51410.9,51408.3,51023.6
6,51770,51662.2,51662.2,51643.5,51250.7
7,51950,51913.5,51913.5,51878.7,51477.8
8,52220,52164.8,52164.8,52113.9,51704.9
9,52390,52416.1,52416.1,52349.1,51932
10,52670,52667.4,52667.4,52584.2,52159.1
11,52870,52918.7,52918.7,52819.4,52386.2
12,53170,53170,53170,53054.6,52613.3
1,53650,53629.2,53643.7,53577,53067.5
2,53870,53860.1,53873.6,53812.2,53294.6
3,54070,54091,54103.6,54047.4,53521.7
4,54350,54321.9,54333.6,54282.6,53748.8
5,54560,54552.8,54563.6,54517.8,53975.9
6,54810,54783.7,54793.6,54753,54203
7,55030,55014.6,55023.6,54988.2,54430.1
8,55210,55245.6,55253.6,55223.3,54657.2
9,55400,55476.5,55483.5,55458.5,54884.3
10,55610,55707.4,55713.5,55693.7,55111.4
11,55880,55938.3,55943.5,55928.9,55338.5
12,56160,56169.2,56173.5,56164.1,55565.6
1,56410,56400.1,56403.5,56399.3,55792.7
2,56640,56631,56633.5,56634.4,56019.8
3,56860,56861.9,56863.5,56869.6,56246.9
4,57110,57092.8,57093.4,57104.8,56474
5,57360,57323.7,57323.4,57340,56701.1
6,57560,57554.7,57553.4,57575.2,56928.2
7,57800,57785.6,57783.4,57810.4,57155.3
8,58020,58016.5,58013.4,58045.5,57382.4
9,58250,58247.4,58243.4,58280.7,57609.5
10,58480,58478.3,58473.4,58515.9,57836.6
11,58680,58709.2,58703.4,58751.1,58063.7
12,58990,58940.1,58933.3,58986.3,58290.8
1,59400,59382.8,59384.5,59374.1,58745
2,59630,59613.4,59615,59605.3,58972.1
3,59850,59844,59845.5,59836.5,59199.2
4,60120,60074.6,60076,60067.7,59426.3
5,60280,60305.2,60306.5,60298.9,59653.4
6,60520,60535.8,60536.9,60530.1,59880.5
7,60770,60766.4,60767.4,60761.3,60107.6
8,60980,60996.9,60997.9,60992.5,60334.7
9,61170,61227.5,61228.4,61223.7,60561.8
10,61410,61458.1,61458.8,61454.9,60788.9
11,61680,61688.7,61689.3,61686.1,61015.9
12,61940,61919.3,61919.8,61917.3,61243
1,62140,62149.9,62150.3,62148.5,61470.1
2,62380,62380.5,62380.7,62379.7,61697.2
3,62590,62611.1,62611.2,62610.9,61924.3
4,62830,62841.6,62841.7,62842.1,62151.4
5,63050,63072.2,63072.2,63073.3,62378.5
6,63310,63302.8,63302.7,63304.5,62605.6
7,63520,63533.4,63533.1,63535.7,62832.7
8,63830,63764,63763.6,63766.9,63059.8
9,63990,63994.6,63994.1,63998.1,63286.9
10,64220,64225.2,64224.6,64229.3,63514
11,64450,64455.7,64455,64460.5,63741.1
12,64730,64686.3,64685.5,64691.7,63968.2
1,65140,65122.6,65132.5,65111.4,64422.4
2,65380,65352.6,65361.8,65342.3,64649.5
3,65580,65582.5,65591.2,65573.2,64876.6
4,65830,65812.5,65820.5,65804.1,65103.7
5,66000,66042.5,66049.9,66035,65330.8
6,66250,66272.5,66279.2,66265.9,65557.9
7,66500,66502.5,66508.6,66496.8,65785
8,66720,66732.5,66737.9,66727.7,66012.1
9,66930,66962.4,66967.3,66958.6,66239.2
10,67150,67192.4,67196.6,67189.4,66466.3
11,67430,67422.4,67426,67420.3,66693.4
12,67650,67652.4,67655.4,67651.2,66920.5
1,67930,67882.4,67884.7,67882.1,67147.6
2,68150,68112.4,68114.1,68113,67374.7
3,68320,68342.4,68343.4,68343.9,67601.8
4,68600,68572.3,68572.8,68574.8,67828.9
5,68790,68802.3,68802.1,68805.7,68056
6,69020,69032.3,69031.5,69036.6,68283.1
7,69250,69262.3,69260.8,69267.4,68510.2
8,69520,69492.3,69490.2,69498.3,68737.3
9,69700,69722.3,69719.5,69729.2,68964.4
10,69960,69952.2,69948.9,69960.1,69191.5
11,70190,70182.2,70178.2,70191,69418.6
12,70410,70412.2,70407.6,70421.9,69645.7
1,70890,70855.7,70865.7,70849.1,70099.9
2,71110,71085.8,71095,71079.8,70327
3,71320,71315.8,71324.4,71310.6,70554.1
4,71580,71545.8,71553.7,71541.3,70781.2
5,71760,71775.8,71783,71772,71008.3
