Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,110,110,110,222.745,110
2,310,349.13,349.13,452.398,334.279
3,550,588.261,588.261,682.05,558.557
4,810,827.391,827.391,911.703,782.836
5,1050,1066.52,1066.52,1141.36,1007.11
6,1290,1305.65,1305.65,1371.01,1231.39
7,1620,1544.78,1544.78,1600.66,1455.67
8,1840,1783.91,1783.91,1830.31,1679.95
9,2070,2023.04,2023.04,2059.97,1904.23
10,2240,2262.17,2262.17,2289.62,2128.51
11,2500,2501.3,2501.3,2519.27,2352.79
12,2650,2740.43,2740.43,2748.92,2577.07
1,3060,2979.57,2979.57,2978.58,2801.34
2,3290,3218.7,3218.7,3208.23,3025.62
3,3500,3457.83,3457.83,3437.88,3249.9
4,3740,3696.96,3696.96,3667.53,3474.18
5,4000,3936.09,3936.09,3897.19,3698.46
6,4170,4175.22,4175.22,4126.84,3922.74
7,4370,4414.35,4414.35,4356.49,4147.02
8,4680,4653.48,4653.48,4586.14,4371.29
9,4870,4892.61,4892.61,4815.8,4595.57
10,5080,5131.74,5131.74,5045.45,4819.85
11,5320,5370.87,5370.87,5275.1,5044.13
12,5610,5610,5610,5504.76,5268.41
1,6050,6017.12,6041.08,5979.41,5716.97
2,6260,6243.92,6266.35,6209.06,5941.25
3,6440,6470.72,6491.62,6438.72,6165.52
4,6700,6697.52,6716.89,6668.37,6389.8
5,6890,6924.32,6942.16,6898.02,6614.08
6,7140,7151.12,7167.43,7127.67,6838.36
7,7350,7377.92,7392.7,7357.33,7062.64
8,7590,7604.72,7617.97,7586.98,7286.92
9,7780,7831.52,7843.24,7816.63,7511.2
10,8010,8058.32,8068.51,8046.29,7735.47
11,8260,8285.12,8293.78,8275.94,7959.75
12,8520,8511.91,8519.05,8505.59,8184.03
1,8760,8738.71,8744.32,8735.24,8408.31
2,9000,8965.51,8969.59,8964.9,8632.59
3,9170,9192.31,9194.86,9194.55,8856.87
4,9390,9419.11,9420.13,9424.2,9081.15
5,9630,9645.91,9645.4,9653.85,9305.42
6,9870,9872.71,9870.66,9883.51,9529.7
7,10070,10099.5,10095.9,10113.2,9753.98
8,10360,10326.3,10321.2,10342.8,9978.26
9,10560,10553.1,10546.5,10572.5,10202.5
10,10790,10779.9,10771.7,10802.1,10426.8
11,11020,11006.7,10997,11031.8,10651.1
12,11280,11233.5,11222.3,11261.4,10875.4
1,11710,11678.6,11679.4,11665.9,11323.9
2,11920,11903.7,11904.4,11892.2,11548.2
3,12140,12128.8,12129.5,12118.5,11772.5
4,12340,12353.9,12354.5,12344.9,11996.8
5,12550,12578.9,12579.5,12571.2,12221
6,12800,12804,12804.5,12797.5,12445.3
7,13060,13029.1,13029.5,13023.9,12669.6
8,13240,13254.1,13254.6,13250.2,12893.9
9,13480,13479.2,13479.6,13476.6,13118.2
10,13720,13704.3,13704.6,13702.9,13342.4
11,13930,13929.4,13929.6,13929.2,13566.7
12,14170,14154.4,14154.7,14155.6,13791
1,14400,14379.5,14379.7,14381.9,14015.3
2,14600,14604.6,14604.7,14608.3,14239.6
3,14810,14829.6,14829.7,14834.6,14463.8
4,15050,15054.7,15054.7,15060.9,14688.1
5,15290,15279.8,15279.8,15287.3,14912.4
6,15520,15504.9,15504.8,15513.6,15136.7
7,15720,15729.9,15729.8,15740,15360.9
8,15920,15955,15954.8,15966.3,15585.2
9,16170,16180.1,16179.8,16192.6,15809.5
10,16380,16405.1,16404.9,16419,16033.8
11,16620,16630.2,16629.9,16645.3,16258.1
12,16910,16855.3,16854.9,16871.6,16482.3
1,17320,17286.1,17293.7,17268.3,16930.9
2,17530,17510.1,17517.1,17493.7,17155.2
3,17760,17734,17740.6,17719.1,17379.5
4,17970,17958,17964.1,17944.6,17603.7
5,18160,18181.9,18187.5,18170,17828
6,18410,18405.9,18411,18395.5,18052.3
7,18580,18629.8,18634.5,18620.9,18276.6
8,18810,18853.8,18857.9,18846.3,18500.8
9,19030,19077.7,19081.4,19071.8,18725.1
10,19280,19301.7,19304.9,19297.2,18949.4
11,19520,19525.6,19528.3,19522.7,19173.7
12,19770,19749.6,19751.8,19748.1,19398
1,20010,19973.5,19975.3,19973.6,19622.2
2,20210,20197.5,20198.7,20199,19846.5
3,20420,20421.4,20422.2,20424.4,20070.8
4,20650,20645.3,20645.7,20649.9,20295.1
5,20850,20869.3,20869.1,20875.3,20519.4
6,21110,21093.2,21092.6,21100.8,20743.6
7,21290,21317.2,21316.1,21326.2,20967.9
8,21560,21541.1,21539.5,21551.6,21192.2
9,21740,21765.1,21763,21777.1,21416.5
10,21970,21989,21986.5,22002.5,21640.8
11,22220,22213,22209.9,22228,21865
12,22490,22436.9,22433.4,22453.4,22089.3
1,22960,22882,22887.4,22876.3,22537.9
2,23150,23106.3,23111,23101.3,22762.1
3,23370,23330.5,23334.7,23326.4,22986.4
4,23570,23554.8,23558.3,23551.5,23210.7
5,23760,23779,23782,23776.5,23435
6,24030,24003.3,24005.7,24001.6,23659.3
7,24170,24227.5,24229.3,24226.7,23883.5
8,24430,24451.8,24453,24451.8,24107.8
9,24610,24676,24676.6,24676.8,24332.1
10,24860,24900.3,24900.3,24901.9,24556.4
11,25110,25124.5,25123.9,25127,24780.7
12,25360,25348.8,25347.6,25352,25004.9
1,25630,25573,25571.2,25577.1,25229.2
2,25830,25797.3,25794.9,25802.2,25453.5
3,26030,26021.5,26018.5,26027.3,25677.8
4,26250,26245.8,26242.2,26252.3,25902
5,26460,26470,26465.9,26477.4,26126.3
6,26720,26694.3,26689.5,26702.5,26350.6
7,26900,26918.5,26913.2,26927.5,26574.9
8,27160,27142.7,27136.8,27152.6,26799.2
9,27340,27367,27360.5,27377.7,27023.4
10,27570,27591.2,27584.1,27602.8,27247.7
11,27820,27815.5,27807.8,27827.8,27472
12,28060,28039.7,28031.4,28052.9,27696.3
1,28550,28472.4,28472.5,28458,28144.8
2,28730,28695.6,28696,28682.4,28369.1
3,28920,28918.7,28919.4,28906.8,28593.4
4,29130,29141.9,29142.9,29131.1,28817.7
5,29350,29365,29366.3,29355.5,29041.9
6,29600,29588.2,29589.8,29579.9,29266.2
7,29780,29811.4,29813.3,29804.3,29490.5
8,29990,30034.5,30036.7,30028.6,29714.8
9,30230,30257.7,30260.2,30253,29939.1
10,30440,30480.8,30483.6,30477.4,30163.3
