Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2020,2020,2020,2283.97,2020
2,2370,2279.13,2279.13,2526.7,2256
3,2610,2538.26,2538.26,2769.44,2492.01
4,2870,2797.39,2797.39,3012.17,2728.01
5,3110,3056.52,3056.52,3254.91,2964.01
6,3400,3315.65,3315.65,3497.64,3200.02
7,3650,3574.78,3574.78,3740.38,3436.02
8,3920,3833.91,3833.91,3983.11,3672.02
9,4220,4093.04,4093.04,4225.85,3908.03
10,4440,4352.17,4352.17,4468.58,4144.03
11,4700,4611.3,4611.3,4711.31,4380.03
12,4860,4870.43,4870.43,4954.05,4616.04
1,5290,5129.57,5129.57,5196.78,4852.04
2,5580,5388.7,5388.7,5439.52,5088.05
3,5830,5647.83,5647.83,5682.25,5324.05
4,6060,5906.96,5906.96,5924.99,5560.05
5,6240,6166.09,6166.09,6167.72,5796.06
6,6530,6425.22,6425.22,6410.46,6032.06
7,6800,6684.35,6684.35,6653.19,6268.06
8,6990,6943.48,6943.48,6895.93,6504.07
9,7250,7202.61,7202.61,7138.66,6740.07
10,7410,7461.74,7461.74,7381.4,6976.07
11,7680,7720.87,7720.87,7624.13,7212.08
12,7980,7980,7980,7866.86,7448.08
1,8430,8434.76,8456.04,8385.64,7920.09
2,8680,8673.6,8693.52,8628.37,8156.09
3,8900,8912.44,8931.01,8871.1,8392.09
4,9130,9151.29,9168.49,9113.84,8628.1
5,9380,9390.13,9405.97,9356.57,8864.1
6,9610,9628.97,9643.46,9599.31,9100.1
7,9840,9867.81,9880.94,9842.04,9336.11
8,10080,10106.7,10118.4,10084.8,9572.11
9,10330,10345.5,10355.9,10327.5,9808.11
10,10520,10584.3,10593.4,10570.2,10044.1
11,10800,10823.2,10830.9,10813,10280.1
12,11060,11062,11068.4,11055.7,10516.1
1,11380,11300.9,11305.8,11298.5,10752.1
2,11620,11539.7,11543.3,11541.2,10988.1
3,11840,11778.6,11780.8,11783.9,11224.1
4,11970,12017.4,12018.3,12026.7,11460.1
5,12230,12256.2,12255.8,12269.4,11696.1
6,12460,12495.1,12493.3,12512.1,11932.1
7,12730,12733.9,12730.8,12754.9,12168.1
8,12950,12972.8,12968.2,12997.6,12404.2
9,13170,13211.6,13205.7,13240.3,12640.2
10,13420,13450.5,13443.2,13483.1,12876.2
11,13730,13689.3,13680.7,13725.8,13112.2
12,13990,13928.1,13918.2,13968.5,13348.2
1,14480,14412,14405.5,14387.6,13820.2
2,14670,14649.6,14643.5,14627.4,14056.2
3,14910,14887.2,14881.5,14867.2,14292.2
4,15130,15124.8,15119.5,15107,14528.2
5,15350,15362.4,15357.5,15346.8,14764.2
6,15590,15599.9,15595.5,15586.7,15000.2
7,15830,15837.5,15833.5,15826.5,15236.2
8,16040,16075.1,16071.5,16066.3,15472.2
9,16280,16312.7,16309.5,16306.1,15708.2
10,16510,16550.2,16547.5,16545.9,15944.2
11,16740,16787.8,16785.4,16785.7,16180.2
12,17000,17025.4,17023.4,17025.5,16416.2
1,17340,17263,17261.4,17265.3,16652.2
2,17560,17500.5,17499.4,17505.1,16888.2
3,17780,17738.1,17737.4,17744.9,17124.2
4,17940,17975.7,17975.4,17984.8,17360.2
5,18200,18213.3,18213.4,18224.6,17596.2
6,18420,18450.8,18451.4,18464.4,17832.2
7,18710,18688.4,18689.4,18704.2,18068.2
8,18900,18926,18927.4,18944,18304.2
9,19110,19163.6,19165.3,19183.8,18540.2
10,19440,19401.1,19403.3,19423.6,18776.2
11,19640,19638.7,19641.3,19663.4,19012.3
12,19920,19876.3,19879.3,19903.2,19248.3
1,20370,20358.8,20357.3,20350,19720.3
2,20630,20597.3,20595.9,20589.3,19956.3
3,20850,20835.8,20834.5,20828.6,20192.3
4,21040,21074.3,21073.1,21067.8,20428.3
5,21320,21312.8,21311.7,21307.1,20664.3
6,21550,21551.3,21550.3,21546.4,20900.3
7,21790,21789.8,21788.9,21785.7,21136.3
8,22040,22028.3,22027.5,22024.9,21372.3
