Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2010,2010,2010,2315.09,2010
2,2320,2266.09,2266.09,2554.86,2239.72
3,2590,2522.17,2522.17,2794.64,2469.45
4,2830,2778.26,2778.26,3034.41,2699.17
5,3160,3034.35,3034.35,3274.19,2928.9
6,3400,3290.43,3290.43,3513.96,3158.62
7,3660,3546.52,3546.52,3753.74,3388.35
8,3990,3802.61,3802.61,3993.51,3618.07
9,4250,4058.7,4058.7,4233.29,3847.8
10,4450,4314.78,4314.78,4473.06,4077.52
11,4710,4570.87,4570.87,4712.84,4307.25
12,4880,4826.96,4826.96,4952.61,4536.97
1,5240,5083.04,5083.04,5192.39,4766.7
2,5560,5339.13,5339.13,5432.16,4996.42
3,5800,5595.22,5595.22,5671.94,5226.15
4,6020,5851.3,5851.3,5911.71,5455.87
5,6300,6107.39,6107.39,6151.49,5685.59
6,6530,6363.48,6363.48,6391.26,5915.32
7,6800,6619.57,6619.57,6631.04,6145.04
8,6940,6875.65,6875.65,6870.81,6374.77
9,7220,7131.74,7131.74,7110.59,6604.49
10,7500,7387.83,7387.83,7350.36,6834.22
11,7680,7643.91,7643.91,7590.14,7063.94
12,7900,7900,7900,7829.91,7293.67
1,8400,8395.6,8401,8366.34,7753.12
2,8630,8632.93,8637.98,8606.11,7982.84
3,8890,8870.26,8874.97,8845.89,8212.57
4,9130,9107.59,9111.95,9085.66,8442.29
5,9330,9344.92,9348.94,9325.44,8672.02
6,9560,9582.25,9585.92,9565.21,8901.74
7,9790,9819.57,9822.9,9804.99,9131.46
8,10030,10056.9,10059.9,10044.8,9361.19
9,10300,10294.2,10296.9,10284.5,9590.91
10,10600,10531.6,10533.9,10524.3,9820.64
11,10760,10768.9,10770.8,10764.1,10050.4
12,11020,11006.2,11007.8,11003.9,10280.1
1,11210,11243.5,11244.8,11243.6,10509.8
2,11470,11480.9,11481.8,11483.4,10739.5
3,11690,11718.2,11718.8,11723.2,10969.3
4,11900,11955.5,11955.8,11963,11199
5,12200,12192.9,12192.7,12202.7,11428.7
6,12430,12430.2,12429.7,12442.5,11658.4
7,12680,12667.5,12666.7,12682.3,11888.2
8,12930,12904.8,12903.7,12922.1,12117.9
9,13140,13142.2,13140.7,13161.8,12347.6
10,13380,13379.5,13377.7,13401.6,12577.3
11,13640,13616.8,13614.7,13641.4,12807.1
12,13860,13854.2,13851.6,13881.2,13036.8
1,14330,14333,14326.7,14314.9,13496.2
2,14590,14566.7,14560.8,14550.1,13726
3,14830,14800.4,14794.9,14785.2,13955.7
4,15030,15034.1,15029,15020.4,14185.4
5,15200,15267.8,15263.1,15255.5,14415.1
6,15460,15501.5,15497.2,15490.7,14644.9
7,15710,15735.2,15731.3,15725.8,14874.6
8,15990,15968.9,15965.4,15961,15104.3
9,16220,16202.6,16199.5,16196.1,15334
10,16460,16436.3,16433.6,16431.3,15563.8
11,16700,16670,16667.7,16666.4,15793.5
12,16900,16903.7,16901.8,16901.6,16023.2
1,17130,17137.4,17135.9,17136.7,16252.9
2,17390,17371.1,17370,17371.9,16482.7
3,17610,17604.8,17604.1,17607,16712.4
4,17830,17838.5,17838.2,17842.2,16942.1
5,18050,18072.2,18072.3,18077.3,17171.8
6,18270,18305.9,18306.4,18312.5,17401.6
7,18510,18539.6,18540.5,18547.6,17631.3
8,18760,18773.3,18774.6,18782.8,17861
9,18980,19007,19008.7,19017.9,18090.7
10,19230,19240.7,19242.9,19253.1,18320.5
11,19510,19474.4,19477,19488.2,18550.2
12,19770,19708.1,19711.1,19723.4,18779.9
1,20160,20165.1,20168.4,20156.1,19239.3
2,20400,20397.9,20400.9,20389.5,19469.1
3,20640,20630.6,20633.5,20622.8,19698.8
4,20870,20863.4,20866,20856.2,19928.5
5,21020,21096.1,21098.5,21089.6,20158.2
6,21300,21328.9,21331.1,21323,20388
7,21560,21561.6,21563.6,21556.4,20617.7
8,21820,21794.4,21796.2,21789.8,20847.4
9,22030,22027.1,22028.7,22023.2,21077.1
10,22300,22259.9,22261.3,22256.5,21306.9
11,22490,22492.6,22493.8,22489.9,21536.6
12,22770,22725.4,22726.3,22723.3,21766.3
1,22950,22958.1,22958.9,22956.7,21996
2,23200,23190.9,23191.4,23190.1,22225.8
3,23430,23423.6,23424,23423.5,22455.5
4,23630,23656.4,23656.5,23656.8,22685.2
5,23870,23889.1,23889,23890.2,22914.9
6,24110,24121.9,24121.6,24123.6,23144.7
7,24300,24354.6,24354.1,24357,23374.4
8,24580,24587.4,24586.7,24590.4,23604.1
9,24790,24820.1,24819.2,24823.8,23833.8
10,25050,25052.9,25051.8,25057.2,24063.6
11,25300,25285.6,25284.3,25290.5,24293.3
12,25590,25518.4,25516.8,25523.9,24523
1,25980,25972.2,25977.8,25963.7,24982.5
2,26220,26205,26210.3,26197,25212.2
3,26450,26437.8,26442.8,26430.4,25441.9
4,26660,26670.7,26675.2,26663.8,25671.6
5,26860,26903.5,26907.7,26897.2,25901.4
6,27080,27136.3,27140.2,27130.5,26131.1
7,27300,27369.2,27372.6,27363.9,26360.8
8,27620,27602,27605.1,27597.3,26590.5
9,27840,27834.9,27837.5,27830.7,26820.3
10,28070,28067.7,28070,28064.1,27050
11,28280,28300.5,28302.5,28297.4,27279.7
12,28560,28533.4,28534.9,28530.8,27509.4
1,28780,28766.2,28767.4,28764.2,27739.2
2,29020,28999,28999.8,28997.6,27968.9
3,29260,29231.9,29232.3,29230.9,28198.6
4,29460,29464.7,29464.8,29464.3,28428.3
5,29720,29697.6,29697.2,29697.7,28658.1
6,29970,29930.4,29929.7,29931.1,28887.8
7,30170,30163.2,30162.2,30164.5,29117.5
8,30320,30396.1,30394.6,30397.8,29347.2
9,30620,30628.9,30627.1,30631.2,29577
10,30850,30861.7,30859.5,30864.6,29806.7
11,31100,31094.6,31092,31098,30036.4
12,31350,31327.4,31324.5,31331.3,30266.1
1,31810,31797.7,31791.6,31783.7,30725.6
2,32050,32029.6,32024.1,32017.1,30955.3
3,32300,32261.4,32256.5,32250.5,31185
4,32540,32493.3,32489,32483.9,31414.8
5,32680,32725.2,32721.4,32717.3,31644.5
6,32970,32957.1,32953.9,32950.7,31874.2
7,33210,33188.9,33186.4,33184.2,32103.9
8,33410,33420.8,33418.8,33417.6,32333.7
9,33650,33652.7,33651.3,33651,32563.4
10,33880,33884.5,33883.8,33884.4,32793.1
11,34080,34116.4,34116.2,34117.8,33022.8
12,34310,34348.3,34348.7,34351.2,33252.6
1,34660,34580.2,34581.1,34584.6,33482.3
2,34860,34812,34813.6,34818,33712
3,35100,35043.9,35046.1,35051.4,33941.7
4,35260,35275.8,35278.5,35284.9,34171.5
5,35500,35507.6,35511,35518.3,34401.2
6,35720,35739.5,35743.4,35751.7,34630.9
7,35940,35971.4,35975.9,35985.1,34860.6
