Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2010,2010,2010,2186.27,2010
2,2220,2266.09,2266.09,2423.77,2237.97
3,2470,2522.17,2522.17,2661.27,2465.95
4,2680,2778.26,2778.26,2898.76,2693.92
5,3010,3034.35,3034.35,3136.26,2921.89
6,3280,3290.43,3290.43,3373.76,3149.86
7,3530,3546.52,3546.52,3611.26,3377.84
8,3790,3802.61,3802.61,3848.76,3605.81
9,4110,4058.7,4058.7,4086.26,3833.78
10,4380,4314.78,4314.78,4323.75,4061.76
11,4670,4570.87,4570.87,4561.25,4289.73
12,5110,4826.96,4826.96,4798.75,4517.7
1,5000,5083.04,5083.04,5036.25,4745.68
2,5300,5339.13,5339.13,5273.75,4973.65
3,5500,5595.22,5595.22,5511.25,5201.62
4,5680,5851.3,5851.3,5748.74,5429.59
5,5970,6107.39,6107.39,5986.24,5657.57
6,6220,6363.48,6363.48,6223.74,5885.54
7,6530,6619.57,6619.57,6461.24,6113.51
8,6700,6875.65,6875.65,6698.74,6341.49
9,7020,7131.74,7131.74,6936.24,6569.46
10,7280,7387.83,7387.83,7173.73,6797.43
11,7660,7643.91,7643.91,7411.23,7025.4
12,7900,7900,7900,7648.73,7253.38
1,8270,8281.49,8325.5,8219.6,7709.32
2,8530,8514.38,8555.59,8457.1,7937.3
3,8760,8747.28,8785.68,8694.6,8165.27
4,8920,8980.18,9015.77,8932.1,8393.24
5,9080,9213.08,9245.86,9169.6,8621.22
6,9390,9445.98,9475.95,9407.09,8849.19
7,9640,9678.88,9706.04,9644.59,9077.16
8,9870,9911.78,9936.12,9882.09,9305.13
9,10180,10144.7,10166.2,10119.6,9533.11
10,10400,10377.6,10396.3,10357.1,9761.08
11,10530,10610.5,10626.4,10594.6,9989.05
12,10820,10843.4,10856.5,10832.1,10217
1,11100,11076.3,11086.6,11069.6,10445
2,11380,11309.2,11316.7,11307.1,10673
3,11570,11542.1,11546.8,11544.6,10900.9
4,11760,11775,11776.8,11782.1,11128.9
5,12020,12007.9,12006.9,12019.6,11356.9
6,12240,12240.8,12237,12257.1,11584.9
7,12480,12473.7,12467.1,12494.6,11812.8
8,12710,12706.6,12697.2,12732.1,12040.8
9,12960,12939.5,12927.3,12969.6,12268.8
10,13190,13172.4,13157.4,13207.1,12496.8
11,13390,13405.3,13387.5,13444.6,12724.7
12,13630,13638.2,13617.6,13682.1,12952.7
1,14120,14098,14096.1,14100.1,13408.6
2,14370,14329.7,14327.9,14332,13636.6
3,14620,14561.5,14559.7,14563.8,13864.6
4,14790,14793.2,14791.6,14795.7,14092.6
5,14990,15024.9,15023.4,15027.6,14320.5
6,15260,15256.6,15255.3,15259.5,14548.5
7,15510,15488.3,15487.1,15491.3,14776.5
8,15730,15720.1,15719,15723.2,15004.5
9,15970,15951.8,15950.8,15955.1,15232.4
10,16180,16183.5,16182.7,16187,15460.4
11,16400,16415.2,16414.5,16418.9,15688.4
12,16640,16646.9,16646.3,16650.7,15916.3
1,16870,16878.7,16878.2,16882.6,16144.3
2,17120,17110.4,17110,17114.5,16372.3
3,17330,17342.1,17341.9,17346.4,16600.3
4,17530,17573.8,17573.7,17578.2,16828.2
5,17820,17805.6,17805.6,17810.1,17056.2
6,18040,18037.3,18037.4,18042,17284.2
7,18310,18269,18269.3,18273.9,17512.2
8,18490,18500.7,18501.1,18505.7,17740.1
9,18710,18732.4,18732.9,18737.6,17968.1
10,18950,18964.2,18964.8,18969.5,18196.1
11,19180,19195.9,19196.6,19201.4,18424.1
12,19470,19427.6,19428.5,19433.3,18652
1,19880,19875.9,19883.3,19868.3,19108
2,20140,20105.8,20112.7,20098.8,19335.9
3,20360,20335.7,20342.2,20329.4,19563.9
4,20550,20565.6,20571.6,20559.9,19791.9
5,20750,20795.5,20801,20790.5,20019.9
6,21000,21025.4,21030.4,21021,20247.8
