Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2050,2050,2050,2223.2,2050
2,2350,2305.22,2305.22,2459.01,2276.98
3,2570,2560.43,2560.43,2694.82,2503.97
4,2790,2815.65,2815.65,2930.63,2730.95
5,3050,3070.87,3070.87,3166.44,2957.94
6,3270,3326.09,3326.09,3402.25,3184.92
7,3560,3581.3,3581.3,3638.05,3411.91
8,3790,3836.52,3836.52,3873.86,3638.89
9,4050,4091.74,4091.74,4109.67,3865.87
10,4340,4346.96,4346.96,4345.48,4092.86
11,4550,4602.17,4602.17,4581.29,4319.84
12,5100,4857.39,4857.39,4817.1,4546.83
1,5080,5112.61,5112.61,5052.9,4773.81
2,5380,5367.83,5367.83,5288.71,5000.79
3,5570,5623.04,5623.04,5524.52,5227.78
4,5760,5878.26,5878.26,5760.33,5454.76
5,6040,6133.48,6133.48,5996.14,5681.75
6,6260,6388.7,6388.7,6231.95,5908.73
7,6370,6643.91,6643.91,6467.75,6135.72
8,6740,6899.13,6899.13,6703.56,6362.7
9,6990,7154.35,7154.35,6939.37,6589.68
10,7260,7409.57,7409.57,7175.18,6816.67
11,7600,7664.78,7664.78,7410.99,7043.65
12,7920,7920,7920,7646.8,7270.64
1,8260,8251.78,8312.05,8202.37,7724.61
2,8470,8484.36,8540.78,8438.18,7951.59
3,8730,8716.94,8769.52,8673.99,8178.57
4,8840,8949.52,8998.25,8909.8,8405.56
5,9110,9182.1,9226.98,9145.6,8632.54
6,9350,9414.69,9455.72,9381.41,8859.53
7,9590,9647.27,9684.45,9617.22,9086.51
8,9820,9879.85,9913.19,9853.03,9313.49
9,10060,10112.4,10141.9,10088.8,9540.48
10,10320,10345,10370.7,10324.6,9767.46
11,10460,10577.6,10599.4,10560.5,9994.45
12,10880,10810.2,10828.1,10796.3,10221.4
1,11090,11042.8,11056.9,11032.1,10448.4
2,11330,11275.3,11285.6,11267.9,10675.4
3,11560,11507.9,11514.3,11503.7,10902.4
4,11710,11740.5,11743.1,11739.5,11129.4
5,12020,11973.1,11971.8,11975.3,11356.4
6,12210,12205.7,12200.5,12211.1,11583.3
7,12460,12438.3,12429.3,12446.9,11810.3
8,12630,12670.8,12658,12682.7,12037.3
9,12900,12903.4,12886.7,12918.5,12264.3
10,13140,13136,13115.5,13154.3,12491.3
11,13390,13368.6,13344.2,13390.2,12718.3
12,13610,13601.2,13572.9,13626,12945.2
1,14140,14065.2,14062.6,14084,13399.2
2,14360,14296.8,14294.4,14314.6,13626.2
3,14580,14528.5,14526.2,14545.3,13853.2
4,14780,14760.1,14758,14775.9,14080.2
5,14980,14991.8,14989.9,15006.5,14307.1
6,15220,15223.4,15221.7,15237.2,14534.1
7,15450,15455.1,15453.5,15467.8,14761.1
8,15690,15686.8,15685.3,15698.4,14988.1
9,15930,15918.4,15917.2,15929,15215.1
10,16120,16150.1,16149,16159.7,15442.1
11,16380,16381.7,16380.8,16390.3,15669.1
12,16590,16613.4,16612.6,16620.9,15896
1,16900,16845.1,16844.4,16851.6,16123
2,17130,17076.7,17076.3,17082.2,16350
3,17320,17308.4,17308.1,17312.8,16577
4,17460,17540,17539.9,17543.5,16804
5,17720,17771.7,17771.7,17774.1,17031
6,17940,18003.3,18003.5,18004.7,17257.9
7,18250,18235,18235.4,18235.3,17484.9
8,18500,18466.7,18467.2,18466,17711.9
9,18710,18698.3,18699,18696.6,17938.9
10,18950,18930,18930.8,18927.2,18165.9
11,19180,19161.6,19162.6,19157.9,18392.9
12,19390,19393.3,19394.5,19388.5,18619.8
1,19850,19820.9,19835.9,19832.2,19073.8
2,20080,20050.2,20064.2,20060.3,19300.8
3,20320,20279.4,20292.5,20288.5,19527.8
4,20460,20508.7,20520.8,20516.7,19754.8
5,20680,20738,20749.2,20744.9,19981.8
6,20900,20967.3,20977.5,20973.1,20208.7
7,21160,21196.6,21205.8,21201.2,20435.7
8,21450,21425.8,21434.1,21429.4,20662.7
9,21670,21655.1,21662.4,21657.6,20889.7
10,21930,21884.4,21890.8,21885.8,21116.7
11,22130,22113.7,22119.1,22114,21343.7
12,22370,22343,22347.4,22342.2,21570.6
1,22590,22572.2,22575.7,22570.3,21797.6
2,22770,22801.5,22804.1,22798.5,22024.6
3,23010,23030.8,23032.4,23026.7,22251.6
4,23240,23260.1,23260.7,23254.9,22478.6
5,23470,23489.4,23489,23483.1,22705.6
6,23710,23718.6,23717.4,23711.3,22932.5
7,23930,23947.9,23945.7,23939.4,23159.5
8,24150,24177.2,24174,24167.6,23386.5
9,24410,24406.5,24402.3,24395.8,23613.5
10,24660,24635.7,24630.6,24624,23840.5
11,24870,24865,24859,24852.2,24067.5
12,25140,25094.3,25087.3,25080.3,24294.5
1,25560,25515.6,25537.6,25532.6,24748.4
2,25740,25745.4,25765.9,25760.7,24975.4
3,25950,25975.3,25994.1,25988.8,25202.4
4,26180,26205.2,26222.3,26216.9,25429.4
5,26380,26435,26450.6,26445,25656.4
6,26630,26664.9,26678.8,26673.1,25883.3
7,26880,26894.7,26907,26901.2,26110.3
8,27110,27124.6,27135.3,27129.4,26337.3
9,27380,27354.5,27363.5,27357.5,26564.3
10,27610,27584.3,27591.8,27585.6,26791.3
11,27830,27814.2,27820,27813.7,27018.3
12,28090,28044.1,28048.2,28041.8,27245.2
1,28300,28273.9,28276.5,28269.9,27472.2
2,28490,28503.8,28504.7,28498,27699.2
3,28700,28733.6,28732.9,28726.1,27926.2
4,28890,28963.5,28961.2,28954.2,28153.2
5,29140,29193.4,29189.4,29182.3,28380.2
6,29370,29423.2,29417.6,29410.4,28607.2
7,29630,29653.1,29645.9,29638.5,28834.1
8,29950,29883,29874.1,29866.6,29061.1
9,30100,30112.8,30102.3,30094.7,29288.1
10,30390,30342.7,30330.6,30322.9,29515.1
11,30590,30572.5,30558.8,30551,29742.1
12,30850,30802.4,30787,30779.1,29969.1
1,31270,31233.9,31245.5,31247.5,30423
2,31500,31463.2,31473.8,31475.7,30650
3,31740,31692.5,31702.2,31704,30877
4,31890,31921.8,31930.5,31932.2,31104
5,32110,32151.1,32158.8,32160.4,31331
6,32380,32380.4,32387.1,32388.6,31557.9
7,32610,32609.7,32615.4,32616.9,31784.9
8,32860,32839,32843.7,32845.1,32011.9
9,33070,33068.3,33072,33073.3,32238.9
10,33330,33297.6,33300.3,33301.5,32465.9
11,33480,33526.9,33528.6,33529.7,32692.9
12,33780,33756.2,33757,33758,32919.9
1,33980,33985.5,33985.3,33986.2,33146.8
