Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2000,2000,2000,2207.46,2000
2,2280,2247.39,2247.39,2443.62,2228.18
3,2520,2494.78,2494.78,2679.78,2456.36
4,2750,2742.17,2742.17,2915.95,2684.54
5,3040,2989.57,2989.57,3152.11,2912.72
6,3260,3236.96,3236.96,3388.27,3140.91
7,3560,3484.35,3484.35,3624.44,3369.09
8,3850,3731.74,3731.74,3860.6,3597.27
9,4100,3979.13,3979.13,4096.76,3825.45
10,4320,4226.52,4226.52,4332.93,4053.63
11,4610,4473.91,4473.91,4569.09,4281.81
12,4720,4721.3,4721.3,4805.25,4509.99
1,5170,4968.7,4968.7,5041.41,4738.17
2,5380,5216.09,5216.09,5277.58,4966.35
3,5600,5463.48,5463.48,5513.74,5194.53
4,5830,5710.87,5710.87,5749.9,5422.72
5,6070,5958.26,5958.26,5986.07,5650.9
6,6300,6205.65,6205.65,6222.23,5879.08
7,6600,6453.04,6453.04,6458.39,6107.26
8,6730,6700.43,6700.43,6694.56,6335.44
9,7030,6947.83,6947.83,6930.72,6563.62
10,7290,7195.22,7195.22,7166.88,6791.8
11,7460,7442.61,7442.61,7403.05,7019.98
12,7690,7690,7690,7639.21,7248.16
1,8210,8203.49,8196.99,8169.13,7704.53
2,8460,8436.55,8430.46,8405.29,7932.71
3,8700,8669.62,8663.94,8641.45,8160.89
4,8910,8902.68,8897.42,8877.61,8389.07
5,9170,9135.74,9130.89,9113.78,8617.25
6,9360,9368.8,9364.37,9349.94,8845.43
7,9630,9601.86,9597.85,9586.1,9073.61
8,9810,9834.93,9831.33,9822.27,9301.79
9,10050,10068,10064.8,10058.4,9529.98
10,10320,10301,10298.3,10294.6,9758.16
11,10510,10534.1,10531.8,10530.8,9986.34
12,10770,10767.2,10765.2,10766.9,10214.5
1,11000,11000.2,10998.7,11003.1,10442.7
2,11240,11233.3,11232.2,11239.2,10670.9
3,11450,11466.4,11465.7,11475.4,10899.1
4,11600,11699.4,11699.1,11711.6,11127.2
5,11920,11932.5,11932.6,11947.7,11355.4
6,12140,12165.5,12166.1,12183.9,11583.6
7,12370,12398.6,12399.6,12420.1,11811.8
8,12670,12631.7,12633.1,12656.2,12040
9,12880,12864.7,12866.5,12892.4,12268.1
10,13120,13097.8,13100,13128.5,12496.3
11,13370,13330.9,13333.5,13364.7,12724.5
12,13580,13563.9,13567,13600.9,12952.7
1,14030,14015.5,14016.1,13983.7,13409.1
2,14250,14244.9,14245.5,14215.5,13637.2
3,14510,14474.3,14474.9,14447.3,13865.4
4,14670,14703.7,14704.2,14679.1,14093.6
5,14870,14933.1,14933.6,14911,14321.8
6,15090,15162.5,15163,15142.8,14550
7,15350,15391.9,15392.3,15374.6,14778.1
8,15590,15621.3,15621.7,15606.4,15006.3
9,15830,15850.7,15851.1,15838.2,15234.5
10,16090,16080.1,16080.4,16070,15462.7
11,16300,16309.5,16309.8,16301.9,15690.9
12,16600,16539,16539.2,16533.7,15919
