Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,100,100,100,234.558,100
2,390,339.13,339.13,458.401,316.089
3,580,578.261,578.261,682.244,532.178
4,820,817.391,817.391,906.086,748.268
5,1050,1056.52,1056.52,1129.93,964.357
6,1300,1295.65,1295.65,1353.77,1180.45
7,1510,1534.78,1534.78,1577.61,1396.54
8,1790,1773.91,1773.91,1801.46,1612.62
9,1990,2013.04,2013.04,2025.3,1828.71
10,2240,2252.17,2252.17,2249.14,2044.8
11,2440,2491.3,2491.3,2472.99,2260.89
12,2970,2730.43,2730.43,2696.83,2476.98
1,2980,2969.57,2969.57,2920.67,2693.07
2,3210,3208.7,3208.7,3144.51,2909.16
3,3330,3447.83,3447.83,3368.36,3125.25
4,3550,3686.96,3686.96,3592.2,3341.34
5,3820,3926.09,3926.09,3816.04,3557.43
6,4050,4165.22,4165.22,4039.89,3773.52
7,4280,4404.35,4404.35,4263.73,3989.61
8,4470,4643.48,4643.48,4487.57,4205.69
9,4730,4882.61,4882.61,4711.41,4421.78
10,4960,5121.74,5121.74,4935.26,4637.87
11,5250,5360.87,5360.87,5159.1,4853.96
12,5600,5600,5600,5382.94,5070.05
1,5960,5952.32,5994.77,5898.72,5502.23
2,6150,6172.25,6211.99,6122.57,5718.32
3,6330,6392.19,6429.22,6346.41,5934.41
4,6580,6612.13,6646.45,6570.25,6150.5
5,6760,6832.06,6863.67,6794.1,6366.59
6,7030,7052,7080.9,7017.94,6582.68
7,7260,7271.94,7298.13,7241.78,6798.76
8,7480,7491.87,7515.35,7465.62,7014.85
9,7700,7711.81,7732.58,7689.47,7230.94
10,7880,7931.75,7949.81,7913.31,7447.03
11,8130,8151.68,8167.03,8137.15,7663.12
12,8330,8371.62,8384.26,8361,7879.21
1,8660,8591.56,8601.48,8584.84,8095.3
2,8870,8811.49,8818.71,8808.68,8311.39
3,9010,9031.43,9035.94,9032.52,8527.48
4,9250,9251.37,9253.16,9256.37,8743.57
5,9490,9471.3,9470.39,9480.21,8959.66
6,9720,9691.24,9687.62,9704.05,9175.75
7,9930,9911.18,9904.84,9927.89,9391.83
8,10100,10131.1,10122.1,10151.7,9607.92
9,10330,10351.1,10339.3,10375.6,9824.01
10,10570,10571,10556.5,10599.4,10040.1
11,10820,10790.9,10773.7,10823.3,10256.2
12,11010,11010.9,10991,11047.1,10472.3
1,11480,11439.1,11440.1,11446.3,10904.5
2,11690,11659.2,11660.1,11666.1,11120.5
3,11890,11879.2,11880.1,11885.9,11336.6
4,12140,12099.3,12100.1,12105.7,11552.7
5,12280,12319.4,12320.1,12325.4,11768.8
6,12550,12539.5,12540.1,12545.2,11984.9
7,12760,12759.6,12760.2,12765,12201
8,12990,12979.6,12980.2,12984.8,12417.1
9,13220,13199.7,13200.2,13204.5,12633.2
10,13380,13419.8,13420.2,13424.3,12849.3
11,13650,13639.9,13640.2,13644.1,13065.4
12,13910,13860,13860.2,13863.9,13281.4
1,14090,14080,14080.3,14083.6,13497.5
2,14270,14300.1,14300.3,14303.4,13713.6
3,14500,14520.2,14520.3,14523.2,13929.7
4,14690,14740.3,14740.3,14743,14145.8
5,14960,14960.4,14960.3,14962.7,14361.9
6,15200,15180.4,15180.3,15182.5,14578
7,15430,15400.5,15400.3,15402.3,14794.1
8,15610,15620.6,15620.4,15622.1,15010.2
9,15800,15840.7,15840.4,15841.8,15226.2
10,16040,16060.7,16060.4,16061.6,15442.3
11,16320,16280.8,16280.4,16281.4,15658.4
12,16520,16500.9,16500.4,16501.2,15874.5
1,17000,16923.9,16932.2,16927.6,16306.7
2,17140,17142.2,17150,17145.6,16522.8
3,17350,17360.5,17367.8,17363.6,16738.9
