Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1090,1090,1090,1357.25,1090
2,1480,1346.32,1346.32,1593.7,1314.13
3,1810,1602.63,1602.63,1830.14,1538.27
4,1940,1858.95,1858.95,2066.59,1762.4
5,2240,2115.26,2115.26,2303.04,1986.54
6,2530,2371.58,2371.58,2539.49,2210.67
7,2740,2627.89,2627.89,2775.93,2434.8
8,2980,2884.21,2884.21,3012.38,2658.94
9,3260,3140.53,3140.53,3248.83,2883.07
10,3460,3396.84,3396.84,3485.28,3107.2
1,3760,3653.16,3653.16,3721.72,3331.34
2,4090,3909.47,3909.47,3958.17,3555.47
3,4200,4165.79,4165.79,4194.62,3779.61
4,4370,4422.11,4422.11,4431.07,4003.74
5,4740,4678.42,4678.42,4667.51,4227.87
6,5000,4934.74,4934.74,4903.96,4452.01
7,5160,5191.05,5191.05,5140.41,4676.14
8,5490,5447.37,5447.37,5376.86,4900.27
9,5770,5703.68,5703.68,5613.3,5124.41
10,5960,5960,5960,5849.75,5348.54
1,6400,6406.87,6426.87,6366.75,5796.81
2,6690,6639.62,6658.09,6603.2,6020.94
3,6880,6872.38,6889.3,6839.64,6245.08
4,7060,7105.13,7120.52,7076.09,6469.21
5,7260,7337.89,7351.73,7312.54,6693.34
6,7510,7570.64,7582.95,7548.99,6917.48
7,7730,7803.4,7814.16,7785.43,7141.61
8,8020,8036.15,8045.38,8021.88,7365.75
9,8310,8268.91,8276.59,8258.33,7589.88
10,8530,8501.66,8507.81,8494.78,7814.01
1,8770,8734.42,8739.02,8731.22,8038.15
2,9070,8967.17,8970.24,8967.67,8262.28
3,9150,9199.93,9201.45,9204.12,8486.41
4,9400,9432.68,9432.67,9440.57,8710.55
5,9650,9665.44,9663.88,9677.01,8934.68
6,9880,9898.19,9895.1,9913.46,9158.82
7,10090,10130.9,10126.3,10149.9,9382.95
8,10380,10363.7,10357.5,10386.4,9607.08
9,10640,10596.5,10588.7,10622.8,9831.22
10,10840,10829.2,10820,10859.3,10055.4
1,11350,11301.5,11294.5,11276.7,10503.6
2,11600,11530.3,11523.8,11508.2,10727.8
3,11770,11759.1,11753.2,11739.7,10951.9
4,11950,11987.9,11982.5,11971.2,11176
5,12180,12216.7,12211.8,12202.7,11400.2
6,12450,12445.5,12441.2,12434.2,11624.3
7,12600,12674.3,12670.5,12665.7,11848.4
8,12880,12903.1,12899.8,12897.2,12072.6
9,13140,13131.9,13129.2,13128.7,12296.7
10,13400,13360.7,13358.5,13360.2,12520.8
1,13620,13589.5,13587.8,13591.8,12745
2,13870,13818.3,13817.2,13823.3,12969.1
3,14010,14047.1,14046.5,14054.8,13193.2
4,14200,14275.9,14275.8,14286.3,13417.4
5,14510,14504.7,14505.2,14517.8,13641.5
6,14720,14733.4,14734.5,14749.3,13865.6
7,14930,14962.2,14963.8,14980.8,14089.8
8,15170,15191,15193.2,15212.3,14313.9
9,15470,15419.8,15422.5,15443.8,14538
10,15700,15648.6,15651.8,15675.3,14762.2
1,16120,16103.6,16104.5,16101,15210.4
2,16380,16332.7,16333.5,16330.3,15434.6
3,16580,16561.8,16562.6,16559.5,15658.7
4,16760,16791,16791.6,16788.8,15882.8
5,17000,17020.1,17020.7,17018.1,16107
6,17210,17249.2,17249.7,17247.3,16331.1
7,17430,17478.3,17478.7,17476.6,16555.2
8,17690,17707.4,17707.8,17705.8,16779.4
9,17960,17936.5,17936.8,17935.1,17003.5
10,18170,18165.6,18165.9,18164.4,17227.6
1,18400,18394.7,18394.9,18393.6,17451.8
2,18650,18623.8,18624,18622.9,17675.9
3,18810,18852.9,18853,18852.2,17900
4,19090,19082,19082.1,19081.4,18124.2
5,19330,19311.2,19311.1,19310.7,18348.3
6,19510,19540.3,19540.1,19539.9,18572.4
7,19740,19769.4,19769.2,19769.2,18796.6
8,20010,19998.5,19998.2,19998.5,19020.7
9,20280,20227.6,20227.3,20227.7,19244.8
10,20460,20456.7,20456.3,20457,19469
1,20940,20899.1,20894.1,20878,19917.2
2,21160,21125.7,21122.5,21106.5,20141.4
3,21380,21352.4,21350.9,21335,20365.5
4,21560,21579.1,21579.4,21563.4,20589.6
5,21770,21805.7,21807.8,21791.9,20813.8
6,21970,22032.4,22036.2,22020.4,21037.9
7,22210,22259.1,22264.7,22248.8,21262
8,22420,22485.7,22493.1,22477.3,21486.2
9,22690,22712.4,22721.5,22705.8,21710.3
10,22980,22939,22950,22934.3,21934.4
1,23210,23165.7,23178.4,23162.7,22158.6
2,23440,23392.4,23406.8,23391.2,22382.7
