Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1200,1200,1200,1245.37,1200
2,1440,1434.74,1434.74,1470.59,1420.91
3,1650,1669.47,1669.47,1695.82,1641.83
4,1860,1904.21,1904.21,1921.04,1862.74
5,2060,2138.95,2138.95,2146.27,2083.65
6,2280,2373.68,2373.68,2371.49,2304.56
7,2520,2608.42,2608.42,2596.71,2525.48
8,2760,2843.16,2843.16,2821.94,2746.39
9,3000,3077.89,3077.89,3047.16,2967.3
10,3200,3312.63,3312.63,3272.39,3188.21
1,3560,3547.37,3547.37,3497.61,3409.13
2,3790,3782.11,3782.11,3722.84,3630.04
3,3960,4016.84,4016.84,3948.06,3850.95
4,4220,4251.58,4251.58,4173.29,4071.86
5,4460,4486.32,4486.32,4398.51,4292.78
6,4660,4721.05,4721.05,4623.73,4513.69
7,4870,4955.79,4955.79,4848.96,4734.6
8,5130,5190.53,5190.53,5074.18,4955.51
9,5420,5425.26,5425.26,5299.41,5176.43
10,5660,5660,5660,5524.63,5397.34
1,6060,6041.26,6068.41,6011.87,5839.16
2,6280,6264.1,6289.17,6237.09,6060.08
3,6480,6486.94,6509.92,6462.32,6280.99
4,6680,6709.79,6730.68,6687.54,6501.9
5,6890,6932.63,6951.43,6912.77,6722.81
6,7120,7155.48,7172.18,7137.99,6943.73
7,7300,7378.32,7392.94,7363.21,7164.64
8,7600,7601.17,7613.69,7588.44,7385.55
9,7820,7824.01,7834.45,7813.66,7606.46
10,8060,8046.85,8055.2,8038.89,7827.38
1,8240,8269.7,8275.95,8264.11,8048.29
2,8510,8492.54,8496.71,8489.34,8269.2
3,8670,8715.39,8717.46,8714.56,8490.11
4,8920,8938.23,8938.21,8939.79,8711.03
5,9180,9161.08,9158.97,9165.01,8931.94
6,9380,9383.92,9379.72,9390.23,9152.85
7,9580,9606.76,9600.48,9615.46,9373.76
8,9820,9829.61,9821.23,9840.68,9594.68
9,10120,10052.5,10042,10065.9,9815.59
10,10320,10275.3,10262.7,10291.1,10036.5
1,10710,10686,10696.4,10692.5,10478.3
2,10940,10907.7,10917.3,10913.7,10699.2
3,11160,11129.5,11138.3,11134.8,10920.2
4,11350,11351.2,11359.2,11356,11141.1
5,11550,11572.9,11580.2,11577.1,11362
6,11770,11794.7,11801.1,11798.3,11582.9
7,11990,12016.4,12022,12019.5,11803.8
8,12230,12238.2,12243,12240.6,12024.7
9,12450,12459.9,12463.9,12461.8,12245.6
10,12700,12681.7,12684.9,12682.9,12466.5
1,12890,12903.4,12905.8,12904.1,12687.5
2,13170,13125.2,13126.7,13125.2,12908.4
3,13300,13346.9,13347.7,13346.4,13129.3
4,13590,13568.6,13568.6,13567.5,13350.2
