Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,430,430,430,579.571,430
2,710,682.632,682.632,818.3,664.795
3,910,935.263,935.263,1057.03,899.589
4,1120,1187.89,1187.89,1295.76,1134.38
5,1400,1440.53,1440.53,1534.49,1369.18
6,1720,1693.16,1693.16,1773.22,1603.97
7,1880,1945.79,1945.79,2011.95,1838.77
8,2140,2198.42,2198.42,2250.68,2073.56
9,2490,2451.05,2451.05,2489.41,2308.36
10,2650,2703.68,2703.68,2728.14,2543.15
1,3090,2956.32,2956.32,2966.86,2777.95
2,3360,3208.95,3208.95,3205.59,3012.74
3,3550,3461.58,3461.58,3444.32,3247.53
4,3660,3714.21,3714.21,3683.05,3482.33
5,4030,3966.84,3966.84,3921.78,3717.12
6,4270,4219.47,4219.47,4160.51,3951.92
7,4490,4472.11,4472.11,4399.24,4186.71
8,4730,4724.74,4724.74,4637.97,4421.51
9,5090,4977.37,4977.37,4876.7,4656.3
10,5230,5230,5230,5115.43,4891.1
1,5710,5698.92,5709.91,5670.07,5360.69
2,5940,5934.9,5945.05,5908.8,5595.48
3,6160,6170.89,6180.19,6147.53,5830.27
4,6330,6406.87,6415.33,6386.26,6065.07
5,6630,6642.86,6650.47,6624.99,6299.86
6,6910,6878.85,6885.61,6863.72,6534.66
7,7080,7114.83,7120.75,7102.45,6769.45
8,7340,7350.82,7355.89,7341.18,7004.25
9,7540,7586.8,7591.03,7579.91,7239.04
10,7840,7822.79,7826.17,7818.64,7473.84
1,8100,8058.77,8061.31,8057.36,7708.63
2,8360,8294.76,8296.45,8296.09,7943.43
3,8560,8530.75,8531.59,8534.82,8178.22
4,8740,8766.73,8766.73,8773.55,8413.01
5,8980,9002.72,9001.86,9012.28,8647.81
6,9240,9238.7,9237,9251.01,8882.6
7,9470,9474.69,9472.14,9489.74,9117.4
8,9680,9710.68,9707.28,9728.47,9352.19
9,9980,9946.66,9942.42,9967.2,9586.99
10,10170,10182.6,10177.6,10205.9,9821.78
1,10610,10644.6,10643.9,10625.3,10291.4
2,10900,10876.5,10875.8,10859,10526.2
3,11130,11108.3,11107.7,11092.8,10761
4,11310,11340.1,11339.6,11326.5,10995.8
