Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,600,600,600,630.546,600
2,900,842.105,842.105,868.752,830.355
3,1080,1084.21,1084.21,1106.96,1060.71
4,1310,1326.32,1326.32,1345.16,1291.06
5,1530,1568.42,1568.42,1583.37,1521.42
6,1810,1810.53,1810.53,1821.57,1751.77
7,2000,2052.63,2052.63,2059.78,1982.13
8,2260,2294.74,2294.74,2297.99,2212.48
9,2460,2536.84,2536.84,2536.19,2442.84
10,2600,2778.95,2778.95,2774.4,2673.19
1,3040,3021.05,3021.05,3012.6,2903.55
2,3320,3263.16,3263.16,3250.81,3133.9
3,3490,3505.26,3505.26,3489.01,3364.26
4,3780,3747.37,3747.37,3727.22,3594.61
5,4000,3989.47,3989.47,3965.43,3824.97
6,4290,4231.58,4231.58,4203.63,4055.32
7,4510,4473.68,4473.68,4441.84,4285.68
8,4720,4715.79,4715.79,4680.04,4516.03
9,4970,4957.89,4957.89,4918.25,4746.39
10,5200,5200,5200,5156.45,4976.74
1,5740,5683.2,5683.43,5672.05,5437.45
2,5980,5920.24,5920.45,5910.25,5667.81
3,6160,6157.28,6157.47,6148.46,5898.16
4,6390,6394.32,6394.49,6386.66,6128.51
5,6570,6631.36,6631.52,6624.87,6358.87
6,6810,6868.4,6868.54,6863.07,6589.22
7,7070,7105.44,7105.56,7101.28,6819.58
8,7310,7342.48,7342.58,7339.49,7049.93
9,7530,7579.51,7579.6,7577.69,7280.29
10,7800,7816.55,7816.62,7815.9,7510.64
1,8110,8053.59,8053.65,8054.1,7741
2,8350,8290.63,8290.67,8292.31,7971.35
3,8510,8527.67,8527.69,8530.51,8201.71
4,8800,8764.71,8764.71,8768.72,8432.06
5,9040,9001.75,9001.73,9006.93,8662.42
6,9240,9238.79,9238.75,9245.13,8892.77
7,9450,9475.83,9475.78,9483.34,9123.13
8,9680,9712.87,9712.8,9721.54,9353.48
9,9980,9949.91,9949.82,9959.75,9583.84
10,10180,10186.9,10186.8,10198,9814.19
1,10680,10654.6,10655,10626.4,10274.9
2,10900,10886.4,10886.8,10861,10505.3
3,11150,11118.2,11118.5,11095.7,10735.6
4,11340,11350,11350.3,11330.3,10966
5,11560,11581.8,11582.1,11565,11196.3
6,11780,11813.6,11813.8,11799.6,11426.7
7,12040,12045.4,12045.6,12034.3,11657
8,12260,12277.2,12277.4,12268.9,11887.4
9,12490,12509,12509.2,12503.5,12117.7
10,12710,12740.8,12740.9,12738.2,12348.1
1,12960,12972.6,12972.7,12972.8,12578.4
2,13200,13204.4,13204.5,13207.5,12808.8
3,13430,13436.2,13436.3,13442.1,13039.2
4,13670,13668,13668,13676.7,13269.5
5,13920,13899.8,13899.8,13911.4,13499.9
6,14140,14131.6,14131.6,14146,13730.2
7,14390,14363.4,14363.3,14380.7,13960.6
8,14600,14595.2,14595.1,14615.3,14190.9
9,14820,14827,14826.9,14850,14421.3
10,15070,15058.8,15058.7,15084.6,14651.6
1,15560,15540.6,15533.8,15520.8,15112.4
2,15830,15772.9,15766.6,15755.3,15342.7
3,16050,16005.1,15999.4,15989.7,15573.1
4,16250,16237.4,16232.2,16224.1,15803.4
5,16430,16469.7,16464.9,16458.6,16033.8
6,16680,16702,16697.7,16693,16264.1
7,16880,16934.2,16930.5,16927.5,16494.5
8,17150,17166.5,17163.3,17161.9,16724.8
9,17360,17398.8,17396.1,17396.3,16955.2
10,17580,17631,17628.9,17630.8,17185.5
1,17880,17863.3,17861.7,17865.2,17415.9
2,18120,18095.6,18094.5,18099.7,17646.3
3,18320,18327.8,18327.3,18334.1,17876.6
4,18590,18560.1,18560.1,18568.5,18107
5,18810,18792.4,18792.9,18803,18337.3
6,19040,19024.6,19025.7,19037.4,18567.7
7,19300,19256.9,19258.5,19271.9,18798
8,19470,19489.2,19491.3,19506.3,19028.4
9,19710,19721.4,19724.1,19740.7,19258.7
10,19950,19953.7,19956.9,19975.2,19489.1
2,20480,20442,20434.9,20435.1,19949.8
1,20720,20675.2,20668,20669.3,20180.2
3,20920,20908.5,20901.1,20903.5,20410.5
5,21090,21141.7,21134.3,21137.7,20640.9
4,21350,21374.9,21367.4,21371.9,20871.2
7,21610,21608.1,21600.6,21606.1,21101.6
6,21860,21841.3,21833.7,21840.3,21331.9
9,22080,22074.6,22066.8,22074.5,21562.3
8,22320,22307.8,22300,22308.7,21792.6
10,22530,22541,22533.1,22542.9,22023
2,22770,22774.2,22766.3,22777.1,22253.4
3,23000,23007.4,22999.4,23011.3,22483.7
1,23220,23240.7,23232.5,23245.5,22714.1
4,23470,23473.9,23465.7,23479.7,22944.4
5,23710,23707.1,23698.8,23713.9,23174.8
6,23950,23940.3,23932,23948.1,23405.1
7,24180,24173.5,24165.1,24182.3,23635.5
8,24430,24406.8,24398.2,24416.5,23865.8
9,24650,24640,24631.4,24650.7,24096.2
10,24860,24873.2,24864.5,24884.9,24326.5
3,25390,25342.7,25329.2,25322,24787.3
2,25580,25574.6,25562.3,25555.8,25017.6
4,25820,25806.5,25795.3,25789.5,25248
1,26050,26038.4,26028.4,26023.2,25478.3
6,26300,26270.3,26261.5,26257,25708.7
5,26490,26502.2,26494.6,26490.7,25939
7,26710,26734,26727.7,26724.4,26169.4
9,26930,26965.9,26960.7,26958.2,26399.7
8,26980,27197.8,27193.8,27191.9,26630.1
10,27400,27429.7,27426.9,27425.6,26860.4
2,27660,27661.6,27660,27659.4,27090.8
3,27910,27893.5,27893,27893.1,27321.2
4,28140,28125.3,28126.1,28126.8,27551.5
6,28420,28357.2,28359.2,28360.6,27781.9
1,28630,28589.1,28592.3,28594.3,28012.2
7,28800,28821,28825.4,28828,28242.6
5,29050,29052.9,29058.4,29061.8,28472.9
9,29300,29284.8,29291.5,29295.5,28703.3
8,29570,29516.6,29524.6,29529.2,28933.6
10,29720,29748.5,29757.7,29763,29164
2,30260,30225.4,30222.4,30217.7,29624.7
4,30470,30458.1,30455.5,30451.1,29855.1
3,30730,30690.9,30688.5,30684.5,30085.4
1,30890,30923.6,30921.6,30917.9,30315.8
6,31150,31156.3,31154.6,31151.3,30546.1
5,31360,31389,31387.7,31384.7,30776.5
7,31570,31621.7,31620.7,31618.1,31006.8
8,31830,31854.5,31853.8,31851.5,31237.2
9,32060,32087.2,32086.8,32084.9,31467.5
10,32260,32319.9,32319.9,32318.3,31697.9
4,32530,32552.6,32552.9,32551.7,31928.3
2,32780,32785.3,32786,32785.1,32158.6
3,33060,33018.1,33019,33018.5,32389
6,33340,33250.8,33252.1,33251.9,32619.3
1,33520,33483.5,33485.1,33485.3,32849.7
7,33700,33716.2,33718.2,33718.7,33080
5,33920,33948.9,33951.2,33952.1,33310.4
9,34190,34181.7,34184.3,34185.5,33540.7
8,34420,34414.4,34417.3,34418.9,33771.1
10,34660,34647.1,34650.3,34652.3,34001.4
4,35070,35102.8,35103.9,35087.5,34462.2
3,35320,35335.2,35336.7,35320.7,34692.5
2,35530,35567.7,35569.4,35554,34922.9
1,35780,35800.1,35802.1,35787.3,35153.2
6,36040,36032.5,36034.9,36020.5,35383.6
5,36240,36264.9,36267.6,36253.8,35613.9
7,36470,36497.4,36500.3,36487.1,35844.3
8,36710,36729.8,36733.1,36720.3,36074.6
9,36950,36962.2,36965.8,36953.6,36305
10,37180,37194.7,37198.6,37186.9,36535.3
3,37430,37427.1,37431.3,37420.1,36765.7
4,37680,37659.5,37664,37653.4,36996.1
2,37900,37892,37896.8,37886.7,37226.4
6,38130,38124.4,38129.5,38119.9,37456.8
1,38320,38356.8,38362.2,38353.2,37687.1
7,38560,38589.3,38595,38586.5,37917.5
5,38800,38821.7,38827.7,38819.7,38147.8
9,39070,39054.1,39060.5,39053,38378.2
8,39340,39286.5,39293.2,39286.3,38608.5
10,39550,39519,39525.9,39519.5,38838.9
4,39980,39982.8,39985.9,39968.7,39299.6
3,40240,40215.5,40218.6,40202.5,39530
6,40380,40448.2,40451.2,40436.4,39760.3
2,40680,40681,40683.8,40670.3,39990.7
7,40920,40913.7,40916.4,40904.2,40221
1,41140,41146.4,41149,41138.1,40451.4
9,41370,41379.2,41381.6,41371.9,40681.7
5,41550,41611.9,41614.2,41605.8,40912.1
8,41830,41844.6,41846.8,41839.7,41142.4
10,42050,42077.4,42079.4,42073.6,41372.8
4,42330,42310.1,42312.1,42307.4,41603.2
6,42560,42542.8,42544.7,42541.3,41833.5
